| COEFFICIENT NAME               | VALUE      | STD.ERR |  T.TEST     |  P.VAL      |
| asc_carD                       |  0,0000000 |         |             |             |
| b_carD_p.age_group_agg_15_24   |  0,0000000 |         |             |             |
| b_carD_p.female                |  0,0000000 |         |             |             |
| b_carD_hh.cars_gr_0            |  0,0000000 |         |             |             |
| b_carD_hh.cars_gr_2            |  0,0000000 |         |             |             |
| b_carD_hh.cars_gr_3            |  0,0000000 |         |             |             |
| b_carD_hh.cars_gr_23           |  0,0000000 |         |             |             |
| asc_carP                       |  1,4623787 | 0,66949 |   2,18433   | 0,02894 *   |
| b_carP_p.age_group_agg_15_24   |  1,3211395 | 0,58702 |   2,25059   | 0,02441 *   |
| b_carP_p.female                | -1,0930287 | 0,41938 |  -2,60628   | 0,00915 **  |
| b_carP_hh.cars_gr_0            |  0,0000000 |         |             |             |
| b_carP_hh.cars_gr_2            | -1,1084036 | 0,51836 |  -2,13827   | 0,03249 *   |
| b_carP_hh.cars_gr_3            | -2,3145122 | 0,53589 |  -4,31900   | 0,00002 *** |
| b_carP_hh.cars_gr_23           |  0,0000000 |         |             |             |
| asc_pt                         | -1,0194840 | 0,69461 |  -1,46770   | 0,14219     |
| b_pt_p.age_group_agg_15_24     |  3,1846782 | 0,57593 |   5,52963   | 0,00000 *** |
| b_pt_p.female                  | -0,4617361 | 0,39516 |  -1,16847   | 0,24262     |
| b_pt_hh.cars_gr_0              |  2,5518528 | 0,24200 |   10,54497  | 0,00000 *** |
| b_pt_hh.cars_gr_2              | -1,4566700 | 0,51927 |  -2,80521   | 0,00503 **  |
| b_pt_hh.cars_gr_3              | -2,9555604 | 0,54029 |  -5,47031   | 0,00000 *** |
| b_pt_hh.cars_gr_23             |  0,0000000 |         |             |             |
| asc_bike                       | -0,5424655 | 0,73002 |  -0,74308   | 0,45743     |
| b_bike_p.age_group_agg_15_24   |  4,1634334 | 0,69710 |   5,97254   | 0,00000 *** |
| b_bike_p.female                | -2,5730993 | 0,51691 |  -4,97788   | 0,00000 *** |
| b_bike_hh.cars_gr_0            |  2,2712106 | 0,31596 |   7,18838   | 0,00000 *** |
| b_bike_hh.cars_gr_2            |  0,0000000 |         |             |             |
| b_bike_hh.cars_gr_3            |  0,0000000 |         |             |             |
| b_bike_hh.cars_gr_23           | -2,7319941 | 0,61340 |  -4,45386   | 0,00001 *** |
| asc_walk                       |  3,3925625 | 0,67978 |   4,99068   | 0,00000 *** |
| b_walk_p.age_group_agg_15_24   |  2,9658887 | 0,61066 |   4,85686   | 0,00000 *** |
| b_walk_p.female                | -0,9435351 | 0,42233 |  -2,23411   | 0,02548 *   |
| b_walk_hh.cars_gr_0            |  2,4977403 | 0,22249 |   11,22635  | 0,00000 *** |
| b_walk_hh.cars_gr_2            | -1,3383153 | 0,52242 |  -2,56177   | 0,01041 *   |
| b_walk_hh.cars_gr_3            | -2,5609526 | 0,54845 |  -4,66947   | 0,00000 *** |
| b_walk_hh.cars_gr_23           |  0,0000000 |         |             |             |
| b_car_time                     | -0,2832414 | 0,03233 |  -8,76032   | 0,00000 *** |
| b_pt_time                      | -0,0197245 | 0,00729 |  -2,70730   | 0,00678 **  |
| b_bike_cost                    | -0,1852571 | 0,08444 |  -2,19404   | 0,02823 *   |
| b_walk_cost                    | -0,1462422 | 0,01433 |  -10,20333  | 0,00000 *** |
| g_bike_grad                    |  5,0028953 | 12,23170 |   0,40901   | 0,68253     |
| g_bike_vgvi                    | -0,8713042 | 0,56014 |  -1,55551   | 0,11982     |
| g_bike_stressLink              |  1,1146705 | 0,60397 |   1,84558   | 0,06495 .   |
| g_bike_stressLink_c            |  0,7758369 | 0,67136 |   1,15562   | 0,24784     |
| g_walk_grad                    | -0,8827290 | 1,75324 |  -0,50348   | 0,61462     |
| g_walk_vgvi                    | -0,0377936 | 0,18358 |  -0,20587   | 0,83689     |
| g_walk_stressJct               | -0,2931066 | 1,77693 |  -0,16495   | 0,86898     |
| g_walk_stressJct_c             |  2,2232671 | 1,87185 |   1,18774   | 0,23494     |
| g_walk_aadt                    | -0,0599724 | 0,07296 |  -0,82199   | 0,41108     |


Iterations: 86

Start LL = 4864.317465400571
Final LL = 2083.1680411907696
