Iteration,LL,asc_carD,b_carD_p.age_group_agg_15_24,b_carD_p.female,b_carD_hh.cars_gr_0,b_carD_hh.cars_gr_2,b_carD_hh.cars_gr_3,b_carD_hh.cars_gr_23,asc_carP,b_carP_p.age_group_agg_15_24,b_carP_p.female,b_carP_hh.cars_gr_0,b_carP_hh.cars_gr_2,b_carP_hh.cars_gr_3,b_carP_hh.cars_gr_23,asc_pt,b_pt_p.age_group_agg_15_24,b_pt_p.female,b_pt_hh.cars_gr_0,b_pt_hh.cars_gr_2,b_pt_hh.cars_gr_3,b_pt_hh.cars_gr_23,asc_bike,b_bike_p.age_group_agg_15_24,b_bike_p.female,b_bike_hh.cars_gr_0,b_bike_hh.cars_gr_2,b_bike_hh.cars_gr_3,b_bike_hh.cars_gr_23,asc_walk,b_walk_p.age_group_agg_15_24,b_walk_p.female,b_walk_hh.cars_gr_0,b_walk_hh.cars_gr_2,b_walk_hh.cars_gr_3,b_walk_hh.cars_gr_23,b_car_time,b_pt_time,b_bike_cost,b_walk_cost,g_bike_stressLink,g_walk_stressJct
0,5390.275650349018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,-0.1,0.0,0.0
1,4526.321354394209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.892424085833335E-4,-2.7624054837299634E-4,-1.4980567900705323E-4,0.0,6.379800952602515E-5,5.5120545378327535E-6,0.0,-8.403162326650217E-4,1.730070658945969E-4,1.1864716366504527E-4,-9.44561585400667E-5,-3.014439532931566E-4,-4.7448030070948577E-5,0.0,-5.345799430699647E-4,2.2496897152470833E-5,-2.881065605655096E-5,-1.0498777920932243E-4,0.0,0.0,-2.1284080005495436E-4,0.0021432465347993256,4.4828762440371993E-4,2.2803694854657108E-4,7.62793453205029E-4,5.111322304557973E-4,7.239574368100472E-5,0.0,-0.0041759773488058045,-0.0074354850622588235,-0.101939252721716,-0.06030887846962575,7.480543360638001E-5,-1.0655963960322013E-4
2,4043.611186127806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.829521868987226E-4,-5.830321885049682E-4,-3.14983435700893E-4,0.0,7.071587191525097E-5,-5.406613000139016E-6,0.0,-9.812096708085704E-4,5.060586594170904E-4,3.1824837723199985E-4,-3.288875965187961E-5,-3.8034025416040844E-4,-4.938188244232493E-5,0.0,-0.0010022605574821124,4.3417988150825686E-5,-5.522527482520936E-5,-1.9431645257777158E-4,0.0,0.0,-4.0243850084958395E-4,0.0036519351663930086,7.927341594494475E-4,4.02480125213493E-4,0.0013417215587530444,8.471669748906356E-4,1.2102379497315542E-4,0.0,-0.010335161651467955,0.004961981208883288,-0.10374671844727665,-0.03305568101609532,1.4766310550053428E-4,-7.690219089812014E-5
3,3976.655883134046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02288966973313032,-0.013095102553862096,-0.007277415683359644,0.0,0.02162989031099562,0.002896347355103923,0.0,-0.025423648268710457,0.01621199981670888,0.010617673141906078,0.00303094177836797,-0.011774010961088498,-0.002415082814855915,0.0,-0.01761779797376628,0.004634474710198498,-8.401996604976498E-4,-0.001793505721648997,0.0,0.0,-0.008800340793473412,0.0412497007462373,0.012910717100736822,0.006371574752560392,0.026702026040672684,0.002702613302238453,2.2691944168321186E-4,0.0,-0.09334470826193415,-0.008092333481376376,-0.09663813796459769,-0.0433259123798334,1.2023161495917044E-4,0.022598289391802195
4,3878.327847716928,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17672052926965598,-0.08395069991523248,-0.04662037606586955,0.0,0.154269714552735,0.021019451342131356,0.0,-0.1600389656289331,0.10683613777225826,0.07027204607039661,0.024673134878213657,-0.07651447360109388,-0.016332659301821616,0.0,-0.1421585116846223,0.026597213640298923,-0.008652172997789326,-0.017752455208589323,0.0,0.0,-0.0678258693687075,0.2634288314522574,0.08596569411872423,0.042320065897565255,0.17836748823124537,0.012604851931246384,7.170887196575785E-4,0.0,-0.42260574935456424,-0.06486395749267218,-0.31855638770180256,-0.10096193073153059,0.009362427687128687,0.1596336317599107
5,3346.674200609896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8354679800727958,-0.5114687013812103,-0.2726885620959861,0.0,0.8633276100852025,0.12825133619843435,0.0,-0.7468924712598404,0.5200852220332515,0.35508328247048704,0.22040721175034808,-0.38240170856919364,-0.10063553528929584,0.0,-0.7905137733220742,0.2181119774334046,-0.044054858516886175,-0.06621517373588871,0.0,0.0,-0.395101130271221,1.5142175140871834,0.5788288481539539,0.2836269113209191,1.1158437370218894,0.02446899857539892,-0.003653686466461685,0.0,-0.0399621522398137,0.03734973360411886,-0.06177159290984818,-0.09653249796137875,-0.09819540740522326,1.0526383796950187
6,3119.320068007103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3394010950107412,-0.8992607034271682,-0.40028643886048737,0.0,0.5487550472980369,0.28635603951524613,0.0,-0.45264454360268724,0.6251218448160554,0.4288555206203744,0.6371904968958493,0.042330543358605144,-0.2965132521139666,0.0,-0.990672121730826,0.5052639417899047,-0.09269488455050323,0.10060891474065985,0.0,0.0,-0.5964647283516943,2.33512862175459,1.0125937991249363,0.48071441780017654,1.6397293792606868,0.13999565339439815,-0.030198987288467226,0.0,-0.009865958871179133,0.014987743743158928,-0.06095264309441434,-0.13456631866295998,-0.09141230797728794,2.37490203585397
7,2708.1366432799327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1038203739478765,-0.9888469230974448,-0.2963411090189753,0.0,0.44959428028879056,0.6479435422713264,0.0,6.385582272900314E-4,0.49321034723150314,0.3835784734713596,1.4560601627976624,0.7849317187397433,-0.675959173610069,0.0,-0.9594595185123782,1.2008145964726893,-0.18829748215582062,0.6788929890204682,0.0,0.0,-0.8975140536202173,2.1954567894352186,1.6771725060233074,0.7535573259214164,1.9042245518558178,-0.05570412056392099,-0.13726658585821547,0.0,-0.013361875679943885,-0.0016416736019775335,-0.011032448448244213,-0.0772409680205319,-0.011657697984350499,5.243727899427745
8,2533.4891585282403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.207960626685243,-0.983110317214916,-0.22098882051029883,0.0,0.48024513136142094,0.7292997586197115,0.0,-0.128180691707154,0.5480071251349243,0.46038647582310804,1.8162420726162374,0.7164732217122883,-0.7920501946307935,0.0,-0.45869529014736676,1.6110701362508877,-0.22418062868144695,1.1340323955261702,0.0,0.0,-0.8597524582966205,2.207123657838908,1.7244412129925712,0.6978345247435402,1.9037758706341443,0.0036922154822723735,-0.20707416973184536,0.0,0.018666453137313226,0.00477469023205397,-0.0667075345716677,-0.05258464066614471,-0.27237799154845926,6.771891523289215
9,2476.0292036958367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4668871632388503,-0.4454898901503601,0.18896819804142695,0.0,0.2724365220417364,0.7308752503612845,0.0,-0.2617956289399678,0.6859524081917665,0.6227994949639697,2.204831474487214,0.6571658685189056,-0.890056376588486,0.0,-0.5928705757193942,2.2073288053541993,-0.35230996515981955,1.6309483750345457,0.0,0.0,-1.1372819768613718,2.637104794731021,0.9483361606017718,0.10945766603583174,1.4920698404977377,0.5492082257221106,-0.3045604248327441,0.0,0.08899745168152746,0.022891494559189582,-0.007290374264708299,-0.028361137746456377,-0.07322982237407416,8.485126022339687
10,2462.0087922127705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4464359916253635,-0.24683154862766962,0.3022228781602778,0.0,0.28992363680881084,0.5773508977011994,0.0,-0.38770093146254925,0.5421548806954801,0.5107984470719475,2.0455275375626565,0.8200543467683475,-0.9046988965350183,0.0,-0.5953791126587668,2.3616027325034072,-0.45612289157996744,1.757202614299102,0.0,0.0,-1.1578839160146654,2.7975815418697545,0.8007983590770898,0.02046637044495883,1.5774207565649763,0.35731251792483865,-0.2842984029244394,0.0,0.08538889056809026,0.028287759093202507,-0.01510475030318877,-0.030686781029846916,-0.12373655805406539,8.63662064940318
11,2444.7189033377363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3917622630643902,-0.31826710428146016,0.19429354280974948,0.0,0.35264083110161737,0.16329763173193085,0.0,-0.40780809208537633,0.596862083343515,0.4899196649131925,2.061310871531546,0.8661057940688422,-0.8920146419726565,0.0,-0.728120138973419,2.439834686312104,-0.7625058596564265,1.7875126612373415,0.0,0.0,-1.1491264867092112,2.8068661809054545,0.6632447040504179,-0.06351914609719704,1.4867388193208193,0.11751645400071423,-0.2412669029149026,0.0,0.07406701878701966,0.02341071018462204,-0.013340876301388646,-0.028010402807832138,-0.18951212954248275,8.697850096063936
12,2407.5892147568447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5365709010285167,-0.34527663818562687,-0.08649754890593114,0.0,-0.02495614290897874,-0.8802078352036997,0.0,-0.7212764888095966,0.43315372518450496,0.09950013706136379,2.2981799643581824,0.7740185030546547,-0.9596414432121856,0.0,-1.0464824917783977,2.637810079041587,-1.818695927360452,1.8581236160585615,0.0,0.0,-1.0562396668145553,2.965245670597943,0.7729845007713447,-0.09055073143471333,1.2358762936667647,0.10057558208723491,-0.380105714810413,0.0,0.03967825906412836,0.027357438552206563,-0.020636006733072813,-0.038597785222575016,-0.6307511499786904,8.507762867413948
13,2350.2446420760803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.650630459556326,-0.2282317388490565,-0.46166590518825384,0.0,-0.4513355604991667,-1.3871614231764986,0.0,-0.6392045381505563,0.8958313166845622,-0.201857668576498,2.3111357131694787,0.5208606160926919,-1.208253509936805,0.0,-1.3150013440278503,2.6605537400937678,-3.1323486679583312,1.8076588216292093,0.0,0.0,-0.9184338875235212,2.7817799206931197,0.6834892829373845,-0.792066584992474,1.8781369003861115,-0.051910810749929814,-1.4600592750102366,0.0,-0.02524625435626031,0.01145900378517371,-0.03535550968065807,-0.03951877811525652,-1.1999904684659985,8.039682661064601
14,2304.1931631303532,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3613834725837695,-0.03762306696129375,-0.7979415020171362,0.0,-0.0657588019948338,-1.3520983028060365,0.0,-0.35900316272687394,1.0881787946891468,-0.7011666857458685,2.3517922940720144,-0.06722515769236392,-1.5951284473537923,0.0,-1.367165346256971,2.7734409048115753,-3.889800920328832,2.152577171404,0.0,0.0,-1.14825943562724,2.9229961173805497,0.9537320803173213,-1.1556516136039645,1.8359259258263776,-0.31019164285491513,-2.2896681097362075,0.0,-0.08582667415352938,-0.0029243870490055744,-0.04658804177669229,-0.0510159086182472,-1.057783425299339,7.490681187521474
15,2269.507802846475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3425583450255805,-0.07612194282318588,-1.2772300277409303,0.0,-0.18427046588097384,-1.3071256469916368,0.0,-0.5055371310991519,1.65570579535038,-0.8815549937652185,1.7417559197136923,-0.26130768322470066,-1.9498041936903925,0.0,-1.0818854474777577,2.71000769477191,-4.195178799373409,2.4825490960781393,0.0,0.0,-1.356633446257757,3.0380462272537407,1.316973634729798,-1.3430123899588415,1.6553047710302,-0.41738505656975905,-2.5668299635547185,0.0,-0.04844055587425634,0.008544242197839754,-0.04163466350056656,-0.05281022879162379,-0.4411414112545148,7.137122003634391
