Iteration,LL,asc_carD,b_carD_p.age_group_agg_5_24,b_carD_p.age_group_agg_40_69,b_carD_p.age_group_agg_70,b_carD_p.female,b_carD_p.occupation_worker,b_carD_hh.cars_gr_0,b_carD_hh.cars_gr_2,b_carD_hh.cars_gr_3,asc_carP,b_carP_p.age_group_agg_5_24,b_carP_p.age_group_agg_40_69,b_carP_p.age_group_agg_70,b_carP_p.female,b_carP_p.occupation_worker,b_carP_hh.cars_gr_0,b_carP_hh.cars_gr_2,b_carP_hh.cars_gr_3,asc_pt,b_pt_p.age_group_agg_5_24,b_pt_p.age_group_agg_40_69,b_pt_p.age_group_agg_70,b_pt_p.female,b_pt_p.occupation_worker,b_pt_hh.cars_gr_0,b_pt_hh.cars_gr_2,b_pt_hh.cars_gr_3,asc_bike,b_bike_p.age_group_agg_5_24,b_bike_p.age_group_agg_40_69,b_bike_p.age_group_agg_70,b_bike_p.female,b_bike_p.occupation_worker,b_bike_hh.cars_gr_0,b_bike_hh.cars_gr_2,b_bike_hh.cars_gr_3,asc_walk,b_walk_p.age_group_agg_5_24,b_walk_p.age_group_agg_40_69,b_walk_p.age_group_agg_70,b_walk_p.female,b_walk_p.occupation_worker,b_walk_hh.cars_gr_0,b_walk_hh.cars_gr_2,b_walk_hh.cars_gr_3,b_car_time,b_pt_time,b_bike_cost,b_walk_cost,g_walk_vgvi
0,5099.150644208331,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,-0.1,0.0
1,4188.499364971523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0076243265272647985,7.971834987195022E-4,-0.004048949791735894,-4.4050633569290085E-4,-0.005390304584864818,-0.004966554663241237,-0.001169348451634056,-0.002856125285226858,-5.264638136151059E-4,-0.010735582650117348,0.0,0.0,0.0,-0.006581578648388651,-0.00542484916677452,-0.001053466723254482,0.0,0.0,-0.005389942271442526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011347938671688733,7.296749686168773E-4,0.0026397362429893857,2.360969245532714E-5,0.00940305187575022,0.004199406688863771,0.004320253495628976,0.0,1.1669894623359084E-4,0.050720341617808265,-0.3119370323994279,-0.12643277965903416,0.003678793594557292,-0.005568675429055845
2,4036.897738775233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0104958145857607,0.001047645316539764,-0.005540878718880335,-6.030623042551103E-4,-0.007403801129867682,-0.006795764604280758,-0.0016088401112842525,-0.00392258602211648,-7.203411965029678E-4,-0.012519753262156978,0.0,0.0,0.0,-0.007669249234818027,-0.0063367798392685365,-0.001193543347321879,0.0,0.0,-0.0071701267045584625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01365804553568987,7.878035080702711E-4,0.00284053491816463,-5.659668153000498E-5,0.01169735850838095,0.004825555281846367,0.005664925239956627,0.0,5.2918686694653394E-5,0.06674286985608459,-0.36236057354601753,-0.13432303870465698,-0.03601192960419677,-0.006604339885751248
3,3679.5246081408386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.5310120897026387,0.06657101510956269,-1.7502079361752165,-0.2017487292621962,-2.3242098275866754,-2.104944567729753,-0.4709598109062657,-1.3112093761881451,-0.2461810417879503,-0.06846471873574828,0.0,0.0,0.0,-0.02942404298779029,-0.05341138941164402,0.05403403813398445,0.0,0.0,-1.61827098746558,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3586664691315002,0.08240755402469303,0.3553143717172957,-0.04066204723057342,2.1817955374278553,0.731068620721538,1.1959027223362482,0.0,-0.019064373898789098,2.177932617573939,0.06587596239082072,-6.642276434805228,0.046516835727637575,-0.32524628961654917
4,3234.767793238946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.9852548712102553,0.6703921576020632,-1.8341652127753196,-0.1895745049024991,-1.970152924480546,-2.321436331093835,-0.5132566295494868,-1.189662513310517,-0.31785761743299334,-0.2592026986945484,0.0,0.0,0.0,-0.0031579578416560637,-0.17417116166009863,0.20715017784737189,0.0,0.0,-1.992561032175108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3568562439198184,-0.22008813111436815,-0.5714305788528198,-0.1830974904701934,1.4361145812178226,-0.5243443993225256,2.0784832142656993,0.0,-0.1881118978990773,1.5917697739097405,4.64127221640076E-4,-8.254142116784674,0.01720278676047277,-1.0399335278348938
5,2929.7593114766855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.646782752187393,0.9798529661899931,-1.8476743595946181,-0.1803949581182236,-1.7418391205124353,-2.4001999461522106,-0.5292037690269156,-1.1055971713658264,-0.35176762525064736,-0.3813832458266619,0.0,0.0,0.0,-0.006334303688847359,-0.2532642781510025,0.28843239473589577,0.0,0.0,-2.1697070650434465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1782593194732647,-0.3609196851526524,-0.8773884512761209,-0.2573701089493621,1.3040313339337444,-0.935000944048214,2.5437311526997406,0.0,-0.2656944137244796,0.8461388416253927,-0.1068103863168993,-9.017724711788867,-0.05895452337048211,-1.328561797721062
6,2579.9084359565995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.8145141992719003,2.130759280190608,-1.5932598675696066,-0.13845500305838476,-0.5344680427144475,-2.319316256854427,-0.5021431750186598,-0.5637915307307397,-0.43082310550265557,-0.7713808508681279,0.0,0.0,0.0,-0.08548981186376998,-0.5607177116886903,0.5888077149347354,0.0,0.0,-2.5622188742406693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0395571986361176,-1.0209636207746953,-0.7163323030201452,-0.597003148577397,1.0981428815848377,-0.5600568167367315,3.381088109532975,0.0,-0.43890653639714605,0.6945767085300454,-0.032333552294856335,-10.846064933131629,-0.06107081813145531,-1.9516134343950213
7,2573.4547478078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5408664127488316,2.1673495473676088,-1.3359632868464826,-0.27686615667645265,-0.046355808513022845,-2.1311109132432597,-0.4713104483466415,-0.46175417321635526,-0.508061844459959,-1.1661387404306662,0.0,0.0,0.0,-0.21233004797139232,-0.8365421969557979,0.8124996653390799,0.0,0.0,-2.6393442611588966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2304283559914715,-0.9358332094219064,-0.8113699248568523,-0.8166947702525076,0.9658436064474578,-0.7161279695185615,3.815099391781018,0.0,-0.5600004958022963,0.8064154297895005,0.017164640662205972,-11.258226010954361,-0.04338129407017215,-1.334342776164174
8,2518.241018385032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.8514676240824539,2.1081847535460847,-0.9371646338185533,-0.6911346036203416,0.1842700984387494,-1.7935411672479973,-0.37567622496610864,-0.49362858650010255,-0.7038517368354479,-1.8428686420851652,0.0,0.0,0.0,-0.42381905578305595,-1.3381862274668639,1.3089917949730236,0.0,0.0,-2.6224173464889127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2707749756736157,-0.9188735174735888,-0.6492064893853079,-1.2923774098607135,0.40791452705129383,-0.4750037534625461,4.0676575790402305,0.0,-0.7591445955555745,0.7237652972569157,0.04192698279405203,-11.500326458733458,-0.05165092023731187,-1.4082825119496296
9,2485.8753369668957,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.9760323892191016,2.2044010698587346,-0.7605825491447217,-0.813493315341681,0.1966616313717811,-1.5629535780282249,-0.23007562883712074,-0.48456224223147537,-0.8580621433665695,-2.30651165622012,0.0,0.0,0.0,-0.5206178894153817,-1.6411548321846317,1.765017046411675,0.0,0.0,-2.5283306601439572,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3417196578069754,-1.018132112953366,-0.714271871071825,-1.6716139710637186,0.6094513993307553,-0.6000031644671351,4.1320530714997,0.0,-0.8969185260209592,0.8005332495848512,0.08101293932304116,-11.455586891980571,-0.0426775622513067,-1.6020026283779691
10,2433.278072085304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.3600912508614278,2.6508138437615023,-1.3020911506785837,-0.4818347139477913,0.3645112549235632,-1.9879299601099683,0.44489293604565794,-0.7405035938353357,-1.4934490146793475,-3.7130154610602837,0.0,0.0,0.0,-0.3456097862029041,-2.4298714395584122,3.873791899755326,0.0,0.0,-2.0891986870388775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1254352843805357,-1.4423511123742898,-0.6883695106221132,-3.183066684978074,0.7938100349314277,-0.5486895805512203,4.234984729129703,0.0,-1.3840513850604492,0.7975358009071345,0.11083145695339111,-11.059663839333227,-0.04223827550705498,-1.4296264071860003
11,2406.215349914099,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.3786565327134175,2.2892176329706264,-1.2481138598768171,-0.18173985910995494,0.5431437883342101,-2.105933188437901,0.601544885620929,-0.7210952956047159,-1.7257742491391235,-3.989566000923911,0.0,0.0,0.0,0.033660801014851416,-2.4556029502989136,4.817726533266921,0.0,0.0,-1.909722436745183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2252183666840832,-1.2049690825844723,-0.7915324458343488,-3.719853353571268,0.8169204957423303,-0.5136532593489913,4.242924725226732,0.0,-1.487201541463693,0.8361858084261854,0.12030104189737842,-11.051722814813715,-0.038916622106784315,-1.6281326110255399
