Iteration,LL,asc_carD,b_carD_p.age_group_agg_5_24,b_carD_p.age_group_agg_40_69,b_carD_p.age_group_agg_70,b_carD_p.female,b_carD_p.occupation_worker,b_carD_hh.cars_gr_0,b_carD_hh.cars_gr_2,b_carD_hh.cars_gr_3,asc_carP,b_carP_p.age_group_agg_5_24,b_carP_p.age_group_agg_40_69,b_carP_p.age_group_agg_70,b_carP_p.female,b_carP_p.occupation_worker,b_carP_hh.cars_gr_0,b_carP_hh.cars_gr_2,b_carP_hh.cars_gr_3,asc_pt,b_pt_p.age_group_agg_5_24,b_pt_p.age_group_agg_40_69,b_pt_p.age_group_agg_70,b_pt_p.female,b_pt_p.occupation_worker,b_pt_hh.cars_gr_0,b_pt_hh.cars_gr_2,b_pt_hh.cars_gr_3,asc_bike,b_bike_p.age_group_agg_5_24,b_bike_p.age_group_agg_40_69,b_bike_p.age_group_agg_70,b_bike_p.female,b_bike_p.occupation_worker,b_bike_hh.cars_gr_0,b_bike_hh.cars_gr_2,b_bike_hh.cars_gr_3,asc_walk,b_walk_p.age_group_agg_5_24,b_walk_p.age_group_agg_40_69,b_walk_p.age_group_agg_70,b_walk_p.female,b_walk_p.occupation_worker,b_walk_hh.cars_gr_0,b_walk_hh.cars_gr_2,b_walk_hh.cars_gr_3,b_car_time,b_pt_time,b_bike_cost,b_walk_cost
0,5099.150644208331,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,-0.1
1,3927.129046877769,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.004977749002745316,5.204629355216761E-4,-0.0026434670283212044,-2.875965457876271E-4,-0.0035192069982645526,-0.003242550333281462,-7.634409502489353E-4,-0.0018646990969514526,-3.437162238307522E-4,-0.00700901720819696,0.0,0.0,0.0,-0.004296962680749658,-0.0035417603683932275,-6.877844111677366E-4,0.0,0.0,-0.003518970452089616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007408810496797832,4.7638815498946083E-4,0.0017234236235898718,1.5414230050924814E-5,0.0061390382389708105,0.0027416969069808104,0.0028205950325672887,0.0,7.6190081990636E-5,0.03311415493605843,-0.20365657824241,-0.11725735933751336,-0.03231047888943321
2,3883.346296106236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.009470041973428378,6.182480872776381E-4,-0.004891668344318046,-5.479972070904266E-4,-0.006471869753712689,-0.005939003796879406,-0.0013549502565426532,-0.003541176526019715,-6.644153113363417E-4,-0.007111019385170294,0.0,0.0,0.0,-0.004362739792467622,-0.003606380391342347,-6.356677517850692E-4,0.0,0.0,-0.005826300857625056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010539463607720805,5.92223946881016E-4,0.0022294980861248337,-2.8341109814580537E-5,0.008996111232354515,0.003736311335006232,0.004363621753792677,0.0,6.333038775734147E-5,0.035201767592161384,-0.20064147820221936,-0.12766497256878243,-0.02081327872437455
3,3095.825799486079,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.740408778355101,0.021894982947786065,-0.3726897680266215,-0.043077636255424955,-0.48949533811546914,-0.4477644122997031,-0.09899446793050684,-0.2759946417671114,-0.05306660703186615,-0.03920517696556015,0.0,0.0,0.0,-0.02463315838201536,-0.0219748094237798,0.006476458459093607,0.0,0.0,-0.3749039184710503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48406324244643606,0.013321375130902029,0.06292250174774498,-0.01052338012572911,0.4589557256111362,0.14332092233014226,0.2605254670948521,0.0,-0.0054832031423351,0.665127923421334,-0.134834714367145,-1.7315742643870395,-0.12341150453235909
4,2190.774301547165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.576926901089927,0.05362761177447306,-0.7449623795437775,-0.10914351144900938,-0.9516079375194874,-0.9090604816990029,-0.23712700818535123,-0.5377203759534477,-0.11920212964990198,-0.16276988329102254,0.0,0.0,0.0,-0.10503836752879259,-0.08733960354852209,0.017553192262322485,0.0,0.0,-0.4689393734371442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6389804060332618,0.051393135068254076,0.21133741911870596,-0.039998882385555025,1.5239105606212275,0.46442616991061675,0.8738964814871291,0.0,-0.022654312590800006,-0.11112903592510281,-0.2664298522354467,-1.6121624569274444,-0.27052598174193626
5,1980.813303375501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.3945559778362355,0.43893639332808254,-0.8159622575757944,-0.18008974358017368,-0.5286264143670181,-1.0798554768197983,-0.29913371889087403,-0.4513948914992285,-0.19694521801112005,-0.4113791475305296,0.0,0.0,0.0,-0.17316025887722497,-0.2487270593372099,0.16242966187203373,0.0,0.0,-0.6809136047100789,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6929152933293379,-0.08993279500401927,-0.41639889870866553,-0.1742236066871587,1.5301522143592925,-0.2040978512376554,1.865542676150037,0.0,-0.17095689667443187,-0.8159315933626224,-0.37490568565051896,-2.051601234894275,-0.3560942309072578
6,1877.9518417152299,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.3306727233972924,1.321946796439307,-1.0167353458640966,-0.4532082276488587,0.21591524482283897,-1.5036506328210828,-0.3515718480770322,-0.36063496210963003,-0.41397228221651083,-1.1845309354840978,0.0,0.0,0.0,-0.34532545354495037,-0.7294885575870084,0.6160252944794582,0.0,0.0,-0.9403794303666069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0634144441911904,-0.5377029339468129,-0.4187746320231832,-0.5794654626850197,0.9612128618029099,0.022665501290235757,3.1985731877078045,0.0,-0.4863865566491886,-0.39465773418293915,-0.2610957813771092,-1.801828948938167,-0.299399403828393
7,1857.1588934684385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.7478330900431738,1.5432668611200226,-1.0619201868876789,-0.6384599068223468,0.15990282575684522,-1.6254941062567037,-0.32013285054753576,-0.5162545477953673,-0.5549942990849804,-1.5465913785963532,0.0,0.0,0.0,-0.38575359042419055,-0.9862621183858321,0.9394870008024556,0.0,0.0,-1.0699951882288048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9599547949898026,-0.6931912334284627,-0.4545681632796094,-0.8382024079093926,0.4781210595305442,-0.08214667712718014,3.479430463320228,0.0,-0.6600091831598656,-0.43102812569310506,-0.2592110501063077,-1.6480939119176816,-0.28567547908414526
8,1804.196483079135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.9504667803790854,1.9133931438985365,-0.6669630760745675,-0.9500219684734845,0.27906953241671517,-1.3609642115455742,-0.07822298425808172,-0.6719967230148248,-0.8551681367815538,-2.279109279258622,0.0,0.0,0.0,-0.37178773366474044,-1.564123766125915,1.843465419055355,0.0,0.0,-1.5616657591037018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1237814533797597,-0.9955879837378698,-0.24007486993411356,-1.4907191527150436,0.20913590428529527,-0.07537100636035517,3.302293712112782,0.0,-1.0139037290287867,-0.7638287772605789,-0.28598530225174573,-1.7890037673866224,-0.33154915660266204
9,1737.7942855274766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.33620191762604,2.237297347534283,-0.020671182442621783,-1.322188909158068,0.3948519212464169,-0.9019875264458905,0.3039942639058574,-0.8367962595821948,-1.3712528821653347,-3.535466824781989,0.0,0.0,0.0,-0.29504228966378543,-2.519485703450498,3.475974254395595,0.0,0.0,-2.264931554585864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.387149593312526,-1.2547962516804414,-0.6894506700772315,-2.529975369850435,0.4824532033768062,-0.4843673352627074,3.0168475695071746,0.0,-1.527436490942666,-0.5464855374319656,-0.19662591102161237,-1.5806435778575216,-0.2958807853003209
