| COEFFICIENT NAME               | VALUE      | STD.ERR |  T.TEST     |  P.VAL      |
| asc_carD                       |  0,0000000 |         |             |             |
| b_carD_p.age_group_agg_5_14    |  0,0000000 |         |             |             |
| b_carD_p.age_group_agg_15_24   |  0,0000000 |         |             |             |
| b_carD_p.age_group_agg_40_69   |  0,0000000 |         |             |             |
| b_carD_p.age_group_agg_70      |  0,0000000 |         |             |             |
| b_carD_p.female                |  0,0000000 |         |             |             |
| b_carD_p.occupation_worker     |  0,0000000 |         |             |             |
| b_carD_hh.cars_gr_0            |  0,0000000 |         |             |             |
| b_carD_hh.cars_gr_2            |  0,0000000 |         |             |             |
| b_carD_hh.cars_gr_3            |  0,0000000 |         |             |             |
| b_carD_hh.income_agg_high      |  0,0000000 |         |             |             |
| b_carD_t.full_purpose_HBR      |  0,0000000 |         |             |             |
| b_carD_t.full_purpose_HBO      |  0,0000000 |         |             |             |
| asc_carP                       | -1,1786638 | 0,08527 |  -13,82333  | 0,00000 *** |
| b_carP_p.age_group_agg_5_14    |  0,0000000 |         |             |             |
| b_carP_p.age_group_agg_15_24   |  1,4560148 | 0,11801 |   12,33810  | 0,00000 *** |
| b_carP_p.age_group_agg_40_69   | -0,2235016 | 0,06944 |  -3,21873   | 0,00129 **  |
| b_carP_p.age_group_agg_70      | -0,1366116 | 0,08813 |  -1,55019   | 0,12110     |
| b_carP_p.female                |  1,2320270 | 0,05568 |   22,12883  | 0,00000 *** |
| b_carP_p.occupation_worker     | -0,5764134 | 0,06320 |  -9,12118   | 0,00000 *** |
| b_carP_hh.cars_gr_0            |  3,6531596 | 0,29652 |   12,32018  | 0,00000 *** |
| b_carP_hh.cars_gr_2            | -0,1584217 | 0,05849 |  -2,70842   | 0,00676 **  |
| b_carP_hh.cars_gr_3            | -0,3360465 | 0,09647 |  -3,48335   | 0,00050 *** |
| b_carP_hh.income_agg_high      |  0,0000000 |         |             |             |
| b_carP_t.full_purpose_HBR      |  0,4279622 | 0,05891 |   7,26480   | 0,00000 *** |
| b_carP_t.full_purpose_HBO      |  0,0000000 |         |             |             |
| asc_pt                         | -2,6926786 | 0,15095 |  -17,83793  | 0,00000 *** |
| b_pt_p.age_group_agg_5_14      | -1,1771386 | 0,17359 |  -6,78096   | 0,00000 *** |
| b_pt_p.age_group_agg_15_24     |  2,5731287 | 0,16357 |   15,73122  | 0,00000 *** |
| b_pt_p.age_group_agg_40_69     |  0,5688477 | 0,12233 |   4,64993   | 0,00000 *** |
| b_pt_p.age_group_agg_70        |  0,3319591 | 0,14244 |   2,33058   | 0,01978 *   |
| b_pt_p.female                  |  0,5116888 | 0,08276 |   6,18309   | 0,00000 *** |
| b_pt_p.occupation_worker       | -0,6117303 | 0,10462 |  -5,84697   | 0,00000 *** |
| b_pt_hh.cars_gr_0              |  6,1369933 | 0,29835 |   20,56990  | 0,00000 *** |
| b_pt_hh.cars_gr_2              | -0,7772034 | 0,11309 |  -6,87271   | 0,00000 *** |
| b_pt_hh.cars_gr_3              | -1,2963962 | 0,20614 |  -6,28906   | 0,00000 *** |
| b_pt_hh.income_agg_high        |  0,4604125 | 0,15240 |   3,02102   | 0,00252 **  |
| b_pt_t.full_purpose_HBR        |  0,3086702 | 0,09628 |   3,20598   | 0,00135 **  |
