| COEFFICIENT NAME               | VALUE      | STD.ERR |  T.TEST     |  P.VAL      |
| asc_carD                       |  0,0000000 |         |             |             |
| b_carD_p.age_group_agg_5_14    |  0,0000000 |         |             |             |
| b_carD_p.age_group_agg_15_24   |  0,0000000 |         |             |             |
| b_carD_p.age_group_agg_40_69   |  0,0000000 |         |             |             |
| b_carD_p.age_group_agg_70      |  0,0000000 |         |             |             |
| b_carD_p.female                |  0,0000000 |         |             |             |
| b_carD_p.occupation_worker     |  0,0000000 |         |             |             |
| b_carD_hh.cars_gr_0            |  0,0000000 |         |             |             |
| b_carD_hh.cars_gr_2            |  0,0000000 |         |             |             |
| b_carD_hh.cars_gr_3            |  0,0000000 |         |             |             |
| b_carD_hh.income_agg_high      |  0,0000000 |         |             |             |
| b_carD_t.full_purpose_HBR      |  0,0000000 |         |             |             |
| b_carD_t.full_purpose_HBO      |  0,0000000 |         |             |             |
| asc_carP                       | -1,1786357 | 0,08527 |  -13,82309  | 0,00000 *** |
| b_carP_p.age_group_agg_5_14    |  0,0000000 |         |             |             |
| b_carP_p.age_group_agg_15_24   |  1,4560231 | 0,11801 |   12,33824  | 0,00000 *** |
| b_carP_p.age_group_agg_40_69   | -0,2235186 | 0,06944 |  -3,21899   | 0,00129 **  |
| b_carP_p.age_group_agg_70      | -0,1366100 | 0,08813 |  -1,55018   | 0,12110     |
| b_carP_p.female                |  1,2320112 | 0,05567 |   22,12870  | 0,00000 *** |
| b_carP_p.occupation_worker     | -0,5763986 | 0,06319 |  -9,12101   | 0,00000 *** |
| b_carP_hh.cars_gr_0            |  3,6549894 | 0,29677 |   12,31574  | 0,00000 *** |
| b_carP_hh.cars_gr_2            | -0,1584111 | 0,05849 |  -2,70825   | 0,00676 **  |
| b_carP_hh.cars_gr_3            | -0,3360536 | 0,09647 |  -3,48343   | 0,00050 *** |
| b_carP_hh.income_agg_high      |  0,0000000 |         |             |             |
| b_carP_t.full_purpose_HBR      |  0,4279447 | 0,05891 |   7,26444   | 0,00000 *** |
| b_carP_t.full_purpose_HBO      |  0,0000000 |         |             |             |
| asc_pt                         | -2,6924012 | 0,15096 |  -17,83514  | 0,00000 *** |
| b_pt_p.age_group_agg_5_14      | -1,1773874 | 0,17361 |  -6,78182   | 0,00000 *** |
| b_pt_p.age_group_agg_15_24     |  2,5728497 | 0,16358 |   15,72877  | 0,00000 *** |
| b_pt_p.age_group_agg_40_69     |  0,5688464 | 0,12234 |   4,64969   | 0,00000 *** |
| b_pt_p.age_group_agg_70        |  0,3319819 | 0,14244 |   2,33062   | 0,01977 *   |
| b_pt_p.female                  |  0,5116311 | 0,08276 |   6,18202   | 0,00000 *** |
| b_pt_p.occupation_worker       | -0,6118454 | 0,10463 |  -5,84759   | 0,00000 *** |
| b_pt_hh.cars_gr_0              |  6,1389557 | 0,29860 |   20,55889  | 0,00000 *** |
| b_pt_hh.cars_gr_2              | -0,7774708 | 0,11310 |  -6,87429   | 0,00000 *** |
| b_pt_hh.cars_gr_3              | -1,2964290 | 0,20615 |  -6,28869   | 0,00000 *** |
| b_pt_hh.income_agg_high        |  0,4604805 | 0,15242 |   3,02112   | 0,00252 **  |
| b_pt_t.full_purpose_HBR        |  0,3086535 | 0,09629 |   3,20559   | 0,00135 **  |
