Iteration,LL,asc_carD,b_carD_p.age_group_agg_5_14,b_carD_p.age_group_agg_15_24,b_carD_p.age_group_agg_40_69,b_carD_p.age_group_agg_70,b_carD_p.female,b_carD_p.occupation_worker,b_carD_hh.cars_gr_0,b_carD_hh.cars_gr_2,b_carD_hh.cars_gr_3,b_carD_hh.income_agg_high,b_carD_t.full_purpose_HBR,b_carD_t.full_purpose_HBO,asc_carP,b_carP_p.age_group_agg_5_14,b_carP_p.age_group_agg_15_24,b_carP_p.age_group_agg_40_69,b_carP_p.age_group_agg_70,b_carP_p.female,b_carP_p.occupation_worker,b_carP_hh.cars_gr_0,b_carP_hh.cars_gr_2,b_carP_hh.cars_gr_3,b_carP_hh.income_agg_high,b_carP_t.full_purpose_HBR,b_carP_t.full_purpose_HBO,asc_pt,b_pt_p.age_group_agg_5_14,b_pt_p.age_group_agg_15_24,b_pt_p.age_group_agg_40_69,b_pt_p.age_group_agg_70,b_pt_p.female,b_pt_p.occupation_worker,b_pt_hh.cars_gr_0,b_pt_hh.cars_gr_2,b_pt_hh.cars_gr_3,b_pt_hh.income_agg_high,b_pt_t.full_purpose_HBR,b_pt_t.full_purpose_HBO,asc_bike,b_bike_p.age_group_agg_5_14,b_bike_p.age_group_agg_15_24,b_bike_p.age_group_agg_40_69,b_bike_p.age_group_agg_70,b_bike_p.female,b_bike_p.occupation_worker,b_bike_hh.cars_gr_0,b_bike_hh.cars_gr_2,b_bike_hh.cars_gr_3,b_bike_hh.income_agg_high,b_bike_t.full_purpose_HBR,b_bike_t.full_purpose_HBO,asc_walk,b_walk_p.age_group_agg_5_14,b_walk_p.age_group_agg_15_24,b_walk_p.age_group_agg_40_69,b_walk_p.age_group_agg_70,b_walk_p.female,b_walk_p.occupation_worker,b_walk_hh.cars_gr_0,b_walk_hh.cars_gr_2,b_walk_hh.cars_gr_3,b_walk_hh.income_agg_high,b_walk_t.full_purpose_HBR,b_walk_t.full_purpose_HBO,b_car_time,b_pt_time,b_bike_cost,b_walk_cost,g_bike_stressLink,g_bike_stressLink_c,g_walk_vgvi,g_walk_stressJct,g_walk_speed,g_walk_speed_c,g_walk_speed_o
0,21249.943505112835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,-0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,20395.164537433015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.231615102349592E-4,0.0,-6.211190439552073E-5,-4.895048168831588E-4,-4.781057783262535E-5,1.2039964207322258E-4,-4.938328133464314E-4,-4.8519944478054607E-4,1.0681370233835625E-4,-4.388436117214789E-6,0.0,-4.887012137109811E-5,0.0,-0.0028710097720117352,-5.769183662365303E-4,-1.8476986256504017E-4,-0.001106685136614888,-3.867196727313031E-4,-0.0011650815890649332,-0.0011100472861286965,-4.2722314566665056E-5,-0.0010543326766243501,-2.745940809755194E-4,-3.064124860055605E-4,-9.375502934554737E-4,-8.416388894391944E-4,-0.0015566217593624913,-2.5913439275963526E-4,-1.4294565700342566E-4,0.0,-2.837167862220586E-4,-7.290511371275093E-4,-4.6713861362017217E-4,-3.53174323449851E-4,-3.881266806460362E-4,-1.0428988156389657E-4,-1.0781581391019152E-4,-3.999867519349596E-4,-3.8934053378870536E-4,0.0033387621946955057,3.5704118752268065E-4,6.477532812308514E-4,0.0011523323417727542,3.6474660131635207E-4,0.0014134075547366043,9.80049589191787E-4,0.0016171153375486636,4.882369012136813E-4,1.0477798724331806E-4,1.9632797602006823E-4,0.0012329821414429924,8.062839089623732E-4,0.013006903747679778,-0.09113148657869419,-0.10796657206915622,-0.06074066503145546,5.647288130535476E-4,1.0657464194096756E-4,-0.002157387666303883,-1.2200376870185273E-4,-0.0019668449094960507,-1.62334016340097E-4,-3.4829345880927503E-4
2,20020.802222789294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.761816023129404E-4,0.0,-1.2222633709970087E-4,-8.235268723305713E-4,-1.3808031955236475E-4,-4.20722528715469E-6,-8.155828423522268E-4,-7.416580499301363E-4,6.56396835403312E-6,-4.0058516924259184E-5,0.0,-2.1039494106913425E-4,0.0,-0.0030157786374752607,-6.455577512115734E-4,-1.6155970491119693E-4,-0.0011708647210704915,-3.5907998517681247E-4,-0.0011836463831328156,-0.0012157558593073917,1.1667369488997255E-4,-0.0011706305958389348,-3.0598623020873695E-4,-3.3265702341309957E-4,-9.991026510679187E-4,-9.08342172695958E-4,-0.0022270999969254456,-3.7793406105600933E-4,-2.046075239043493E-4,0.0,-4.0322790153453207E-4,-0.0010369584749152045,-6.663486076728883E-4,-5.05196212109227E-4,-5.561649728857975E-4,-1.4907244497905034E-4,-1.5499507387233108E-4,-5.756930631247344E-4,-5.568987626992E-4,0.004479817387351832,4.670052723417077E-4,8.824708754992485E-4,0.0015445589503479602,4.816385184480861E-4,0.0018965359843213345,0.001314390048523782,0.0022061908246998794,6.400949036593998E-4,1.359416079241006E-4,2.611681674673608E-4,0.0016666931075327294,0.0010809947289695723,0.011436855363778427,-0.09044599848680548,-0.11148423796805168,-0.0484638617227336,8.284876483713483E-4,1.606381983139569E-4,-0.0026646855886764426,-1.5090541980623535E-4,-0.002424151084821823,-1.9061036290319184E-4,-4.2156122650846464E-4
3,19659.248271709355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.04692164999855649,0.0,-0.005578743959499736,-0.035074912991966994,-0.00785794405189297,-0.0061763978944098605,-0.03468588166383009,-0.028361960603738898,-0.005852080720230314,-0.002900744423936231,0.0,-0.013366183474335979,0.0,-0.02318501319853335,-0.009421201248409304,0.0025987470863840898,-0.01011486183070621,0.0027693230728450795,-0.004476487122328843,-0.015405420018414733,0.020184226864695228,-0.016591991457718645,-0.0044763741916783095,-0.0038633868332542953,-0.00942290329322747,-0.00986680310766965,-0.06850090560377914,-0.011433198542352786,-0.006210449641842522,0.0,-0.012512064320027024,-0.03232613551073709,-0.020355021949775023,-0.015734035556720063,-0.01677711001659053,-0.004575423103294093,-0.004621657604542517,-0.017333485706501645,-0.01709488020133477,0.09100378533555975,0.004479192092426994,0.024845008869073194,0.029794114787338323,0.005337348102622791,0.037752929190182014,0.02542274289415626,0.06441027707407097,0.004116976146589265,7.414359350338484E-5,0.0038945372062598503,0.039936718969369504,0.02145900139871193,-0.01327503441472384,-0.10143239429933901,-0.40687264287624286,-0.08392410198609201,0.02818858828793945,0.005749149483061424,0.022859515151801804,0.0011469144737141874,0.02430229870196434,0.0051028488399569374,0.007780600014674756
4,17257.988000460227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4596982015800148,0.0,-0.05123175335048119,-0.30250723112955624,-0.0759337825007387,-0.07225340170683177,-0.29643732715273896,-0.24474944472916227,-0.06992478288585964,-0.028434868772702147,0.0,-0.13151505730148091,0.0,-0.1815584101875016,-0.07748245700129192,0.02231336220399119,-0.0787491372691972,0.0244131134050617,-0.03190574396659253,-0.12220219383077735,0.16599822800321495,-0.13271177900001968,-0.03577054775371456,-0.03060484998341624,-0.07403838441991435,-0.07830161365298521,-0.33005451477095954,-0.053650534192087505,-0.027204712722227575,0.0,-0.06309987066733716,-0.16395773863651802,-0.09484265841990021,-0.07722288163329166,-0.07598623504946884,-0.022011279020104576,-0.01975971941509503,-0.07526973117768951,-0.08209331589723672,0.7071641597216907,0.02911182798346204,0.19862896656848586,0.23029144987759773,0.038950787509407586,0.29229462214597923,0.19652280537188882,0.5142826941982377,0.02593723151016803,-0.0012765092504570335,0.02928682488509168,0.314575669120553,0.16585166495744025,-1.0361535228155219,-0.308745326934345,-0.8453554827629637,-0.2651209977241924,0.0732393324075895,0.030466516705421564,0.1570690152106538,0.007733876042629635,0.17129020964042305,0.04234367502615061,0.05918745071812073
5,15860.247894947091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5184219046189529,0.0,-0.05470637953899284,-0.38695556200316755,-0.08674372473008134,0.03668887655417713,-0.3907913840851159,-0.3567396754089766,-0.038450361227741654,-0.028479420317439087,0.0,-0.13486238170048334,0.0,-0.2782565591472773,-0.13064437202464238,0.04127352025881587,-0.12019426025386415,0.048131644207150256,-0.03763767974751447,-0.20470087878803464,0.30586528631625326,-0.2337153467989262,-0.06036035188744729,-0.052119306957290557,-0.11983982871220046,-0.11764587144354768,-0.5019709707244052,-0.0855018259191449,-0.038117299262245045,0.0,-0.09734859606028654,-0.24838497332474307,-0.14002888233619892,-0.11190422996796587,-0.11449547016680145,-0.0340273836575703,-0.028548738532853394,-0.10803900134543051,-0.12237130650425099,1.0949231368822478,0.031880953283114466,0.3249764972045682,0.3467786086493019,0.0528006447587514,0.43650921865588715,0.29330439656357205,0.8371209486310206,0.021526404386413768,-0.008462289948251968,0.043144294049875936,0.496827625498357,0.25285538748373165,-1.0383900596601583,-0.3025942651536284,-0.8157527023098102,-0.31992575217152014,0.065456312993152,0.07117677380277668,-0.10630988328421387,-0.006973761187561248,-0.06422318549143016,0.05949879571490527,0.03685177205926463
6,14875.118363450736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.41468231959469887,0.0,-0.020032279124623825,-0.4925594430236304,-0.09100977462759999,0.507140386886253,-0.5466158233229956,-0.5722917208848286,0.09671066832814759,-0.010088532922853909,0.0,-0.05513517825611075,0.0,-0.47755413006267233,-0.28644535773784635,0.11262543460472216,-0.19692049878196907,0.12604325426522311,0.0011598211294255659,-0.41914888591024624,0.776635473709556,-0.520236967937006,-0.13323175417104227,-0.10951453795036478,-0.22965540706451876,-0.20653157117584645,-0.8409908517380327,-0.1587558812324827,-0.038199713138694386,0.0,-0.1799905082371938,-0.42065245374354215,-0.2217756659345106,-0.13356059651008387,-0.20548421578120077,-0.06443176069530404,-0.04546101261133258,-0.14563258750471203,-0.19627793568816732,1.6143163998960228,0.01004032895293137,0.5845384335532162,0.4025149263707339,0.03789175771761866,0.5020105146606348,0.34257678596780183,1.4630235834290666,-0.07037504068540062,-0.05149783352659116,0.054983858061687915,0.8345763011256249,0.33818804101107014,-0.770370309961351,-0.23674628838294784,-0.6124985676646103,-0.27365650257941737,-0.3522533680047244,0.13591938906210196,0.2472859020825578,0.017426531821242465,0.11334100282640452,0.30483130102212613,0.21895264980910073
7,14021.43548359639,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.28488701724745835,0.0,0.07335654887565209,-0.7156127097877245,-0.21792617285026478,1.3833833354521388,-0.8905270888472854,-0.9411256845745184,0.2401550634177713,0.032084128792559674,0.0,0.12121665269070114,0.0,-0.9183001610112835,-0.6903770306326427,0.3134177255337749,-0.33685402717900176,0.31123100787548796,0.15522265147090208,-0.9034580568687702,1.9607400308910659,-1.1729974218754067,-0.3182231543244837,-0.23838157809509994,-0.4689218869337713,-0.4253275983367282,-1.5327132533924301,-0.3093827377974344,0.014244876070110594,0.0,-0.37426802585030594,-0.7216877968425053,-0.3939642877015967,-0.06409227624847717,-0.4154187354726461,-0.1483479334397066,-0.07844532068002696,-0.15352708770388468,-0.32904826435292084,2.2217219777003776,-0.056011461971607945,1.0696977827666507,0.24715102683075266,-0.05686429743153132,0.3140936423129176,0.18564235381899244,2.6081158476563924,-0.35326112508982693,-0.1812498557110482,0.054578284204363406,1.4143693768243943,0.36062801234941466,-0.28853568950538405,-0.11868339710824981,-0.07849348864576888,-0.14733320951826234,0.7589849895694734,0.5414907044817641,1.068839843645962,0.08587408746992842,0.4212135165079945,0.7916154346364095,0.5602808640020169
8,13730.43751868509,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2185224995089747,0.0,0.19317226745985222,-0.8308454781590492,-0.5053502763151612,1.8373514295826665,-1.094351428154743,-1.0284745563907791,0.1702323364504406,0.07436548094417769,0.0,0.3795233031093275,0.0,-1.4683037242312102,-1.177295457077117,0.5747599112732678,-0.47883648372056015,0.4731371374058177,0.32511683104213374,-1.4485039819162329,3.2766819882229488,-1.9250345892729193,-0.535370729030519,-0.37962063150467595,-0.716879924736533,-0.6955722121502124,-1.2896208773296751,-0.3106781610427901,0.1959281628234849,0.0,-0.41246317818901856,-0.5229627893033476,-0.2825542701218564,0.2952933660109439,-0.3732079904218251,-0.18629421796886025,-0.034281843056566376,0.14100722673245686,-0.2074539442075151,2.049619282435463,-0.2768998201043334,1.4563240438291212,-0.2122376510614886,-0.2761135496190059,-0.15575851580037675,-0.2867192790558638,3.4796499678261346,-0.7596291346340633,-0.36996225578845066,0.013281413337973051,1.6997246568087603,0.17736697949161015,-0.434346205156695,-0.1214509032127909,-0.2217942992685255,-0.15460704454780838,0.8626360461805039,0.852791664899959,1.1322964795402275,0.11579723502358641,0.06456179981356669,1.2544454983866808,0.7279850666199642
9,13421.16069648816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4518443555393564,0.0,0.22378730379024822,-0.99854303848631,-0.6824887131005748,1.725588542838664,-1.2689858705502581,-0.994305032192214,-0.0021293098226255747,0.06480839427895535,0.0,0.4057329692829055,0.0,-1.7270025346613664,-1.390690386170655,0.699194352973179,-0.5247616567227559,0.5075921452124871,0.38717122791733144,-1.666413028861555,3.788106791955457,-2.2298961547682397,-0.6277261344737362,-0.43302628788282105,-0.8043448890851708,-0.8232153007480378,-1.2234610614976633,-0.31402083347706145,0.2761446263723416,0.0,-0.4373347182786046,-0.4578483713437791,-0.2523685131686405,0.45357307609274844,-0.3676367977815678,-0.2070692525912603,-0.017598424366840983,0.2640195465421658,-0.1634702325844029,1.9732712464852826,-0.38383468680278615,1.6041370196309506,-0.38259166137912937,-0.3784912711962134,-0.2956949419690311,-0.47942704394671143,3.813954816526696,-0.9066002821191406,-0.4527670880684096,0.004203246754402009,1.8050682974483054,0.10332087687534058,-0.3029153269592143,-0.09053477318394763,-0.20214923881350158,-0.13539861051988508,0.8499465720468763,0.9710681058118892,1.1962320765326309,0.13091677542247235,-0.037080718484093,1.4442558980569693,0.7835875774741391
