| COEFFICIENT NAME               | VALUE      | STD.ERR |  T.TEST     |  P.VAL      |
| asc_carD                       |  0,0000000 |         |             |             |
| b_carD_p.age_group_agg_5_14    |  0,0000000 |         |             |             |
| b_carD_p.age_group_agg_15_24   |  0,0000000 |         |             |             |
| b_carD_p.age_group_agg_40_69   |  0,0000000 |         |             |             |
| b_carD_p.age_group_agg_70      |  0,0000000 |         |             |             |
| b_carD_p.female                |  0,0000000 |         |             |             |
| b_carD_p.occupation_worker     |  0,0000000 |         |             |             |
| b_carD_hh.cars_gr_0            |  0,0000000 |         |             |             |
| b_carD_hh.cars_gr_2            |  0,0000000 |         |             |             |
| b_carD_hh.cars_gr_3            |  0,0000000 |         |             |             |
| b_carD_hh.income_agg_high      |  0,0000000 |         |             |             |
| b_carD_t.full_purpose_HBR      |  0,0000000 |         |             |             |
| b_carD_t.full_purpose_HBO      |  0,0000000 |         |             |             |
| asc_carP                       | -1,1786153 | 0,08525 |  -13,82591  | 0,00000 *** |
| b_carP_p.age_group_agg_5_14    |  0,0000000 |         |             |             |
| b_carP_p.age_group_agg_15_24   |  1,4559663 | 0,11799 |   12,33932  | 0,00000 *** |
| b_carP_p.age_group_agg_40_69   | -0,2228276 | 0,06942 |  -3,21004   | 0,00133 **  |
| b_carP_p.age_group_agg_70      | -0,1360094 | 0,08812 |  -1,54354   | 0,12270     |
| b_carP_p.female                |  1,2316588 | 0,05567 |   22,12355  | 0,00000 *** |
| b_carP_p.occupation_worker     | -0,5757555 | 0,06319 |  -9,11085   | 0,00000 *** |
| b_carP_hh.cars_gr_0            |  3,6562505 | 0,29722 |   12,30151  | 0,00000 *** |
| b_carP_hh.cars_gr_2            | -0,1589353 | 0,05850 |  -2,71686   | 0,00659 **  |
| b_carP_hh.cars_gr_3            | -0,3365279 | 0,09648 |  -3,48815   | 0,00049 *** |
| b_carP_hh.income_agg_high      |  0,0000000 |         |             |             |
| b_carP_t.full_purpose_HBR      |  0,4273289 | 0,05893 |   7,25205   | 0,00000 *** |
| b_carP_t.full_purpose_HBO      |  0,0000000 |         |             |             |
| asc_pt                         | -2,6869677 | 0,15121 |  -17,77000  | 0,00000 *** |
| b_pt_p.age_group_agg_5_14      | -1,1802422 | 0,17398 |  -6,78383   | 0,00000 *** |
| b_pt_p.age_group_agg_15_24     |  2,5650014 | 0,16383 |   15,65688  | 0,00000 *** |
| b_pt_p.age_group_agg_40_69     |  0,5725094 | 0,12249 |   4,67390   | 0,00000 *** |
| b_pt_p.age_group_agg_70        |  0,3342807 | 0,14262 |   2,34382   | 0,01909 *   |
| b_pt_p.female                  |  0,5117678 | 0,08291 |   6,17240   | 0,00000 *** |
| b_pt_p.occupation_worker       | -0,6153579 | 0,10490 |  -5,86599   | 0,00000 *** |
| b_pt_hh.cars_gr_0              |  6,1436633 | 0,29910 |   20,54057  | 0,00000 *** |
| b_pt_hh.cars_gr_2              | -0,7863989 | 0,11354 |  -6,92594   | 0,00000 *** |
| b_pt_hh.cars_gr_3              | -1,2956777 | 0,20656 |  -6,27258   | 0,00000 *** |
| b_pt_hh.income_agg_high        |  0,4589465 | 0,15305 |   2,99863   | 0,00271 **  |
| b_pt_t.full_purpose_HBR        |  0,3067846 | 0,09651 |   3,17882   | 0,00148 **  |
