Iteration,LL,asc_carD,b_carD_p.age_group_agg_5_14,b_carD_p.age_group_agg_15_24,b_carD_p.age_group_agg_40_69,b_carD_p.age_group_agg_70,b_carD_p.female,b_carD_p.occupation_worker,b_carD_hh.cars_gr_0,b_carD_hh.cars_gr_2,b_carD_hh.cars_gr_3,b_carD_hh.income_agg_high,b_carD_t.full_purpose_HBR,b_carD_t.full_purpose_HBO,asc_carP,b_carP_p.age_group_agg_5_14,b_carP_p.age_group_agg_15_24,b_carP_p.age_group_agg_40_69,b_carP_p.age_group_agg_70,b_carP_p.female,b_carP_p.occupation_worker,b_carP_hh.cars_gr_0,b_carP_hh.cars_gr_2,b_carP_hh.cars_gr_3,b_carP_hh.income_agg_high,b_carP_t.full_purpose_HBR,b_carP_t.full_purpose_HBO,asc_pt,b_pt_p.age_group_agg_5_14,b_pt_p.age_group_agg_15_24,b_pt_p.age_group_agg_40_69,b_pt_p.age_group_agg_70,b_pt_p.female,b_pt_p.occupation_worker,b_pt_hh.cars_gr_0,b_pt_hh.cars_gr_2,b_pt_hh.cars_gr_3,b_pt_hh.income_agg_high,b_pt_t.full_purpose_HBR,b_pt_t.full_purpose_HBO,asc_bike,b_bike_p.age_group_agg_5_14,b_bike_p.age_group_agg_15_24,b_bike_p.age_group_agg_40_69,b_bike_p.age_group_agg_70,b_bike_p.female,b_bike_p.occupation_worker,b_bike_hh.cars_gr_0,b_bike_hh.cars_gr_2,b_bike_hh.cars_gr_3,b_bike_hh.income_agg_high,b_bike_t.full_purpose_HBR,b_bike_t.full_purpose_HBO,asc_walk,b_walk_p.age_group_agg_5_14,b_walk_p.age_group_agg_15_24,b_walk_p.age_group_agg_40_69,b_walk_p.age_group_agg_70,b_walk_p.female,b_walk_p.occupation_worker,b_walk_hh.cars_gr_0,b_walk_hh.cars_gr_2,b_walk_hh.cars_gr_3,b_walk_hh.income_agg_high,b_walk_t.full_purpose_HBR,b_walk_t.full_purpose_HBO,b_car_time,b_pt_time,b_bike_cost,b_walk_cost,g_bike_grad,g_bike_stressLink,g_bike_stressLink_c,g_walk_vgvi,g_walk_stressJct,g_walk_speed,g_walk_speed_c,g_walk_speed_o
0,21249.943505112835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,-0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,20421.779496327046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.2682589926891215E-4,0.0,-6.281620294016918E-5,-4.950554039000024E-4,-4.835271095048782E-5,1.2176487621816822E-4,-4.994324763276976E-4,-4.907012123748402E-4,1.080248829620636E-4,-4.438197418220075E-6,0.0,-4.942426885205894E-5,0.0,-0.0029035646908115707,-5.834601519002566E-4,-1.8686500272481986E-4,-0.0011192340471448017,-3.91104759702026E-4,-0.0011782926679323577,-0.0011226343207031474,-4.320675091209911E-5,-0.001066287952781933,-2.7770775481119215E-4,-3.0988695470936326E-4,-9.48181352245921E-4,-8.511823908133741E-4,-0.0015742725857275286,-2.620727662882713E-4,-1.4456654464438794E-4,0.0,-2.869339041251918E-4,-7.373179848413307E-4,-4.724355860592512E-4,-3.571790334073655E-4,-3.9252772194365177E-4,-1.0547244411002756E-4,-1.0903835766514541E-4,-4.045222768074955E-4,-3.937553391949909E-4,0.0033766210460306274,3.6108974457787075E-4,6.550982772940384E-4,0.001165398854531626,3.6888253150514053E-4,0.0014294344483487716,9.91162555475282E-4,0.0016354521119536414,4.93773111096714E-4,1.0596608451138355E-4,1.9855417579820096E-4,0.0012469631574212828,8.154265135754854E-4,0.013154391471152865,-0.09216484361376931,-0.10805690652546937,-0.06029549606181418,1.0482406788593567E-5,5.711323790853008E-4,1.0778311181394841E-4,-0.002181850690073766,-1.2338719233979449E-4,-0.001989147333174549,-1.6417475222749178E-4,-3.5224282372631075E-4
2,20040.28886917993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.972040047636383E-4,0.0,-1.2482280934466146E-4,-8.395190441331838E-4,-1.414541154694868E-4,-6.769447547919015E-6,-8.312292937004021E-4,-7.552261425649821E-4,4.651177716932865E-6,-4.121592614736357E-5,0.0,-2.1598594142690423E-4,0.0,-0.003050989125932018,-6.538996983922262E-4,-1.6271962102254833E-4,-0.0011847771423759998,-3.6229784684893384E-4,-0.0011966412853850585,-0.0012311295325818745,1.2169824902636458E-4,-0.0011858133951836965,-3.099858628627193E-4,-3.368413246580428E-4,-0.0010111861315038999,-9.195475689390521E-4,-0.002265293347088861,-3.8451867378128416E-4,-2.0811882041006966E-4,0.0,-4.1010567928864423E-4,-0.0010546627804574114,-6.777289365777284E-4,-5.1388873957182E-4,-5.656849307693585E-4,-1.5162042621063578E-4,-1.5765410477160813E-4,-5.855924338635573E-4,-5.6644236291406E-4,0.00455122393023452,4.7411226199978244E-4,8.969291989149127E-4,0.0015691215905075918,4.890794290693948E-4,0.0019267560013228543,0.001335309756632878,0.0022424355082066865,6.498366213555556E-4,1.3796779345242764E-4,2.6526064555701444E-4,0.0016936179557240656,0.0010982000949167254,0.011538286078330117,-0.0914443055180598,-0.11167934018037583,-0.04768468166536274,1.544520788303817E-5,8.427987253513372E-4,1.6348396655169108E-4,-0.002701756214052875,-1.5301206790987215E-4,-0.002457701605627967,-1.9300254028954428E-4,-4.2717754139722094E-4
3,19715.246097986368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.05045489953974528,0.0,-0.005998057714143893,-0.0376314032507998,-0.008443977070483165,-0.006699538914935534,-0.03719922032389312,-0.0304348441554599,-0.0063077022366421305,-0.0031154562440734333,0.0,-0.014369615868058952,0.0,-0.02451783237619269,-0.010040289129515233,0.0028167417055442907,-0.010718875866700143,0.003020071226026217,-0.0046551040175188884,-0.01640166873357727,0.021689672076918652,-0.017689189103309553,-0.0047743287948342344,-0.004115079701529961,-0.010006910589303865,-0.010492756316392078,-0.07368602697201479,-0.012311609865756768,-0.006684119296788276,0.0,-0.013452460363518326,-0.03475455632625638,-0.021894912913804077,-0.016925597577356257,-0.018051279484918244,-0.0049206206107439195,-0.004974979225180089,-0.01865797859585336,-0.018389722816837508,0.09782335881762767,0.0048593254785930734,0.02664985515429541,0.03203806839726705,0.005769204399741434,0.04058281835210572,0.027327365737300827,0.06908556854796974,0.00448180259162506,9.752367868906752E-5,0.004191958932692462,0.042869195167267934,0.02306299154672451,-0.013958304464429765,-0.10302963491570757,-0.43106130365156764,-0.08564906802039884,5.61756718557803E-4,0.030170667080589717,0.006143418943529487,0.022395332111557236,0.001111677795717046,0.02410762168600406,0.00526252045107905,0.00795022291039125
4,17400.30805259166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4908151137758575,0.0,-0.05467751576962923,-0.321919648625105,-0.08097642405688858,-0.07687064176054553,-0.315338566306616,-0.2610828613222274,-0.07450437130711943,-0.030246737424545107,0.0,-0.14025910789538845,0.0,-0.19200900008708277,-0.08236096565170756,0.023929380302097496,-0.08336392313989655,0.026238256657971505,-0.03333647383243014,-0.12972989227545875,0.1771670835112151,-0.14102714627443635,-0.03802424809862471,-0.03252127418235064,-0.07852763897884692,-0.08311650253493208,-0.3489096351902766,-0.05670950845413815,-0.028609634126237186,0.0,-0.06684316057374187,-0.17354546536272142,-0.1003211141658589,-0.08132519928184273,-0.08052752511026848,-0.023339037936775255,-0.020906419691567237,-0.07943926723313846,-0.08681428926710691,0.7562002468880168,0.03151049554217805,0.2118421316140215,0.24635364576182017,0.0420085623638095,0.31251604605764993,0.21013517065484955,0.5483353386810563,0.02836687190581181,-0.0011712037411797966,0.03138761306817783,0.3357831336182359,0.1772789267642317,-1.104844349917159,-0.3239395817931372,-0.8998900859727067,-0.28101152712803457,0.0017291822067036474,0.0700129718702891,0.03088268845007782,0.14352853562781479,0.006907151216124203,0.16174032874843985,0.04288211564340516,0.05913929937614414
5,16090.769664086736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5496046749012478,0.0,-0.05804576493807672,-0.40628641846917596,-0.09127374179837679,0.034032020188139056,-0.40975237510908147,-0.37393341536200014,-0.042658235456895205,-0.030201426626813334,0.0,-0.14378705152054388,0.0,-0.2879595325511157,-0.13539800770485802,0.04323873224988724,-0.12448138642762224,0.049941033546012065,-0.03862726716392379,-0.2123154653032316,0.31851641790762847,-0.24242996991783264,-0.06266401053225756,-0.05399745171870376,-0.12410956533173623,-0.12254846476247752,-0.5178293654566123,-0.08815964706373547,-0.038983252575449635,0.0,-0.10082099330853828,-0.2569495607137028,-0.14461639967604883,-0.11479029799334252,-0.11865106272804643,-0.03526202294130313,-0.02953038181931717,-0.1111435789067938,-0.12647722877853182,1.1467102465447176,0.034599356783856464,0.3385975592841136,0.3635847008993043,0.056376417533415484,0.457231890099275,0.30749012349346033,0.8719274618232361,0.02463381083043491,-0.008200825954420302,0.045490854439525275,0.5189322463105475,0.26477252539079676,-1.1069566558721404,-0.31762227363859535,-0.8734159819031851,-0.3363565688653897,0.002000955973339684,0.04321520665152388,0.0669262000574702,-0.13782784380381027,-0.009325096288301495,-0.0761605552047902,0.06120172164562813,0.03633435955775051
6,15650.908360168401,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.43457973638397607,0.0,0.011604323614279259,-0.8335286832039672,-0.11358288216448746,1.359003895981321,-0.9715002718054603,-1.1284815968450297,0.3496797512704466,0.012562468942907773,0.0,0.028937506037443023,0.0,-0.9364795827266859,-0.5970222611995643,0.24718668458063575,-0.38608511786320254,0.27846080822410146,0.03789494818402706,-0.8786079894922245,1.697741253510973,-1.114927684624969,-0.28006502856353943,-0.2308456884860772,-0.47029703464317985,-0.4074085613940426,-1.6262854352701561,-0.3192231732525462,-0.06070699103348088,0.0,-0.35627543208900614,-0.8206795230508694,-0.4174566857623804,-0.23870587093366938,-0.3987823943612288,-0.12741784871287898,-0.08430861184198941,-0.26065065878460547,-0.37548593418673326,3.117471513346344,-0.01754446363647435,1.2036205463310679,0.7223935556091098,0.04350491100842292,0.8984836130106435,0.6121021558514648,3.009049469238219,-0.21886842679233368,-0.1275129708620141,0.09630536354465072,1.6764694839877945,0.6386110480613165,-0.08999031067773378,-0.077590220805719,-0.12065740055406882,-0.2050729971004547,-0.009458323002385742,-1.0607448250929121,0.28334716098934815,0.8689204599717293,0.057554818345756445,0.45855189507928656,0.7459763018210597,0.5472915510448496
7,15551.26596935707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.471622667537406,0.0,0.011291811635544107,-0.8671055366223377,-0.14021604766406673,1.3767737154352155,-1.011357986183706,-1.1645586812617115,0.3400862193745614,0.01435259195008161,0.0,0.031188798045830704,0.0,-0.9914403595403316,-0.6337428618273561,0.26469971414364957,-0.40603835988918646,0.29102269702737804,0.04293816502047757,-0.9248873514472236,1.7907976169165747,-1.1731819272389823,-0.2966105004846909,-0.24272990834550287,-0.4937255772174621,-0.4346696375876137,-1.7087754878969794,-0.334926512149493,-0.06040844399712358,0.0,-0.3753409386680445,-0.8521697769698354,-0.44054532171922484,-0.2424200213193221,-0.4191341840722762,-0.13671326553373853,-0.08940351163694268,-0.2719909049903371,-0.39391781195997855,3.2033738515721084,-0.021410742965916774,1.25283925667472,0.7240883684171951,0.03749840445268537,0.9070706596184201,0.6098136413660129,3.1315063174777675,-0.23918179112471838,-0.1381098540150723,0.09716860536178455,1.736748225358798,0.650222316049377,-0.002554104227450213,-0.0585679206231594,-0.04929838351794302,-0.19111977184084156,-0.007874961185698134,-0.9733447042171631,0.30607136771417126,0.9331138719322243,0.0621828726731233,0.5050338142465475,0.7738034041010788,0.5704427142168333
8,15091.13275442781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.24161578694591568,0.0,0.06128943251161745,-0.7729308130045551,-0.30299762757076154,1.519813518417975,-0.969005347832317,-1.1441958580381726,0.3106794111624068,0.06449738673102928,0.0,0.20813827058683532,0.0,-1.2849988471359726,-0.8617623841856241,0.3905326359297481,-0.4969525779852302,0.35673816641427536,0.10885508573045097,-1.1805793605784614,2.365919943929084,-1.511823229980463,-0.397834474899908,-0.3085421315862445,-0.608595298044157,-0.5929270592371232,-2.088088540565027,-0.430153268852712,-0.03505013680511386,0.0,-0.47091714649849387,-0.981780334650626,-0.5357760939501645,-0.21631538628595037,-0.5191714507269909,-0.18652894764415312,-0.10919399913681134,-0.2961876854521546,-0.4660466393270562,3.140371201792869,-0.08051441893519004,1.4384560054049929,0.48789866890151,-0.057109776463169885,0.6731322505687675,0.3693701686927683,3.581695402798098,-0.4251804241478623,-0.22524643696538804,0.07292368294943825,1.8790059693058085,0.563817788391974,-0.10090946461093574,-0.0607316503019108,0.006206343650660626,-0.18550403356523296,-0.0034688217471005945,-0.768151128571412,0.4036744726894008,0.971825044539868,0.07373423525386456,0.4863424735133528,0.87155009607417,0.6085615466556917
9,14482.186382479083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5164953374642828,0.0,0.17411615651464118,-0.88165411331064,-1.291737848124417,1.1834749330006682,-1.2200049830507167,-1.0466002461315251,-0.38305370820854023,0.17940008000033683,0.0,0.6257949496774532,0.0,-2.734434262724726,-1.9333585696703326,0.9843233179099641,-0.9100260048727258,0.5925784311276107,0.3778367503348128,-2.3454330193650943,4.915695616486419,-3.0524734289594653,-0.8671226141419706,-0.6040740711327568,-1.1266395671119682,-1.3591470704255961,-2.7460263589680536,-0.6987908434203642,0.21510878551506446,0.0,-0.7250359546981033,-0.9961498044147286,-0.6474507552138531,0.2034319694372267,-0.7025171354980735,-0.3626114335334354,-0.1351249269441336,-0.11374805596501159,-0.5356761916622574,2.5906872578949893,-0.39215146216163943,2.2225051315540796,-0.6601508920682716,-0.537132412198028,-0.43725038148702555,-0.8130105742223642,5.459552002127582,-1.2528728640144098,-0.632691744154332,-0.03944982381435648,2.4158629545841785,0.09948644874889262,-0.04651853244355158,0.0029984022208466854,0.031125559846480844,-0.1501130761594194,-0.005650529563339415,-1.1757978647065308,0.6202787927778404,0.877765830815557,0.11275444825061812,0.20600155787050478,1.2478190871632902,0.6930342425688814
