| COEFFICIENT NAME               | VALUE      | STD.ERR |  T.TEST     |  P.VAL      |
| asc_carD                       |  0,0000000 |         |             |             |
| b_carD_p.age_group_agg_5_14    |  0,0000000 |         |             |             |
| b_carD_p.age_group_agg_15_24   |  0,0000000 |         |             |             |
| b_carD_p.age_group_agg_40_69   |  0,0000000 |         |             |             |
| b_carD_p.age_group_agg_70      |  0,0000000 |         |             |             |
| b_carD_p.female                |  0,0000000 |         |             |             |
| b_carD_p.occupation_worker     |  0,0000000 |         |             |             |
| b_carD_hh.cars_gr_0            |  0,0000000 |         |             |             |
| b_carD_hh.cars_gr_2            |  0,0000000 |         |             |             |
| b_carD_hh.cars_gr_3            |  0,0000000 |         |             |             |
| b_carD_hh.income_agg_high      |  0,0000000 |         |             |             |
| b_carD_t.full_purpose_HBR      |  0,0000000 |         |             |             |
| b_carD_t.full_purpose_HBO      |  0,0000000 |         |             |             |
| asc_carP                       | -1,1797678 | 0,08529 |  -13,83178  | 0,00000 *** |
| b_carP_p.age_group_agg_5_14    |  0,0000000 |         |             |             |
| b_carP_p.age_group_agg_15_24   |  1,4582992 | 0,11803 |   12,35499  | 0,00000 *** |
| b_carP_p.age_group_agg_40_69   | -0,2226131 | 0,06945 |  -3,20535   | 0,00135 **  |
| b_carP_p.age_group_agg_70      | -0,1370450 | 0,08815 |  -1,55472   | 0,12001     |
| b_carP_p.female                |  1,2330943 | 0,05569 |   22,14075  | 0,00000 *** |
| b_carP_p.occupation_worker     | -0,5766418 | 0,06320 |  -9,12395   | 0,00000 *** |
| b_carP_hh.cars_gr_0            |  3,6632874 | 0,29723 |   12,32481  | 0,00000 *** |
| b_carP_hh.cars_gr_2            | -0,1597798 | 0,05852 |  -2,73035   | 0,00633 **  |
| b_carP_hh.cars_gr_3            | -0,3364343 | 0,09649 |  -3,48670   | 0,00049 *** |
| b_carP_hh.income_agg_high      |  0,0000000 |         |             |             |
| b_carP_t.full_purpose_HBR      |  0,4289220 | 0,05895 |   7,27664   | 0,00000 *** |
| b_carP_t.full_purpose_HBO      |  0,0000000 |         |             |             |
| asc_pt                         | -2,6885012 | 0,15134 |  -17,76519  | 0,00000 *** |
| b_pt_p.age_group_agg_5_14      | -1,1722704 | 0,17387 |  -6,74236   | 0,00000 *** |
| b_pt_p.age_group_agg_15_24     |  2,5728634 | 0,16395 |   15,69333  | 0,00000 *** |
| b_pt_p.age_group_agg_40_69     |  0,5740176 | 0,12267 |   4,67928   | 0,00000 *** |
| b_pt_p.age_group_agg_70        |  0,3294741 | 0,14277 |   2,30776   | 0,02101 *   |
| b_pt_p.female                  |  0,5149035 | 0,08293 |   6,20858   | 0,00000 *** |
| b_pt_p.occupation_worker       | -0,6183460 | 0,10485 |  -5,89742   | 0,00000 *** |
| b_pt_hh.cars_gr_0              |  6,1495808 | 0,29913 |   20,55793  | 0,00000 *** |
| b_pt_hh.cars_gr_2              | -0,7864506 | 0,11347 |  -6,93118   | 0,00000 *** |
| b_pt_hh.cars_gr_3              | -1,2969271 | 0,20647 |  -6,28150   | 0,00000 *** |
| b_pt_hh.income_agg_high        |  0,4589699 | 0,15302 |   2,99942   | 0,00270 **  |
| b_pt_t.full_purpose_HBR        |  0,3133298 | 0,09652 |   3,24611   | 0,00117 **  |
