| COEFFICIENT NAME               | VALUE      | STD.ERR |  T.TEST     |  P.VAL      |
| asc_carD                       |  0,0000000 |         |             |             |
| b_carD_p.age_group_agg_5_14    |  0,0000000 |         |             |             |
| b_carD_p.age_group_agg_15_24   |  0,0000000 |         |             |             |
| b_carD_p.age_group_agg_40_69   |  0,0000000 |         |             |             |
| b_carD_p.age_group_agg_70      |  0,0000000 |         |             |             |
| b_carD_p.female                |  0,0000000 |         |             |             |
| b_carD_p.occupation_worker     |  0,0000000 |         |             |             |
| b_carD_hh.cars_gr_0            |  0,0000000 |         |             |             |
| b_carD_hh.cars_gr_2            |  0,0000000 |         |             |             |
| b_carD_hh.cars_gr_3            |  0,0000000 |         |             |             |
| b_carD_hh.income_agg_high      |  0,0000000 |         |             |             |
| b_carD_t.full_purpose_HBR      |  0,0000000 |         |             |             |
| b_carD_t.full_purpose_HBO      |  0,0000000 |         |             |             |
| asc_carP                       | -1,1783814 | 0,08526 |  -13,82132  | 0,00000 *** |
| b_carP_p.age_group_agg_5_14    |  0,0000000 |         |             |             |
| b_carP_p.age_group_agg_15_24   |  1,4560555 | 0,11800 |   12,33922  | 0,00000 *** |
| b_carP_p.age_group_agg_40_69   | -0,2234142 | 0,06943 |  -3,21799   | 0,00129 **  |
| b_carP_p.age_group_agg_70      | -0,1363929 | 0,08812 |  -1,54776   | 0,12168     |
| b_carP_p.female                |  1,2318474 | 0,05568 |   22,12562  | 0,00000 *** |
| b_carP_p.occupation_worker     | -0,5758802 | 0,06320 |  -9,11258   | 0,00000 *** |
| b_carP_hh.cars_gr_0            |  3,6571263 | 0,29723 |   12,30412  | 0,00000 *** |
| b_carP_hh.cars_gr_2            | -0,1588327 | 0,05850 |  -2,71502   | 0,00663 **  |
| b_carP_hh.cars_gr_3            | -0,3363938 | 0,09648 |  -3,48671   | 0,00049 *** |
| b_carP_hh.income_agg_high      |  0,0000000 |         |             |             |
| b_carP_t.full_purpose_HBR      |  0,4272941 | 0,05893 |   7,25114   | 0,00000 *** |
| b_carP_t.full_purpose_HBO      |  0,0000000 |         |             |             |
| asc_pt                         | -2,6874268 | 0,15124 |  -17,76926  | 0,00000 *** |
| b_pt_p.age_group_agg_5_14      | -1,1798988 | 0,17398 |  -6,78184   | 0,00000 *** |
| b_pt_p.age_group_agg_15_24     |  2,5674984 | 0,16386 |   15,66895  | 0,00000 *** |
| b_pt_p.age_group_agg_40_69     |  0,5716367 | 0,12255 |   4,66454   | 0,00000 *** |
| b_pt_p.age_group_agg_70        |  0,3342344 | 0,14265 |   2,34306   | 0,01913 *   |
| b_pt_p.female                  |  0,5122168 | 0,08291 |   6,17774   | 0,00000 *** |
| b_pt_p.occupation_worker       | -0,6147373 | 0,10490 |  -5,86030   | 0,00000 *** |
| b_pt_hh.cars_gr_0              |  6,1444035 | 0,29910 |   20,54278  | 0,00000 *** |
| b_pt_hh.cars_gr_2              | -0,7857409 | 0,11351 |  -6,92212   | 0,00000 *** |
| b_pt_hh.cars_gr_3              | -1,2965425 | 0,20656 |  -6,27686   | 0,00000 *** |
| b_pt_hh.income_agg_high        |  0,4598127 | 0,15301 |   3,00513   | 0,00265 **  |
| b_pt_t.full_purpose_HBR        |  0,3086202 | 0,09650 |   3,19815   | 0,00138 **  |
