Iteration,LL,asc_carD,b_carD_p.age_group_agg_15_24,b_carD_p.female,b_carD_hh.cars_gr_0,b_carD_hh.cars_gr_2,b_carD_hh.cars_gr_3,b_carD_hh.cars_gr_23,asc_carP,b_carP_p.age_group_agg_15_24,b_carP_p.female,b_carP_hh.cars_gr_0,b_carP_hh.cars_gr_2,b_carP_hh.cars_gr_3,b_carP_hh.cars_gr_23,asc_pt,b_pt_p.age_group_agg_15_24,b_pt_p.female,b_pt_hh.cars_gr_0,b_pt_hh.cars_gr_2,b_pt_hh.cars_gr_3,b_pt_hh.cars_gr_23,asc_bike,b_bike_p.age_group_agg_15_24,b_bike_p.female,b_bike_hh.cars_gr_0,b_bike_hh.cars_gr_2,b_bike_hh.cars_gr_3,b_bike_hh.cars_gr_23,asc_walk,b_walk_p.age_group_agg_15_24,b_walk_p.female,b_walk_hh.cars_gr_0,b_walk_hh.cars_gr_2,b_walk_hh.cars_gr_3,b_walk_hh.cars_gr_23,b_car_time,b_pt_time,b_bike_cost,b_walk_cost,g_bike_stressLink,g_walk_stressJct
0,4864.317465400571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,-0.1,0.0,0.0
1,4789.440595641404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0012894675487833745,-0.0012013442024309362,-6.561729414550177E-4,0.0,4.689337373657307E-4,5.375531216433857E-5,0.0,-0.0034098535370853194,9.104572272139143E-4,6.05757181137637E-4,-3.1937987693543183E-4,-0.0012479779940528482,-1.9519688889135524E-4,0.0,-0.0033603352210454596,-1.386839687720241E-4,-2.552806139425931E-4,-6.890972159395365E-4,0.0,0.0,-0.0013160542914024658,0.009740114893668153,0.002060143079274628,0.001047714902285921,0.003492721103567307,0.002302088651806391,3.310157412308935E-4,0.0,-0.01702328407375195,-0.022617327547241526,-0.11378231346632978,0.028776007550301408,0.0010423060193709172,-3.771962842387051E-4
2,4737.891901469625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00208491409530622,-0.0027387171298264477,-0.0015080193760608242,0.0,0.0016529834687146726,2.3686324867507223E-4,0.0,-0.007015571353462405,0.002938214572346529,0.0018711048010355384,-3.9442868147428114E-4,-0.0026584812568675176,-3.805680473293453E-4,0.0,-0.00832385646401773,-2.554006465607789E-4,-6.14161582944901E-4,-0.0016883433415408903,0.0,0.0,-0.0032733692027509097,0.021393114734457458,0.003920291722336654,0.0019846176650074954,0.00816600315417574,0.004728291479571496,5.64025749281991E-4,0.0,-0.03169205941040918,-1.5689815587617562E-6,-0.13248500463604063,0.03374715648066724,0.002505149087120519,-9.265541304774702E-4
3,4001.496104609398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02216151512442166,-0.13868899184052655,-0.07760031171927308,0.0,0.1353210430743234,0.02171551327463416,0.0,-0.46430310943220887,0.1767113114517874,0.11321998168355314,-0.03426954806650066,-0.17142572115775312,-0.02434290987786974,0.0,-0.456197914873229,-0.004346256539804258,-0.0320490553032802,-0.08960421731088762,0.0,0.0,-0.1818536448995073,1.1557274360554035,0.17458563883488334,0.08803387617414792,0.46255272270246217,0.24080312266505952,0.022214706576655804,0.0,-1.136414606777002,-0.23043908838364915,-1.7563027083330838,-0.1665643084611445,0.13475931848200784,-0.05886647797292792
4,3819.659953194023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08098822775526818,-0.17806507713858313,-0.09928778776221034,0.0,0.23201110944736797,0.033736948885598035,0.0,-0.5839810322163603,0.24637035624541567,0.1576864589200335,-0.017185526155979975,-0.22750180621281724,-0.03252508098442117,0.0,-0.4882906542663539,0.024898481430339715,-0.03227169009684899,-0.08152059776254197,0.0,0.0,-0.2083785181427642,1.2889501684497855,0.19829982344907154,0.09920878259650609,0.5488692807999312,0.2408491691519002,0.02137820388258224,0.0,-1.2189361548820414,-0.22722567800416543,-1.6936992328286553,-0.17318471713072434,-0.09701054809355814,-0.03529223096191725
5,3525.560411611671,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2648452337957167,-0.24168943328459785,-0.13396167056765745,0.0,0.3957001813829927,0.055225409493130095,0.0,-0.7598788856433024,0.3621755747848651,0.23109421186581838,0.020640701993644716,-0.3153165028220142,-0.04616410786991904,0.0,-0.557561479682102,0.07259555771387814,-0.033974217943192636,-0.07092051396351709,0.0,0.0,-0.2587061697261468,1.4851349600883659,0.23173264119502912,0.11476960750095737,0.6841920960097085,0.23631404859826716,0.018040048348815726,0.0,-1.198297150623884,-0.21425409930125858,-1.705035558344272,-0.17304589314725516,-0.5151659954947785,0.013281553474000167
6,3475.8348677749964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36479047455126634,-0.28152282497692566,-0.15044782720847288,0.0,0.4105900825042857,0.06719922276897483,0.0,-0.8196789972432849,0.4481280369575953,0.2819287675516138,0.08473493293685036,-0.3479903590304786,-0.06104728233065091,0.0,-0.5135254986502068,0.14373038744404837,-0.0234349901741482,-0.017040500566977222,0.0,0.0,-0.2643314039201514,1.442676943238276,0.15840814564302735,0.07824292627590318,0.6321004217103406,0.26932121578756957,0.010315976482744578,0.0,-1.2428357156925134,-0.21835785873231908,-1.7536191163371937,-0.17578463781785325,-0.5810354376258389,0.05273342667471916
7,3383.272275855564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2213837882642848,-1.3613274997906517,-0.6127768485466643,0.0,0.6589631706691418,0.2567914288032023,0.0,-2.1579296857826553,1.631838296944802,0.9750251840342473,1.0809564803928233,-0.8217734408128549,-0.403032810226891,0.0,0.23179104414505258,1.701024468755355,0.18468522886474648,1.1255467091664844,0.0,0.0,-0.41581698026195474,2.189967053611129,-0.43418534510966084,-0.11201480966144248,0.6562079735897332,0.8191675588051082,-0.06993369300525648,0.0,-0.5907358653984769,-0.07233884233748017,-1.658437840720049,-0.1066457033949256,0.22408947516098632,0.7182320807824946
8,3269.683085187963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9897983231526457,-1.7755659196933948,-0.7208901676336193,0.0,0.4476821510507365,0.33372358902488825,0.0,-2.3492115099834057,1.6025494295367022,0.845155407536669,1.5071741462122357,-0.6014212477354495,-0.6503559943541517,0.0,0.679865396029669,2.7011684818973007,0.30704424448165557,1.8290954906306203,0.0,0.0,-0.5344850444011948,2.5107464185131567,-0.5840546863406395,-0.006943295296314503,0.7593435707824001,0.9724524295480248,-0.09353725972287276,0.0,-0.5202131214821047,-0.06230269167824555,-1.7246036058851644,-0.10921493185986661,-0.03261501571575315,1.006069480833541
9,3221.2478900970277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4503782423397988,-2.6877332192140058,-0.9315796980625877,0.0,0.5654659460494043,0.5258908154965439,0.0,-2.8073758451494197,1.0478188912206994,0.2807191198184624,2.3278732391722263,0.22684061514346898,-1.2925623317987953,0.0,1.7799065013913509,5.426779178944265,0.5752625370789008,3.6362079705878383,0.0,0.0,-0.8286391176782675,2.684291706121436,-0.3985885285572107,0.593465646305709,1.50273302886428,0.49744671263685,-0.12056900863195398,0.0,-0.569986976366806,-0.052316081202480956,-2.098677929908797,-0.12093827282050855,-0.24226129838462374,1.6830487623095487
