| COEFFICIENT NAME               | VALUE      | STD.ERR |  T.TEST     |  P.VAL      |
| asc_carD                       |  0,0000000 |         |             |             |
| b_carD_p.age_group_agg_15_24   |  0,0000000 |         |             |             |
| b_carD_p.female                |  0,0000000 |         |             |             |
| b_carD_hh.cars_gr_0            |  0,0000000 |         |             |             |
| b_carD_hh.cars_gr_2            |  0,0000000 |         |             |             |
| b_carD_hh.cars_gr_3            |  0,0000000 |         |             |             |
| b_carD_hh.cars_gr_23           |  0,0000000 |         |             |             |
| asc_carP                       |  1,5153347 | 0,66407 |   2,28189   | 0,02250 *   |
| b_carP_p.age_group_agg_15_24   |  1,2846540 | 0,58498 |   2,19607   | 0,02809 *   |
| b_carP_p.female                | -1,1098375 | 0,41894 |  -2,64915   | 0,00807 **  |
| b_carP_hh.cars_gr_0            |  0,0000000 |         |             |             |
| b_carP_hh.cars_gr_2            | -1,1119515 | 0,51846 |  -2,14473   | 0,03197 *   |
| b_carP_hh.cars_gr_3            | -2,3223326 | 0,53603 |  -4,33247   | 0,00001 *** |
| b_carP_hh.cars_gr_23           |  0,0000000 |         |             |             |
| asc_pt                         | -0,9524324 | 0,68857 |  -1,38321   | 0,16660     |
| b_pt_p.age_group_agg_15_24     |  3,1429679 | 0,57374 |   5,47806   | 0,00000 *** |
| b_pt_p.female                  | -0,4747462 | 0,39487 |  -1,20228   | 0,22925     |
| b_pt_hh.cars_gr_0              |  2,5545299 | 0,24190 |   10,56022  | 0,00000 *** |
| b_pt_hh.cars_gr_2              | -1,4586265 | 0,51940 |  -2,80827   | 0,00498 **  |
| b_pt_hh.cars_gr_3              | -2,9629721 | 0,54082 |  -5,47866   | 0,00000 *** |
| b_pt_hh.cars_gr_23             |  0,0000000 |         |             |             |
| asc_bike                       | -0,6533457 | 0,71295 |  -0,91640   | 0,35946     |
| b_bike_p.age_group_agg_15_24   |  4,6472329 | 0,63915 |   7,27097   | 0,00000 *** |
| b_bike_p.female                | -2,6191121 | 0,51830 |  -5,05326   | 0,00000 *** |
| b_bike_hh.cars_gr_0            |  2,3154896 | 0,31265 |   7,40607   | 0,00000 *** |
| b_bike_hh.cars_gr_2            |  0,0000000 |         |             |             |
| b_bike_hh.cars_gr_3            |  0,0000000 |         |             |             |
| b_bike_hh.cars_gr_23           | -2,7278086 | 0,61290 |  -4,45065   | 0,00001 *** |
| asc_walk                       |  3,3781611 | 0,67459 |   5,00773   | 0,00000 *** |
| b_walk_p.age_group_agg_15_24   |  3,1713863 | 0,59342 |   5,34426   | 0,00000 *** |
| b_walk_p.female                | -0,9810899 | 0,42368 |  -2,31564   | 0,02058 *   |
| b_walk_hh.cars_gr_0            |  2,5008144 | 0,22224 |   11,25286  | 0,00000 *** |
| b_walk_hh.cars_gr_2            | -1,3401663 | 0,52279 |  -2,56351   | 0,01036 *   |
| b_walk_hh.cars_gr_3            | -2,5726729 | 0,54932 |  -4,68342   | 0,00000 *** |
| b_walk_hh.cars_gr_23           |  0,0000000 |         |             |             |
| b_car_time                     | -0,2793056 | 0,03186 |  -8,76672   | 0,00000 *** |
| b_pt_time                      | -0,0194030 | 0,00722 |  -2,68779   | 0,00719 **  |
| b_bike_cost                    | -0,1220461 | 0,04384 |  -2,78410   | 0,00537 **  |
| b_walk_cost                    | -0,1381286 | 0,00788 |  -17,53345  | 0,00000 *** |
| g_bike_stressLink              |  1,9559224 | 1,01745 |   1,92237   | 0,05456 .   |
| g_walk_stressJct               |  0,8110490 | 1,38927 |   0,58380   | 0,55936     |


Iterations: 67

LL0 = 4039.966634370971
Start LL = 4864.317465400571
Final LL = 2085.062716482093
