Iteration,LL,asc_carD,b_carD_p.age_group_agg_5_14,b_carD_p.age_group_agg_15_24,b_carD_p.age_group_agg_40_69,b_carD_p.age_group_agg_70,b_carD_p.female,b_carD_p.occupation_worker,b_carD_hh.cars_gr_0,b_carD_hh.cars_gr_23,asc_carP,b_carP_p.age_group_agg_5_14,b_carP_p.age_group_agg_15_24,b_carP_p.age_group_agg_40_69,b_carP_p.age_group_agg_70,b_carP_p.female,b_carP_p.occupation_worker,b_carP_hh.cars_gr_0,b_carP_hh.cars_gr_23,asc_pt,b_pt_p.age_group_agg_5_14,b_pt_p.age_group_agg_15_24,b_pt_p.age_group_agg_40_69,b_pt_p.age_group_agg_70,b_pt_p.female,b_pt_p.occupation_worker,b_pt_hh.cars_gr_0,b_pt_hh.cars_gr_23,asc_bike,b_bike_p.age_group_agg_5_14,b_bike_p.age_group_agg_15_24,b_bike_p.age_group_agg_40_69,b_bike_p.age_group_agg_70,b_bike_p.female,b_bike_p.occupation_worker,b_bike_hh.cars_gr_0,b_bike_hh.cars_gr_23,asc_walk,b_walk_p.age_group_agg_5_14,b_walk_p.age_group_agg_15_24,b_walk_p.age_group_agg_40_69,b_walk_p.age_group_agg_70,b_walk_p.female,b_walk_p.occupation_worker,b_walk_hh.cars_gr_0,b_walk_hh.cars_gr_23,b_car_time,b_pt_time,b_bike_cost,b_walk_cost,g_walk_speed
0,3618.2737582613204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,-0.1,0.0
1,3041.887254203596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0017378762812173389,0.0,-2.926842775520383E-4,0.0,0.0,-9.27725206426244E-4,-0.0011056263239562437,0.0,0.0,-0.004930698848959632,-9.753560918356602E-4,-4.252500743181181E-4,0.0,0.0,0.0,-0.0016074591303787203,-7.450065918771094E-4,-0.0018674238244995606,-0.002695743339293758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005809258768367579,9.496380593648402E-4,0.0012518979062121564,0.0015655737569209747,8.257561142542675E-4,0.0,0.0,0.0025743647836096294,0.0,0.02129864032243838,-0.13047173479865004,-0.11259442213771327,-0.046579069959493034,-0.0025149469208626983
2,2972.910766185729,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0038575886176165477,0.0,-5.416946236200345E-4,0.0,0.0,-0.0019656257590985288,-0.0020705484142231377,0.0,0.0,-0.00525589617072181,-0.0010758345293502825,-4.499229914807564E-4,0.0,0.0,0.0,-0.0017241555057583165,-6.930382956411698E-4,-0.0020430586391210113,-0.004429586932440946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008536050167811214,0.001369781397009481,0.0019013180558704896,0.002274628203613743,0.0011898408260003735,0.0,0.0,0.003877060810376645,0.0,0.01998057099524306,-0.1278250587769149,-0.12056756508615214,-0.027526749121806568,-0.002975984390608784
3,2753.7753676015914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2706988636697457,0.0,-0.03344989974582747,0.0,0.0,-0.13451841729256203,-0.13167272970343874,0.0,0.0,-0.06510604709979737,-0.01793201549674297,-0.005099075746373033,0.0,0.0,0.0,-0.022890072380768643,0.004947417900824235,-0.03231954077941539,-0.23292224940307482,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3268781991439026,0.04681985069862461,0.09038785223027189,0.07888041203321841,0.0400103019478654,0.0,0.0,0.17985959485442113,0.0,0.19407238405155045,-0.11507614329675368,-1.092223562939881,-0.09583813391311823,-0.0015748733712826234
4,2109.9521504977824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.4668414668003216,0.0,-0.17608719632735526,0.0,0.0,-0.6446901383981922,-0.631316599162138,0.0,0.0,-0.36733951473166027,-0.1024539181756498,-0.03244655463519824,0.0,0.0,0.0,-0.12229471959528238,0.006283155858731656,-0.16950031993787773,-0.5276082654071241,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.547866121725228,0.214455096890241,0.43290787399350195,0.3723129761366769,0.17777288260953608,0.0,0.0,0.8253453254937728,0.0,-0.9847665144128984,-0.3538754126737586,-1.6056887260419657,-0.3289292512352854,-0.23532039839968535
5,2071.1968600522614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.392626100357266,0.0,-0.16941028930171517,0.0,0.0,0.0020899261519675694,-0.8806502908518918,0.0,0.0,-0.9720101385810803,-0.3542694994322139,0.0015003284635362185,0.0,0.0,0.0,-0.3963707209223347,0.3174149588185934,-0.6256662659525242,-0.8267950564320647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3562005222032605,0.16638893732529203,0.9706085048981455,0.3478203519017517,0.055353967295006176,0.0,0.0,1.475606326926373,0.0,-0.8386340797909377,-0.29581751327145006,-1.3513852983987575,-0.2952095531730644,0.8705168047905462
6,1965.1901494713647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.1879655299736467,0.0,-0.12931651568355856,0.0,0.0,0.6794253491738004,-1.0276789645056725,0.0,0.0,-1.4981805684844813,-0.5961561011392547,0.0512045062830452,0.0,0.0,0.0,-0.6416702800381198,0.6430875356269019,-1.036723400506798,-1.1325131533448571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0766637746418164,0.13216044312373362,1.447265357902329,0.32615891694957994,-0.07796177461188468,0.0,0.0,2.048571233966352,0.0,-0.5036121596140997,-0.19200350264712035,-1.0768676206121464,-0.26526184078761306,0.7791061455079085
7,1955.0431235772357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.9137651038036115,0.0,0.018783030585907468,0.0,0.0,1.1715338189754922,-1.097307559879939,0.0,0.0,-1.9996975971111133,-0.8706788033885532,0.16400469484850738,0.0,0.0,0.0,-0.9336389183192589,1.183629132540863,-1.5238227715423727,-1.4948175201586686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9548123396726407,-0.06118787178472676,1.812558648696182,-0.04104896781042705,-0.4238098382873791,0.0,0.0,2.4084786224963857,0.0,-0.8669382389585365,-0.2333553217754204,-1.2145619646005756,-0.30445538146980405,0.6624463596745219
8,1835.877796795747,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.363568485124282,0.0,0.3842012982478014,0.0,0.0,1.366801773666929,-1.5866793776506682,0.0,0.0,-3.124767070139936,-1.5644018795071677,0.5108170989052447,0.0,0.0,0.0,-1.6746454666969728,2.7423690923413164,-2.7615333081645783,-2.3192078350132026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.23445202494484,-0.6619569679550859,2.6541097464465633,-1.0984074043917176,-1.385491987308019,0.0,0.0,3.194137727027023,0.0,-0.7802170857234723,-0.17279654057229046,-1.0516132298158825,-0.27073755647982867,0.4149651341077423
9,1783.0441698678956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.3837771945859867,0.0,0.8708066737797847,0.0,0.0,1.0622717873853054,-1.048380840969938,0.0,0.0,-3.289743901106625,-1.8983374903966974,0.9758332981382067,0.0,0.0,0.0,-1.9479186256641752,3.996110187642258,-3.2685471662062464,-2.961067880269052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3175758570288707,-1.4167967942157464,2.758462527891983,-0.6782993467570348,-1.7097174175616603,0.0,0.0,3.16893355125697,0.0,-0.7933017267560297,-0.16744453068244727,-0.9342525122317782,-0.26978253979462613,0.412724537027417
