Iteration,LL,asc_carD,b_carD_p.age_group_agg_15_24,b_carD_p.female,b_carD_hh.cars_gr_0,b_carD_hh.cars_gr_23,b_carD_hh.income_agg_high,asc_carP,b_carP_p.age_group_agg_15_24,b_carP_p.female,b_carP_hh.cars_gr_0,b_carP_hh.cars_gr_23,b_carP_hh.income_agg_high,asc_pt,b_pt_p.age_group_agg_15_24,b_pt_p.female,b_pt_hh.cars_gr_0,b_pt_hh.cars_gr_23,b_pt_hh.income_agg_high,asc_bike,b_bike_p.age_group_agg_15_24,b_bike_p.female,b_bike_hh.cars_gr_0,b_bike_hh.cars_gr_23,b_bike_hh.income_agg_high,asc_walk,b_walk_p.age_group_agg_15_24,b_walk_p.female,b_walk_hh.cars_gr_0,b_walk_hh.cars_gr_23,b_walk_hh.income_agg_high,b_car_time,b_pt_time,b_bike_cost,b_walk_cost
0,996.9092504649126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,-0.1
1,927.5276909288539,0.0,0.0,0.0,0.0,0.0,0.0,-0.004081708513195144,-3.467575775981001E-4,0.0,-6.280830141509843E-4,-0.0019159784259233307,0.0,-0.003726954372379153,-3.467575775981001E-4,0.0,-3.7105750629349275E-4,-0.0018588616463994438,-9.038205855368762E-4,-0.0017737349318633362,0.0,0.0,0.0,0.0,0.0,0.0058676659256222015,0.0,0.002900278338431785,0.002117568534337193,0.0,0.0011973108702474306,0.02031137813470826,-0.12715655368221776,-0.1085971764527674,-0.04593627442936842
2,916.4827206450674,0.0,0.0,0.0,0.0,0.0,0.0,-0.004989458175164333,-4.219290576438365E-4,0.0,-7.557700385933796E-4,-0.002341301021773362,0.0,-0.0038027498432818287,-3.5621614610413516E-4,0.0,-3.617262625031645E-4,-0.0019268469547459787,-9.197697656146422E-4,-0.0020971812795976524,0.0,0.0,0.0,0.0,0.0,0.006759732709334051,0.0,0.0033333862171334434,0.0024530403918258275,0.0,0.001377965436837105,0.019258327958103953,-0.12670994417771916,-0.11013820203635824,-0.03880804952135746
3,744.4621394571557,0.0,0.0,0.0,0.0,0.0,0.0,-1.3931043046885512,-0.11123184966479766,0.0,-0.1909015626395731,-0.6593388625820135,0.0,-0.1499197997461227,-0.017660840811091472,0.0,0.014150867258274243,-0.12595937731034187,-0.032338140051899174,-0.47086731579141367,0.0,0.0,0.0,0.0,0.0,1.1525087716710716,0.0,0.5103857545507903,0.5057304585565566,0.0,0.2247809180899846,-0.15310708969176914,-0.19112793009975157,-2.0988790329170004,-0.23511250840141756
4,597.5805629260811,0.0,0.0,0.0,0.0,0.0,0.0,-1.8854073798705206,-0.13481488550218695,0.0,-0.25734012369194575,-0.8754415177803101,0.0,-0.2643923194901565,-0.027945726793631567,0.0,0.03349408017536175,-0.2293453116736573,-0.057139637306320996,-0.5514886338090608,0.0,0.0,0.0,0.0,0.0,1.8856622818044682,0.0,0.7938057363500786,0.8328889419119638,0.0,0.36825405953754775,-1.0639746145618054,-0.3872821957126677,-2.088356429804432,-0.3796512902674932
5,534.3843050681677,0.0,0.0,0.0,0.0,0.0,0.0,-2.2242367585269482,-0.12762268299306445,0.0,-0.2945962811488975,-1.0348715733630682,0.0,-0.34598908169323644,-0.00534553857689608,0.0,0.12523774369708615,-0.3668106259700573,-0.07109637074687439,-0.5835239988359253,0.0,0.0,0.0,0.0,0.0,2.567968075569899,0.0,0.9631659065880072,1.1578167064150398,0.0,0.5009216640892522,-0.7751091182620478,-0.3205572062635069,-1.6321326968192962,-0.354171378877364
6,455.1139506131123,0.0,0.0,0.0,0.0,0.0,0.0,-1.5579751302180571,0.654180387963167,0.0,-0.04839428559483697,-1.7014674030744383,0.0,-1.201417169135084,0.5506680390690578,0.0,2.165624407708659,-3.238344038911531,-0.3679206103287822,-2.109265133898409,0.0,0.0,0.0,0.0,0.0,3.9525318341274467,0.0,-2.161460632646442,3.2182148454209973,0.0,0.5424995592203232,-0.694062566186504,-0.24143910525447215,-1.2874741918694925,-0.32275825144814985
7,419.32918895644445,0.0,0.0,0.0,0.0,0.0,0.0,-1.991817575907549,0.8630736402177199,0.0,0.09283042475930889,-1.8683357362120416,0.0,-1.4378841890288352,0.9609210002200577,0.0,3.259590938403836,-4.432100203438654,-0.33240663827230205,-2.892416891245615,0.0,0.0,0.0,0.0,0.0,3.5805683003099107,0.0,-1.9155027238889915,3.4382426512150555,0.0,0.5890938630655639,-0.6709083824332243,-0.22009426022714343,-0.8677866268501064,-0.30257026076806226
8,394.2333818621651,0.0,0.0,0.0,0.0,0.0,0.0,-1.0881460733983996,1.4541758346053473,0.0,0.6100492022290028,-1.9605595213875773,0.0,-2.404621645971812,1.7498550329359182,0.0,4.405752543784118,-6.207132458241786,0.1512650711984294,-4.8164688032297915,0.0,0.0,0.0,0.0,0.0,3.563490975943521,0.0,-0.3228041654545968,4.2175774354253495,0.0,0.7777889385456568,-0.5161438176163272,-0.12761729993368762,-0.4343336240478027,-0.29415599727083597
9,389.7696134858021,0.0,0.0,0.0,0.0,0.0,0.0,-1.1207839645948923,1.4682529238890918,0.0,0.6579130254721214,-1.997892386030834,0.0,-2.481209672644707,1.796047037661684,0.0,4.37559429883558,-6.230089753197856,0.23543417567163805,-4.957824956220237,0.0,0.0,0.0,0.0,0.0,3.519202581902963,0.0,-0.2997984592976057,4.293384975153751,0.0,0.762998317978671,-0.5081718462944952,-0.12379003073982923,-0.3708027262734331,-0.2905606845416772
