Iteration,LL,asc_carD,b_carD_p.age_group_agg_15_24,b_carD_p.age_group_agg_40_54,b_carD_p.age_55up,b_carD_p.female,b_carD_hh.cars_gr_0,b_carD_hh.cars_gr_2,b_carD_hh.cars_gr_3,b_carD_hh.income_agg_high,asc_carP,b_carP_p.age_group_agg_15_24,b_carP_p.age_group_agg_40_54,b_carP_p.age_55up,b_carP_p.female,b_carP_hh.cars_gr_0,b_carP_hh.cars_gr_2,b_carP_hh.cars_gr_3,b_carP_hh.income_agg_high,asc_pt,b_pt_p.age_group_agg_15_24,b_pt_p.age_group_agg_40_54,b_pt_p.age_55up,b_pt_p.female,b_pt_hh.cars_gr_0,b_pt_hh.cars_gr_2,b_pt_hh.cars_gr_3,b_pt_hh.income_agg_high,asc_bike,b_bike_p.age_group_agg_15_24,b_bike_p.age_group_agg_40_54,b_bike_p.age_55up,b_bike_p.female,b_bike_hh.cars_gr_0,b_bike_hh.cars_gr_2,b_bike_hh.cars_gr_3,b_bike_hh.income_agg_high,asc_walk,b_walk_p.age_group_agg_15_24,b_walk_p.age_group_agg_40_54,b_walk_p.age_55up,b_walk_p.female,b_walk_hh.cars_gr_0,b_walk_hh.cars_gr_2,b_walk_hh.cars_gr_3,b_walk_hh.income_agg_high,b_car_time,b_pt_time,b_bike_cost,b_walk_cost,g_bike_grad,g_bike_stressLink,g_bike_stressLink_f,g_walk_vgvi,g_walk_stressJct
0,7175.705063219666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,-0.1,0.0,0.0,0.0,0.0,0.0
1,7130.191638322169,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0010982051608978622,-1.422654901637184E-4,-3.8773540768598355E-4,0.0,-4.5811976177947576E-4,-1.5708151572388232E-4,-4.2053015627641565E-4,-1.4566159494996318E-4,-1.874522153309225E-4,-6.43763548273719E-4,-5.2383930358639564E-5,-2.631821080213971E-4,-1.2582349442067216E-4,-2.525843302248176E-4,6.668366680149889E-5,-3.662914308823331E-4,-1.325679497803849E-4,-1.2705289410064398E-4,-5.288260180890824E-5,2.1010665049893506E-5,-4.8476294186109157E-5,-3.34779744874777E-5,-9.811289376873303E-5,3.62767214044607E-5,-5.156506594517158E-5,-1.9595584690286135E-5,-6.488899720105766E-6,5.799219477248068E-4,1.3789875370051128E-4,0.0,0.0,2.9914899402856205E-4,2.505512256696905E-4,7.564872351321423E-5,2.5642253826863082E-5,4.094759039890988E-5,0.004006801832223263,-0.0328419213034722,-0.09918540856950976,-0.09074575260614083,-1.3316368511344996E-7,-3.846785319126046E-5,6.292197626402381E-5,-5.041678658266943E-4,-2.7458102938644957E-5
2,6807.059937299442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00585518017735601,-7.646186942564261E-4,-0.0020599296004721207,0.0,-0.0024572420634361063,-8.099552610969996E-4,-0.002239110589515043,-7.745955828229418E-4,-0.001011672466599765,-9.665584901863874E-4,3.514219748743592E-5,-5.240153876959705E-4,-2.729917301604332E-4,-2.8702409851721195E-4,5.351945495822365E-4,-9.31737029322724E-4,-3.499215364223578E-4,-2.2512226446999236E-4,-3.497089377945723E-4,7.518632614021365E-5,-2.538849386968218E-4,-1.6878619622272704E-4,-4.985800875702125E-4,1.4224055518594406E-4,-2.668875526789646E-4,-1.0060471293718321E-4,-4.388407755001537E-5,0.0025801908570720167,6.154645601351543E-4,0.0,0.0,0.0013301091267881224,0.0011211278834017714,3.324092328215294E-4,1.1231147557264648E-4,1.8101761081026395E-4,-0.005848789896153362,-0.03472261995007415,-0.09771408974378629,-0.0589746812553902,1.0189392904222926E-6,-7.12262828368565E-5,3.3102254292188897E-4,-0.002139703981369706,-1.1652204639467497E-4
3,6267.575142583566,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5283957848137064,-0.06511640619312462,-0.18847245039445149,0.0,-0.2141631331593439,-0.06766099295501238,-0.20751119107181595,-0.07192350508441941,-0.09444246920833699,-0.024932137721862216,0.015295797354114925,-0.02916596425949944,-0.016269643926756325,0.005604288735396151,0.0659949464525706,-0.07029184291861054,-0.02653013902075659,-0.012058227352619804,-0.06070380801279913,0.0036874885537826136,-0.03410025995823523,-0.02095187598744334,-0.06167266657903231,0.011907129034497319,-0.03701968512200302,-0.013424278053032914,-0.009130439958379165,0.11677949036448504,0.0343271048783686,0.0,0.0,0.058312109128358505,0.07905247411896354,-0.005117296093141748,-0.003079140219850476,0.002619052436302045,-0.345350869470316,-0.11701693290612022,-0.4969770411777944,-0.07435088675502041,7.906866944986209E-4,0.03942559578933488,0.05150025064707273,0.25187367683771456,0.013502137650916256
4,6042.900472753117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.9171038964603271,-0.1125979719670227,-0.32508877636091404,0.0,-0.36715088433109533,-0.11779430998692428,-0.35846270111174283,-0.12519211012876685,-0.1624374471012806,-0.047660430673797494,0.027544914535273246,-0.05361667908904964,-0.02967506107956911,0.008938183035127686,0.11857356929514334,-0.12806140532876306,-0.04786681124432858,-0.022865993356733217,-0.08555862165079588,0.011011722843452247,-0.05415738365986021,-0.03404670236822728,-0.09935629622973982,0.025825198886127398,-0.05913463725799353,-0.0215618731361543,-0.013150092853009814,0.21015701265359316,0.06194821266907859,0.0,0.0,0.10406965364826605,0.14254202019075335,-0.009696456601135942,-0.005859446003954322,0.004322219576084639,-0.6505281666816962,-0.1853028532000033,-0.4567334503511645,-0.15220429382215364,7.728190248219933E-5,-0.019915008581886204,0.07639713185682362,0.40364848326713965,0.021575752885209135
5,5515.990484699374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.2814820169116548,-0.15323730454613102,-0.4502118373178349,0.0,-0.4942817591889418,-0.16272901873518064,-0.49985941294007974,-0.17747943690779552,-0.22451696086930664,-0.0762046065242774,0.04623395647691726,-0.0863530645858851,-0.046574383495994964,0.015674146134290988,0.18905364333244423,-0.20538951235818909,-0.07507292913543348,-0.03967692118738483,-0.12683612538950434,0.018767233070716177,-0.08288359636746888,-0.05234948958715353,-0.15151486567528777,0.04076338672140187,-0.0893494365509625,-0.03297598832423964,-0.01893202121096626,0.31953100244803345,0.09588496549663522,0.0,0.0,0.1554268517103443,0.2215180753150728,-0.01845734625994458,-0.010889511692591518,0.005182717326792032,-0.5081507081936558,-0.15748564739119564,-0.37482906343472716,-0.12878684580937474,-0.0010912020158173963,-0.1284307618298387,0.13099003494045422,0.576284138872575,0.03081337648410179
6,5287.153425493175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.2689016752915339,-0.11501364927069867,-0.4383866385957376,0.0,-0.37459719269966285,-0.1523257330411341,-0.5038639402249597,-0.19366758080440016,-0.2140238521303346,-0.16377105831615946,0.0832846275429549,-0.16163931074955995,-0.09353760417010115,0.017602999967860203,0.35380700403195603,-0.39056588642018814,-0.14595690189651003,-0.07893347464389458,-0.22740331380475867,0.03842847170139185,-0.14830320304485403,-0.09944991817477664,-0.23172038121261723,0.08830221281925751,-0.1699042901720207,-0.06201163744204555,-0.03411790119969667,0.5428458845714995,0.17219985709195224,0.0,0.0,0.24047166613986637,0.4051309573950197,-0.05585362084415886,-0.03112227932089852,-4.8617193216539574E-4,-0.5184595612139965,-0.15554339655395125,-0.3027002657302975,-0.1068678740571526,-4.344072890333508E-4,-0.11383500342692723,0.2642363302581319,0.9475432102741259,0.0505517611980837
7,4981.825876975114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.7149593983271774,0.36211648318018325,-0.33726459860638563,0.0,1.210226245798058,-0.1687150608554056,-0.6333152607326904,-0.5296102217775702,-0.014967437854015775,-1.7434622737143726,0.6488036121491207,-1.3954466384192261,-0.899618850285178,-0.0781064123690277,3.0113454063857232,-3.393534535307933,-1.3581689238596686,-0.6972321334874814,-0.929973147630439,0.5703927883444164,-0.8563946293352761,-0.732335878879998,-0.2207341224214831,1.2452921935334789,-1.295670454533892,-0.4472393550097543,-0.21888368581558615,4.55141838120131,1.4954649571838314,0.0,0.0,1.5654038918285917,3.4866997286450916,-0.6386091214224149,-0.38206130520629733,-0.1094113144201684,-0.42049874121066,-0.07757184165629163,-0.15822917973767986,-0.3016142923660779,0.007766290379203972,0.6929426852696223,0.1707688824948303,0.7350474772680787,0.02676079645410922
8,4980.423864054989,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.6266746694086882,0.5318420937696963,-0.33889203099453263,0.0,1.2038861193792714,0.08531777763087262,-0.7592218534940376,-0.6227654675357803,-0.025573031909577784,-1.7170500233196107,0.7205352319301342,-1.2970814416896277,-0.975777530351151,0.365155012908289,3.2833894615381887,-3.4833262498051467,-1.6028063226350038,-0.6094125760254242,-0.8743875615826051,0.7152164203676209,-0.9179437370640771,-0.8349089173895979,-0.2783300867764905,1.6438045897057276,-1.4451484100300565,-0.5558600699065748,-0.2125644637528804,4.72662325405234,1.6179649031404586,0.0,0.0,1.3549450697394751,3.841899670278042,-0.8477126361118364,-0.519266266534912,-0.17686207778818142,-0.4511032087713176,-0.08815935249584597,-0.2497645829671955,-0.30382446858902096,0.005691742235252447,0.3881872236385027,0.2118634304488246,0.6826088042592373,0.03223848617334258
9,4672.24109383475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.4841289968400497,1.0299940279917998,-0.4011631634246476,0.0,1.0170740488849868,0.906923180801005,-1.2149476854406926,-0.9423245880108038,-0.09428745635957317,-1.5832672885852754,0.9225923909491534,-0.9249840109857546,-1.1883732070205677,1.7653265829406997,4.040189495463312,-3.6270242342208308,-2.3552620995431788,-0.2820853746926175,-0.6808067478549513,1.1904408215552231,-1.1157097838099557,-1.1679321418736877,-0.37262581389987876,2.935471847311568,-1.9530682753378263,-0.8989766148380776,-0.20136180512066593,5.08471270172411,1.9539000138612361,0.0,0.0,0.5591495917728395,4.8603037035133365,-1.5212808061892948,-0.9657629247674251,-0.3998511278408834,-0.4350602343420907,-0.09913141491009923,-0.21338212427629305,-0.30170625074090085,0.009147672082367414,0.5173929490326656,0.2914119374811339,0.6329753043549218,0.05831235496092188
