| COEFFICIENT NAME               | VALUE      | STD.ERR |  T.TEST     |  P.VAL      |
| asc_carD                       |  0,0000000 |         |             |             |
| b_carD_p.age_group_agg_15_24   |  0,0000000 |         |             |             |
| b_carD_p.age_group_agg_40_54   |  0,0000000 |         |             |             |
| b_carD_p.age_55up              |  0,0000000 |         |             |             |
| b_carD_p.female                |  0,0000000 |         |             |             |
| b_carD_hh.cars_gr_0            |  0,0000000 |         |             |             |
| b_carD_hh.cars_gr_2            |  0,0000000 |         |             |             |
| b_carD_hh.cars_gr_3            |  0,0000000 |         |             |             |
| b_carD_hh.income_agg_high      |  0,0000000 |         |             |             |
| asc_carP                       | -2,2518607 | 0,12790 |  -17,60610  | 0,00000 *** |
| b_carP_p.age_group_agg_15_24   |  1,2378412 | 0,17393 |   7,11676   | 0,00000 *** |
| b_carP_p.age_group_agg_40_54   | -0,4123953 | 0,15474 |  -2,66511   | 0,00770 **  |
| b_carP_p.age_55up              |  0,0000000 |         |             |             |
| b_carP_p.female                |  0,8157517 | 0,13353 |   6,10929   | 0,00000 *** |
| b_carP_hh.cars_gr_0            |  4,2006057 | 0,52973 |   7,92976   | 0,00000 *** |
| b_carP_hh.cars_gr_2            | -1,3629081 | 0,16204 |  -8,41075   | 0,00000 *** |
| b_carP_hh.cars_gr_3            | -1,8574970 | 0,26650 |  -6,97008   | 0,00000 *** |
| b_carP_hh.income_agg_high      |  0,2481229 | 0,19173 |   1,29415   | 0,19561     |
| asc_pt                         | -1,2387364 | 0,14251 |  -8,69239   | 0,00000 *** |
| b_pt_p.age_group_agg_15_24     |  1,1043102 | 0,14762 |   7,48052   | 0,00000 *** |
| b_pt_p.age_group_agg_40_54     | -0,4136016 | 0,11793 |  -3,50718   | 0,00045 *** |
| b_pt_p.age_55up                | -0,5371183 | 0,15398 |  -3,48817   | 0,00049 *** |
| b_pt_p.female                  |  0,4316081 | 0,10103 |   4,27191   | 0,00002 *** |
| b_pt_hh.cars_gr_0              |  5,4085010 | 0,50990 |   10,60698  | 0,00000 *** |
| b_pt_hh.cars_gr_2              | -1,5855409 | 0,12633 |  -12,55099  | 0,00000 *** |
| b_pt_hh.cars_gr_3              | -2,1086665 | 0,21207 |  -9,94317   | 0,00000 *** |
| b_pt_hh.income_agg_high        |  0,4407345 | 0,14035 |   3,14022   | 0,00169 **  |
| asc_bike                       | -0,7486136 | 0,18642 |  -4,01574   | 0,00006 *** |
| b_bike_p.age_group_agg_15_24   |  1,2287580 | 0,19005 |   6,46529   | 0,00000 *** |
| b_bike_p.age_group_agg_40_54   | -0,7077682 | 0,18766 |  -3,77162   | 0,00016 *** |
| b_bike_p.age_55up              | -1,3552614 | 0,29002 |  -4,67303   | 0,00000 *** |
| b_bike_p.female                | -0,0712072 | 0,25878 |  -0,27516   | 0,78319     |
| b_bike_hh.cars_gr_0            |  5,3091111 | 0,52385 |   10,13488  | 0,00000 *** |
| b_bike_hh.cars_gr_2            | -1,5927385 | 0,22350 |  -7,12621   | 0,00000 *** |
| b_bike_hh.cars_gr_3            | -2,0221565 | 0,34927 |  -5,78966   | 0,00000 *** |
| b_bike_hh.income_agg_high      |  0,6564073 | 0,23354 |   2,81064   | 0,00494 **  |
| asc_walk                       |  2,2995789 | 0,16255 |   14,14720  | 0,00000 *** |
| b_walk_p.age_group_agg_15_24   |  1,3851535 | 0,17244 |   8,03290   | 0,00000 *** |
| b_walk_p.age_group_agg_40_54   |  0,0000000 |         |             |             |
| b_walk_p.age_55up              |  0,0000000 |         |             |             |
| b_walk_p.female                | -0,1482557 | 0,13140 |  -1,12824   | 0,25922     |
| b_walk_hh.cars_gr_0            |  5,4240573 | 0,52392 |   10,35280  | 0,00000 *** |
| b_walk_hh.cars_gr_2            | -1,1319922 | 0,16610 |  -6,81493   | 0,00000 *** |
| b_walk_hh.cars_gr_3            | -1,6861798 | 0,25046 |  -6,73237   | 0,00000 *** |
| b_walk_hh.income_agg_high      |  0,2574428 | 0,22533 |   1,14251   | 0,25324     |
| b_car_time                     | -0,1591575 | 0,01244 |  -12,79434  | 0,00000 *** |
| b_pt_time                      | -0,0366829 | 0,00347 |  -10,56001  | 0,00000 *** |
| b_bike_cost                    | -0,0361560 | 0,01840 |  -1,96505   | 0,04941 *   |
| b_walk_cost                    | -0,1001107 | 0,01096 |  -9,13691   | 0,00000 *** |
| g_bike_grad                    |  33,2752601 | 27,46238 |   1,21167   | 0,22564     |
| g_bike_stressLink              |  2,5347623 | 1,82050 |   1,39234   | 0,16382     |
| g_bike_stressLink_f            |  3,6655698 | 2,06895 |   1,77170   | 0,07644 .   |
| g_walk_vgvi                    |  0,4445992 | 0,26541 |   1,67512   | 0,09391 .   |
| g_walk_stressJct               |  3,4289493 | 2,33675 |   1,46740   | 0,14227     |


Iterations: 111

LL0 = 7685.208331032533
Start LL = 7175.705063219666
Final LL = 3631.978717460373
