Iteration,LL,asc_carD,b_carD_p.age_group_agg_5_14,b_carD_p.age_group_agg_15_24,b_carD_p.age_group_agg_40_69,b_carD_p.age_group_agg_70,b_carD_p.female,b_carD_p.occupation_worker,b_carD_hh.cars_gr_0,b_carD_hh.cars_gr_2,b_carD_hh.cars_gr_3,asc_carP,b_carP_p.age_group_agg_5_14,b_carP_p.age_group_agg_15_24,b_carP_p.age_group_agg_40_69,b_carP_p.age_group_agg_70,b_carP_p.female,b_carP_p.occupation_worker,b_carP_hh.cars_gr_0,b_carP_hh.cars_gr_2,b_carP_hh.cars_gr_3,asc_pt,b_pt_p.age_group_agg_5_14,b_pt_p.age_group_agg_15_24,b_pt_p.age_group_agg_40_69,b_pt_p.age_group_agg_70,b_pt_p.female,b_pt_p.occupation_worker,b_pt_hh.cars_gr_0,b_pt_hh.cars_gr_2,b_pt_hh.cars_gr_3,asc_bike,b_bike_p.age_group_agg_5_14,b_bike_p.age_group_agg_15_24,b_bike_p.age_group_agg_40_69,b_bike_p.age_group_agg_70,b_bike_p.female,b_bike_p.occupation_worker,b_bike_hh.cars_gr_0,b_bike_hh.cars_gr_2,b_bike_hh.cars_gr_3,asc_walk,b_walk_p.age_group_agg_5_14,b_walk_p.age_group_agg_15_24,b_walk_p.age_group_agg_40_69,b_walk_p.age_group_agg_70,b_walk_p.female,b_walk_p.occupation_worker,b_walk_hh.cars_gr_0,b_walk_hh.cars_gr_2,b_walk_hh.cars_gr_3,b_car_time,b_pt_time,b_bike_cost,b_walk_cost,g_walk_aadt
0,3618.2737582613204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,-0.1,0.0
1,3063.69884046104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.002072863268837409,0.0,-3.491010809347482E-4,0.0,0.0,-0.0011065502905813968,-0.0013187430087849925,0.0,0.0,0.0,-0.005881123210075685,-0.001163362339801738,-5.07219799620573E-4,-0.002096631180269868,-9.985033171961348E-4,-0.002845009653184994,-0.0019173073615950153,-8.886114713885506E-4,-0.0018064820404981063,-4.2089990549722974E-4,-0.0032153654495594712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006929031283910394,0.001132686988839362,0.0014932093925028407,0.001867348309227213,9.849259908516553E-4,0.0,0.0,0.0030705903856372415,0.0,0.0,0.025404167215491633,-0.15558080540535663,-0.11502207914547956,-0.03628183728330006,-0.002473244642523613
2,3041.5243171384686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0029957185016070017,0.0,-4.589209123656046E-4,0.0,0.0,-0.0015596229988037752,-0.0017420583611854436,0.0,0.0,0.0,-0.0059957251189553945,-0.0012022529728907593,-5.133208877988804E-4,-0.0021446840095866175,-0.001008170528640237,-0.002883617638522794,-0.0019618308019751438,-8.538196455248523E-4,-0.0018620579304985986,-4.357459786098341E-4,-0.003968531867528005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008062426783951906,0.0013036042627740394,0.0017742479211798345,0.0021569972145062243,0.0011327614868708688,0.0,0.0,0.0036319029603212125,0.0,0.0,0.025042633943839127,-0.15429269066411938,-0.11839033702449697,-0.030095046492501797,-0.0025562458508683653
3,2821.776664526661,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.25187857459277335,0.0,-0.031267720156470974,0.0,0.0,-0.12508115364529734,-0.1216294633267395,0.0,0.0,0.0,-0.0536639691767282,-0.015327059246814382,-0.0035333422783682643,-0.021272965608296973,-0.006237392242592516,-0.02104973329673814,-0.01963354751439549,0.007259703911560625,-0.02248412871024848,-0.0058017196272192794,-0.21378102040044256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29879335954866354,0.04263431572213293,0.08271233655871953,0.07214173934070187,0.036493421951202414,0.0,0.0,0.16433872937583444,0.0,0.0,0.18272066010777635,-0.14274112154711366,-0.9959796005129403,-0.0946561356957469,0.00844535976453082
4,2146.12812434668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.5427666885691853,0.0,-0.1863617269335012,0.0,0.0,-0.6828005495631468,-0.656418324566344,0.0,0.0,0.0,-0.3257719826068214,-0.09509703839402442,-0.02502525599258466,-0.12282015741351125,-0.03873514282186732,-0.12794088108988225,-0.11344913334355697,0.027393187583748806,-0.1291258041165573,-0.0330593109371676,-0.5404847016125148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5844399214164226,0.2195024262506119,0.4417187786673767,0.3823076767348843,0.18278068814815335,0.0,0.0,0.8422955231182296,0.0,0.0,-1.0067462882909017,-0.3828865793286057,-1.5256766319960025,-0.32830975786261507,-0.1783687285581506
5,2100.2761808337295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.1009879999103476,0.0,-0.13949065525750293,0.0,0.0,0.3188566504351933,-0.839979741512489,0.0,0.0,0.0,-0.9621541111945083,-0.40057191734335873,0.030229687127331584,-0.41442479092389545,-0.07961727044921749,-0.29165484930299773,-0.41402634447047315,0.4531532694282255,-0.5423472815470922,-0.15726726661510676,-0.9872503503926775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.495063137783157,0.15320233666891425,1.0788534971973092,0.3267203826757752,0.018647396102453778,0.0,0.0,1.5595648216754427,0.0,0.0,-1.3325321595985653,-0.4038857365432627,-1.475860503108886,-0.3520165081223887,1.2159438151868294
6,1992.5676557059307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.2126788286225265,0.0,-0.122274595222982,0.0,0.0,0.7823940146355801,-1.0931704732067895,0.0,0.0,0.0,-1.3985255447531637,-0.6389888338817115,0.09173703529644965,-0.6283020956908125,-0.10174824201134174,-0.37120674788944974,-0.6452486530153276,0.8526046902327503,-0.870643472603789,-0.25947362237812893,-1.2860373166996009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.167245369773031,0.11631006390004482,1.5657545263677113,0.269492672724253,-0.13052895866411238,0.0,0.0,2.1465753573508253,0.0,0.0,-0.7640829781782033,-0.26564236884937203,-1.0500158707867275,-0.27931107477878303,1.6819177166171828
7,1855.3710658741943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.6400293407871478,0.0,0.2262102272837509,0.0,0.0,0.9948186411187264,-1.4995346905664957,0.0,0.0,0.0,-2.399547369831036,-1.4307658033206063,0.43811426990713664,-1.1985046388085645,-0.03860532246211561,-0.26887927408160284,-1.3258215590690134,2.5198722610936994,-1.8398465332433176,-0.603389346790032,-2.1641564108658304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.345750229895038,-0.4223706559699273,2.4632894517372383,-0.8557715047529466,-1.1704682013856382,0.0,0.0,3.168086485121383,0.0,0.0,-0.7797669544435052,-0.2307622427680516,-0.9159949279842973,-0.2502608304966453,1.6569795896848711
8,1803.2571384074945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.430698403073587,0.0,0.4629770333448302,0.0,0.0,1.0718596700235878,-1.3293116169985346,0.0,0.0,0.0,-2.7070659965709343,-1.7281148416472842,0.6181614201160565,-1.383306551060406,-0.03299094988028525,-0.15128062329981012,-1.5722107000764076,3.2029342229491844,-2.1716934040981157,-0.741908688838236,-2.5674920432304162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.374805979809112,-0.7303478406688209,2.643881835412305,-0.8044946758181228,-1.4043441157760244,0.0,0.0,3.3886419799995005,0.0,0.0,-0.8426982723313439,-0.22108930004280888,-0.8914069581310452,-0.2626066679311139,1.2479450084382844
9,1766.1261868479244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.501022103572341,0.0,0.9087062166305981,0.0,0.0,0.5985395140674163,-0.9568354632568035,0.0,0.0,0.0,-2.951159484283943,-2.108319708350133,0.9778933407453763,-1.4983115461941572,-0.15681048797019087,0.14298597167600818,-1.8130759549268227,4.178221824432931,-2.497259182936059,-0.947677533042729,-3.144536765544042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3973539642867294,-1.2568231689432565,2.6152778184926593,-0.5697940703961168,-1.4655568695416925,0.0,0.0,3.2658766689563525,0.0,0.0,-0.8062936767725237,-0.21135449294490424,-0.7495409820455321,-0.24965528199967846,1.4905244642860946
