Iteration,LL,asc_carD,b_carD_p.age_group_agg_5_14,b_carD_p.age_group_agg_15_24,b_carD_p.age_group_agg_40_69,b_carD_p.age_group_agg_70,b_carD_p.female,b_carD_p.occupation_worker,b_carD_hh.cars_gr_0,b_carD_hh.cars_gr_2,b_carD_hh.cars_gr_3,asc_carP,b_carP_p.age_group_agg_5_14,b_carP_p.age_group_agg_15_24,b_carP_p.age_group_agg_40_69,b_carP_p.age_group_agg_70,b_carP_p.female,b_carP_p.occupation_worker,b_carP_hh.cars_gr_0,b_carP_hh.cars_gr_2,b_carP_hh.cars_gr_3,asc_pt,b_pt_p.age_group_agg_5_14,b_pt_p.age_group_agg_15_24,b_pt_p.age_group_agg_40_69,b_pt_p.age_group_agg_70,b_pt_p.female,b_pt_p.occupation_worker,b_pt_hh.cars_gr_0,b_pt_hh.cars_gr_2,b_pt_hh.cars_gr_3,asc_bike,b_bike_p.age_group_agg_5_14,b_bike_p.age_group_agg_15_24,b_bike_p.age_group_agg_40_69,b_bike_p.age_group_agg_70,b_bike_p.female,b_bike_p.occupation_worker,b_bike_hh.cars_gr_0,b_bike_hh.cars_gr_2,b_bike_hh.cars_gr_3,asc_walk,b_walk_p.age_group_agg_5_14,b_walk_p.age_group_agg_15_24,b_walk_p.age_group_agg_40_69,b_walk_p.age_group_agg_70,b_walk_p.female,b_walk_p.occupation_worker,b_walk_hh.cars_gr_0,b_walk_hh.cars_gr_2,b_walk_hh.cars_gr_3,b_car_time,b_pt_time,b_bike_cost,b_walk_cost,g_walk_speed
0,3618.2737582613204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,-0.1,0.0
1,3061.8554238793477,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0020539415009805774,0.0,-3.4591437310344924E-4,0.0,0.0,-0.0010964493408298808,-0.0013067050951173708,0.0,0.0,0.0,-0.005827438410990558,-0.0011527427912487575,-5.025897328693822E-4,-0.0020774924512128802,-9.893886552421614E-4,-0.0028190394828330424,-0.00189980555848446,-8.804999378256245E-4,-0.0017899918868436344,-4.1705779472103386E-4,-0.0031860145514437635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0068657808402376634,0.0011223474548336812,0.0014795788931296595,0.001850302548541386,9.759352671337774E-4,0.0,0.0,0.0030425610412352674,0.0,0.0,0.025172269742139586,-0.15416061338057824,-0.11488495273748588,-0.03686347732744315,-0.002972336931777946
2,3033.7683787911947,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0032385770679120504,0.0,-4.867532368665255E-4,0.0,0.0,-0.0016779279850454858,-0.0018497576996878685,0.0,0.0,0.0,-0.005975905619156669,-0.0012028953282834309,-5.107011429692209E-4,-0.0021394960279191057,-0.0010020887856251165,-0.0028692902470127354,-0.001957226823582822,-8.366108872724729E-4,-0.001861531645069922,-4.361357574511128E-4,-0.004152592617206445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008324377045263799,0.0013426076334203964,0.001840301415597178,0.002223504012056679,0.001166481247086967,0.0,0.0,0.0037631938976178626,0.0,0.0,0.02468718297347325,-0.15250696208149803,-0.11921478274005029,-0.028743489235150185,-0.0031484406631098016
3,2807.063931211646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.26796637174820903,0.0,-0.033262342082114434,0.0,0.0,-0.13306575711568977,-0.12937098723459756,0.0,0.0,0.0,-0.05703136370824185,-0.016294166356763846,-0.0037884501378615755,-0.022578671891217247,-0.006633144901124042,-0.022363248369878828,-0.02083367709211668,0.0076382960447796645,-0.02386544727141615,-0.006154965716763884,-0.2279014956109497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31847012051510987,0.045496304699545013,0.08804875375193166,0.07692777949456285,0.03893428662062783,0.0,0.0,0.1749907334539744,0.0,0.0,0.19357098018154537,-0.1393540362539853,-1.0581026240491143,-0.09536415450645125,-0.006919850354956431
4,2179.4647830441563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.5312378457405809,0.0,-0.1848946023933186,0.0,0.0,-0.6737460080236497,-0.6516087013395362,0.0,0.0,0.0,-0.33013419240050595,-0.09628472738543997,-0.025623138570012208,-0.12399119644369239,-0.03942788652039315,-0.12983518677732306,-0.11456067981601382,0.02628432607895852,-0.13020449460430183,-0.03331033158607139,-0.5430601779402033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5893238276231987,0.2203809018339171,0.4424437625518254,0.38352908187984946,0.18290945776618608,0.0,0.0,0.8419334811856268,0.0,0.0,-1.0017225869467943,-0.3784847175607466,-1.5926335495228654,-0.3303986053762342,-0.3068590943090023
5,2144.3839362774534,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.5791924813799019,0.0,-0.19268837339720418,0.0,0.0,-0.532057826542656,-0.750810206451691,0.0,0.0,0.0,-0.48848009789510993,-0.16577446162007942,-0.016798023989905375,-0.1950832117842916,-0.05127335453296977,-0.1752468713083659,-0.18684279214927454,0.11696077763228155,-0.2267307184709337,-0.061983681648924066,-0.6396872579239866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8338350522809161,0.20800765658642545,0.6055160205840727,0.3736419670375297,0.15094130490450894,0.0,0.0,1.054598282646745,0.0,0.0,-1.105252948409328,-0.3944083890915086,-1.5702237093870677,-0.3356323844936107,0.30346603805975786
6,1979.2738843824948,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.084994548702228,0.0,-0.13414746452638449,0.0,0.0,0.562281586460092,-0.9086711190795393,0.0,0.0,0.0,-1.1476104277661683,-0.5018669604808489,0.051314314772290745,-0.49951889821728285,-0.0896833401150181,-0.32803892328838563,-0.5033656338682617,0.5853602293590002,-0.6649461791797548,-0.1967934035023606,-1.0865925343208194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8706980138912837,0.15656065716028156,1.2791319781424133,0.35816917110608637,-0.023737140553948766,0.0,0.0,1.8386695187475524,0.0,0.0,-0.9542200382555226,-0.3079609087835991,-1.3337895570342522,-0.325831887970206,0.4671663338181786
7,1959.969787623438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.4420953815911814,0.0,-0.059267995165624324,0.0,0.0,0.7188843207366964,-1.2228726576739462,0.0,0.0,0.0,-1.5407859484288073,-0.7887056628746689,0.16145893789627208,-0.7119575042464812,-0.082583879073985,-0.32137089901028437,-0.7531492036576376,1.1550603471300662,-1.018622325277735,-0.3229373240798564,-1.367419660922176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9606664937370626,0.024307241790238993,1.687214168987761,0.03907453250333509,-0.33040206235249236,0.0,0.0,2.3203991279011738,0.0,0.0,-0.42635236884726446,-0.18778833176092283,-0.9872812942624869,-0.2570250408291208,0.4337250943970508
8,1827.7183233509313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.7142101827269998,0.0,0.27208692415622504,0.0,0.0,1.1510924197031165,-1.6557080625180103,0.0,0.0,0.0,-2.4208929414825184,-1.485299098678003,0.4774205847754742,-1.2191484026068136,-0.04242377517414858,-0.22096011578183433,-1.375028468786866,2.6817259760647127,-1.8875273863136064,-0.6378930186412846,-2.113956473033151,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2685340092121526,-0.4795111645918727,2.4488203872812537,-0.9783420235010678,-1.2272575478956669,0.0,0.0,3.153884575669646,0.0,0.0,-0.5823849207955765,-0.1810755277968042,-0.961720529667181,-0.2534442411011673,0.2486755332395643
9,1756.5648519661754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.6502204812971162,0.0,0.765452455733733,0.0,0.0,0.7686684330876888,-1.3469320322504759,0.0,0.0,0.0,-2.8574694207029507,-2.0487396239743703,0.9002077001193658,-1.51850442947523,-0.06500825908080837,0.14437348265356326,-1.8264357774747095,4.124915596690499,-2.4979920959476365,-0.9119291097437261,-2.7518588287787247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2419150543156965,-1.344494435324719,2.558127340518483,-0.5801842027436817,-1.5427205727315445,0.0,0.0,3.2487389314229844,0.0,0.0,-0.58932974469982,-0.16569990603759957,-0.8389974865890256,-0.24819684187860677,0.24978689708668814
