Iteration,LL,asc_carD,b_carD_p.age_group_agg_5_14,b_carD_p.age_group_agg_15_24,b_carD_p.age_group_agg_40_69,b_carD_p.age_group_agg_70,b_carD_p.female,b_carD_p.occupation_worker,b_carD_hh.cars_gr_0,b_carD_hh.cars_gr_2,b_carD_hh.cars_gr_3,asc_carP,b_carP_p.age_group_agg_5_14,b_carP_p.age_group_agg_15_24,b_carP_p.age_group_agg_40_69,b_carP_p.age_group_agg_70,b_carP_p.female,b_carP_p.occupation_worker,b_carP_hh.cars_gr_0,b_carP_hh.cars_gr_2,b_carP_hh.cars_gr_3,asc_pt,b_pt_p.age_group_agg_5_14,b_pt_p.age_group_agg_15_24,b_pt_p.age_group_agg_40_69,b_pt_p.age_group_agg_70,b_pt_p.female,b_pt_p.occupation_worker,b_pt_hh.cars_gr_0,b_pt_hh.cars_gr_2,b_pt_hh.cars_gr_3,asc_bike,b_bike_p.age_group_agg_5_14,b_bike_p.age_group_agg_15_24,b_bike_p.age_group_agg_40_69,b_bike_p.age_group_agg_70,b_bike_p.female,b_bike_p.occupation_worker,b_bike_hh.cars_gr_0,b_bike_hh.cars_gr_2,b_bike_hh.cars_gr_3,asc_walk,b_walk_p.age_group_agg_5_14,b_walk_p.age_group_agg_15_24,b_walk_p.age_group_agg_40_69,b_walk_p.age_group_agg_70,b_walk_p.female,b_walk_p.occupation_worker,b_walk_hh.cars_gr_0,b_walk_hh.cars_gr_2,b_walk_hh.cars_gr_3,b_car_time,b_pt_time,b_bike_cost,b_walk_cost,g_walk_vgvi,g_walk_aadt
0,3618.2737582613204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,-0.1,0.0,0.0
1,3148.0850487537223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0026134903746342013,0.0,-4.4015074631964274E-4,0.0,0.0,-0.0013951516132104315,-0.001662686686521658,0.0,0.0,0.0,-0.007414989272394797,-0.0014667809126595365,-6.395086854309223E-4,-0.002643457236746013,-0.0012589247191379072,-0.0035870216121445422,-0.0024173636583151355,-0.001120371788229933,-0.0022776337907899295,-5.306755482808153E-4,-0.004053970553527228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008736204089426367,0.001428105069595532,0.001882655953862464,0.0023543746978506434,0.001241806266489332,0.0,0.0,0.003871436451188674,0.0,0.0,0.032029872636279946,-0.19615810821559299,-0.11894001396229259,-0.01966339147739843,-0.004897951179748307,-0.0031182959168244476
2,3105.6333386525444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.583783487375834,0.0,-0.07314178617472901,0.0,0.0,-0.28978098578471406,-0.278516308044994,0.0,0.0,0.0,-0.09454275180139038,-0.029645872585704842,-0.003611194747272897,-0.040367504786714234,-0.00899731338758631,-0.03444240014244306,-0.03765023667715752,0.02634133071789846,-0.04491445156130953,-0.012003981270064353,-0.501016424976441,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.684705871515221,0.09819869478653503,0.1878665363976754,0.16594031969331138,0.0839580256188984,0.0,0.0,0.37339148575743253,0.0,0.0,0.4359178379977997,-0.16214929412550233,-2.232071932116966,-0.1420177639983597,-0.08913111344085017,-0.011889309913090724
3,2835.1297098756986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6308532000816224,0.0,-0.07896546655925389,0.0,0.0,-0.3123448166842073,-0.3003224872209263,0.0,0.0,0.0,-0.1010770074581105,-0.03186079177993338,-0.0038079478220472258,-0.04321616615362467,-0.009526452682757407,-0.036667392093737955,-0.040320829830043585,0.028657334524410685,-0.04820616731632042,-0.012897074477362647,-0.5380979902601514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.739925205585312,0.10614163309498878,0.20278240663751723,0.17944396652243905,0.09069676155039919,0.0,0.0,0.4027220681439304,0.0,0.0,0.4489137360141708,-0.13994687606411102,-2.3890440435488496,-0.09807873633080388,-0.1001149875391156,-0.015660173471781464
4,2724.9453414728687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6370211574924098,0.0,-0.07795955564281022,0.0,0.0,-0.30497917888849735,-0.3113181816134171,0.0,0.0,0.0,-0.11720078737364749,-0.037161692146885715,-0.004411415393921476,-0.049384161967161694,-0.01118790895097092,-0.04243627956565173,-0.046469336085662304,0.032664822013494174,-0.05542258799144716,-0.014822181422841163,-0.5555965887691874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7623724771200147,0.10613529572589112,0.21454171017907725,0.18163396321561553,0.08834570295997264,0.0,0.0,0.41362606380634354,0.0,0.0,0.3950980287738585,-0.14278136834553248,-2.4644852841909306,-0.08249222212963914,-0.0025437071062021505,0.05525436192810235
5,2640.2803378364238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6418832317315845,0.0,-0.07715883545659648,0.0,0.0,-0.2991408891830476,-0.32002600215810506,0.0,0.0,0.0,-0.12996469432787883,-0.04135905918356406,-0.004887544295591776,-0.054268101816015414,-0.012502460456857123,-0.047001392691485386,-0.05133847032032613,0.035844713628927445,-0.061138057703039005,-0.016347008278977358,-0.569461212924989,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7800875350081296,0.10611644175503125,0.22384781603333082,0.18334732904805634,0.08647257314342442,0.0,0.0,0.42224439692494875,0.0,0.0,0.3526363230689187,-0.14498153948254353,-2.5242617144747035,-0.0700861810288694,0.07481119382372106,0.11150324412887422
6,2610.1169866030887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.7221062613989928,0.0,-0.037426641966172104,0.0,0.0,-0.2100402480884029,-1.364356798933958,0.0,0.0,0.0,-0.9079209715890291,-0.36742219812774146,0.08055370098762245,-0.4546589581694505,-0.04413500188291966,-0.22520651617467974,-0.48024579474099954,0.7527937096488484,-0.6128655602482354,-0.17319948336686328,-0.6966746026545416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025370845829524646,-0.48972594007070896,0.8921419455958443,-0.5719633806803546,-0.4666649998789522,0.0,0.0,0.8732010090814843,0.0,0.0,0.04641195976338147,-0.19349705874892797,-2.5139858001484714,-0.09330767855241623,-0.028333145529047046,0.5871187737660223
7,2467.9449009583177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.565781885841827,0.0,0.22221337358045926,0.0,0.0,0.7712095640332899,-1.9847530711127241,0.0,0.0,0.0,-1.8785455488524427,-0.8048412855534626,0.2221562285678959,-0.9566187545289533,-0.10113467204693363,-0.4125969959829273,-0.9933375168771215,1.654555193626591,-1.2939294594756614,-0.37331566098543845,-0.9977067321287665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.536944429643929,-1.2343227043095075,1.63056833516976,-1.1706858372211375,-1.0446107866255534,0.0,0.0,1.290460056166991,0.0,0.0,-0.2653214325910868,-0.18680191112345879,-2.850011964857892,-0.09182386953483929,-0.6173331895438015,1.0753323761707778
8,2294.48089636862,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.8159003587097886,0.0,0.6525817807196083,0.0,0.0,1.2010067152785653,-1.961273947798457,0.0,0.0,0.0,-2.8061675611472654,-1.285549941865301,0.46090751430457894,-1.4744955122823424,-0.1842527687306496,-0.48736185023674283,-1.509115765030507,2.711888192532626,-2.0174299270438256,-0.5971914942236883,-1.222369654972716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022958558504621362,-1.7318215240842822,2.046246442836617,-0.9543583173000117,-1.2097552318760678,0.0,0.0,1.7971161663018986,0.0,0.0,-0.11763160254381008,-0.11881727467758038,-2.5193979696709934,-0.10833494156008314,-1.0322732725579715,1.8936455537295562
9,2219.611142284486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.9431202248868256,0.0,0.9104146467590721,0.0,0.0,1.112248199752793,-1.6896151823865881,0.0,0.0,0.0,-3.2362105426770764,-1.5802710545187988,0.6712096180390101,-1.7474808577644354,-0.2299711480741258,-0.42870685902959627,-1.835358327619216,3.5490002901963433,-2.506175969230382,-0.7512995426840835,-1.407370487086455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.062062816992339474,-1.8091822263702666,1.9751352799453845,-0.9337133291312475,-1.2253406236220077,0.0,0.0,1.4539413595643056,0.0,0.0,-0.18168882118530003,-0.11008118011432418,-2.5452332536205167,-0.11323862079711144,-1.158590596366444,2.09127902505496
