Iteration,LL,asc_carD,b_carD_p.age_group_agg_5_14,b_carD_p.age_group_agg_15_24,b_carD_p.age_group_agg_40_69,b_carD_p.age_group_agg_70,b_carD_p.female,b_carD_p.occupation_worker,b_carD_hh.cars_gr_0,b_carD_hh.cars_gr_23,asc_carP,b_carP_p.age_group_agg_5_14,b_carP_p.age_group_agg_15_24,b_carP_p.age_group_agg_40_69,b_carP_p.age_group_agg_70,b_carP_p.female,b_carP_p.occupation_worker,b_carP_hh.cars_gr_0,b_carP_hh.cars_gr_23,asc_pt,b_pt_p.age_group_agg_5_14,b_pt_p.age_group_agg_15_24,b_pt_p.age_group_agg_40_69,b_pt_p.age_group_agg_70,b_pt_p.female,b_pt_p.occupation_worker,b_pt_hh.cars_gr_0,b_pt_hh.cars_gr_23,asc_bike,b_bike_p.age_group_agg_5_14,b_bike_p.age_group_agg_15_24,b_bike_p.age_group_agg_40_69,b_bike_p.age_group_agg_70,b_bike_p.female,b_bike_p.occupation_worker,b_bike_hh.cars_gr_0,b_bike_hh.cars_gr_23,asc_walk,b_walk_p.age_group_agg_5_14,b_walk_p.age_group_agg_15_24,b_walk_p.age_group_agg_40_69,b_walk_p.age_group_agg_70,b_walk_p.female,b_walk_p.occupation_worker,b_walk_hh.cars_gr_0,b_walk_hh.cars_gr_23,b_car_time,b_pt_time,b_bike_cost,b_walk_cost,g_walk_speed
0,3618.2737582613204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,-0.1,0.0
1,3042.082028843543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0017373593872932545,0.0,-2.9259722490831627E-4,0.0,0.0,-9.274492745157824E-4,-0.0011052974791844164,0.0,0.0,-0.0049292323186294435,-9.75065993142711E-4,-4.2512359282918403E-4,0.0,0.0,0.0,-0.0016069810262313267,-7.447850056888942E-4,-0.0018668683994448505,-0.0026949415484136866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005807530929284177,9.493556099475427E-4,0.0012515255561039878,0.0015651081106771052,8.255105108572669E-4,0.0,0.0,0.0025735990941705093,0.0,0.021292368412199343,-0.13039922932555142,-0.11259067619771126,-0.046594958866232446,-0.002514198903988978
2,2973.055002600595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0038561688262183005,0.0,-5.414784514162842E-4,0.0,0.0,-0.0019649051462140724,-0.0020699133642024543,0.0,0.0,-0.005255797264913052,-0.0010757970245918334,-4.5002488416021844E-4,0.0,0.0,0.0,-0.0017239832158396223,-6.933747571923972E-4,-0.002042816590601475,-0.004428086543698774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00853427453021221,0.001369524632691433,0.0019008788927728617,0.0022741714393342736,0.00118961921814823,0.0,0.0,0.003876203160348405,0.0,0.01997510968202722,-0.1277531078059021,-0.12056207571537747,-0.02753882697012923,-0.00297544614030527
3,2754.1199051222125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.27050774601553196,0.0,-0.0334239280141382,0.0,0.0,-0.1344245711320758,-0.13160085688897796,0.0,0.0,-0.06528316913974454,-0.017963231123424357,-0.0051297360263478035,0.0,0.0,0.0,-0.022928298905457695,0.004869454771665989,-0.032356952708300885,-0.2327663933634316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32677543757424954,0.046808015713877556,0.09035737677985364,0.07885603490853871,0.04000031250217578,0.0,0.0,0.17980383951988238,0.0,0.1941858690979382,-0.11495899762228566,-1.0916846602738883,-0.09581792775954023,-0.0015346403953689941
4,2109.4899193053648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.4663246921879942,0.0,-0.17601736911349233,0.0,0.0,-0.6445047465433327,-0.6311893794328262,0.0,0.0,-0.3683554861256478,-0.10264421547152425,-0.032610621348355864,0.0,0.0,0.0,-0.12252144650604992,0.005874194740073635,-0.16973183792532887,-0.5273237328494398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5478672623899503,0.21448201794234323,0.4328904795727607,0.3723150035973982,0.17780103120298177,0.0,0.0,0.8253806954564695,0.0,-0.9834511012087263,-0.35352605963511596,-1.6046825535158171,-0.32876632458830113,-0.2349049199292176
5,2038.812852100969,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.3878887120961607,0.0,-0.16878999487918464,0.0,0.0,0.0033363336048788383,-0.878438379847473,0.0,0.0,-0.9733554822196164,-0.3543151337550747,0.0010788014484762187,0.0,0.0,0.0,-0.3963116363202478,0.31584263525488354,-0.6252045494938223,-0.8258977144502151,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.353971507555367,0.16654459243913194,0.9690989462566457,0.3478329167619951,0.055566785154924817,0.0,0.0,1.4733184884135189,0.0,-0.8378242222779005,-0.29541850087214633,-1.3517233772838322,-0.2952760750871496,0.8604724905394535
6,1939.2908854841216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.172854764798113,0.0,-0.12350989917736982,0.0,0.0,0.6512429186640337,-1.0000493769001633,0.0,0.0,-1.4601434763696786,-0.5835679638249593,0.0521621671361021,0.0,0.0,0.0,-0.6245234215138677,0.6315011987284341,-1.0092920141106987,-1.119017431162713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0293183048206282,0.13800393317224685,1.411201130965443,0.32958928198870474,-0.0736615757429911,0.0,0.0,1.9997841742488935,0.0,-0.5413272460468239,-0.2010731579717228,-1.1055911990417409,-0.2703345812705078,0.7340221089207989
7,1915.7215376232552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.9604820587208172,0.0,0.022707237886761322,0.0,0.0,1.0705372948291991,-1.0698394391945063,0.0,0.0,-1.9045526045588446,-0.8437269345043132,0.16832176410973476,0.0,0.0,0.0,-0.8903081191419833,1.1610735824949714,-1.4568449478160312,-1.45699141478638,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8775232683993996,-0.04128266021790716,1.7391635301133825,-0.02837453162740189,-0.41047996988681623,0.0,0.0,2.3157638829417784,0.0,-0.8678949248642462,-0.23947577687178406,-1.2295834738672837,-0.3047374505930105,0.6220736382938377
8,1800.4914432184196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.4194505603659953,0.0,0.39614153809798214,0.0,0.0,1.2724418323985986,-1.534553226536561,0.0,0.0,-2.963145454854171,-1.533987972479112,0.5296902471678469,0.0,0.0,0.0,-1.5972591907257603,2.7278116718093255,-2.646835514996001,-2.2722879700446517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1893875027806544,-0.6080288713869771,2.546777635538361,-1.0561209606280286,-1.3624449092987345,0.0,0.0,3.070935887157799,0.0,-0.7618202664852297,-0.17774990206101873,-1.0594203073625064,-0.2705903400980206,0.3363511776544093
9,1752.9714091446199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.402564867675873,0.0,0.8543215372074014,0.0,0.0,0.961136463427527,-1.093515045614295,0.0,0.0,-3.1794935442777246,-1.8696813088250663,0.9719188598782855,0.0,0.0,0.0,-1.8678531259647988,3.87757187248049,-3.141543658197109,-2.859259332169078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.244893176694319,-1.369596560113516,2.6172029208185874,-0.6288657258952055,-1.629729708021733,0.0,0.0,3.056210362519943,0.0,-0.7772677906901437,-0.1706217956762414,-0.953750175668358,-0.26973093167716966,0.33039978248935287
10,1727.8839758044799,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.7968595579344881,0.0,1.4274691647046671,0.0,0.0,1.3142931772767805,-0.8034456987595413,0.0,0.0,-2.9503098392231073,-1.9827148516568003,1.7680448226948067,0.0,0.0,0.0,-1.6375518778951994,4.578342797753269,-2.9574802197813104,-3.656247973840931,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3121787981505375,-1.6581959266960813,2.3227829743241917,-0.8864425484869667,-1.297066740246692,0.0,0.0,3.116452734256507,0.0,-0.7860146634807492,-0.19231437859924894,-0.8100036118207836,-0.26728049562639583,0.3673677922507456
11,1707.492586665852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.7676443124853554,0.0,1.919126577987151,0.0,0.0,1.2712338575667466,-0.9723338934841208,0.0,0.0,-3.225641201476857,-2.157068207708641,2.824566777332489,0.0,0.0,0.0,-1.24295050911611,4.461003419041993,-2.510852688061426,-4.722921388014949,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1406105228859054,-2.2580566276354914,1.9657889106070583,-0.8488702922575968,-1.1210789684669926,0.0,0.0,3.4550105482120737,0.0,-0.7744094495895315,-0.19191275080841333,-0.5973418645744379,-0.25480730482390335,0.355685286888847
12,1701.0977088745854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.9221420069741582,0.0,1.8650865214899688,0.0,0.0,1.1529448401628157,-0.5048907845335953,0.0,0.0,-3.7203964030160335,-2.357842476819555,4.418637211121,0.0,0.0,0.0,-0.7469288183301879,4.01692129269525,-1.7760758581035887,-6.585974070894467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.114329314587944,-1.9896158938742072,2.0060441745299724,-0.7784487462650711,-1.9633563780895251,0.0,0.0,2.903279168644842,0.0,-0.7419573443204722,-0.186238395459773,-0.24522305320593585,-0.237736219129557,0.3914763532870964
13,1693.617005325497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.073595498579815,0.0,1.9180554632376248,0.0,0.0,1.110377947895731,-0.25680178928210173,0.0,0.0,-4.462986707075693,-2.4184316917637294,5.24337286237279,0.0,0.0,0.0,-0.52614296280684,3.644426314440582,-1.3136008872888518,-6.005044748363242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3279346822714624,-2.2142353115426543,2.46259704381685,-0.993395220750094,-1.954971938435689,0.0,0.0,1.9772700800211376,0.0,-0.6914475421373787,-0.16097763702297632,-0.35828657207902787,-0.23654940766089624,0.3012170717068048
