ID,diary.household.id,diary.person.id,diary.trip.id,carD,carP,pt,bike,walk
BL35020Q12,BL35020Q,1,2,0.0,0.048891061882394324,0.05822483181498375,0.0020653311894257365,0.8908187751131963
BL35043B16,BL35043B,1,6,0.39725631675626816,0.041477924481640074,0.0034165555058139124,0.007901968824986923,0.5499472344312909
BL35043B24,BL35043B,2,4,0.3757181310716764,0.09344645355089869,0.0032313189122543887,0.007473544997227265,0.5201305514679433
BL35043B25,BL35043B,2,5,0.7847509230757014,0.1951787380423988,0.005396900942773759,0.005926507407063448,0.008746930532062836
BL35043B26,BL35043B,2,6,0.7861897443855027,0.195536593406767,0.006036688216580586,0.005075463636360545,0.007161510354789226
BL35043B44,BL35043B,4,4,0.0,0.9453323422983455,0.011082289803225941,0.028999494622717097,0.014585873275711217
BL35061H14,BL35061H,1,4,0.20301398441049992,0.050492471072096146,0.0017918583504877798,0.003512950101028404,0.7411887360658878
BL35061H15,BL35061H,1,5,0.1574679992402999,0.03916453548512529,0.0019591589182780807,0.003242234340636836,0.79816607201566
BL35061H22,BL35061H,2,2,0.5974588170657893,0.06238126531880703,0.004262191909039459,0.009181778574749243,0.3267159471316151
BL35061H32,BL35061H,3,2,0.0,0.15276157542992325,0.00290178411706495,0.014945959021574714,0.8293906814314371
BL35061H42,BL35061H,4,2,0.0,0.15276157542992325,0.00290178411706495,0.014945959021574714,0.8293906814314371
BL35064L12,BL35064L,1,2,0.03963363661754335,0.04768893395111262,0.001172586162313269,6.58373850135933E-4,0.9108464694188949
BL35064L22,BL35064L,2,2,0.22459481177080806,0.05585993038464733,5.046479097014925E-4,0.0037308549899922726,0.7153097549448508
BL35105G12,BL35105G,1,2,0.5037012873710902,0.25250498689088346,0.01722375779350677,0.005938600187306727,0.22063136775721276
BL35105G13,BL35105G,1,3,0.22716683797896045,0.11387852460194658,0.004414781133362609,0.005373694951140662,0.6491661613345896
BL35112M12,BL35112M,1,2,0.731951381191318,0.18204673953028414,0.008558896191561423,0.006208364971134087,0.07123461811570245
BL35130C32,BL35130C,3,2,0.0,0.5625382192916527,0.009635005022002556,0.03565702443532502,0.3921697512510197
BL35130C33,BL35130C,3,3,0.0,0.4879920871001423,0.009804738733956004,0.03335486023283275,0.46884831393306897
BL35130C42,BL35130C,4,2,0.0,0.5625382192916527,0.009635005022002556,0.03565702443532502,0.3921697512510197
BL35130C43,BL35130C,4,3,0.0,0.4879920871001423,0.009804738733956004,0.03335486023283275,0.46884831393306897
BL35130C52,BL35130C,5,2,0.0,0.5625382192916527,0.009635005022002556,0.03565702443532502,0.3921697512510197
BL35130C53,BL35130C,5,3,0.0,0.4879920871001423,0.009804738733956004,0.03335486023283275,0.46884831393306897
BL35132C32,BL35132C,3,2,0.0,0.20212472995084607,0.0010599870136294215,0.025101801585880396,0.7717134814496441
BL35132C33,BL35132C,3,3,0.0,0.24861972525063372,0.0021567433995517906,0.026206200549791194,0.7230173308000233
BL35132C42,BL35132C,4,2,0.0,0.20212472995084607,0.0010599870136294215,0.025101801585880396,0.7717134814496441
BL35132C43,BL35132C,4,3,0.0,0.24861972525063372,0.0021567433995517906,0.026206200549791194,0.7230173308000233
BL35158H12,BL35158H,1,2,0.6546789700648129,0.3281899588081945,0.016372576319362373,4.64304912831027E-4,2.941898947992394E-4
BL35159H12,BL35159H,1,2,0.7837413210022122,0.1949276356188982,0.005997290173823212,0.0029388906339377478,0.01239486257112883
BL35159H22,BL35159H,2,2,0.8836826770624444,0.09226618130132287,0.006762054384407568,0.0033136529533378052,0.013975434298487499
BL35161P12,BL35161P,1,2,0.0,0.02177346128729365,0.0610082058621279,0.0021610233472968868,0.9150573095032816
BL35161P13,BL35161P,1,3,0.0,0.028666445374638538,0.07551169490561054,0.002676136928793346,0.8931457227909575
BL35169N12,BL35169N,1,2,0.0,0.0069791630716494035,0.01045974550633118,7.827599946644659E-4,0.9817783314273548
BL35174O12,BL35174O,1,2,0.44890493934200315,0.2250356285873393,0.0056298087022828335,0.008289375863231793,0.3121402475051429
BL35174O13,BL35174O,1,3,0.5384513169361316,0.26992514439251425,0.013601932395265826,0.008829128705692834,0.16919247757039554
BL35181J12,BL35181J,1,2,0.5207322948842127,0.2610426151174941,0.01985930023512156,0.007635915885122324,0.19072987387804924
BL35181J13,BL35181J,1,3,0.6271918331790536,0.3144106826518221,0.058334830627224554,6.155371337903569E-5,1.0998285207034532E-6
BL35188L12,BL35188L,1,2,0.0,0.0599927032888305,0.0342239123376226,0.003966418415618812,0.9018169659579282
BL35189L12,BL35189L,1,2,0.8788044463271679,0.09175684041105339,0.026447517269842905,0.0026056581037462176,3.855378881894959E-4
