| COEFFICIENT NAME               | VALUE      | STD.ERR |  T.TEST     |  P.VAL      |
| asc_carD                       |  0,0000000 |         |             |             |
| b_carD_p.age_group_agg_5_14    |  0,0000000 |         |             |             |
| b_carD_p.age_group_agg_15_24   |  0,0000000 |         |             |             |
| b_carD_p.age_group_agg_40_69   |  0,0000000 |         |             |             |
| b_carD_p.age_group_agg_70      |  0,0000000 |         |             |             |
| b_carD_p.female                |  0,0000000 |         |             |             |
| b_carD_p.occupation_worker     |  0,0000000 |         |             |             |
| b_carD_hh.cars_gr_0            |  0,0000000 |         |             |             |
| b_carD_hh.cars_gr_2            |  0,0000000 |         |             |             |
| b_carD_hh.cars_gr_3            |  0,0000000 |         |             |             |
| asc_carP                       | -1,5832762 | 0,13965 |  -11,33777  | 0,00000 *** |
| b_carP_p.age_group_agg_5_14    |  0,0000000 |         |             |             |
| b_carP_p.age_group_agg_15_24   |  1,5721016 | 0,29258 |   5,37323   | 0,00000 *** |
| b_carP_p.age_group_agg_40_69   |  0,0000000 |         |             |             |
| b_carP_p.age_group_agg_70      |  0,0000000 |         |             |             |
| b_carP_p.female                |  0,9045985 | 0,14900 |   6,07102   | 0,00000 *** |
| b_carP_p.occupation_worker     | -0,7023709 | 0,14551 |  -4,82706   | 0,00000 *** |
| b_carP_hh.cars_gr_0            |  0,0000000 |         |             |             |
| b_carP_hh.cars_gr_2            |  0,0000000 |         |             |             |
| b_carP_hh.cars_gr_3            |  0,0000000 |         |             |             |
| asc_pt                         | -2,9107938 | 0,48352 |  -6,02002   | 0,00000 *** |
| b_pt_p.age_group_agg_5_14      | -1,8720678 | 0,54810 |  -3,41555   | 0,00064 *** |
| b_pt_p.age_group_agg_15_24     |  2,1781499 | 0,46587 |   4,67543   | 0,00000 *** |
| b_pt_p.age_group_agg_40_69     | -0,5224545 | 0,36859 |  -1,41746   | 0,15635     |
| b_pt_p.age_group_agg_70        | -0,6648186 | 0,40570 |  -1,63868   | 0,10128     |
| b_pt_p.female                  |  0,4526684 | 0,28194 |   1,60553   | 0,10838     |
| b_pt_p.occupation_worker       | -0,7277444 | 0,34267 |  -2,12377   | 0,03369 *   |
| b_pt_hh.cars_gr_0              |  2,8577096 | 0,32427 |   8,81285   | 0,00000 *** |
| b_pt_hh.cars_gr_2              | -0,6455940 | 0,39433 |  -1,63718   | 0,10159     |
| b_pt_hh.cars_gr_3              | -2,1621791 | 1,14396 |  -1,89008   | 0,05875 .   |
| asc_bike                       | -3,7349676 | 0,42256 |  -8,83892   | 0,00000 *** |
| b_bike_p.age_group_agg_5_14    |  0,0000000 |         |             |             |
| b_bike_p.age_group_agg_15_24   |  0,0000000 |         |             |             |
| b_bike_p.age_group_agg_40_69   |  0,0000000 |         |             |             |
| b_bike_p.age_group_agg_70      |  0,0000000 |         |             |             |
| b_bike_p.female                |  0,0000000 |         |             |             |
| b_bike_p.occupation_worker     |  0,0000000 |         |             |             |
| b_bike_hh.cars_gr_0            |  0,0000000 |         |             |             |
| b_bike_hh.cars_gr_2            |  0,0000000 |         |             |             |
| b_bike_hh.cars_gr_3            |  0,0000000 |         |             |             |
| asc_walk                       |  1,7029024 | 0,18272 |   9,31996   | 0,00000 *** |
| b_walk_p.age_group_agg_5_14    | -1,6377403 | 0,25035 |  -6,54187   | 0,00000 *** |
| b_walk_p.age_group_agg_15_24   |  1,8552004 | 0,33110 |   5,60313   | 0,00000 *** |
| b_walk_p.age_group_agg_40_69   | -0,5797682 | 0,18572 |  -3,12168   | 0,00180 **  |
| b_walk_p.age_group_agg_70      | -1,0678169 | 0,22267 |  -4,79555   | 0,00000 *** |
| b_walk_p.female                |  0,0000000 |         |             |             |
| b_walk_p.occupation_worker     |  0,0000000 |         |             |             |
| b_walk_hh.cars_gr_0            |  1,8865848 | 0,22680 |   8,31811   | 0,00000 *** |
| b_walk_hh.cars_gr_2            |  0,0000000 |         |             |             |
| b_walk_hh.cars_gr_3            |  0,0000000 |         |             |             |
| b_car_time                     | -0,3496511 | 0,04654 |  -7,51302   | 0,00000 *** |
| b_pt_time                      | -0,0841061 | 0,01459 |  -5,76440   | 0,00000 *** |
| b_bike_cost                    | -0,3008718 | 0,06040 |  -4,98166   | 0,00000 *** |
| b_walk_cost                    | -0,1557452 | 0,01392 |  -11,18899  | 0,00000 *** |
| g_walk_aadt                    |  0,2011190 | 0,12398 |   1,62218   | 0,10476     |


Iterations: 50

Start LL = 3618.2737582613204
Final LL = 1602.9743866404128
