Iteration,LL,asc_carD,b_carD_p.age_group_agg_5_14,b_carD_p.age_group_agg_15_24,b_carD_p.age_group_agg_40_69,b_carD_p.age_group_agg_70,b_carD_p.female,b_carD_p.occupation_worker,b_carD_hh.cars_gr_0,b_carD_hh.cars_gr_23,asc_carP,b_carP_p.age_group_agg_5_14,b_carP_p.age_group_agg_15_24,b_carP_p.age_group_agg_40_69,b_carP_p.age_group_agg_70,b_carP_p.female,b_carP_p.occupation_worker,b_carP_hh.cars_gr_0,b_carP_hh.cars_gr_23,asc_pt,b_pt_p.age_group_agg_5_14,b_pt_p.age_group_agg_15_24,b_pt_p.age_group_agg_40_69,b_pt_p.age_group_agg_70,b_pt_p.female,b_pt_p.occupation_worker,b_pt_hh.cars_gr_0,b_pt_hh.cars_gr_23,asc_bike,b_bike_p.age_group_agg_5_14,b_bike_p.age_group_agg_15_24,b_bike_p.age_group_agg_40_69,b_bike_p.age_group_agg_70,b_bike_p.female,b_bike_p.occupation_worker,b_bike_hh.cars_gr_0,b_bike_hh.cars_gr_23,asc_walk,b_walk_p.age_group_agg_5_14,b_walk_p.age_group_agg_15_24,b_walk_p.age_group_agg_40_69,b_walk_p.age_group_agg_70,b_walk_p.female,b_walk_p.occupation_worker,b_walk_hh.cars_gr_0,b_walk_hh.cars_gr_23,b_car_time,b_pt_time,b_bike_cost,b_walk_cost,g_walk_speed
0,3777.1301332939015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,-0.1,0.0
1,3016.875067183136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0011663399475433701,0.0,-1.838437766748592E-4,0.0,0.0,-6.125182355944085E-4,-6.816434996911698E-4,0.0,0.0,-0.0029793838501500345,-5.934999470260757E-4,-2.587488599416739E-4,0.0,0.0,0.0,-9.663469812723689E-4,-4.7083609995783414E-4,-0.0011192120407857477,-0.0011859768754984956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0034075778453324075,5.60698301909724E-4,7.237077677277198E-4,9.229200403674992E-4,4.884959508095987E-4,0.0,0.0,0.001492828677237034,0.0,0.010901859653137821,-0.07814762541274207,-0.10594370560162383,-0.056433051844441286,-0.0019553153750694347
2,2886.1686880454713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0023949713684146834,0.0,-3.206456143882728E-4,0.0,0.0,-0.0012080283979444175,-0.001217016204436875,0.0,0.0,-0.0032526094361066396,-6.679746683107817E-4,-2.8822224692702807E-4,0.0,0.0,0.0,-0.001051322153343517,-4.887100005939697E-4,-0.001235575544630854,-0.0018752643224050215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004942145001199486,8.05349937610314E-4,0.0010681305170625285,0.0013312239270629933,6.989403482704317E-4,0.0,0.0,0.002189432721245976,0.0,0.008745466014511705,-0.07665324229086455,-0.10957339833032873,-0.038214884732968996,-0.002408820575175656
3,2749.610174641446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.279316358851849,0.0,-0.03214400957768717,0.0,0.0,-0.13925526164734592,-0.13843259497889548,0.0,0.0,-0.09557327660605448,-0.02405404172628582,-0.009389272044424806,0.0,0.0,0.0,-0.031105163498378538,-0.00475438630816483,-0.041570264030036295,-0.167369999297691,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29416849101962506,0.039803475129955246,0.08705769075397923,0.0687719522313487,0.03314122748293854,0.0,0.0,0.17055240092585208,0.0,-0.054275942818076545,-0.10625985826844012,-0.8213364272813238,-0.10564899930049322,0.13699213221660833
4,2419.831959395244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.1656253847379572,0.0,-0.13169728313842358,0.0,0.0,-0.5252034732342997,-0.5420830328807793,0.0,0.0,-0.43231666468583707,-0.11161019479214003,-0.04260973536069968,0.0,0.0,0.0,-0.13834403045367955,-0.029738597466108952,-0.18237962686837308,-0.39503543070680014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.165672427721348,0.1514976474385656,0.3557354224433543,0.2678041313221769,0.12116865340342758,0.0,0.0,0.6757712214476456,0.0,-0.9288375062727172,-0.2835259866662192,-0.8657254249267925,-0.23056148005177413,0.40502025971262995
5,2227.091325638793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.6711811675397676,0.0,-0.18064432578664777,0.0,0.0,-0.5457085920793147,-0.8611772038562312,0.0,0.0,-0.9006247865370695,-0.2671612393698763,-0.05660039945635755,0.0,0.0,0.0,-0.3152907374757723,0.03458143317172323,-0.43416412267708615,-0.7708949158535872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.112451434819848,0.2536276770057535,0.7121969655191199,0.4424211871621748,0.1538086879545394,0.0,0.0,1.2440274954159565,0.0,-0.26023720216906954,-0.1327841824634993,-0.5502267447887936,-0.21765443853372593,0.07631003532742558
6,2063.757012848378,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.385280609874215,0.0,-0.1376260481789926,0.0,0.0,-0.09040463029414347,-0.9275962219814968,0.0,0.0,-1.3434885123755036,-0.4496433138417615,-0.0451345904950295,0.0,0.0,0.0,-0.4795132109077518,0.13902001462415015,-0.6732757444326998,-1.1405408793699436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.667366017287872,0.2830217828873362,1.0081487939368547,0.4719406471637884,0.09141101634951523,0.0,0.0,1.6265951977710238,0.0,-0.37459131421091246,-0.12443509453561132,-0.5467420778122989,-0.2690271864512395,-0.4016849097366457
7,1969.3646809178354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.2361376205404007,0.0,-0.05887129236643929,0.0,0.0,0.45709006096529425,-1.1804408365351695,0.0,0.0,-1.8862637580693131,-0.7519952041589772,0.04010524877280163,0.0,0.0,0.0,-0.6996470410332684,0.5085271223107228,-1.018505952204066,-1.6080521439891575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6066184061214237,0.19872485046493485,1.4028231902383062,0.057970401948391204,-0.2535873980265343,0.0,0.0,2.156283065076519,0.0,-0.3384276754357825,-0.09267196284170726,-0.44151006147481153,-0.2316299378230637,0.04511223739931003
8,1902.5904212898572,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.4741365080939375,0.0,0.07511781611719379,0.0,0.0,0.5148580317202189,-1.3873597991333562,0.0,0.0,-2.125262285076651,-0.9920333586479049,0.20747829728941747,0.0,0.0,0.0,-0.8419715294165003,1.0496641248642335,-1.22503092366371,-2.0793801267090477,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.214613054634258,-0.007212984211314499,1.6576856151737223,-0.34514183870102244,-0.6577207791865456,0.0,0.0,2.4556709753450106,0.0,-0.4086041036847525,-0.1011234320422184,-0.42685213327243987,-0.24226130590485992,-0.2567360748282027
9,1853.8079609286997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.5492031688088623,0.0,0.42380653555259584,0.0,0.0,0.6772651181327858,-1.3437783046826208,0.0,0.0,-1.8526585980263182,-1.2047256571312388,0.6673393300168998,0.0,0.0,0.0,-0.7504800955056141,1.987871428586461,-1.0367958046438137,-2.8007128158339247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2394877680445195,-0.6938730027939015,1.7820376995099847,-0.10297130570560525,-0.9636537302608132,0.0,0.0,2.691898401984731,0.0,-0.4442031241348049,-0.12381766177095316,-0.32142192837447864,-0.23814311642663172,-0.19799690189254188
