Iteration,LL,asc_carD,b_carD_p.age_group_agg_15_24,b_carD_p.female,b_carD_hh.cars_gr_0,b_carD_hh.cars_gr_23,b_carD_hh.income_agg_high,asc_carP,b_carP_p.age_group_agg_15_24,b_carP_p.female,b_carP_hh.cars_gr_0,b_carP_hh.cars_gr_23,b_carP_hh.income_agg_high,asc_pt,b_pt_p.age_group_agg_15_24,b_pt_p.female,b_pt_hh.cars_gr_0,b_pt_hh.cars_gr_23,b_pt_hh.income_agg_high,asc_bike,b_bike_p.age_group_agg_15_24,b_bike_p.female,b_bike_hh.cars_gr_0,b_bike_hh.cars_gr_23,b_bike_hh.income_agg_high,asc_walk,b_walk_p.age_group_agg_15_24,b_walk_p.female,b_walk_hh.cars_gr_0,b_walk_hh.cars_gr_23,b_walk_hh.income_agg_high,b_car_time,b_pt_time,b_bike_cost,b_walk_cost,g_walk_speed
0,996.9092504649126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,-0.1,0.0
1,913.784586870546,0.0,0.0,0.0,0.0,0.0,0.0,-0.0034013359280373493,-2.8895718623482916E-4,0.0,-5.23388996278284E-4,-0.0015966074589525456,0.0,-0.0031057151111963887,-2.8895718623482916E-4,0.0,-3.092066039120569E-4,-0.0015490113717600508,-7.53164372259366E-4,-0.001478074274794058,0.0,0.0,0.0,0.0,0.0,0.00488959534028959,0.0,0.002416836205213085,0.001764594878012088,0.0,9.977332939961332E-4,0.01692577442830207,-0.10594063096977717,-0.1071641287107942,-0.05494805873754241,-0.002032437186683897
2,897.9751378575672,0.0,0.0,0.0,0.0,0.0,0.0,-0.0045172577641779624,-3.8125780900256315E-4,0.0,-6.800139480831314E-4,-0.002119789157803514,0.0,-0.00321951503445662,-3.036220485406251E-4,0.0,-3.0318209025649996E-4,-0.0016397703694233695,-7.769791905158596E-4,-0.0018800483548755032,0.0,0.0,0.0,0.0,0.0,0.006012728240061203,0.0,0.0029651212264659157,0.002182205432791968,0.0,0.0012257257143998114,0.015591723132576453,-0.10558766495500481,-0.10912222076469451,-0.04547883938823974,-0.0023078655901509846
3,876.2263210019557,0.0,0.0,0.0,0.0,0.0,0.0,-1.7666141092559757,-0.1387742064395013,0.0,-0.236678815226941,-0.8404888726153247,0.0,-0.21377327524576273,-0.026157040250048023,0.0,0.01221970300046458,-0.1692087298817428,-0.04539948501551927,-0.5761967136660398,0.0,0.0,0.0,0.0,0.0,1.4159831892935957,0.0,0.6210553778605175,0.6330500643326318,0.0,0.27435206693245506,-0.25308477859123174,-0.20483772856277555,-2.4866527015572593,-0.3050948827292932,0.541592507059384
4,730.4866213689746,0.0,0.0,0.0,0.0,0.0,0.0,-2.59975204827088,-0.17425071697417968,0.0,-0.34483082801377773,-1.2227084701926305,0.0,-0.4378984288753269,-0.04582995699457504,0.0,0.04559485123868684,-0.3667661400904838,-0.09418202310970297,-0.7161536580863707,0.0,0.0,0.0,0.0,0.0,2.711909805037532,0.0,1.1067029471892764,1.2504367529264426,0.0,0.5220235522779952,-1.5497963783192041,-0.4797384845567241,-2.2708242023149485,-0.5412688228486202,0.11928311322564311
5,696.8588295083313,0.0,0.0,0.0,0.0,0.0,0.0,-2.7018200727136477,-0.17696152007439173,0.0,-0.3574704971896922,-1.2722858210238501,0.0,-0.45987170263400584,-0.044035021140282696,0.0,0.058263893254492466,-0.39433998463138586,-0.0985131593497692,-0.7338407147265744,0.0,0.0,0.0,0.0,0.0,2.8732764639943653,0.0,1.1590858651133245,1.3286865966232408,0.0,0.5532497956001431,-1.5392050743516632,-0.4764930146029946,-2.22781890820699,-0.556124506004619,-0.038643589476706375
6,552.7562687976678,0.0,0.0,0.0,0.0,0.0,0.0,-3.578216663830047,0.05053384524151558,0.0,-0.5096611299651803,-1.9267790214026161,0.0,-0.8131045621530191,0.18289431325995353,0.0,0.8835583799414738,-1.467870859461203,-0.16342469687070865,-0.8931954282560444,0.0,0.0,0.0,0.0,0.0,4.588797819706957,0.0,0.5752051838376128,2.7879692563238114,0.0,0.9066243399935116,-0.22246708559211004,-0.17265450895855733,-0.3627560923537132,-0.25881921397920976,1.6713648522119313
7,484.1247165460982,0.0,0.0,0.0,0.0,0.0,0.0,-2.230710042070351,0.6309225668199232,0.0,-0.28147318031885654,-2.0831604460848614,0.0,-1.2175951533091587,0.4775377080456094,0.0,2.0447774728516017,-2.9598557428960373,-0.21847869195893224,-2.0713515822294886,0.0,0.0,0.0,0.0,0.0,6.126181479152774,0.0,-0.44793033414439,4.428033665010064,0.0,1.147626562282242,0.43828754811728965,0.011758407752002709,0.11062507186045534,-0.12527423360285947,2.5667132823073286
8,478.80353224531956,0.0,0.0,0.0,0.0,0.0,0.0,-1.6336150590360534,0.8776352229754616,0.0,-0.1935289255103288,-1.998353193054623,0.0,-1.373663304126952,0.6145342463481265,0.0,2.5513643799426013,-3.58987689214499,-0.2344247175765554,-2.197929393932144,0.0,0.0,0.0,0.0,0.0,6.56665813935275,0.0,-0.9900379374977973,5.095729397878646,0.0,1.2338848503682236,0.5206899529545356,0.045653707298598245,-0.04149769204870296,-0.12292565286356341,2.6013840044999554
9,442.244596875837,0.0,0.0,0.0,0.0,0.0,0.0,-1.9205752419191202,1.2951040970888155,0.0,-0.07046258421004584,-2.3059839971796587,0.0,-1.4373840941817422,1.057748118597315,0.0,3.985394636194668,-5.099916767834473,-0.08703092996430406,-2.9555511491789312,0.0,0.0,0.0,0.0,0.0,5.919063099932492,0.0,-2.855487115319618,6.2737172979705615,0.0,1.1602569544359036,0.25525696927120944,-0.001440562141069926,-0.08418846457893361,-0.13326132567607032,2.1862143635764104
