Iteration,LL,asc_carD,b_carD_p.age_group_agg_15_24,b_carD_p.female,b_carD_hh.cars_gr_0,b_carD_hh.cars_gr_23,b_carD_hh.income_agg_high,asc_carP,b_carP_p.age_group_agg_15_24,b_carP_p.female,b_carP_hh.cars_gr_0,b_carP_hh.cars_gr_23,b_carP_hh.income_agg_high,asc_pt,b_pt_p.age_group_agg_15_24,b_pt_p.female,b_pt_hh.cars_gr_0,b_pt_hh.cars_gr_23,b_pt_hh.income_agg_high,asc_bike,b_bike_p.age_group_agg_15_24,b_bike_p.female,b_bike_hh.cars_gr_0,b_bike_hh.cars_gr_23,b_bike_hh.income_agg_high,asc_walk,b_walk_p.age_group_agg_15_24,b_walk_p.female,b_walk_hh.cars_gr_0,b_walk_hh.cars_gr_23,b_walk_hh.income_agg_high,b_car_time,b_pt_time,b_bike_cost,b_walk_cost,g_walk_speed
0,996.9092504649126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,-0.1,0.0
1,913.784586870546,0.0,0.0,0.0,0.0,0.0,0.0,-0.0034013359280373493,-2.8895718623482916E-4,0.0,-5.23388996278284E-4,-0.0015966074589525456,0.0,-0.0031057151111963887,-2.8895718623482916E-4,0.0,-3.092066039120569E-4,-0.0015490113717600508,-7.53164372259366E-4,-0.001478074274794058,0.0,0.0,0.0,0.0,0.0,0.00488959534028959,0.0,0.002416836205213085,0.001764594878012088,0.0,9.977332939961332E-4,0.01692577442830207,-0.10594063096977717,-0.1071641287107942,-0.05494805873754241,-0.002032437186683897
2,897.9751378575672,0.0,0.0,0.0,0.0,0.0,0.0,-0.0045172577641779624,-3.8125780900256315E-4,0.0,-6.800139480831314E-4,-0.002119789157803514,0.0,-0.00321951503445662,-3.036220485406251E-4,0.0,-3.0318209025649996E-4,-0.0016397703694233695,-7.769791905158596E-4,-0.0018800483548755032,0.0,0.0,0.0,0.0,0.0,0.006012728240061203,0.0,0.0029651212264659157,0.002182205432791968,0.0,0.0012257257143998114,0.015591723132576453,-0.10558766495500481,-0.10912222076469451,-0.04547883938823974,-0.0023078655901509846
3,859.2890555216591,0.0,0.0,0.0,0.0,0.0,0.0,-1.6606972171692955,-0.13045562225200652,0.0,-0.2224932955453885,-0.790095815238142,0.0,-0.2011172172771753,-0.024603031624811218,0.0,0.01146697191894379,-0.15913642120772312,-0.042717295821376594,-0.5416754351041686,0.0,0.0,0.0,0.0,0.0,1.3312320650620404,0.0,0.5839029370305409,0.5951295817692134,0.0,0.25793486876066823,-0.2369350533277111,-0.19887196211364955,-2.343743054364084,-0.28948976748080646,0.5088995043864296
4,703.4265675372076,0.0,0.0,0.0,0.0,0.0,0.0,-2.5661113356215295,-0.1718646083058848,0.0,-0.34058409360926206,-1.2022132066364821,0.0,-0.43444895679426265,-0.045883615076317774,0.0,0.043561084663475656,-0.36179208012700553,-0.09327655220703146,-0.6924698713119293,0.0,0.0,0.0,0.0,0.0,2.6659525196586134,0.0,1.088033359232179,1.2290235572577286,0.0,0.5129000017077092,-1.5620501729410157,-0.4804087112794277,-2.1561401267815072,-0.5384739335101913,0.012688261894641895
5,673.7154766622773,0.0,0.0,0.0,0.0,0.0,0.0,-2.662419013107898,-0.17450809346214655,0.0,-0.3525449006162181,-1.2487165803109885,0.0,-0.4541196693420679,-0.043959946645429585,0.0,0.05572950175792206,-0.3872353535005234,-0.09719659853192494,-0.7090761128405441,0.0,0.0,0.0,0.0,0.0,2.811541304002777,0.0,1.1345140485706364,1.299846056242264,0.0,0.5411272468964227,-1.5385579483805711,-0.4745317072527271,-2.1187100282987075,-0.5507784317770786,-0.13536975451824443
6,620.7937353007347,0.0,0.0,0.0,0.0,0.0,0.0,-2.914242556344037,-0.15803103810987204,0.0,-0.3868461163348298,-1.384750591966967,0.0,-0.5289718239499717,-0.021159086097104367,0.0,0.14972705335606035,-0.5318327124750182,-0.10974161655644968,-0.7315998210854643,0.0,0.0,0.0,0.0,0.0,3.266861488958571,0.0,1.1810244633657652,1.5929181511424466,0.0,0.6224305390487758,-1.2609090412975146,-0.41094525655734304,-1.7044573625557178,-0.5001101081049177,0.12517081354590368
7,535.6717619109477,0.0,0.0,0.0,0.0,0.0,0.0,-2.3070205241736352,0.18968607922577504,0.0,-0.3308218754941967,-1.9546736865616023,0.0,-0.8516998708844734,0.17634024727465025,0.0,0.9669135430137445,-1.373418554555065,0.1992281840608636,-1.651907753348726,0.0,0.0,0.0,0.0,0.0,4.028431841013596,0.0,0.29052585419621346,2.4797015246637124,0.0,0.680551661107848,-0.9850896411295587,-0.32895362705475256,-1.3381596411178742,-0.4431830772143912,0.32486623906747203
8,522.0745607625589,0.0,0.0,0.0,0.0,0.0,0.0,-2.4259842211510882,0.23790168089201452,0.0,-0.3346071624670663,-2.0765532396734936,0.0,-0.8972745825506572,0.22742823622946234,0.0,1.1357970360575116,-1.481425398109295,0.25176772728247,-1.8254602928058428,0.0,0.0,0.0,0.0,0.0,3.980218206360131,0.0,0.20948584893787953,2.5208091269635102,0.0,0.6858052003148289,-0.9481461127510681,-0.31961673052377976,-1.197133161085267,-0.4270553769402918,0.3565503275267788
9,508.55407635373297,0.0,0.0,0.0,0.0,0.0,0.0,-2.390997878144505,0.3085724112833486,0.0,-0.3183173475294955,-2.164534907986846,0.0,-0.9867552446634953,0.29781006042283126,0.0,1.3233529915668825,-1.5719704729483732,0.26050403650209314,-2.065355083622724,0.0,0.0,0.0,0.0,0.0,3.9980489191579225,0.0,0.2953814296369038,2.5498561236182815,0.0,0.7347035009523553,-0.88994603439149,-0.30268353228130807,-1.065641616006602,-0.4111967153285694,0.4196808712847756
