| COEFFICIENT NAME               | VALUE      | STD.ERR |  T.TEST     |  P.VAL      |
| asc_carD                       |  0,0000000 |         |             |             |
| b_carD_p.age_group_agg_15_24   |  0,0000000 |         |             |             |
| b_carD_p.female                |  0,0000000 |         |             |             |
| b_carD_hh.cars_gr_0            |  0,0000000 |         |             |             |
| b_carD_hh.cars_gr_23           |  0,0000000 |         |             |             |
| b_carD_hh.income_agg_high      |  0,0000000 |         |             |             |
| asc_carP                       | -2,1997156 | 0,27293 |  -8,05962   | 0,00000 *** |
| b_carP_p.age_group_agg_15_24   |  1,3747514 | 0,55680 |   2,46902   | 0,01355 *   |
| b_carP_p.female                |  0,0000000 |         |             |             |
| b_carP_hh.cars_gr_0            |  2,4856489 | 0,95341 |   2,60711   | 0,00913 **  |
| b_carP_hh.cars_gr_23           | -1,2996962 | 0,49120 |  -2,64597   | 0,00815 **  |
| b_carP_hh.income_agg_high      |  0,0000000 |         |             |             |
| asc_pt                         | -2,0290445 | 0,48013 |  -4,22606   | 0,00002 *** |
| b_pt_p.age_group_agg_15_24     |  1,2605269 | 0,59603 |   2,11488   | 0,03444 *   |
| b_pt_p.female                  |  0,0000000 |         |             |             |
| b_pt_hh.cars_gr_0              |  4,0769027 | 0,82335 |   4,95162   | 0,00000 *** |
| b_pt_hh.cars_gr_23             | -1,4166375 | 0,48952 |  -2,89393   | 0,00380 **  |
| b_pt_hh.income_agg_high        |  0,8760065 | 0,48551 |   1,80431   | 0,07118 .   |
| asc_bike                       | -2,8144212 | 0,74466 |  -3,77946   | 0,00016 *** |
| b_bike_p.age_group_agg_15_24   |  0,0000000 |         |             |             |
| b_bike_p.female                |  0,0000000 |         |             |             |
| b_bike_hh.cars_gr_0            |  0,0000000 |         |             |             |
| b_bike_hh.cars_gr_23           |  0,0000000 |         |             |             |
| b_bike_hh.income_agg_high      |  0,0000000 |         |             |             |
| asc_walk                       |  3,0011784 | 0,35779 |   8,38805   | 0,00000 *** |
| b_walk_p.age_group_agg_15_24   |  0,0000000 |         |             |             |
| b_walk_p.female                | -0,6321763 | 0,33636 |  -1,87946   | 0,06018 .   |
| b_walk_hh.cars_gr_0            |  5,8826528 | 0,99473 |   5,91379   | 0,00000 *** |
| b_walk_hh.cars_gr_23           |  0,0000000 |         |             |             |
| b_walk_hh.income_agg_high      |  0,8688065 | 0,42465 |   2,04592   | 0,04076 *   |
| b_car_time                     | -0,1774498 | 0,05067 |  -3,50205   | 0,00046 *** |
| b_pt_time                      | -0,0495436 | 0,01693 |  -2,92593   | 0,00343 **  |
| b_bike_cost                    | -0,1693568 | 0,06370 |  -2,65853   | 0,00785 **  |
| b_walk_cost                    | -0,0401074 | 0,05237 |  -0,76584   | 0,44377     |
| g_walk_speed                   |  7,5961741 | 12,28515 |   0,61832   | 0,53636     |


Iterations: 82

Start LL = 996.9092504649126
Final LL = 318.03183259360213
