Iteration,LL,asc_carD,b_carD_p.age_group_agg_15_24,b_carD_p.female,b_carD_hh.cars_gr_0,b_carD_hh.cars_gr_23,b_carD_hh.income_agg_high,asc_carP,b_carP_p.age_group_agg_15_24,b_carP_p.female,b_carP_hh.cars_gr_0,b_carP_hh.cars_gr_23,b_carP_hh.income_agg_high,asc_pt,b_pt_p.age_group_agg_15_24,b_pt_p.female,b_pt_hh.cars_gr_0,b_pt_hh.cars_gr_23,b_pt_hh.income_agg_high,asc_bike,b_bike_p.age_group_agg_15_24,b_bike_p.female,b_bike_hh.cars_gr_0,b_bike_hh.cars_gr_23,b_bike_hh.income_agg_high,asc_walk,b_walk_p.age_group_agg_15_24,b_walk_p.female,b_walk_hh.cars_gr_0,b_walk_hh.cars_gr_23,b_walk_hh.income_agg_high,b_car_time,b_pt_time,b_bike_cost,b_walk_cost
0,996.9092504649126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,-0.1
1,927.5197023675295,0.0,0.0,0.0,0.0,0.0,0.0,-0.004080308164993243,-3.46638612378336E-4,0.0,-6.278675321005958E-4,-0.0019153210940891369,0.0,-0.003725675732849393,-3.46638612378336E-4,0.0,-3.7093020428011767E-4,-0.0018582239101290307,-9.035105037346831E-4,-0.001773126400775324,0.0,0.0,0.0,0.0,0.0,0.005865652853056697,0.0,0.0028992833140337646,0.0021168420411836826,0.0,0.001196900098111486,0.020304485372747465,-0.12708842369472986,-0.10859422694264237,-0.045954822554656195
2,916.4574131043119,0.0,0.0,0.0,0.0,0.0,0.0,-0.004989041224245991,-4.218806103390672E-4,0.0,-7.55685863547637E-4,-0.002341110031860449,0.0,-0.0038018580370757435,-3.5617609137610475E-4,0.0,-3.6165964069843676E-4,-0.0019264049754144144,-9.195389380359801E-4,-0.0020968999638525344,0.0,0.0,0.0,0.0,0.0,0.00675886479877397,0.0,0.003332952833578907,0.002452727803287054,0.0,0.0013777875485824682,0.01925044531113904,-0.1266415496061452,-0.11013709165983651,-0.0388165656221238
3,744.5596963340308,0.0,0.0,0.0,0.0,0.0,0.0,-1.3923263446296499,-0.11115052065272168,0.0,-0.19077837654944205,-0.6589844487828208,0.0,-0.15031269818348583,-0.017758351708645453,0.0,0.014034992788927256,-0.12608367012915686,-0.032416925939426744,-0.47053429338136427,0.0,0.0,0.0,0.0,0.0,1.15201069825734,0.0,0.5101572235935276,0.5055089746674113,0.0,0.22468166643454235,-0.152450358574079,-0.19089452573831261,-2.0976645975900543,-0.23500270632087075
4,597.4933944270822,0.0,0.0,0.0,0.0,0.0,0.0,-1.8854547931440275,-0.13478865275632898,0.0,-0.25732857211170274,-0.8754566642615156,0.0,-0.2652828258595482,-0.02815081315251436,0.0,0.033297128277438984,-0.2297007648798377,-0.057306077579647216,-0.5512730460907352,0.0,0.0,0.0,0.0,0.0,1.8861517358348636,0.0,0.7940000021456097,0.8330860002544084,0.0,0.36834579442241133,-1.0638223222476768,-0.3871746041054033,-2.087250906499468,-0.3796653491887301
5,534.2659073268686,0.0,0.0,0.0,0.0,0.0,0.0,-2.224442689258043,-0.12760468315761156,0.0,-0.2946001207289869,-1.0349667806955187,0.0,-0.3472660201701783,-0.005654048766080978,0.0,0.12497351387161358,-0.3673027590343752,-0.07130297637358383,-0.5833176977481053,0.0,0.0,0.0,0.0,0.0,2.5687569594786623,0.0,0.9634354796324063,1.1581002949829835,0.0,0.5010527500776236,-0.7745360169384611,-0.3203421204779657,-1.6308643891487566,-0.3541395996566255
6,455.0595385786443,0.0,0.0,0.0,0.0,0.0,0.0,-1.5566674570552443,0.6541226319925751,0.0,-0.048141544249611395,-1.700732677721738,0.0,-1.1989479778423153,0.551156836654996,0.0,2.1661089423888287,-3.236505407770859,-0.3669966425095904,-2.1096036050116544,0.0,0.0,0.0,0.0,0.0,3.954253397951222,0.0,-2.1612945889324306,3.2179605612962603,0.0,0.5423696484437877,-0.693760871825725,-0.24141199976085267,-1.2870852380656528,-0.3227989474074855
7,419.3288211194692,0.0,0.0,0.0,0.0,0.0,0.0,-1.993524715244877,0.8626906358922362,0.0,0.09295810607322791,-1.8684005752172865,0.0,-1.432485371013532,0.9622569036657567,0.0,3.260684197997006,-4.428797398205589,-0.33083881493589895,-2.8929091551161354,0.0,0.0,0.0,0.0,0.0,3.581048296794484,0.0,-1.9182999536811953,3.4384392847660337,0.0,0.588363141981528,-0.6708638716333192,-0.22025742235177692,-0.8666966095544817,-0.30254124187624376
8,394.1044542358565,0.0,0.0,0.0,0.0,0.0,0.0,-1.0915019270401372,1.4580679311564722,0.0,0.6128524676353735,-1.960673355410846,0.0,-2.3990642782043574,1.757797405927401,0.0,4.426380978735688,-6.221871849780195,0.15247782566714796,-4.828814178233211,0.0,0.0,0.0,0.0,0.0,3.559374777240121,0.0,-0.31527722837766103,4.2207762534819295,0.0,0.7783228069897384,-0.5158746262052476,-0.12753568758139702,-0.4290593205253695,-0.29402661871331676
9,389.6679359267254,0.0,0.0,0.0,0.0,0.0,0.0,-1.1239796069196537,1.4720891985644406,0.0,0.6606673523024426,-1.9977786385875846,0.0,-2.475135814686312,1.8034636330310747,0.0,4.396137070662332,-6.2443175439285294,0.2362144748721004,-4.969288558509614,0.0,0.0,0.0,0.0,0.0,3.5152639833622237,0.0,-0.2924816691374579,4.296428676523746,0.0,0.7634952895437349,-0.5079604215308487,-0.12373966621895277,-0.3659586913419835,-0.29045174604007273
10,383.8330057469736,0.0,0.0,0.0,0.0,0.0,0.0,-1.1734421039707659,1.476348477788658,0.0,0.6977908673221644,-1.91522679472979,0.0,-2.4087653583594504,1.8845271420820784,0.0,4.454100458404809,-6.1156935481927945,0.40538654930224827,-5.181370198046007,0.0,0.0,0.0,0.0,0.0,3.5310189719286598,0.0,-0.31623822229696896,4.375148413321153,0.0,0.7882755418411387,-0.502020229175551,-0.1257889627791601,-0.29410826592983624,-0.28779830955014774
11,373.6479229764769,0.0,0.0,0.0,0.0,0.0,0.0,-1.2788248765387842,1.4096449653194352,0.0,0.8844915336671779,-1.7628505399150518,0.0,-2.54308619418761,1.8980080804282355,0.0,4.486079106119366,-5.818942562323379,0.5926221008439315,-5.296201049098615,0.0,0.0,0.0,0.0,0.0,3.4368071746191275,0.0,-0.34802312136189495,4.764995743251056,0.0,0.7464613310075205,-0.47206003867124374,-0.11717389740596856,-0.20898148825962579,-0.27843231488447895
12,351.20657012045103,0.0,0.0,0.0,0.0,0.0,0.0,-1.878295041549403,1.1984398639205291,0.0,2.2197377278370727,-0.8330030860388218,0.0,-2.8084231427243616,2.295276675604893,0.0,4.4113848859276406,-4.454670999913986,1.8353135965681413,-3.7870955317972586,0.0,0.0,0.0,0.0,0.0,3.385440444648117,0.0,-0.6517491186740991,5.844681209445039,0.0,0.9551981118722223,-0.369733426912532,-0.09809953997689841,-0.34427806964654506,-0.25714181613894654
13,344.2717876933579,0.0,0.0,0.0,0.0,0.0,0.0,-1.8824852713588454,1.2041592715268759,0.0,2.4315674269032357,-1.2277589535164106,0.0,-2.770959072100458,2.3666917359476605,0.0,4.531174623390974,-3.917583623624873,2.0134545565225466,-3.3423143627551597,0.0,0.0,0.0,0.0,0.0,3.42752818549381,0.0,-0.7623982410349648,5.880397790878945,0.0,1.0187665305302767,-0.35325869869919874,-0.09936074336081625,-0.3187960514228215,-0.2503533682472704
