| COEFFICIENT NAME               | VALUE      | STD.ERR |  T.TEST     |  P.VAL      |
| asc_carD                       |  0,0000000 |         |             |             |
| b_carD_p.age_group_agg_15_24   |  0,0000000 |         |             |             |
| b_carD_p.female                |  0,0000000 |         |             |             |
| b_carD_hh.cars_gr_0            |  0,0000000 |         |             |             |
| b_carD_hh.cars_gr_23           |  0,0000000 |         |             |             |
| b_carD_hh.income_agg_high      |  0,0000000 |         |             |             |
| asc_carP                       | -2,2098060 | 0,27282 |  -8,09974   | 0,00000 *** |
| b_carP_p.age_group_agg_15_24   |  1,3681899 | 0,55531 |   2,46385   | 0,01375 *   |
| b_carP_p.female                |  0,0000000 |         |             |             |
| b_carP_hh.cars_gr_0            |  2,5028980 | 0,95276 |   2,62699   | 0,00861 **  |
| b_carP_hh.cars_gr_23           | -1,2827701 | 0,49111 |  -2,61196   | 0,00900 **  |
| b_carP_hh.income_agg_high      |  0,0000000 |         |             |             |
| asc_pt                         | -2,0320907 | 0,48219 |  -4,21430   | 0,00003 *** |
| b_pt_p.age_group_agg_15_24     |  1,2899756 | 0,58946 |   2,18842   | 0,02864 *   |
| b_pt_p.female                  |  0,0000000 |         |             |             |
| b_pt_hh.cars_gr_0              |  4,1010373 | 0,82359 |   4,97946   | 0,00000 *** |
| b_pt_hh.cars_gr_23             | -1,4136983 | 0,49149 |  -2,87638   | 0,00402 **  |
| b_pt_hh.income_agg_high        |  0,8636008 | 0,48567 |   1,77816   | 0,07538 .   |
| asc_bike                       | -2,8188528 | 0,74787 |  -3,76915   | 0,00016 *** |
| b_bike_p.age_group_agg_15_24   |  0,0000000 |         |             |             |
| b_bike_p.female                |  0,0000000 |         |             |             |
| b_bike_hh.cars_gr_0            |  0,0000000 |         |             |             |
| b_bike_hh.cars_gr_23           |  0,0000000 |         |             |             |
| b_bike_hh.income_agg_high      |  0,0000000 |         |             |             |
| asc_walk                       |  3,2130307 | 0,36071 |   8,90759   | 0,00000 *** |
| b_walk_p.age_group_agg_15_24   |  0,0000000 |         |             |             |
| b_walk_p.female                | -0,7449610 | 0,32728 |  -2,27623   | 0,02283 *   |
| b_walk_hh.cars_gr_0            |  5,7103624 | 0,98104 |   5,82070   | 0,00000 *** |
| b_walk_hh.cars_gr_23           |  0,0000000 |         |             |             |
| b_walk_hh.income_agg_high      |  0,6978256 | 0,39448 |   1,76897   | 0,07690 .   |
| b_car_time                     | -0,1904102 | 0,05094 |  -3,73814   | 0,00019 *** |
| b_pt_time                      | -0,0532796 | 0,01719 |  -3,09892   | 0,00194 **  |
| b_bike_cost                    | -0,1754941 | 0,06414 |  -2,73612   | 0,00622 **  |
| b_walk_cost                    | -0,1987581 | 0,01908 |  -10,41846  | 0,00000 *** |


Iterations: 39

Start LL = 996.9092504649126
Final LL = 322.60877573079057
