,carD,carP,pt,bike,walk
asc,0 [ NA  ],-0.9721 [ 0 *** ],-3.3934 [ 0.626  ],2.8426 [ 0.019 * ],17.4185 [ 0.036 * ]
p.age_group_agg_5_14,0 [ NA  ],15.1206 [ 0 *** ],13.7273 [ 0.189  ],14.414 [ 0 *** ],14.0471 [ 0 *** ]
p.age_group_agg_15_24,0 [ NA  ],1.6729 [ 0 *** ],2.1847 [ 0.159  ],3.1565 [ 0 *** ],2.4406 [ 0 *** ]
p.age_group_agg_25_39,0 [ NA  ],-0.12 [ 0 *** ],-0.5124 [ 0.251  ],0.6543 [ 0 *** ],0.4368 [ 0 *** ]
p.female_FALSE,0 [ NA  ],-1.0527 [ 0 *** ],-0.578 [ 0.085 . ],0.9364 [ 0 *** ],-0.2329 [ 0 *** ]
hh.cars_gr_0,0 [ NA  ],4.4532 [ 0 *** ],7.6119 [ 0.607  ],8.6461 [ 0 *** ],6.5274 [ 0 *** ]
hh.cars_gr_1,0 [ NA  ],0.4929 [ 0 *** ],1.2519 [ 0.611  ],2.4622 [ 0 *** ],0.5722 [ 0 *** ]
hh.cars_gr_2,0 [ NA  ],0.226 [ 0 *** ],0.512 [ 0.621  ],1.8706 [ 0 *** ],0.4688 [ 0 *** ]
time,-0.1734 [ 0 *** ],-0.1532 [ 0 *** ],-0.0316 [ 0 *** ],NA,NA
logDist,NA,NA,NA,-1.4638 [ 0 *** ],-2.6345 [ 0 *** ]
stressLink,NA,NA,NA,-1.5999 [ 0 *** ],-1.0112 [ 0 *** ]
stressJct,NA,NA,NA,1.123 [ 0.507  ],-5.4041 [ 0.694  ]
vgviDay,NA,NA,NA,3.2432 [ 0.001 *** ],0.1965 [ 0.005 ** ]
shannon,NA,NA,NA,-0.4119 [ 0 *** ],-0.2756 [ 0 *** ]
crime,NA,NA,NA,-1.3275 [ 0.426  ],4.783 [ 0.517  ]
lightNight,NA,NA,NA,5.4297 [ 0.83  ],4.2678 [ 0.87  ]
,r2,0.501399204537254,,,
