,carD,carP,pt,bike,walk
asc,0 [ NA  ],-2.691 [ 0 *** ],-3.47 [ 0 *** ],2.671 [ 0 ** ],12.214 [ 0 *** ]
p.age_group_agg_5_24,0 [ NA  ],2.734 [ 0 *** ],2.043 [ 0 *** ],1.618 [ 0 *** ],1.849 [ 0 *** ]
p.age_group_agg_25_39,0 [ NA  ],0.277 [ 0.06 . ],0.441 [ 0 *** ],0.857 [ 0 *** ],0.269 [ 0.07 . ]
p.female_FALSE,0 [ NA  ],-0.282 [ 0 *** ],-0.36 [ 0 *** ],1.082 [ 0 *** ],0 [ NA  ]
hh.cars_gr_0,0 [ NA  ],5.533 [ 0 *** ],7.587 [ 0 *** ],7.573 [ 0 *** ],7.393 [ 0 *** ]
hh.cars_gr_1,0 [ NA  ],2.198 [ 0 *** ],2.225 [ 0 *** ],2.264 [ 0 *** ],1.899 [ 0 *** ]
hh.cars_gr_2,0 [ NA  ],1.218 [ 0 *** ],0.844 [ 0 *** ],0.485 [ 0.18  ],0.702 [ 0 *** ]
time,-0.448 [ 0 *** ],-0.274 [ 0 *** ],-0.023 [ 0 *** ],NA,NA
timeHBW,0.347 [ 0 *** ],0.014 [ 0.32  ],NA,NA,NA
logDist,NA,NA,NA,-0.84 [ 0 *** ],-1.885 [ 0 *** ]
stressLinkLogDistance,NA,NA,NA,-0.446 [ 0 *** ],NA
stressLinkDistance,NA,NA,NA,NA,-0.0004 [ 0 *** ]
stressJctDistance,NA,NA,NA,-0.003 [ 0 *** ],-0.006 [ 0 *** ]
shannon,NA,NA,NA,1.581 [ 0 *** ],0.468 [ 0.01 ** ]
crimeDistance,NA,NA,NA,NA,-0.001 [ 0.22  ]
lightNightLogDistance,NA,NA,NA,3.053 [ 0 *** ],NA
,r2,0.493110804,,,
