"","Estimate","Std.err.","t-ratio(0)","p(1-sided)","Rob.std.err.","Rob.t-ratio(0)","Rob.p-val(0)"
"carD.asc",0,NA,NA,NA,NA,NA,NA
"carP.asc",-2.69138326089327,0.205620325834237,-13.0890915087011,0,0.217000375709683,-12.4026663644766,0
"pt.asc",-3.47016952229222,0.208167488147414,-16.6700840423016,0,0.215525720929998,-16.1009530895819,0
"bike.asc",2.67088195131535,0.926218651121651,2.88364086393738,0.00196553393868526,0.883874439900166,3.0217888771815,0.00251285742549134
"walk.asc",12.2135195696184,0.783385118184356,15.5906964353951,0,0.910058453836648,13.4205880052302,0
"carD.p.age_group_agg_5_24",0,NA,NA,NA,NA,NA,NA
"carP.p.age_group_agg_5_24",2.73428651374646,0.144541184065653,18.9170064671983,0,0.150429589373875,18.1765204912626,0
"pt.p.age_group_agg_5_24",2.04256873339322,0.133538773518714,15.2956978679078,0,0.145632801957815,14.0254716378037,0
"bike.p.age_group_agg_5_24",1.61786112784311,0.189802610424825,8.52391399792625,0,0.206459573017289,7.83621269868474,4.66293670342566e-15
"walk.p.age_group_agg_5_24",1.84931565452582,0.14282730277989,12.9479141489901,0,0.160721462065236,11.5063391706528,0
"carD.p.age_group_agg_25_39",0,NA,NA,NA,NA,NA,NA
"carP.p.age_group_agg_25_39",0.27674182434478,0.147115139956768,1.88112402588955,0.0299775247170408,0.148533742205633,1.86315796151997,0.0624400454365912
"pt.p.age_group_agg_25_39",0.441355424408232,0.109166316597291,4.04296341733661,2.63899290383618e-05,0.109619535667426,4.02624789204781,5.66739415226447e-05
"bike.p.age_group_agg_25_39",0.85742565311159,0.176532572606968,4.85703935794649,5.95769585109984e-07,0.18685500264671,4.58872195534812,4.4596796273666e-06
"walk.p.age_group_agg_25_39",0.269309494304128,0.147725015861394,1.82304596641109,0.0341482146326204,0.148499954220046,1.81353250725631,0.0697497295357214
"carD.p.female_FALSE",0,NA,NA,NA,NA,NA,NA
"carP.p.female_FALSE",-0.281571095642226,0.0794903757713588,-3.5422036052782,0.000198399535090488,0.0825549054160802,-3.41071307904838,0.000647932349149283
"pt.p.female_FALSE",-0.35998465097933,0.0779959461044866,-4.6154277107823,1.961432863129e-06,0.0750077511302113,-4.79929934646896,1.5922166447524e-06
"bike.p.female_FALSE",1.08227130196797,0.135613020120731,7.98058549986179,7.7715611723761e-16,0.135128223904982,8.00921725078682,1.11022302462516e-15
"walk.p.female_FALSE",0,NA,NA,NA,NA,NA,NA
"carD.hh.cars_gr_0",0,NA,NA,NA,NA,NA,NA
"carP.hh.cars_gr_0",5.53282595900041,0.541650007554091,10.214762082225,0,0.545488210586663,10.1428882451006,0
"pt.hh.cars_gr_0",7.58747308973271,0.530762981330357,14.2954074730583,0,0.533044782212625,14.2342132273347,0
"bike.hh.cars_gr_0",7.57289689491666,0.602883271325838,12.5611329010053,0,0.617778942953813,12.2582632206725,0
"walk.hh.cars_gr_0",7.39304652516341,0.540912381148529,13.6677339673121,0,0.542721755146955,13.6221672616782,0
"carD.hh.cars_gr_1",0,NA,NA,NA,NA,NA,NA
"carP.hh.cars_gr_1",2.19836358914847,0.174599164385744,12.5909170120173,0,0.181063301135007,12.1414089733694,0
"pt.hh.cars_gr_1",2.22512098604117,0.175738897768652,12.6615166835198,0,0.187000724351727,11.8989966148793,0
"bike.hh.cars_gr_1",2.26374249319267,0.335728932435794,6.74276856858499,7.7697848155367e-12,0.358902911936792,6.30739516984288,2.83770562603536e-10
"walk.hh.cars_gr_1",1.89917087855397,0.197671688256201,9.60770303176888,0,0.206751898486744,9.18574819604732,0
"carD.hh.cars_gr_2",0,NA,NA,NA,NA,NA,NA
"carP.hh.cars_gr_2",1.21807585535338,0.173035902126126,7.0394400259521,9.65116875306649e-13,0.17655936946116,6.89895902477912,5.23847631939134e-12
"pt.hh.cars_gr_2",0.844009109106034,0.179222417420544,4.70928314244067,1.24294771042255e-06,0.188351610237544,4.48102943235575,7.42838653300382e-06
"bike.hh.cars_gr_2",0.484836181530225,0.359242071723219,1.34960857787217,0.0885707856084388,0.379036258085077,1.27912876720464,0.200851714879906
"walk.hh.cars_gr_2",0.702418174427754,0.199423802273742,3.52223840092855,0.00021395956925585,0.207440996921296,3.38611067654219,0.000708907865318409
"carD.carD_time",-0.448475752759426,0.0321385499913303,-13.9544488746508,0,0.0506087558880208,-8.86162374257419,0
"carP.carP_time",-0.274352972060397,0.0166498712669549,-16.4777833811188,0,0.0175225977740043,-15.6570946613529,0
"pt.pt_time",-0.0231024893541505,0.00272647577144561,-8.47338883261056,0,0.00264582478390187,-8.73167773418487,0
"carD.carD_timeHBW",0.347139106201146,0.0299876371748326,11.5760739726598,0,0.0486822870190473,7.13070661748749,9.98534588347866e-13
"carP.carP_timeHBW",0.0139481971561303,0.0140330600330791,0.993952646340232,0.160122960944466,0.0149567618988501,0.932567974970749,0.351043074840768
"bike.bike_logDist",-0.839614087468,0.11660408973397,-7.20055436634826,2.99871238951255e-13,0.108410406666222,-7.74477389475198,9.54791801177635e-15
"walk.walk_logDist",-1.88471721691419,0.113541918573226,-16.5993074680933,0,0.132078834147938,-14.2696385009212,0
"bike.bike_stressLinkLogDistance",-0.446391120744587,0.0506139790687106,-8.81952237224015,0,0.0512511089558223,-8.70988218282983,0
"walk.walk_stressLinkDistance",-0.000493794038704294,0.000116653678078916,-4.23299159388907,1.15301563813341e-05,0.000128536042654309,-3.84167762214625,0.000122196261146845
"bike.bike_stressJctDistance",-0.0027670727616272,0.000644239340370394,-4.29510057556609,8.73070780549323e-06,0.000556554811688985,-4.97178840881803,6.63380849141859e-07
"walk.walk_stressJctDistance",-0.00612389491069936,0.00138969917439413,-4.40663348121308,5.24948095848021e-06,0.001481859896045,-4.1325734821785,3.58724027709201e-05
"bike.bike_shannon",1.58071031892514,0.271444741009486,5.8233226882443,2.88445078933108e-09,0.266858599626977,5.92340033686266,3.15351877944181e-09
"walk.walk_shannon",0.468454201116263,0.168565488822176,2.7790635223705,0.00272579315986221,0.194993749775038,2.40240623946518,0.0162876093431303
"walk.walk_crimeDistance",-0.0013189029028044,0.0010848049063114,-1.21579732459821,0.112031069116077,0.00100110819580353,-1.31744291809119,0.187690202895927
"bike.bike_lightNightLogDistance",3.05339763628179,0.795452162924497,3.83856852567463,6.18768393322311e-05,0.863073330330184,3.53781947486856,0.00040344579088325
