Iteration,LL,asc_carD,b_carD_p.age_group_agg_15_24,b_carD_p.age_group_agg_40_54,b_carD_p.age_group_agg_55,b_carD_p.female,b_carD_hh.cars_gr_0,b_carD_hh.cars_gr_2,b_carD_hh.cars_gr_3,b_carD_hh.income_agg_low,b_carD_hh.income_agg_high,asc_carP,b_carP_p.age_group_agg_15_24,b_carP_p.age_group_agg_40_54,b_carP_p.age_group_agg_55,b_carP_p.female,b_carP_hh.cars_gr_0,b_carP_hh.cars_gr_2,b_carP_hh.cars_gr_3,b_carP_hh.income_agg_low,b_carP_hh.income_agg_high,asc_pt,b_pt_p.age_group_agg_15_24,b_pt_p.age_group_agg_40_54,b_pt_p.age_group_agg_55,b_pt_p.female,b_pt_hh.cars_gr_0,b_pt_hh.cars_gr_2,b_pt_hh.cars_gr_3,b_pt_hh.income_agg_low,b_pt_hh.income_agg_high,asc_bike,b_bike_p.age_group_agg_15_24,b_bike_p.age_group_agg_40_54,b_bike_p.age_group_agg_55,b_bike_p.female,b_bike_hh.cars_gr_0,b_bike_hh.cars_gr_2,b_bike_hh.cars_gr_3,b_bike_hh.income_agg_low,b_bike_hh.income_agg_high,asc_walk,b_walk_p.age_group_agg_15_24,b_walk_p.age_group_agg_40_54,b_walk_p.age_group_agg_55,b_walk_p.female,b_walk_hh.cars_gr_0,b_walk_hh.cars_gr_2,b_walk_hh.cars_gr_3,b_walk_hh.income_agg_low,b_walk_hh.income_agg_high,b_car_time,b_pt_time,b_bike_cost,b_walk_cost,g_bike_grad,g_bike_vgvi,g_bike_stressLink,g_bike_stressLink_f,g_bike_stressLink_c,g_bike_stressJct,g_bike_stressJct_f,g_bike_stressJct_c,g_walk_grad,g_walk_vgvi,g_walk_stressLink,g_walk_stressLink_f,g_walk_stressLink_c,g_walk_stressJct,g_walk_stressJct_f,g_walk_stressJct_c
0,7175.705063219666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,-0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,6927.122193268954,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.663129683318326E-4,-7.336224131375356E-5,-1.9994405186957997E-4,0.0,-2.3623924871441748E-4,-8.100244162659572E-5,-2.1685536505696272E-4,-7.511351534773443E-5,0.0,-9.66637421350687E-5,-3.319704358597797E-4,-2.7012893538066527E-5,-1.3571548023283065E-4,-6.488357471658402E-5,-1.3025050955577122E-4,3.4386858330489955E-5,-1.888860068075939E-4,-6.836149730385156E-5,-1.15291226104812E-5,-6.551754094331513E-5,-2.7270044131852762E-5,1.0834598592946974E-5,-2.4997837409376242E-5,-1.7263633227001498E-5,-5.059401110114116E-5,1.8706866905552403E-5,-2.659062859781326E-5,-1.0104882154333499E-5,-3.3453397667105992E-6,-3.3461398585090617E-6,2.99049149749313E-4,7.111044030566151E-5,7.941632707664452E-5,4.5197169221856194E-5,1.5426257389219525E-4,1.2920209572879406E-4,3.9009881476296244E-5,1.3222976358567384E-5,2.921191203107185E-5,2.111550035503739E-5,0.002066193850379281,-0.0169353060099363,-0.09957993851476582,-0.09522784949671081,-6.866870096380561E-8,-2.3615089362099416E-5,-1.9643344246858705E-5,3.1270363428988324E-5,0.0,0.0,0.0,0.0,0.0,-2.5998493796952263E-4,0.0,0.0,0.0,-1.3896487162907152E-5,0.0,0.0
2,6408.483843199063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.008998385542584234,-0.0011709203029127012,-0.0031701687430641195,0.0,-0.0037689731091913666,-0.0012296978002016346,-0.0034480578823208445,-0.001197004458553307,0.0,-0.0015632571836564127,-0.0011308067056166183,8.65879628232206E-5,-6.657743361477681E-4,-3.633193956992219E-4,-3.121985012998389E-4,8.206947485253983E-4,-0.0012647587618413217,-4.7085387908611063E-4,-5.0940901018010714E-5,-2.650997980886441E-4,-5.307295518167589E-4,1.1315236470241011E-4,-3.84375191066837E-4,-2.5502808571646645E-4,-7.529311713729957E-4,2.1462907997367846E-4,-4.041927177505008E-4,-1.5227014572952781E-4,-5.156120598073885E-5,-6.707367781891266E-5,0.0039006255826095097,9.300217497644026E-4,0.0010337023967876542,5.894004026448615E-4,0.0020110676604106524,0.0016932595581785129,5.035722407653013E-4,1.702369084337761E-4,3.8264147707109235E-4,2.7390671454377433E-4,-0.015392881438088875,-0.020356068556983343,-0.09669015550940634,-0.037922046676870456,1.705889174140628E-6,-1.9610374597129758E-4,-9.887253147068358E-5,4.863746583043111E-4,0.0,0.0,0.0,0.0,0.0,-0.003256789100646175,0.0,0.0,0.0,-1.7405942424647577E-4,0.0,0.0
3,6039.28040157859,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.20753589452428714,-0.026070380818072707,-0.07379798527832099,0.0,-0.08511217087539623,-0.027259678569888673,-0.08077438891956004,-0.028115661057225728,0.0,-0.03671657198746499,-0.015920280361348856,0.0045426261749793,-0.012907096851455585,-0.007153846328469242,-0.0014756719354879814,0.023239221691194228,-0.02823958328286628,-0.01041266237465105,-6.608033383749323E-4,-0.005230027820950497,-0.01723789621961859,0.00231463116511588,-0.011030272530168509,-0.007020061703937751,-0.020623715253585556,0.005183081358133724,-0.011849558770626625,-0.0043578308431656354,-0.001345945736176677,-0.002485539392961426,0.0560486864317387,0.015485346362029626,0.013260330695333701,0.008206016885627767,0.028815763466556565,0.03356780186296653,4.8672180180348414E-4,-1.4664168670917654E-4,0.007634262615111949,0.0018558806712484707,-0.17857942224447634,-0.05697094420844348,-0.13076105206179378,-0.07290732410150733,1.6774610468135343E-4,7.94082899558068E-4,0.0058750859406762985,0.015352487922597543,0.0,0.0,0.0,0.0,0.0,0.02184256222989056,0.0,0.0,0.0,0.0010897761695847358,0.0,0.0
4,5772.717761833789,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6515687089442156,-0.08146086792017596,-0.23152437108819926,0.0,-0.265738850747816,-0.08530326359623389,-0.2536957895033525,-0.08855660757086872,0.0,-0.11514229794042631,-0.04913386490398548,0.015189643612598856,-0.040983265167446783,-0.02259379385855135,-0.0036022102321278076,0.07518829508748634,-0.09041285611016978,-0.03315554276620024,-0.0019234281683281184,-0.016943128995203754,-0.06576166076801238,0.005663973269188922,-0.038812945389915074,-0.024122555680386494,-0.07120545508870374,0.014935976151827176,-0.04156439053943407,-0.015167042341448542,-0.004698779275511373,-0.009576946407581053,0.1757926658158332,0.04893211740442054,0.04126708420472691,0.025704486122070408,0.09018626694819859,0.10672489922942552,4.6599647706594544E-4,-8.989902319585378E-4,0.024265683225492638,0.005498376886731111,-0.4259983235854585,-0.11594241079927928,-0.38003102551862505,-0.11542594488090226,8.095395831247226E-4,0.01427695063273373,0.03574481584299844,0.057793000744403994,0.0,0.0,0.0,0.0,0.0,0.07775400987386247,0.0,0.0,0.0,0.0038993728337896687,0.0,0.0
5,5395.969600704891,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.2630808944793808,-0.27312434448448186,-0.7900827473317692,0.0,-0.87001279314097,-0.290756874269116,-0.8760069119833849,-0.3148332839613115,0.0,-0.39120576047612815,-0.21556182893439674,0.07017181305091513,-0.17914870802172372,-0.09302328165777385,-0.014493820773349422,0.31773790787429046,-0.3908311629050698,-0.13701976464911408,-0.004245715452784635,-0.08515716526226576,-0.22220426972934076,0.03345416558950986,-0.14666397244705126,-0.0922047970548743,-0.2698520260863231,0.06977706118106353,-0.1550771304117185,-0.05737382910575548,-0.01807086645132682,-0.031899817948798724,0.6781465145704733,0.1941347040361128,0.15221874439873637,0.09902236721643157,0.3372701226874729,0.4263764969389366,-0.009673811520014373,-0.00972880353413887,0.09624466492328988,0.017522126366209763,0.06634033220112479,-0.023138846986706554,-0.19911633271130358,-0.07775087776065588,-0.0014030043427565508,-0.22072704497828458,-0.20742319550657204,0.22605724685296483,0.0,0.0,0.0,0.0,0.0,0.24983319930092346,0.0,0.0,0.0,0.012269223552519902,0.0,0.0
6,5107.625793272398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.2747179027663464,-0.24209157984797783,-0.7931874436835774,0.0,-0.7731943087958808,-0.28228056826067244,-0.8974934913966292,-0.33456022616464803,0.0,-0.388194691215368,-0.30690405692813905,0.10283576522886528,-0.2541962913382728,-0.13596948128069158,-0.008116339666852497,0.4722860557291768,-0.5674082465343593,-0.20705551063970068,-0.005965530661865158,-0.12078149817046152,-0.2807620604716469,0.06133263603939568,-0.20351510117923996,-0.1307667486436315,-0.36629153667477987,0.12240171478228562,-0.22155231196421096,-0.08148605669514195,-0.02318926048317944,-0.04228017614560452,0.9124060900023852,0.271267152897962,0.18863152647390208,0.13199303632914028,0.4275964532886185,0.6005553619883066,-0.035534254438371674,-0.024273747241275782,0.13266214628321202,0.01714175326035133,0.0378040979643542,-0.026439362742780997,-0.240585668623505,-0.080107207664389,-0.0034077839631457872,-0.41980943022943923,-0.4097547823461996,0.3377067728568313,0.0,0.0,0.0,0.0,0.0,0.40841973984496494,0.0,0.0,0.0,0.02033861896625154,0.0,0.0
7,5059.4190413217175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.280085652310641,-0.2370419571484169,-0.7948705616530798,0.0,-0.7578218692099927,-0.2812021588549779,-0.9025409127461547,-0.33851034727310714,0.0,-0.3881737058847472,-0.3187879441431593,0.1088823451437525,-0.26494049609609577,-0.14260520153175615,-0.00395638975126341,0.4996024368166596,-0.595859056785207,-0.21911289196509245,-0.0059151156009093295,-0.12605404625929467,-0.28614729598063565,0.06704401687985895,-0.21123652190690256,-0.1370123743361949,-0.3766200531321,0.13339389539395655,-0.23204018352151257,-0.08535184669148667,-0.02369937776366907,-0.043350542551929036,0.9426205691127814,0.282454610349188,0.1909167654974088,0.1359568186291242,0.4344872342809222,0.6262884344655038,-0.041920681501850354,-0.027847498636102464,0.13768906165370257,0.016191964293376788,0.031026083967457225,-0.02757582004949582,-0.25278971400503275,-0.0805495554873332,-0.003961475170076217,-0.46868492977115267,-0.4597504449363061,0.3495146260664031,0.0,0.0,0.0,0.0,0.0,0.43115854066023307,0.0,0.0,0.0,0.02150160981058371,0.0,0.0
8,4865.5999140955355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.4934837125321008,0.09726119787402074,-0.9362590402847312,0.0,0.06257900604397026,-0.20766195625225714,-1.2363002504500242,-0.5646979351687609,0.0,-0.398516106558386,-0.35846630117667616,0.4860317459832962,-0.5217373882787514,-0.3983923153788752,0.5600875387896007,2.0879506695487073,-1.8280307967346507,-0.9022922082400009,0.031328083854418126,-0.2254691502392211,-0.9801825252293321,0.2859394193934992,-0.5296816058044218,-0.6088733785192639,0.2179214812919783,0.8654504816097754,-1.0053444701177654,-0.37639744071654124,-0.03948293008250706,-0.1353907156686182,1.307620588072525,0.6317924667106758,-0.2064367521480401,0.12382310350385667,-0.3651175706778106,1.4881454448629978,-0.6439998800228317,-0.37517655948122547,0.24933389994008776,-0.15029562625600684,-6.665106015002094E-4,-0.030760626635694243,-0.27663606688495385,-0.035761488893380405,0.016708679867043174,-1.7442192138782222,0.21815918281636715,-0.34263178643842157,0.0,0.0,0.0,0.0,0.0,1.0549754233660793,0.0,0.0,0.0,0.05505987661196684,0.0,0.0
9,4787.449800216101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.6084451166471707,0.25393318623220473,-1.006186182232509,0.0,0.4428405923187011,-0.1742097106208339,-1.3980232528762513,-0.6749499425699281,0.0,-0.40304434173546805,-0.34537435541252076,0.6543779794107334,-0.6059295145287863,-0.5086240782036224,0.856887253923369,2.7995210798461874,-2.356058013481892,-1.2198701248385126,0.04869001312573532,-0.2519310551499155,-1.2186197048181238,0.40587872987676105,-0.6563140103718124,-0.8141179962571686,0.47706729556793037,1.2456978810818138,-1.3433570120498546,-0.5096598979963433,-0.03914822120446306,-0.16803897635130954,1.356298924748653,0.7643288497554037,-0.4351634726372459,0.09492017995034518,-0.8241285496090437,1.8295430300306341,-0.9399635523826659,-0.5495333992051815,0.28345767163375024,-0.2351032017984199,-0.02380005158971408,-0.035244558406161794,-0.2685529309668514,-0.026824920444019504,0.027455232535644726,-2.3197153417942484,0.573631779273852,-0.08118268895795205,0.0,0.0,0.0,0.0,0.0,1.1141980065160568,0.0,0.0,0.0,0.058682892014949216,0.0,0.0
