Iteration,LL,asc_carD,b_carD_p.age_group_agg_15_24,b_carD_p.age_group_agg_40_54,b_carD_p.age_group_agg_55,b_carD_p.female,b_carD_hh.cars_gr_0,b_carD_hh.cars_gr_2,b_carD_hh.cars_gr_3,b_carD_hh.income_agg_high,asc_carP,b_carP_p.age_group_agg_15_24,b_carP_p.age_group_agg_40_54,b_carP_p.age_group_agg_55,b_carP_p.female,b_carP_hh.cars_gr_0,b_carP_hh.cars_gr_2,b_carP_hh.cars_gr_3,b_carP_hh.income_agg_high,asc_pt,b_pt_p.age_group_agg_15_24,b_pt_p.age_group_agg_40_54,b_pt_p.age_group_agg_55,b_pt_p.female,b_pt_hh.cars_gr_0,b_pt_hh.cars_gr_2,b_pt_hh.cars_gr_3,b_pt_hh.income_agg_high,asc_bike,b_bike_p.age_group_agg_15_24,b_bike_p.age_group_agg_40_54,b_bike_p.age_group_agg_55,b_bike_p.female,b_bike_hh.cars_gr_0,b_bike_hh.cars_gr_2,b_bike_hh.cars_gr_3,b_bike_hh.income_agg_high,asc_walk,b_walk_p.age_group_agg_15_24,b_walk_p.age_group_agg_40_54,b_walk_p.age_group_agg_55,b_walk_p.female,b_walk_hh.cars_gr_0,b_walk_hh.cars_gr_2,b_walk_hh.cars_gr_3,b_walk_hh.income_agg_high,b_car_time,b_pt_time,b_bike_cost,b_walk_cost,g_bike_grad,g_bike_stressLink,g_bike_stressLink_f,g_walk_vgvi,g_walk_stressJct
0,7175.705063219666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,-0.1,0.0,0.0,0.0,0.0,0.0
1,7130.4297463573685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.001098597446344518,-1.4231630824702347E-4,-3.878739090908248E-4,0.0,-4.58283404896236E-4,-1.5713762618006224E-4,-4.206803721614441E-4,-1.4571362614219395E-4,-1.875191743825059E-4,-6.439935044604744E-4,-5.240264221162478E-5,-2.632761182432327E-4,-1.2586843932483582E-4,-2.526745548570889E-4,6.670748660580073E-5,-3.6642227237050493E-4,-1.3261530384430978E-4,-1.2709827815372056E-4,-5.290149179031569E-5,2.1018170185014977E-5,-4.849361020810041E-5,-3.3489933020038424E-5,-9.814794028073746E-5,3.628967966614627E-5,-5.158348529489453E-5,-1.9602584350246237E-5,-6.4912175938652784E-6,5.801290993103108E-4,1.3794801195945487E-4,0.0,0.0,2.9925585183702757E-4,2.506407240648643E-4,7.567574568935122E-5,2.565141339317536E-5,4.096221712291469E-5,0.004008234694617416,-0.03285300704022954,-0.09918511759258256,-0.09074244693366576,-1.3321125197759614E-7,-3.81063635022045E-5,6.066176006978182E-5,-5.043479576014166E-4,-2.6957965231309413E-5
2,6806.851254584905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.005863299309209683,-7.656820981126254E-4,-0.002062782288823369,0.0,-0.0024606559945138428,-8.110737663037505E-4,-0.0022422139119492187,-7.756679650422452E-4,-0.001013076974991966,-9.672992646691657E-4,3.527096098636694E-5,-5.245326752179416E-4,-2.732715550214431E-4,-2.8715664086623866E-4,5.359839739438159E-4,-9.327813833589355E-4,-3.5032185725279946E-4,-2.2532668662863774E-4,-3.5021021101841476E-4,7.528160704085473E-5,-2.542356595999057E-4,-1.6901829973959613E-4,-4.992665832160604E-4,1.424260512921979E-4,-2.6725656983844293E-4,-1.0074376951723268E-4,-4.3947496769138986E-5,0.002583642364951701,6.162885974654065E-4,0.0,0.0,0.001331887828528529,0.0011226303929811772,3.32851726757357E-4,1.1246077566230329E-4,1.8125907890505368E-4,-0.005862981434579146,-0.03473663258507977,-0.09771145087704108,-0.058919955326646796,1.0208202848541126E-6,-7.267141310423415E-5,3.197636472210576E-4,-0.002142511337375852,-1.1450976090496818E-4
3,6272.398168162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.540063967271471,-0.06655693316939569,-0.19263299866124003,0.0,-0.21889773781790045,-0.06915938117423072,-0.2120895485105224,-0.0735097274027263,-0.09652628465755238,-0.02547979454315956,0.01563106587429385,-0.02980665702743655,-0.01662715174911503,0.005726549294697114,0.06744256205404768,-0.07183296885511269,-0.02711298441744713,-0.01232082365033758,-0.06199883637679344,0.00377515462400078,-0.03483742788715185,-0.02140622118908624,-0.06301211612530276,0.012174284621892595,-0.03781928837984526,-0.013714588489220423,-0.009324892147088664,0.11937977075882643,0.03508935640752308,0.0,0.0,0.05961489214582003,0.0808055253014575,-0.0052277628074269365,-0.0031455922472570143,0.0026770575284561808,-0.3534056262813763,-0.11895229796632806,-0.5049222851330923,-0.07506370317797181,8.072351687392953E-4,0.038884414462909904,0.05095743708236684,0.256912452929725,0.01351221298294865
4,6053.811194665662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.9278588547440334,-0.11392118440196573,-0.32890364230876035,0.0,-0.3714576694459637,-0.11918628107527887,-0.3626665427045184,-0.12665802098183837,-0.1643416883022396,-0.04823146147894948,0.02788631843612588,-0.05425908798217817,-0.03002903922274037,0.009056169716276066,0.11998188911733385,-0.12957819432786288,-0.04843338242336115,-0.02313812858849413,-0.08665004518922084,0.011129776904920797,-0.05482277482536328,-0.03446472188032562,-0.10058837405395585,0.026115206791216178,-0.059857458282068586,-0.02182506887771421,-0.013313620023889765,0.21283534475467364,0.06272118060824819,0.0,0.0,0.10539450184103881,0.14428677770902357,-0.009772581702858451,-0.005918085088768645,0.004384961554736961,-0.6565973830897769,-0.18677000725076698,-0.4616446134343823,-0.15300721865789085,6.741543705734315E-5,-0.020936715965005064,0.07472178219919692,0.40695031350799354,0.02133929470601726
5,5523.7213465724635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.2941344642270565,-0.15476829189376962,-0.45473303205585686,0.0,-0.4992961836716351,-0.16436092883376535,-0.504849161842103,-0.17921032855252028,-0.22677950785935908,-0.07691705643743377,0.0466786138460591,-0.087159514791272,-0.0470171878926516,0.015871043234467894,0.19082289107016892,-0.20727776129585102,-0.07578330384462724,-0.040015900821564296,-0.1280630172296326,0.018946397225546405,-0.08367875806775953,-0.05285263810396668,-0.15311216866850608,0.04115738884811821,-0.09021016635425952,-0.03329180211688548,-0.019113874419611643,0.32287007711962684,0.0968527130054512,0.0,0.0,0.15706411819328853,0.2236885422183002,-0.018551408181639625,-0.010969296998445923,0.005256786440882292,-0.5134605937009437,-0.15880519001831161,-0.37924958777810625,-0.12958509642972718,-0.0011348244313796468,-0.13047089966846173,0.12731766800854216,0.5796327829736431,0.030404257643084402
6,5294.116627368887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.2814877843077843,-0.11645360099878616,-0.44364528988505314,0.0,-0.38006249669682285,-0.15387429739464883,-0.5096052301556421,-0.19541823633000352,-0.21669121359764307,-0.1640216348422573,0.08403606160169984,-0.16220383846522393,-0.0939954339796914,0.01868808559102965,0.3558832689746141,-0.392284536540464,-0.14667906160763283,-0.0791629500599211,-0.2285375706905286,0.0386673729850778,-0.1491762313374818,-0.09996878658077885,-0.2357964644133611,0.08894335335617455,-0.1708326137500356,-0.06250943924282645,-0.03427378372944741,0.5460214943597341,0.17319793514981296,0.0,0.0,0.24199616257700768,0.40733059944175287,-0.05604111510594471,-0.03126903170116743,-4.5970667513132134E-4,-0.5238806330256566,-0.15690579162160478,-0.3068935348816543,-0.10719996695741256,-5.323220431481838E-4,-0.12184063977161867,0.2616593320790114,0.9564847705503745,0.050082516214393566
7,5064.56717222659,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.7206239192068231,0.3592214620409646,-0.3523599648991154,0.0,1.1945522986383859,-0.1717133185834241,-0.6467283675351844,-0.5291098049649977,-0.023040612903576174,-1.7333527340748143,0.6522988154146396,-1.3887483382657522,-0.897854483311914,-0.06634401834495916,3.0064528083290596,-3.3815638973375197,-1.3536965745252594,-0.6935122999450501,-0.9500611065932683,0.5647150285689745,-0.8624234907031664,-0.7343488384420573,-0.2775957785585956,1.2405909862301554,-1.300771261475201,-0.45152291085333285,-0.2209773085440756,4.560071463815548,1.4960284599646587,0.0,0.0,1.5716902377206259,3.483310829525732,-0.6319019910200063,-0.3801605705403045,-0.1079044144144891,-0.4227625312975402,-0.07851883006757168,-0.13049231998779026,-0.3043840593999935,0.009141572988528746,0.7888237125073966,0.3281017315209324,0.7426279055700207,0.026359873018580122
8,5031.169342575525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.7208521416921192,0.3790399555373866,-0.34508265347869366,0.0,1.2501515411571753,-0.16566478066241055,-0.6488760230573332,-0.5397848195392678,-0.015105664745838708,-1.7825496673138768,0.6715528546581204,-1.4258083018697916,-0.9244140800954369,-0.06065680200207972,3.0938764238059893,-3.477334246770347,-1.3957221145152006,-0.7116168113168435,-0.9643139418990189,0.5844358802665262,-0.8832562188113523,-0.7542939504350367,-0.2824191277277112,1.2842170130639683,-1.3345759140503892,-0.46500731093508396,-0.2252107262137034,4.6899941978397495,1.539854262132284,0.0,0.0,1.611394118295625,3.5862820575904584,-0.6530690802170068,-0.3932122381296548,-0.11217913254237637,-0.42903367297843137,-0.07819194883639599,-0.15316121296423627,-0.31035763726092297,0.008406691197827759,0.7223240322855603,0.3303003009645095,0.7276627029632055,0.025372816158388295
9,4695.257051834416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.4925985211207862,1.0066136489143407,-0.41761602431730405,0.0,0.989622456265868,0.8465018685453072,-1.2109927269117213,-0.9226744419048105,-0.10416468540672708,-1.573964590314261,0.9329314228923167,-0.9531916834564435,-1.1837416055592138,1.7002457528313841,4.043794509873333,-3.6457883453829107,-2.318184531044365,-0.3106503663590099,-0.8104704141401968,1.1297659822278083,-1.1224329501510006,-1.161420205565255,-0.40146183202138197,2.826755479650284,-1.9355630773747254,-0.8875067454576377,-0.20540485900059213,5.198807061829048,1.9692740302277496,0.0,0.0,0.6856806065338769,4.877587735095328,-1.4724039022443844,-0.9307384879922821,-0.3811234328082021,-0.429388920289499,-0.09735074812334155,-0.15611773916991054,-0.31576797192106076,0.013078163918527595,0.7113428751971439,0.51274334037522,0.6097873918507926,0.05707399810285623
