Iteration,LL,asc_carD,b_carD_p.age_group_agg_15_24,b_carD_p.age_group_agg_40_54,b_carD_p.age_55up,b_carD_p.female,b_carD_hh.cars_gr_0,b_carD_hh.cars_gr_2,b_carD_hh.cars_gr_3,b_carD_hh.income_agg_high,asc_carP,b_carP_p.age_group_agg_15_24,b_carP_p.age_group_agg_40_54,b_carP_p.age_55up,b_carP_p.female,b_carP_hh.cars_gr_0,b_carP_hh.cars_gr_2,b_carP_hh.cars_gr_3,b_carP_hh.income_agg_high,asc_pt,b_pt_p.age_group_agg_15_24,b_pt_p.age_group_agg_40_54,b_pt_p.age_55up,b_pt_p.female,b_pt_hh.cars_gr_0,b_pt_hh.cars_gr_2,b_pt_hh.cars_gr_3,b_pt_hh.income_agg_high,asc_bike,b_bike_p.age_group_agg_15_24,b_bike_p.age_group_agg_40_54,b_bike_p.age_55up,b_bike_p.female,b_bike_hh.cars_gr_0,b_bike_hh.cars_gr_2,b_bike_hh.cars_gr_3,b_bike_hh.income_agg_high,asc_walk,b_walk_p.age_group_agg_15_24,b_walk_p.age_group_agg_40_54,b_walk_p.age_55up,b_walk_p.female,b_walk_hh.cars_gr_0,b_walk_hh.cars_gr_2,b_walk_hh.cars_gr_3,b_walk_hh.income_agg_high,b_car_time,b_pt_time,b_bike_cost,b_walk_cost,g_bike_grad,g_bike_stressLink,g_bike_stressLink_f,g_walk_vgvi,g_walk_stressJct
0,7176.746458439862,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,-0.1,0.0,0.0,0.0,0.0,0.0
1,7130.476647394704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0010979901661086922,-1.4224719913486682E-4,-3.876374349052107E-4,0.0,-4.581112702587331E-4,-1.5709026989762872E-4,-4.203708172797705E-4,-1.4563649434935088E-4,-1.8737849907181622E-4,-6.439831857078483E-4,-5.245251561714481E-5,-2.632046600869781E-4,-1.2585025944030563E-4,-2.5277470079090576E-4,6.646320138459954E-5,-3.661843973679554E-4,-1.3255551543362893E-4,-1.270375533813936E-4,-5.024165597634948E-5,2.1354951841724975E-5,-4.7581113215639186E-5,-3.298896425487848E-5,-9.668334361091616E-5,3.673327760752552E-5,-5.076038915258576E-5,-1.922430132401889E-5,-6.156136875869455E-6,5.79309069734867E-4,1.377587260015422E-4,0.0,0.0,2.988293594821811E-4,2.502945656127728E-4,7.55633835901831E-5,2.561268295397807E-5,4.090445268635873E-5,0.003990697317313127,-0.03284143206006507,-0.09913879262242997,-0.09075563651520929,-2.3189246445035385E-7,-4.433309888424589E-5,6.523149803863953E-5,-5.036329298980206E-4,-2.7429041936099854E-5
2,6803.221496134055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00592175117014515,-7.733684354761052E-4,-0.002083224390697529,0.0,-0.0024856519009840688,-8.192919254444046E-4,-0.002264141182051333,-7.834263460929425E-4,-0.0010230110974930652,-9.720860432873519E-4,3.6063848531736395E-5,-5.277937695805992E-4,-2.7516831490737004E-4,-2.883075166447793E-4,5.408436563193368E-4,-9.392837107168725E-4,-3.529157781469827E-4,-2.264699078202538E-4,-3.410120051359372E-4,7.762307971526247E-5,-2.524076388599933E-4,-1.6831971749956473E-4,-4.972924923832764E-4,1.459450072724019E-4,-2.660036843082191E-4,-9.992649716741804E-5,-4.2771506296191076E-5,0.0026056086037743505,6.215660922763533E-4,0.0,0.0,0.0013431901645072956,0.0011322398862427753,3.3563953150281067E-4,1.1339723823009112E-4,1.8279793245516072E-4,-0.006064431455435193,-0.03475997335475408,-0.09747943893740886,-0.058571834086990605,5.934332669208291E-7,-9.472048422824898E-5,3.468645439795016E-4,-0.0021604861076140636,-1.1765421644789057E-4
3,6266.675900482321,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5413712000639144,-0.06672685462957517,-0.19309731899604052,0.0,-0.21949732442657374,-0.06936855084945678,-0.21254293022111673,-0.07368684986365301,-0.09673915464269982,-0.025645919427454908,0.01563388579765891,-0.029890619256749348,-0.016676566498097997,0.005653974157260079,0.067498970408487,-0.07195480740109805,-0.02717029252311034,-0.012345298909424754,-0.06162760977150727,0.003801415131051637,-0.034708577032073425,-0.02134104591105145,-0.06285049861765044,0.012265403161651336,-0.03775848544708853,-0.013635156494027682,-0.009272432683396586,0.12000077875051428,0.03524698552001564,0.0,0.0,0.05995505770099634,0.0810758815705478,-0.0051552870691469466,-0.003123813661430075,0.002714222696466305,-0.3587827211722976,-0.12003570287114315,-0.49899026237960237,-0.07629829317067814,7.881268423402002E-4,0.04074700503889911,0.05469871289514481,0.25295550000618866,0.013554909036666125
4,6057.779270484056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.9289752555462478,-0.11405733714751329,-0.32932032877019046,0.0,-0.37200810117544497,-0.11936608951114144,-0.3630466592826963,-0.1268198363899246,-0.164526809125775,-0.04838001563459795,0.027904392110901628,-0.054334265014042274,-0.030071515680124613,0.00898748657803447,0.12000778550149842,-0.12966478061284487,-0.04847503454167338,-0.02316686507352205,-0.0862336102429827,0.011106219929258202,-0.05464827156736755,-0.034359427169925155,-0.10034059880410447,0.026201345194502047,-0.05979580994357185,-0.02170607318304467,-0.013263122939474903,0.2132668674314543,0.06284803772484858,0.0,0.0,0.10563524644784301,0.1444836331016885,-0.00972710785073429,-0.005912335953070282,0.004414675770629931,-0.659099897502471,-0.1872207137143787,-0.4525286562593917,-0.15479886712266694,1.6720944907134324E-5,-0.02367249322675305,0.08001986731755303,0.4023139466875866,0.021496150584007223
5,5524.392153130445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.298550109302903,-0.155302750776385,-0.45629573678449686,0.0,-0.5012297233794343,-0.1649992490385053,-0.5064476003070508,-0.17983699621360563,-0.2275071385774835,-0.07729423589622217,0.04683058790759266,-0.08747208427783454,-0.04718825935043912,0.015740464781591336,0.19127430047688126,-0.20785619480690484,-0.07601594396814246,-0.040164393901491874,-0.12847792395123364,0.018707423554495357,-0.0838028215992683,-0.0528616225671608,-0.15301981387526212,0.0412350862263718,-0.09060358057571916,-0.033191893263089106,-0.019203654606339816,0.3246277978641937,0.0973563270897418,0.0,0.0,0.15795288770343852,0.22458152574403267,-0.018434631019044138,-0.010955182335180277,0.005350908004585479,-0.5128645183366741,-0.15867715678300656,-0.3752810930610158,-0.1309380624556079,-0.001232662433479464,-0.1370387021758952,0.13730613463561347,0.5708791741230174,0.030505852122412185
6,5289.821833466498,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.285904544526901,-0.1170902061407263,-0.44537873918662674,0.0,-0.38248569392407106,-0.15454399907779728,-0.5113372196148841,-0.19606336776455305,-0.21749580581101924,-0.16483001987341767,0.08401007691362838,-0.1625551684767891,-0.0942513453479331,0.017463346611429714,0.35611778074597683,-0.39284202088785825,-0.14699068805458937,-0.07930042643134014,-0.22439288530167006,0.039776199526629044,-0.14768755533181743,-0.0994508127747416,-0.2263216510723535,0.09096470439004661,-0.17126817424833657,-0.06142119858104539,-0.03418357429600272,0.5459238169281289,0.17332212849512862,0.0,0.0,0.24153924897421153,0.4075649107015632,-0.0561473215145966,-0.03143115023268274,-4.209863268193016E-4,-0.5198282289411391,-0.15606182665487617,-0.3071018978146224,-0.10651319191340484,-0.0010100006391339257,-0.14175897507745286,0.25834110338819033,0.9596418555697432,0.051197446851667036
7,4820.5545339827895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.4054641742321226,0.006017154572934752,-0.4226210078333833,0.0,0.024608462526729935,-0.1615539366723597,-0.5477759623356572,-0.2841955993089005,-0.16595018540472622,-0.5795255577803344,0.23125356743562353,-0.4833606310057642,-0.30644719435649553,-0.011326365919218175,1.0512077310010468,-1.176603865303178,-0.46535052239835034,-0.23899606270094303,-0.37379870384292113,0.19053011679715415,-0.32068361896029196,-0.2620102931750905,-0.16357375372331462,0.41326615053608007,-0.46665239043487156,-0.15778095901717298,-0.08210238604769299,1.5785729264054724,0.5162943173738785,0.0,0.0,0.5713473748273732,1.2079623303975229,-0.21209829505989097,-0.12633445835706086,-0.03085511355183066,-0.4830439273948423,-0.13297939596039984,-0.2380464803677258,-0.14882100889995098,0.001749539368705346,0.15318478801397437,0.123147064523458,0.9878189427000793,0.04940401241789109
8,4703.346462564434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.408520919264459,0.09961720058928548,-0.38661285594277606,0.0,0.2917634797826194,-0.13393133389126488,-0.55721760745945,-0.33521689540559996,-0.1239809577101619,-0.7811911999769725,0.3229047092099818,-0.6367304203768533,-0.42767069792668605,0.04221837057394277,1.4709711745897915,-1.5971584863942383,-0.6662685191739293,-0.31264425715576,-0.38680479675974855,0.28876217107470736,-0.39313066574740463,-0.3447731689720157,-0.14184700591598787,0.6392824048088968,-0.6102967604881018,-0.21817333079337992,-0.0984770293643462,2.0892652660832436,0.699256551439882,0.0,0.0,0.6784520046536999,1.6361285324209913,-0.3266504873422532,-0.19666847869656018,-0.05881580591807187,-0.5187601353913626,-0.13401068614436729,-0.37890349394096945,-0.16793417233354277,-0.0038093112347690203,-0.2438917638621432,0.047308659183138646,0.9265170492002768,0.04469033889479702
9,4634.429075103075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.5580288603037922,0.4528962760765088,-0.4040841544832434,0.0,0.693055977761956,0.20191930522552248,-0.8260484242352036,-0.5824098046523543,-0.07380472152537998,-0.8651663963512327,0.5912939828207973,-0.6346209540275892,-0.7060935833523769,0.8862015054658615,2.6620253226386446,-2.217597989191528,-1.3656498986860308,-0.24434229562357834,0.08101778978422985,0.6852857561213068,-0.4054465147031455,-0.5406650152464623,0.060253905223826204,1.7298194931138946,-0.9456659782253936,-0.4580117607201567,-0.08387154898051508,2.349523416552424,0.9546815081397106,0.0,0.0,-0.07174894791138786,2.290340788865438,-0.8827988476210963,-0.5609839369610796,-0.2468736021770726,-0.5673085973088277,-0.14656875814189468,-0.4459357798193486,-0.1957108891752368,-0.0068019281373774285,-0.32409683993442895,1.1281150122753403,0.6124357178397876,0.03278415175809231
