Iteration,LL,asc_carD,b_carD_p.age_group_agg_15_24,b_carD_p.age_group_agg_40_54,b_carD_p.age_55up,b_carD_p.female,b_carD_hh.cars_gr_0,b_carD_hh.cars_gr_2,b_carD_hh.cars_gr_3,b_carD_hh.income_agg_high,asc_carP,b_carP_p.age_group_agg_15_24,b_carP_p.age_group_agg_40_54,b_carP_p.age_55up,b_carP_p.female,b_carP_hh.cars_gr_0,b_carP_hh.cars_gr_2,b_carP_hh.cars_gr_3,b_carP_hh.income_agg_high,asc_pt,b_pt_p.age_group_agg_15_24,b_pt_p.age_group_agg_40_54,b_pt_p.age_55up,b_pt_p.female,b_pt_hh.cars_gr_0,b_pt_hh.cars_gr_2,b_pt_hh.cars_gr_3,b_pt_hh.income_agg_high,asc_bike,b_bike_p.age_group_agg_15_24,b_bike_p.age_group_agg_40_54,b_bike_p.age_55up,b_bike_p.female,b_bike_hh.cars_gr_0,b_bike_hh.cars_gr_2,b_bike_hh.cars_gr_3,b_bike_hh.income_agg_high,asc_walk,b_walk_p.age_group_agg_15_24,b_walk_p.age_group_agg_40_54,b_walk_p.age_55up,b_walk_p.female,b_walk_hh.cars_gr_0,b_walk_hh.cars_gr_2,b_walk_hh.cars_gr_3,b_walk_hh.income_agg_high,b_car_time,b_pt_time,b_bike_cost,b_walk_cost,g_bike_grad,g_bike_stressLink,g_bike_stressLink_f,g_walk_vgvi,g_walk_stressJct
0,7176.746458439862,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,-0.1,0.0,0.0,0.0,0.0,0.0
1,7101.537108325561,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0010478728856886657,-1.3575438800772255E-4,-3.6994389390083613E-4,0.0,-4.372009818938565E-4,-1.499199533039756E-4,-4.0118317536793897E-4,-1.3898898032601168E-4,0.0,-6.145888551390376E-4,-5.005834350608053E-5,-2.5119079861116313E-4,-1.2010587944676157E-4,-2.4123691024081074E-4,6.342951765571E-5,-3.494700708695963E-4,-1.2650507696590344E-4,-1.2123897987571875E-4,-4.7948397585650975E-5,2.0380214414338994E-5,-4.54092941344388E-5,-3.148319742439094E-5,-9.227027472081245E-5,3.5056603233357395E-5,-4.8443453413164954E-5,-1.8346816506691693E-5,-5.8751427033938935E-6,5.528667608746136E-4,1.314707892654663E-4,0.0,0.0,2.8518942419935195E-4,2.3886997974705357E-4,7.211432602867817E-5,2.444360325405416E-5,0.0,0.0038085436854349416,-0.03134239927201859,-0.09917810205613323,-0.09117759143918996,-2.2130783443555373E-7,-4.2309533995186066E-5,6.225403486972324E-5,-4.806448253087851E-4,-2.6177055325658656E-5
2,6805.079703461814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.005347803149327761,-6.9807587881018E-4,-0.001881676906660388,0.0,-0.0022441177996488813,-7.398216585739047E-4,-0.002045097024771821,-7.077926382657012E-4,0.0,-9.163577980628918E-4,2.704692981173985E-5,-4.897591585996241E-4,-2.5475058457992086E-4,-2.779206770478264E-4,4.8436041338176033E-4,-8.63203730565653E-4,-3.23665817438869E-4,-2.1085373681206584E-4,-3.0613956949687596E-4,7.080811284005194E-5,-2.277736991386865E-4,-1.5201863443754308E-4,-4.4901362464853174E-4,1.3275714112057177E-4,-2.4012680013434809E-4,-9.021842107864828E-5,-3.840022563424326E-5,0.0023615464653723513,5.63268871980814E-4,0.0,0.0,0.0012174147711555491,0.0010259172247045164,3.043762025323887E-4,1.0285053618334034E-4,0.0,-0.005159580762683666,-0.033058036339382264,-0.09768756503254988,-0.062444755124580295,5.034362154894105E-7,-8.799821731296547E-5,3.131614319717387E-4,-0.0019621912783493976,-1.0685559403336763E-4
3,6369.232204448402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.24863652904375796,-0.03054503607932758,-0.08874370301099296,0.0,-0.10057403417576603,-0.03167324268564081,-0.09779986696552198,-0.03394626069296352,0.0,-0.01215706654461705,0.007226042747583307,-0.013937601872294805,-0.007756503201253112,0.002532224361579398,0.03127677045467745,-0.03350825698665079,-0.01259081915137072,-0.005813547766558306,-0.030045714390701205,0.0015054806034182017,-0.016553010867033164,-0.010118800768617427,-0.029812976964921235,0.005470934072189126,-0.018027752043958997,-0.006497919642260704,-0.004523544784895001,0.054256151890086965,0.01602676477306518,0.0,0.0,0.026958167292774098,0.03698076814555058,-0.002509178254630709,-0.0015066587574209182,0.0,-0.14561522268218907,-0.06786777144899252,-0.31394375384769885,-0.05499045997842216,3.9843235991447555E-4,0.021151389605464643,0.026217271957578142,0.13535734148223663,0.007274487401927723
4,5849.470584079774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5301128420143314,-0.06501912030113467,-0.18831547799295,0.0,-0.21275618691994394,-0.0676591431391444,-0.2077584697304397,-0.07251980180371569,0.0,-0.02746634563529664,0.015531320564989005,-0.030652322778895846,-0.016985309696802824,0.0048693900667541555,0.06777136222727614,-0.0733204754452785,-0.02741196101252353,-0.012903035800272375,-0.05128764021652335,0.005821219843216395,-0.03168884565446914,-0.019798871084769604,-0.057892699636542325,0.014431348533167018,-0.0347086391633569,-0.012571457424655385,-0.007888640389935612,0.11638473678271782,0.03461810962103537,0.0,0.0,0.05759763238356305,0.08023018743176395,-0.006142471909121701,-0.003542402973152229,0.0,-0.3766947233004533,-0.12025343331739567,-0.35453770792893646,-0.1009257242190528,2.911070284308874E-4,0.0054991054404135015,0.049000050598558144,0.2769235012652834,0.014859979061024287
5,5259.155533084374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.9317598431470571,-0.11026194435882918,-0.32554605281107557,0.0,-0.35277976979326897,-0.11623377264122048,-0.3635578549283468,-0.1307819398499924,0.0,-0.05839837692768487,0.035100798226185496,-0.06561866395477134,-0.035078900092277404,0.011438032696221057,0.14282520838594642,-0.15652833910375244,-0.05623470360962603,-0.03100608582029135,-0.09225286276334849,0.014630182948637748,-0.06174246378026545,-0.03878291359163482,-0.1131374597153382,0.03127636329766942,-0.06649713873415793,-0.024394455681103017,-0.013762222836305339,0.2219842097984473,0.06846453746306694,0.0,0.0,0.10656639530032276,0.1610327394221762,-0.017600836519637075,-0.009698059265787652,0.0,-0.24987128634183364,-0.09586907897714815,-0.25948934427836273,-0.06928754858533814,-8.52739618979048E-4,-0.10294420601383533,0.10495958758216618,0.562282885826556,0.03022492396370028
6,5171.504935571765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.9100236087775684,-0.06904033562469836,-0.2933342187354383,0.0,-0.20134518904057205,-0.09898030944500509,-0.35399442783478396,-0.14942217934555063,0.0,-0.15395625512425745,0.07073766067534377,-0.1501024154918133,-0.08155206070430294,0.010667178373711532,0.3122754290349132,-0.3533049460513259,-0.12986254583447726,-0.07109564866965537,-0.2354502325268774,0.02675660656361671,-0.14536714793457473,-0.09221969572265881,-0.24839697448498027,0.06383358428029531,-0.15645574405932416,-0.05745874284191888,-0.03128908310875836,0.45013466474559927,0.14547805553338472,0.0,0.0,0.19291245029016502,0.34798363702076374,-0.055583470837548915,-0.030084598106539663,0.0,-0.2918756724314522,-0.10037895063260437,-0.20121381019752954,-0.046909981232110626,6.13436280592038E-4,-0.0808033646081674,0.3104503259033791,0.952360946912422,0.05141269569290066
7,5000.375985869842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.9380437748170287,-0.047641802935644365,-0.2853896145140842,0.0,-0.11878139692497272,-0.09433722696087862,-0.3621516706166374,-0.16745598374041543,0.0,-0.22408238047099258,0.09598517343332548,-0.21025182657912656,-0.11479054023658065,0.009372622114227323,0.4305615525803965,-0.4915855860209134,-0.18185530062638672,-0.09965421435782963,-0.3424693277246017,0.03401837462740616,-0.20533939204306118,-0.13082815930644892,-0.342830373202209,0.085124729203898,-0.22082016327075327,-0.08116152121555399,-0.044000105321365814,0.6518921757801246,0.2076762692395511,0.0,0.0,0.273200949568095,0.48951110918172136,-0.07226924622351537,-0.04082217812066134,0.0,-0.2903046514167348,-0.09748308377118214,-0.17158521145883732,-0.05265893057962946,0.0020342613152166396,-0.0391567542049,0.4523635175781089,1.0033192871022993,0.05427347099851039
8,4867.454552250754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.9618469465113118,-0.0012582458350356776,-0.2591754366300852,0.0,0.02336034140247789,-0.07237204807767911,-0.36639716927227156,-0.19929881813811245,0.0,-0.33643523626470734,0.14244540267865843,-0.3065975312422992,-0.17420717594340848,0.022076662841235748,0.6531872181693542,-0.7296327049487032,-0.28303477589694254,-0.14281310806129727,-0.3336787499411034,0.0946556539974693,-0.2433170345327139,-0.1713597722044963,-0.3146631845633892,0.1952589187023107,-0.28898555975175394,-0.10568460257916419,-0.04767033221441641,0.8245181108385176,0.27321124601575936,0.0,0.0,0.26557578961958367,0.6733579653107282,-0.1462700912853665,-0.08356119914240302,0.0,-0.31213902548847716,-0.09825516678231723,-0.22598764661128046,-0.05843551175257379,1.814654746498483E-4,-0.25661110954927857,0.45137591318247716,0.9996595057048185,0.054244762494189906
9,4524.672889334877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.2508054480946456,0.29850037309048755,-0.20683703621234306,0.0,0.6125944662472542,0.14224300755224992,-0.5257145572012347,-0.42654043298518274,0.0,-0.8568510714619244,0.43845276034384917,-0.7644285777711782,-0.520269838550559,0.2629453129688455,2.0448010190984784,-2.0219950287717365,-0.9407873850196442,-0.3206153409562395,-0.07289764707133489,0.5392648824274667,-0.3888703417603042,-0.41263002889662315,0.29342537392893303,1.0465645301519173,-0.7134913464852086,-0.2598340106441564,-0.05990015436463603,1.2335628088051425,0.5020240592062026,0.0,0.0,-0.2845090140571062,1.497348893964637,-0.7045616514068517,-0.4293300117710934,0.0,-0.2716674661218116,-0.07176071613043716,-0.1814204937760467,-0.052578035757915684,0.011278049354530773,0.19179586602494292,0.019025706956789068,1.070012200541702,0.06007791977181398
