Iteration,LL,asc_carD,b_carD_p.age_group_agg_15_24,b_carD_p.age_group_agg_40_54,b_carD_p.age_55up,b_carD_p.female,b_carD_hh.cars_gr_0,b_carD_hh.cars_gr_2,b_carD_hh.cars_gr_3,b_carD_hh.income_agg_high,asc_carP,b_carP_p.age_group_agg_15_24,b_carP_p.age_group_agg_40_54,b_carP_p.age_55up,b_carP_p.female,b_carP_hh.cars_gr_0,b_carP_hh.cars_gr_2,b_carP_hh.cars_gr_3,b_carP_hh.income_agg_high,asc_pt,b_pt_p.age_group_agg_15_24,b_pt_p.age_group_agg_40_54,b_pt_p.age_55up,b_pt_p.female,b_pt_hh.cars_gr_0,b_pt_hh.cars_gr_2,b_pt_hh.cars_gr_3,b_pt_hh.income_agg_high,asc_bike,b_bike_p.age_group_agg_15_24,b_bike_p.age_group_agg_40_54,b_bike_p.age_55up,b_bike_p.female,b_bike_hh.cars_gr_0,b_bike_hh.cars_gr_2,b_bike_hh.cars_gr_3,b_bike_hh.income_agg_high,asc_walk,b_walk_p.age_group_agg_15_24,b_walk_p.age_group_agg_40_54,b_walk_p.age_55up,b_walk_p.female,b_walk_hh.cars_gr_0,b_walk_hh.cars_gr_2,b_walk_hh.cars_gr_3,b_walk_hh.income_agg_high,b_car_time,b_pt_time,b_bike_cost,b_walk_cost,g_bike_grad,g_bike_stressLink,g_bike_stressLink_f,g_walk_vgvi,g_walk_stressJct
0,7176.746458439862,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,-0.1,0.0,0.0,0.0,0.0,0.0
1,7099.566199196272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0010443642300301686,-1.352998334447079E-4,-3.6870518856320486E-4,0.0,-4.3573707561288217E-4,-1.4941796732870541E-4,-3.9983986966972597E-4,-1.3852359518345302E-4,0.0,-6.125309903983008E-4,-4.989073015087651E-5,-2.5034972138801294E-4,-1.197037217239165E-4,-2.404291622193525E-4,6.321713279579239E-5,-3.4829991926210805E-4,-1.26081492426035E-4,-1.2083302812471817E-4,-4.778784908897507E-5,2.0311974119544786E-5,-4.5257247470202E-5,-3.1377780345373695E-5,-9.196132062348654E-5,3.493922110525551E-5,-4.828124729135703E-5,-1.82853847601213E-5,-5.855470610554892E-6,5.510155639256031E-4,1.3103057773314846E-4,0.0,0.0,2.842345073381308E-4,2.380701570609901E-4,7.187286130377222E-5,2.4361757270593078E-5,0.0,0.0037957913100895753,-0.03123745363590322,-0.09918085406633488,-0.09120713203914366,-2.205668161344153E-7,-4.216786644381792E-5,6.204558594935026E-5,-4.790354534001507E-4,-2.608940512061418E-5
2,6804.108996193312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.005327055467989769,-6.953482874520584E-4,-0.0018743968119301064,0.0,-0.0022353778473519566,-7.369277468288242E-4,-0.002037188062650296,-7.050659755162281E-4,0.0,-9.137515824260701E-4,2.677817520774254E-5,-4.8815523170812555E-4,-2.539183598789074E-4,-2.773217830923868E-4,4.8232426490466473E-4,-8.601796907279457E-4,-3.225038280053892E-4,-2.1015928631674897E-4,-3.048735369702806E-4,7.055681385701467E-5,-2.268753763709827E-4,-1.51423149244376E-4,-4.4724953845920126E-4,1.3227281580742304E-4,-2.391833341076321E-4,-8.986429027178101E-5,-3.82424473236068E-5,0.0023526166543727696,5.611353050180002E-4,0.0,0.0,0.0012128132409592739,0.001022024787408807,3.03233813325173E-4,1.0246527875565784E-4,0.0,-0.0051366924880905315,-0.03294665230243347,-0.0976954819617116,-0.06258636955613711,5.004927390250284E-7,-8.772845564359254E-5,3.1193722486269355E-4,-0.001954966278679592,-1.0646213043959879E-4
3,6374.8899767780495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2427594905493365,-0.029819264166337223,-0.08664825400304993,0.0,-0.09818752921993588,-0.030918143246600322,-0.09549416067769446,-0.03314773283821163,0.0,-0.01189719383280495,0.007055188651261543,-0.013620351025639825,-0.007578887927628832,0.002463508061125266,0.03054646047173254,-0.03273931805126838,-0.012298352733068493,-0.005684592369012399,-0.029403741481919515,0.0014605456495402319,-0.016185881519075275,-0.0098921388715986,-0.029145746224205647,0.005335328197637932,-0.01762858162334531,-0.006353650188836876,-0.004427306901817818,0.052950868367691084,0.01564397258260435,0.0,0.0,0.026304266582061617,0.036100084303630695,-0.002453203486555597,-0.0014729594972403882,0.0,-0.1413276357268542,-0.06674197581002461,-0.31006164389313584,-0.05464376810185788,3.9043348140586605E-4,0.020746442999332385,0.025640694139576783,0.1329029227987866,0.0071433112796827755
4,5846.031440910894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5322594389823405,-0.06527420177567175,-0.18907307662705586,0.0,-0.21358547472496814,-0.06791966914144491,-0.20860420644678768,-0.07282183913001805,0.0,-0.027638702554562366,0.01559093582578264,-0.030803408926866276,-0.01706631788900736,0.00486246163204617,0.06806399659100029,-0.07366867054158405,-0.02753464392985113,-0.012970851032273802,-0.05130832366243228,0.005885312267901804,-0.03176709434761477,-0.019853829849827226,-0.05804224140710855,0.014538025018997877,-0.034802393696625446,-0.012605773244208023,-0.007898140837850053,0.1166928591807553,0.03472783492526461,0.0,0.0,0.05773625602483727,0.08051937595705375,-0.006208814893661863,-0.0035743893819404895,0.0,-0.37854878497128386,-0.1205411569717327,-0.35326461929383957,-0.10143148140670812,2.8809718514194454E-4,0.0045712397321525655,0.04892625063196272,0.2798370338337646,0.015016366300919425
5,5254.865862655594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.9333196927740017,-0.1104396126906029,-0.3261105615104405,0.0,-0.3534060537461006,-0.11641260916619539,-0.36418326124163897,-0.13100192312847966,0.0,-0.05857683538599601,0.03511993640733639,-0.06574014099052006,-0.0351348355224939,0.011377476415377837,0.1430007915291283,-0.15677789774537693,-0.056320608955055515,-0.03105154794621233,-0.0923000227174986,0.01466255539535145,-0.06180253427602325,-0.03882246931605354,-0.11321724129352667,0.031337895315603735,-0.06657329568530587,-0.02442238661722044,-0.013774044178161818,0.22205282988295,0.06849159633232246,0.0,0.0,0.10660608097378019,0.16118653160038382,-0.017666553574371295,-0.009730916458012766,0.0,-0.2508265576686065,-0.09596295689320833,-0.258629291714385,-0.06940440032048203,-8.448514039978354E-4,-0.10353448398880558,0.10490536321099089,0.5648718367248486,0.030307903458267144
6,5210.603834792561,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.9114031213061354,-0.06877439461768572,-0.29375560025724023,0.0,-0.2007064815535483,-0.09887602513684889,-0.35466377817622646,-0.14983836358538838,0.0,-0.1548470710541266,0.07097415997101703,-0.15087923435966794,-0.08196004794797526,0.010467543868960589,0.3137887924733299,-0.35511335118806053,-0.1305566581271995,-0.071487519362045,-0.23498153333138289,0.027273852273224243,-0.14566963742670752,-0.09239403044736572,-0.24836781902058294,0.06475065809195055,-0.15698199986213657,-0.05763521577637699,-0.031388904637568854,0.44828055576235326,0.14509430108945776,0.0,0.0,0.19187340910393708,0.3484464418296563,-0.05667044740504757,-0.03047708793053969,0.0,-0.29331300883362077,-0.10051940734069179,-0.1974987349987444,-0.044003239608462245,5.783039750983864E-4,-0.08235984858490925,0.313041056948266,0.9820629785567634,0.052460672908099054
7,5025.20112355322,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.9419569857112315,-0.04446521957609903,-0.28434228906060943,0.0,-0.10680909682108498,-0.09355383448676091,-0.3633578454367628,-0.17006443046991668,0.0,-0.2345120437831894,0.09939340538420006,-0.21900565296091012,-0.11954103912526605,0.008542239304265455,0.4471424149987187,-0.5114375311825059,-0.1892393781854416,-0.10390970323993882,-0.35563447271259585,0.03553255632813129,-0.2134224721771149,-0.13591071566870427,-0.35489725797008614,0.08879964484626204,-0.22963140103572255,-0.084389929239141,-0.045792848552627524,0.6776270523407225,0.21535266501782271,0.0,0.0,0.283712828667515,0.5084544748367655,-0.0748639908259925,-0.04227510725063199,0.0,-0.29233571230336425,-0.09738391426203372,-0.16314393328265842,-0.049991640355693236,0.00214209056641806,-0.03468745558892573,0.47627941057862005,1.0466691435615862,0.05558648838525093
8,4880.3633997796005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.9656608572568056,0.006300069957121936,-0.25284471704517686,0.0,0.05761320449452993,-0.07186325239933683,-0.36489895605443445,-0.20450625361677838,0.0,-0.3665606377779107,0.15017458545980633,-0.3310112867793376,-0.1863813696612927,0.014485630182862877,0.692847558639351,-0.7817165695136512,-0.30059589029362177,-0.15481354419149163,-0.3546342023117905,0.10090872211939993,-0.26008900389798445,-0.18189247126186367,-0.3335373355560907,0.2048030792222098,-0.3062004182457013,-0.1121572446764408,-0.05076992851543637,0.8979190167817865,0.29466958193002274,0.0,0.0,0.2988901286956602,0.7247043478795724,-0.15087378361835835,-0.08599145793722371,0.0,-0.3187407023397121,-0.09840405320335703,-0.22500734789009888,-0.05704122410182795,-3.0293010659914604E-4,-0.2935423063669754,0.5025553817736662,1.052556563902045,0.05513312019487318
9,4520.751358412188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.2593638304077126,0.3014662905997411,-0.1862209542880725,0.0,0.7009479538993789,0.11660816488338385,-0.5048886255344567,-0.4297145335483544,0.0,-0.9467536959722879,0.4455785120474074,-0.8388211372739125,-0.5452435925311054,0.19354129782513302,2.103984010598289,-2.1495208989242327,-0.9607042864647626,-0.359610351630972,-0.06814125836103896,0.5594842288222817,-0.4100658752970733,-0.41811571654611723,0.3101186595057132,1.0526850200819686,-0.7233768946446721,-0.26139359240065374,-0.06521282597880725,1.4269874825707838,0.5513698412262451,0.0,0.0,-0.16791530044924013,1.6204593852407259,-0.6972267146491404,-0.418437495032815,0.0,-0.28169140469125703,-0.07016397118357787,-0.1972271616284994,-0.05426681282066343,0.010193698245765428,0.10030297957349865,0.029659164544829475,1.146584981631389,0.05570644469967243
