Iteration,LL,asc_carD,b_carD_p.age_group_agg_15_24,b_carD_p.age_group_agg_40_54,b_carD_p.age_55up,b_carD_p.female,b_carD_hh.cars_gr_0,b_carD_hh.cars_gr_2,b_carD_hh.cars_gr_3,b_carD_hh.income_agg_high,asc_carP,b_carP_p.age_group_agg_15_24,b_carP_p.age_group_agg_40_54,b_carP_p.age_55up,b_carP_p.female,b_carP_hh.cars_gr_0,b_carP_hh.cars_gr_2,b_carP_hh.cars_gr_3,b_carP_hh.income_agg_high,asc_pt,b_pt_p.age_group_agg_15_24,b_pt_p.age_group_agg_40_54,b_pt_p.age_55up,b_pt_p.female,b_pt_hh.cars_gr_0,b_pt_hh.cars_gr_2,b_pt_hh.cars_gr_3,b_pt_hh.income_agg_high,asc_bike,b_bike_p.age_group_agg_15_24,b_bike_p.age_group_agg_40_54,b_bike_p.age_55up,b_bike_p.female,b_bike_hh.cars_gr_0,b_bike_hh.cars_gr_2,b_bike_hh.cars_gr_3,b_bike_hh.income_agg_high,asc_walk,b_walk_p.age_group_agg_15_24,b_walk_p.age_group_agg_40_54,b_walk_p.age_55up,b_walk_p.female,b_walk_hh.cars_gr_0,b_walk_hh.cars_gr_2,b_walk_hh.cars_gr_3,b_walk_hh.income_agg_high,b_car_time,b_pt_time,b_bike_cost,b_walk_cost,g_bike_grad,g_bike_stressLink,g_bike_stressLink_f,g_walk_vgvi,g_walk_stressJct
0,7176.746458439862,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,-0.1,0.0,0.0,0.0,0.0,0.0
1,7127.961689265779,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0010937453989049485,-1.4169727959610447E-4,-3.8613885074533573E-4,0.0,-4.563402382807772E-4,-1.5648296789596154E-4,-4.187456877351918E-4,-1.450734719890749E-4,-1.866541045079144E-4,-6.414935835321358E-4,-5.224973719078186E-5,-2.621871259200108E-4,-1.2536372953289481E-4,-2.517974882502361E-4,6.620625844813135E-5,-3.6476874942460556E-4,-1.320430633899261E-4,-1.26546433463491E-4,-5.004742460695025E-5,2.1272394818890667E-5,-4.739716735243427E-5,-3.286143080523854E-5,-9.630957133246092E-5,3.659126885654823E-5,-5.056415239038617E-5,-1.914998127426445E-5,-6.132337602689206E-6,5.770694939937138E-4,1.3722615864328138E-4,0.0,0.0,2.976741022642215E-4,2.493269411328982E-4,7.527125986961804E-5,2.5513665786102845E-5,4.074631841101682E-5,0.003975269509655583,-0.032714468961455,-0.09914212200091146,-0.0907913746958879,-2.3099598144141883E-7,-4.416170965873843E-5,6.497931679688324E-5,-5.016859137866351E-4,-2.7323002828251467E-5
2,6801.683703204363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.005899270811383937,-7.704077639397825E-4,-0.0020753415805793863,0.0,-0.002476174216949964,-8.161454556766774E-4,-0.002255579397710513,-7.804769351514206E-4,-0.0010191513427727273,-9.692249133103582E-4,3.576354718559745E-5,-5.260293742292113E-4,-2.74261495819594E-4,-2.876642073393864E-4,5.386126113868174E-4,-9.359695525884548E-4,-3.516392205024614E-4,-2.256949468624004E-4,-3.396255328958717E-4,7.73530240484693E-5,-2.514292556800322E-4,-1.6767149163243953E-4,-4.953709873653886E-4,1.4542286343485059E-4,-2.649768923271866E-4,-9.954105845588163E-5,-4.25991567422312E-5,0.0025959387740743674,6.19254740470798E-4,0.0,0.0,0.0013382078430346951,0.0011280212379322276,3.344048635026166E-4,1.1298107571859078E-4,1.8212238827244604E-4,-0.00604232461480928,-0.034626381841809384,-0.0974879910371584,-0.05872506071145715,5.902041497209336E-7,-9.44297323763779E-5,3.455352524441279E-4,-0.0021527140624687776,-1.1723095370279038E-4
3,6257.481216025718,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.51837929179697,-0.06388313543583383,-0.18490249294306246,0.0,-0.21015226176617188,-0.06640626837303466,-0.20353151669636252,-0.07056654175827555,-0.09263708988465426,-0.024621381738519396,0.014969591687652698,-0.0286499007257007,-0.015982049066831937,0.005392821911359913,0.06465376410119517,-0.06895339873249447,-0.026028709110835168,-0.011840658206194453,-0.05916626108594163,0.003619206972300355,-0.03329027477220071,-0.02046359352701195,-0.06026736869195291,0.011731407916622007,-0.036217567773943395,-0.01307768111295948,-0.008903535715783137,0.11483005993797232,0.0337365981746886,0.0,0.0,0.0573582661995084,0.07761317421804112,-0.004950541323120164,-0.00299831964814161,0.002595994105145885,-0.34161361994831296,-0.11584264339732947,-0.4848013819285902,-0.07437388105119437,7.579656843588052E-4,0.03923809783540514,0.05247681991957422,0.2439471810494887,0.013074064116447738
4,6040.365655242567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.9087830806378218,-0.1115701820549195,-0.32216719786614356,0.0,-0.36392396613363537,-0.11674530221968803,-0.35516516380714624,-0.12407074005876048,-0.16095787701837136,-0.04742705943621105,0.027237370284806297,-0.053161096409550156,-0.02942256503872449,0.00870431817702473,0.11733027808957708,-0.12684645151024865,-0.047415010325147985,-0.022670228064700437,-0.08430189754161277,0.010867115428982808,-0.053436981850721085,-0.03359547494782716,-0.09810298896424861,0.025634716904424107,-0.05847624254434386,-0.021225644217254508,-0.012972805427482883,0.20825689952258292,0.0613882988338277,0.0,0.0,0.1031592686381078,0.14120123072339122,-0.009567182557144185,-0.005801165945832474,0.004305931584008586,-0.646873394806954,-0.18419284561830312,-0.4456266124477506,-0.15279812688563266,4.2111421713636834E-5,-0.024431432228309242,0.07760708483227753,0.39727697742477897,0.021217264979877123
5,5512.576987609458,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.2738055502649819,-0.15230701291901402,-0.44748711554550025,0.0,-0.49143237530304495,-0.16179630527883299,-0.49671939300714574,-0.1764489582028084,-0.22310709063926018,-0.07607885198747537,0.04589664434445058,-0.0859247111688196,-0.046333418667032986,0.015284530836578231,0.18769776472494437,-0.20414195047381986,-0.07461586094018784,-0.039508311299771275,-0.12607872244682258,0.018363947253176673,-0.08226659404711505,-0.05187482498416632,-0.15018784377753672,0.04047317518274976,-0.0889331773473815,-0.03258241327917003,-0.018856687589043297,0.31793721491249705,0.09538286231168408,0.0,0.0,0.15470581864215116,0.22022967469591037,-0.01823604310942257,-0.010801789436167997,0.005223256402783966,-0.5024569887340617,-0.15599694917754933,-0.36901999287641357,-0.12902399993804384,-0.0011458132616231475,-0.1364507322872713,0.13449265276022282,0.5652421126084357,0.03013412599397982
6,5273.473012081593,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.2595973975048498,-0.11348359584944066,-0.4348915033722702,0.0,-0.36969364085736034,-0.15084763401736895,-0.5001468990586616,-0.1926299773511957,-0.21232255394121866,-0.1648558330508058,0.08285944346496796,-0.1619309920205952,-0.09368931628778807,0.016365065268048942,0.35341362390329434,-0.3908152627502546,-0.14614807148408945,-0.07912199620949067,-0.22380822073132656,0.039384787205083246,-0.1472917712808488,-0.0988137860010733,-0.2260120601189789,0.09008587496259533,-0.1704171464718238,-0.0611475968691132,-0.034170543900844695,0.5385018880610388,0.17120745397187512,0.0,0.0,0.23829157114742844,0.4038452813957544,-0.056708154952771844,-0.03140760594577732,-5.794567411585485E-4,-0.5104874932591361,-0.15358812918530043,-0.3075720589118524,-0.10225540996616692,-8.028337907164066E-4,-0.1702899250795095,0.24932016698138698,0.9689484243366702,0.0513218001024625
7,5042.831024066746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.3053321200862935,-0.06834859706051773,-0.42572665701845064,0.0,-0.22011303647059038,-0.15350990836738332,-0.5126909762400034,-0.22519010930846253,-0.19298080693048705,-0.3183100420360153,0.13579178101558229,-0.2803632221247194,-0.17161230468820804,0.004105971757558844,0.6080867764266878,-0.6791279471071852,-0.263353783137934,-0.13792571612343651,-0.2817094084673939,0.09496391810782351,-0.21277627586915,-0.15896017330814383,-0.20317986446029512,0.20901519479096786,-0.2810954469081027,-0.09699587974006582,-0.0528475198857309,0.9153275541507535,0.29581544241046087,0.0,0.0,0.3587767591071721,0.6965097941264875,-0.11426657249956289,-0.06591176966229115,-0.011270433690337627,-0.4962072977867718,-0.14483968568247774,-0.27230316786814696,-0.11715060692743276,0.0017010082113489236,-0.037552304925330265,0.21201358573608622,0.9927503561093102,0.050902535490292306
8,4854.703055486278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.343528159734529,0.04599340372587926,-0.3811222700818433,0.0,0.13122145700663618,-0.13555781146160603,-0.5224903619912219,-0.29360020285017085,-0.1364942520913725,-0.6156856145757302,0.25506414782008935,-0.5073346362617553,-0.3377146570419299,0.033112009389785195,1.1706165017301713,-1.269151001239487,-0.5284920256619617,-0.24896096280153812,-0.3047135739968196,0.23028297671994377,-0.31404722468942237,-0.27181675945402245,-0.11968490304930267,0.5051750296191492,-0.48322954340494945,-0.1730823649036899,-0.07904783701259131,1.6368469141081445,0.5467354878208834,0.0,0.0,0.5339884120777014,1.2884722575466552,-0.2625315754939254,-0.15422454005969477,-0.044801320553897725,-0.5222525602316171,-0.1404395875762291,-0.4217675593040613,-0.14510147716218316,-0.002132136827050685,-0.42525721395891847,0.06661369231093375,0.913329295166113,0.04306205954053723
9,4810.321341869488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.3690247760039571,0.09482846250717016,-0.3748629648847638,0.0,0.2283342465710232,-0.10517467194874316,-0.5475991548943336,-0.32636862989913823,-0.12135731833964448,-0.6611330157687697,0.300295427073603,-0.5398155415813125,-0.38836762536207603,0.12170014875191726,1.3720403021862364,-1.414992945368273,-0.6326662993382701,-0.26004068097868904,-0.25224552470332534,0.28412454164122447,-0.32244409134490454,-0.3006610134769589,-0.09731064196324193,0.6492590130411192,-0.5334691871611381,-0.2062021375165741,-0.07975741394264663,1.7583970339320236,0.6049933590723461,0.0,0.0,0.48595271417374514,1.428817830408532,-0.3379492013881188,-0.20034204073039102,-0.06725090883815446,-0.5386188890331189,-0.14286914167180853,-0.4496358284467953,-0.15826280963359854,-0.0024171685310018878,-0.4827549203203036,0.30678439987732403,0.8223789203891,0.03751319228434907
