Iteration,LL,asc_carD,b_carD_p.age_group_agg_15_24,b_carD_p.age_group_agg_40_54,b_carD_p.age_55up,b_carD_p.female,b_carD_hh.cars_gr_0,b_carD_hh.cars_gr_2,b_carD_hh.cars_gr_3,b_carD_hh.income_agg_high,asc_carP,b_carP_p.age_group_agg_15_24,b_carP_p.age_group_agg_40_54,b_carP_p.age_55up,b_carP_p.female,b_carP_hh.cars_gr_0,b_carP_hh.cars_gr_2,b_carP_hh.cars_gr_3,b_carP_hh.income_agg_high,asc_pt,b_pt_p.age_group_agg_15_24,b_pt_p.age_group_agg_40_54,b_pt_p.age_55up,b_pt_p.female,b_pt_hh.cars_gr_0,b_pt_hh.cars_gr_2,b_pt_hh.cars_gr_3,b_pt_hh.income_agg_high,asc_bike,b_bike_p.age_group_agg_15_24,b_bike_p.age_group_agg_40_54,b_bike_p.age_55up,b_bike_p.female,b_bike_hh.cars_gr_0,b_bike_hh.cars_gr_2,b_bike_hh.cars_gr_3,b_bike_hh.income_agg_high,asc_walk,b_walk_p.age_group_agg_15_24,b_walk_p.age_group_agg_40_54,b_walk_p.age_55up,b_walk_p.female,b_walk_hh.cars_gr_0,b_walk_hh.cars_gr_2,b_walk_hh.cars_gr_3,b_walk_hh.income_agg_high,b_car_time,b_pt_time,b_bike_cost,b_walk_cost,g_bike_grad,g_bike_stressLink,g_bike_stressLink_f,g_walk_vgvi,g_walk_stressJct
0,7175.705063219666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,-0.1,0.0,0.0,0.0,0.0,0.0
1,7130.439038862928,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0010986208785532994,-1.4231934374056023E-4,-3.8788218213246437E-4,0.0,-4.582931797163581E-4,-1.5714097780050913E-4,-4.206893449388191E-4,-1.4571673409781633E-4,-1.875231740171849E-4,-6.440072403291502E-4,-5.2403759918257985E-5,-2.632817337132034E-4,-1.2587112399842492E-4,-2.52679944204154E-4,6.670890942337475E-5,-3.6643008786581396E-4,-1.3261813242314698E-4,-1.2710098905879263E-4,-5.290262013701321E-5,2.1018618485849477E-5,-4.8494644538193515E-5,-3.3490647333643665E-5,-9.815003369815419E-5,3.62904536961182E-5,-5.158458552956295E-5,-1.960300245776203E-5,-6.491356046367978E-6,5.801414730020761E-4,1.3795095428071E-4,0.0,0.0,2.992622347260673E-4,2.506460700319381E-4,7.567735979275059E-5,2.5651960517398314E-5,4.09630908143901E-5,0.004008318578203706,-0.0328543533762856,-0.09918510021178965,-0.09074224947743009,-1.3321409326753248E-7,-3.810717628059613E-5,6.0663053936822685E-5,-5.043587149417694E-4,-2.6958540223242745E-5
2,6806.860874791967,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.005863323774961692,-7.656859941846673E-4,-0.0020627904067288777,0.0,-0.002460666964344895,-8.110788084126176E-4,-0.0022422208872713047,-7.7567004794597E-4,-0.001013080111205372,-9.672422470914693E-4,3.52809111043616E-5,-5.245141486385934E-4,-2.732644512112747E-4,-2.871301636363873E-4,5.359984453973947E-4,-9.327682556016275E-4,-3.503181210033413E-4,-2.2532073525447673E-4,-3.502202946126224E-4,7.527981998845689E-5,-2.542390056131245E-4,-1.690195698310479E-4,-4.992715832625499E-4,1.4242323749429309E-4,-2.6725854176455014E-4,-1.0074434894624241E-4,-4.394828304192139E-5,0.002583637598051373,6.162877170380516E-4,0.0,0.0,0.0013318854767711795,0.0011226289589570983,3.328510436714752E-4,1.124605530382861E-4,1.8125881646909E-4,-0.005863238410219148,-0.034738039504551926,-0.0977114859440921,-0.058919969521104384,1.0208575378812449E-6,-7.266939759645869E-5,3.197647988954439E-4,-0.0021425092162349526,-1.1450963016680617E-4
3,6272.455901963271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5401434946441769,-0.06656682251764566,-0.19266132445500006,0.0,-0.21893008096770333,-0.06916979121861735,-0.21212045640030994,-0.07352040922261281,-0.09654036453599224,-0.025474223491548962,0.015634840381493806,-0.029807826381709732,-0.016628354582265144,0.0057315717660049335,0.06745441644045219,-0.07184102402687617,-0.027116202599568366,-0.012321574514916105,-0.06201001151904092,0.0037752675667603844,-0.034843154853953485,-0.021409586616121246,-0.06302222265102142,0.012175413234307136,-0.03782520329937488,-0.013716715596217862,-0.009326452814356193,0.11939513331295322,0.03509406295405264,0.0,0.0,0.05962265581964739,0.08081654298835744,-0.005228783122959577,-0.0031460997882952093,0.0026773220613175216,-0.35349628211009193,-0.11897476256129157,-0.5049996185086514,-0.07507325719917671,8.073718472798388E-4,0.03889126096563585,0.050965393721395795,0.25694583533094073,0.013513967385788944
4,6053.949298414895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.9279289707938534,-0.11392998003631266,-0.32892837336253616,0.0,-0.37148578710450647,-0.1191957876920045,-0.3626932783178644,-0.1266673205989781,-0.16435378286351343,-0.048216324730558896,0.027891762525399558,-0.054256880474302285,-0.03002893657966562,0.009065527602066626,0.1199955566363457,-0.12958362446067886,-0.04843566391261647,-0.023138066991156198,-0.0866606229325271,0.011129812271265091,-0.054828162531862734,-0.03446780343362661,-0.10059774659998941,0.026115950618647972,-0.059862706173058985,-0.02182695015796407,-0.013314973548106884,0.21284764582773955,0.0627251860570977,0.0,0.0,0.10540060596561862,0.1442961658967019,-0.009773683896591293,-0.005918629246409562,0.0043850663254767904,-0.6566876947188416,-0.1867921098228416,-0.4617001871704937,-0.15302230246114534,6.728800247160168E-5,-0.020947251083211924,0.0747267127044811,0.40696922818476394,0.021340277384989028
5,5523.828029839606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.2942199796076181,-0.15477916069212797,-0.4547634142585735,0.0,-0.49933100524808083,-0.16437288038103082,-0.5048815860688833,-0.17922143185608708,-0.22679423577752952,-0.07688301120582397,0.046688159463124546,-0.08715162887659085,-0.047015275961300854,0.015889642249007026,0.19084437014224623,-0.20728186221207132,-0.07578532769721211,-0.0400148815594315,-0.12807840754211525,0.018945911178985954,-0.0836860094622024,-0.052856560427057574,-0.15312426559675024,0.041157114327755775,-0.09021653272592947,-0.03329403264494403,-0.01911553939132288,0.3228805817868148,0.09685667562492625,0.0,0.0,0.15706926086189352,0.22369788763694676,-0.018552949624211362,-0.010970034207441137,0.005256736991004756,-0.513552387060839,-0.1588285212687034,-0.3793193184943968,-0.12960017465136883,-0.0011352570226737973,-0.13050284181150168,0.12732069313079283,0.5796430747701052,0.03040479611536781
6,5294.205903767672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.2815829868397048,-0.11646504337640158,-0.4436868619968892,0.0,-0.3801090430635964,-0.15388630973609296,-0.5096491812169399,-0.19543087345352045,-0.21671215629353546,-0.16394322837935982,0.08405516636182554,-0.16218126998467697,-0.09398924689630646,0.018724903782721247,0.35591857753869616,-0.39228075776148075,-0.1466790055014065,-0.07915883445836305,-0.22855183197088028,0.038667407809536994,-0.14918181426367016,-0.09997320077249747,-0.23580186871012682,0.08894437591085397,-0.17083843438287533,-0.06251117568019667,-0.03427431263842724,0.5460073533637564,0.17319754876743204,0.0,0.0,0.24198801050483273,0.40733078179569815,-0.056045409511236585,-0.031271166016056326,-4.61108370321945E-4,-0.5239595224068082,-0.15692739709101958,-0.3069393153969724,-0.10720620940206699,-5.327653637094672E-4,-0.12186431298918766,0.2616394828599484,0.9565734988859165,0.05008729961713431
7,5067.242226894396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.7207227036553947,0.35912151680695875,-0.35254606037843506,0.0,1.1941152928108014,-0.1717508098142701,-0.6468676682862069,-0.5290794886167487,-0.023149438066797534,-1.7324644105567717,0.6523524823179956,-1.3883497947018033,-0.8976812904611525,-0.06613190998371192,3.006245867854463,-3.380995554825753,-1.3534842175057638,-0.6933702528447386,-0.9498945889428227,0.5646522885240254,-0.8622581076403711,-0.7342626829691683,-0.27733982604497565,1.2404940746336253,-1.3006112830057261,-0.4514606487040135,-0.22094133569315133,4.559134820441304,1.4957799571789168,0.0,0.0,1.5712848296571629,3.482718388147261,-0.6318470757709684,-0.38013432838612116,-0.10791286223532316,-0.42264962965947084,-0.0785181087075082,-0.12997975584126298,-0.3042856263761238,0.009157512133061065,0.790351191915749,0.3275468561240561,0.7434706292344017,0.02640494985636205
8,5033.015097677174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.7213060166457095,0.379830179673031,-0.3449602604736169,0.0,1.2526661123161518,-0.1656627282661474,-0.6491048463892127,-0.5402846008926065,-0.014808090948247764,-1.7843920400041307,0.6725993699292511,-1.427546627432866,-0.925636669740229,-0.06057022127244586,3.098257524478035,-3.4819727984197857,-1.3975999276512272,-0.7125551488346299,-0.9651196666218419,0.5853205369492314,-0.8842379633563628,-0.7552483313655618,-0.2823090798982914,1.2861484690592875,-1.336235071691155,-0.46559684260185563,-0.22544757043145755,4.696050548218741,1.5419079314856365,0.0,0.0,1.6133491615503606,3.5910359479202336,-0.6539964314032599,-0.393782699733637,-0.11236574110608065,-0.4290434344954931,-0.07812036669693904,-0.15323674514156496,-0.31059096232591576,0.008405386315216916,0.7224314819869013,0.3298136610589775,0.7279001323249483,0.025365505506015636
9,4696.554959329404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.4919806628164998,1.0082645024488421,-0.4174790643448369,0.0,0.9901724397379936,0.8485033621345159,-1.2120449088665155,-0.9236561708877479,-0.10415232246382918,-1.575870780070526,0.933989859325048,-0.9540708482165602,-1.1852548930830926,1.7025807701150812,4.048221861700718,-3.6499823522803103,-2.3210723433438507,-0.3108311323180993,-0.8109232636827087,1.1316303594992339,-1.1239520830065723,-1.1630083246768932,-0.40140264394157443,2.8313807420536463,-1.9382815263803819,-0.8887506016422884,-0.20574197376921807,5.206702482995208,1.9723154356602746,0.0,0.0,0.6872777294957082,4.88521025274782,-1.4745320343612962,-0.9320165313846583,-0.38167652853664447,-0.42938940318221175,-0.09729930265061847,-0.15622170465480775,-0.31609434891695537,0.013072167052197126,0.7114401894655745,0.5135494451696103,0.6096393235039974,0.057099966836181806
