Iteration,LL,asc_carD,b_carD_p.age_group_agg_15_24,b_carD_p.age_group_agg_40_54,b_carD_p.age_group_agg_55,b_carD_p.female,b_carD_hh.cars_gr_0,b_carD_hh.cars_gr_2,b_carD_hh.cars_gr_3,b_carD_hh.income_agg_high,asc_carP,b_carP_p.age_group_agg_15_24,b_carP_p.age_group_agg_40_54,b_carP_p.age_group_agg_55,b_carP_p.female,b_carP_hh.cars_gr_0,b_carP_hh.cars_gr_2,b_carP_hh.cars_gr_3,b_carP_hh.income_agg_high,asc_pt,b_pt_p.age_group_agg_15_24,b_pt_p.age_group_agg_40_54,b_pt_p.age_group_agg_55,b_pt_p.female,b_pt_hh.cars_gr_0,b_pt_hh.cars_gr_2,b_pt_hh.cars_gr_3,b_pt_hh.income_agg_high,asc_bike,b_bike_p.age_group_agg_15_24,b_bike_p.age_group_agg_40_54,b_bike_p.age_group_agg_55,b_bike_p.female,b_bike_hh.cars_gr_0,b_bike_hh.cars_gr_2,b_bike_hh.cars_gr_3,b_bike_hh.income_agg_high,asc_walk,b_walk_p.age_group_agg_15_24,b_walk_p.age_group_agg_40_54,b_walk_p.age_group_agg_55,b_walk_p.female,b_walk_hh.cars_gr_0,b_walk_hh.cars_gr_2,b_walk_hh.cars_gr_3,b_walk_hh.income_agg_high,b_car_time,b_pt_time,b_bike_cost,b_walk_cost,g_bike_grad,g_bike_stressLink,g_bike_stressLink_f,g_walk_vgvi,g_walk_stressJct,g_walk_speed
0,7175.705063219666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,-0.1,0.0,0.0,0.0,0.0,0.0,0.0
1,6931.782072275235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.042052416739777E-4,-7.827094419767603E-5,-2.133224046360644E-4,0.0,-2.520461305748104E-4,-8.642235399155083E-5,-2.3136526193015997E-4,-8.013939682035861E-5,-1.0313155965661703E-4,-3.5418273753841454E-4,-2.882033924908707E-5,-1.4479626835055853E-4,-6.922496593674003E-5,-1.3896563385458298E-4,3.668769957570236E-5,-2.0152446045548176E-4,-7.293559799864269E-5,-6.990135114890201E-5,-2.9094695912899473E-5,1.155954680072986E-5,-2.667045474474964E-5,-1.8418751237177055E-5,-5.3979280740590124E-5,1.995855237595288E-5,-2.8369820358397152E-5,-1.0781004683912957E-5,-3.5700316873208963E-6,3.190586723255244E-4,7.586847410008374E-5,8.473011175348443E-5,4.8221333573046285E-5,1.645843569755041E-4,1.3784707015372156E-4,4.162005142578319E-5,1.410773207244673E-5,2.2528348649093078E-5,0.0022044438756030644,-0.018068455487956665,-0.09955183199856527,-0.09490854260915507,-7.326335680337644E-8,-2.0957689866999402E-5,3.336267850001659E-5,-2.7738065532948494E-4,-1.4826307808942484E-5,-2.5965017191838144E-4
2,6472.937912866275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.007572388186255236,-9.855927154899836E-4,-0.0026675136211867707,0.0,-0.0031721832953354456,-0.0010362155210610305,-0.002901163302268552,-0.0010067552497771842,-0.0013147790932636178,-9.989227508863919E-4,6.770893926968481E-5,-5.781152684912101E-4,-3.132906569655407E-4,-2.811970952098252E-4,6.892934872284015E-4,-0.0010853714642855858,-4.044042650135427E-4,-2.3295288960360275E-4,-4.465537579000808E-4,9.57128302588519E-5,-3.2393384512978147E-4,-2.1502254411380977E-4,-6.348065696654913E-4,1.8135252086880406E-4,-3.406621509655462E-4,-1.2834933544655388E-4,-5.639727396170705E-5,0.003291707193401633,7.848460736283419E-4,8.723279101451819E-4,4.973890710486547E-4,0.0016971146216975368,0.001428973111228489,4.2493211121806166E-4,1.4364933746193611E-4,2.311427334402563E-4,-0.012235459593316686,-0.02089080513562422,-0.09718303030112578,-0.047620250100587944,1.4115461171067412E-6,-8.518648706574836E-5,4.096903302868683E-4,-0.0027480639119231865,-1.4687090668150573E-4,-0.0025721961662057433
3,5761.525875009397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6155599061873837,-0.07653101938710452,-0.2193832789069983,0.0,-0.25073438813501236,-0.07966300343771698,-0.2407809029664399,-0.08383873135217892,-0.10948913760027928,-0.042358761723482706,0.015163313505788444,-0.037529518115853484,-0.02074285876791275,-9.821178963629966E-4,0.07244239248187896,-0.08467899269210231,-0.031081035192060957,-0.01563801594152997,-0.060549863613029845,0.005722520261695133,-0.03618921053226281,-0.022606293060618333,-0.06642953582289733,0.014806330716748615,-0.03911066590931795,-0.014273288903397964,-0.008964614825652984,0.1496217096678212,0.04271022787453247,0.03439712658914953,0.02169309203555948,0.0758730766845277,0.0957342031776941,-0.002867215351963682,-0.0022570643300214737,0.004065087345152025,-0.4090552242425632,-0.11351766599319875,-0.3720963210152067,-0.0977844385349753,7.083434390097626E-4,0.030833869300098165,0.05174830500522466,0.1873862044884434,0.009768257677020711,0.18229593240698422
4,5338.514656880693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.8812370731891228,-0.10803866357729591,-0.31178123524869383,0.0,-0.3505331185920147,-0.11317687775590278,-0.3438222535869517,-0.12115564094988049,-0.15534650969410121,-0.06751487901130648,0.024462677563592578,-0.05945861086473368,-0.03196816165099559,-0.0016650997258665194,0.1126139453775408,-0.13323486547124952,-0.04790829763436642,-0.026484746259813924,-0.08148629875988005,0.011071418354462029,-0.052314685159263956,-0.033030469659114436,-0.0966654135428396,0.024668423084841982,-0.05623453666728202,-0.020693900283105176,-0.011974957812765454,0.2221440617451572,0.06445759503389331,0.04985461507917193,0.032173200340758164,0.1110966687178358,0.14529013155620812,-0.006681446271707582,-0.004561913468332681,0.005243383645502321,-0.37035309359125473,-0.10666334280862082,-0.2804914390916018,-0.09339215241100085,2.2351615903051087E-4,-0.013703299017364345,0.07659367386966175,0.27873620015285666,0.014479890278363836,0.27307235683234055
5,5070.0347584204765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0470829682374536,-0.1271841311612978,-0.3693151407147897,0.0,-0.41113616267780345,-0.13383412461039293,-0.4083117375650275,-0.1447221714135152,-0.1839077482599304,-0.08423998663170822,0.030884691767544048,-0.07420606174422613,-0.03950956791908017,-0.0019239893947268103,0.13995439100239038,-0.16604688501902043,-0.059293568190386774,-0.03387125467405728,-0.10059934294749685,0.013784255748937223,-0.06473394975805694,-0.04086005520638292,-0.11931010416027146,0.030417933055900848,-0.069360501612923,-0.025596077415007502,-0.01465931246833901,0.270337354116861,0.07904304167732597,0.05995502802392721,0.039123678921776914,0.1342701193319575,0.1786020200074805,-0.009514107128792863,-0.00623572979245716,0.005936468022412676,-0.29661497513389595,-0.09246423729698099,-0.27686208646667515,-0.07252273443427809,1.1316292287912524E-4,-0.03073627794038233,0.09825164162172682,0.34202980407893946,0.017744220920569737,0.3360046964315494
6,4902.369956363118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0429039829926934,-0.08894621895269303,-0.3563321885153159,0.0,-0.28760755891183487,-0.12133857316163438,-0.4147991762206642,-0.1617345266899618,-0.1760397564768979,-0.20282027393266336,0.05806588730199461,-0.15700798003232092,-0.08828596828647478,-0.014133490423603092,0.2922508516015295,-0.351202939510412,-0.13217989015276962,-0.0730173528076822,-0.2404652968923861,0.02492868535924276,-0.14390218154398665,-0.0928626800308633,-0.25057003759134916,0.06288864818224506,-0.15642796124135017,-0.05821617923333702,-0.032255438662913014,0.5048238198959298,0.15727191580213196,0.09452851537332295,0.07251236081825556,0.2212940987770353,0.35995998403291773,-0.04245141951431143,-0.0239120395439041,0.002857170902944987,-0.3110205381876281,-0.09111473963755218,-0.20295903397404702,-0.05129219399023671,0.00322345720616622,0.09070347591365967,0.2689302709267238,0.563541158083078,0.0291582357555925,0.5576339865300288
7,4761.846500190675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0649707359340785,-0.06806012717045615,-0.35568464828852614,0.0,-0.2193322320488862,-0.11716345442112608,-0.42737810306467133,-0.17586564138410557,-0.17435030791768305,-0.28232302429686795,0.07608182273692607,-0.21161345868118883,-0.12059208046287143,-0.02210850538669228,0.3921376670057396,-0.47252618498079013,-0.18046129830690255,-0.09870520343649364,-0.3352507583404203,0.031733221776241056,-0.1962847310060835,-0.12750397143757083,-0.3355880002275722,0.08395450655047065,-0.21431954498593841,-0.07993605034658068,-0.04402162266056203,0.6812288301470806,0.21300734178391856,0.12284259185915243,0.09806157594673652,0.28777953345319857,0.48399968082732103,-0.05860831732258781,-0.033618885580633064,0.0027964163513084167,-0.3082311955884249,-0.08789383933645492,-0.1624169987896505,-0.05764072044372269,0.00552686673408951,0.18427902641829239,0.38026569287997075,0.5815888104425994,0.02990088478464068,0.5824229230766608
8,4559.661920390924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0722344131598223,-0.002172145536528239,-0.33092574944975583,0.0,-0.010940658331129699,-0.09458786861302165,-0.44080736161580514,-0.21008416923416962,-0.15569227998358,-0.4874007779383613,0.1277164631249204,-0.348828228524841,-0.20794962218300383,-0.02535612148930003,0.6732675874097995,-0.7906343830376334,-0.3186423536476644,-0.16298282988218676,-0.42437529087922865,0.08875482362151313,-0.28259180059119565,-0.1972837692760952,-0.43663422179617983,0.19840748117597856,-0.3317026008397608,-0.12297815427744711,-0.05860511832898796,1.0499061592088685,0.34135741221845894,0.1555461574984191,0.14927149178572957,0.3718540452171568,0.7795964768683386,-0.1293526759411934,-0.07453576879708215,-0.008345051298617834,-0.3288325054015041,-0.08588156294231544,-0.21469498206764198,-0.07029265591384935,0.004552256875855759,-0.08861548961054413,0.39854862837892513,0.5864264015706979,0.029875995144744153,0.6015258017182903
9,4251.1266428057925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.364863161181877,0.3860706768480456,-0.3551195766196686,0.0,0.6763913475092053,0.2094293931568002,-0.7721951973351986,-0.4814031207353192,-0.13805252616221345,-0.876638991197616,0.49091395532241694,-0.5941429842644071,-0.5614973774866878,0.6499229927312576,2.2922933847747453,-1.8373395200632856,-1.1294292156980215,-0.22629232803880198,-0.23221396971973388,0.5991227409114942,-0.4906716113903637,-0.5279898333295872,-0.1027203712723942,1.2759918196890232,-0.9261212869510191,-0.3509739083039583,-0.08162300684483727,1.4164494106203451,0.6502234881470348,-0.28385128607816246,0.15613110598744956,-0.5476937952189518,1.6084614899716012,-0.7897608362328661,-0.4827009320114365,-0.1874555936831514,-0.3018268365493147,-0.07181531500578206,-0.17417319221512104,-0.05895185966984192,0.020849108061142235,0.35687482357421174,-0.26587289012792337,0.6211313521174554,0.035116650159436366,0.5571791689724496
