| COEFFICIENT NAME               | VALUE      | STD.ERR |  T.TEST     |  P.VAL      |
| asc_carD                       |  0,0000000 |         |             |             |
| b_carD_p.age_group_agg_15_24   |  0,0000000 |         |             |             |
| b_carD_p.age_group_agg_40_54   |  0,0000000 |         |             |             |
| b_carD_p.age_group_agg_55      |  0,0000000 |         |             |             |
| b_carD_p.female                |  0,0000000 |         |             |             |
| b_carD_hh.cars_gr_0            |  0,0000000 |         |             |             |
| b_carD_hh.cars_gr_2            |  0,0000000 |         |             |             |
| b_carD_hh.cars_gr_3            |  0,0000000 |         |             |             |
| b_carD_hh.income_agg_high      |  0,0000000 |         |             |             |
| asc_carP                       | -2,2256771 | 0,12679 |  -17,55464  | 0,00000 *** |
| b_carP_p.age_group_agg_15_24   |  1,2238293 | 0,17298 |   7,07510   | 0,00000 *** |
| b_carP_p.age_group_agg_40_54   | -0,4062111 | 0,15351 |  -2,64608   | 0,00814 **  |
| b_carP_p.age_group_agg_55      |  0,0000000 |         |             |             |
| b_carP_p.female                |  0,8077365 | 0,13187 |   6,12517   | 0,00000 *** |
| b_carP_hh.cars_gr_0            |  4,4050690 | 0,57703 |   7,63403   | 0,00000 *** |
| b_carP_hh.cars_gr_2            | -1,3285787 | 0,15918 |  -8,34634   | 0,00000 *** |
| b_carP_hh.cars_gr_3            | -1,8261523 | 0,26162 |  -6,98004   | 0,00000 *** |
| b_carP_hh.income_agg_high      |  0,2466964 | 0,18870 |   1,30733   | 0,19110     |
| asc_pt                         | -1,2357516 | 0,14374 |  -8,59713   | 0,00000 *** |
| b_pt_p.age_group_agg_15_24     |  1,1023992 | 0,14840 |   7,42834   | 0,00000 *** |
| b_pt_p.age_group_agg_40_54     | -0,4257167 | 0,12025 |  -3,54032   | 0,00040 *** |
| b_pt_p.age_group_agg_55        | -0,5482641 | 0,15653 |  -3,50270   | 0,00046 *** |
| b_pt_p.female                  |  0,4453612 | 0,10095 |   4,41163   | 0,00001 *** |
| b_pt_hh.cars_gr_0              |  5,6073925 | 0,55956 |   10,02108  | 0,00000 *** |
| b_pt_hh.cars_gr_2              | -1,5778352 | 0,12594 |  -12,52817  | 0,00000 *** |
| b_pt_hh.cars_gr_3              | -2,1062352 | 0,21148 |  -9,95945   | 0,00000 *** |
| b_pt_hh.income_agg_high        |  0,4347278 | 0,14011 |   3,10269   | 0,00192 **  |
| asc_bike                       | -0,4103893 | 0,18646 |  -2,20093   | 0,02774 *   |
| b_bike_p.age_group_agg_15_24   |  1,1621047 | 0,19075 |   6,09237   | 0,00000 *** |
| b_bike_p.age_group_agg_40_54   | -0,7491310 | 0,19327 |  -3,87603   | 0,00011 *** |
| b_bike_p.age_group_agg_55      | -1,3411175 | 0,29303 |  -4,57674   | 0,00000 *** |
| b_bike_p.female                | -0,5875712 | 0,25183 |  -2,33321   | 0,01964 *   |
| b_bike_hh.cars_gr_0            |  5,4973638 | 0,57210 |   9,60904   | 0,00000 *** |
| b_bike_hh.cars_gr_2            | -1,5868013 | 0,22327 |  -7,10694   | 0,00000 *** |
| b_bike_hh.cars_gr_3            | -1,8876114 | 0,34576 |  -5,45932   | 0,00000 *** |
| b_bike_hh.income_agg_high      |  0,6824877 | 0,23355 |   2,92218   | 0,00348 **  |
| asc_walk                       |  2,4928963 | 0,18417 |   13,53597  | 0,00000 *** |
| b_walk_p.age_group_agg_15_24   |  1,2983224 | 0,19180 |   6,76908   | 0,00000 *** |
| b_walk_p.age_group_agg_40_54   | -0,1625803 | 0,16041 |  -1,01355   | 0,31080     |
| b_walk_p.age_group_agg_55      | -0,1408062 | 0,19686 |  -0,71527   | 0,47444     |
| b_walk_p.female                | -0,2104524 | 0,13173 |  -1,59764   | 0,11012     |
| b_walk_hh.cars_gr_0            |  5,6116786 | 0,57232 |   9,80507   | 0,00000 *** |
| b_walk_hh.cars_gr_2            | -1,1354869 | 0,16729 |  -6,78751   | 0,00000 *** |
| b_walk_hh.cars_gr_3            | -1,6574128 | 0,25449 |  -6,51257   | 0,00000 *** |
| b_walk_hh.income_agg_high      |  0,2348923 | 0,22712 |   1,03423   | 0,30103     |
| b_car_time                     | -0,1623270 | 0,01232 |  -13,17442  | 0,00000 *** |
| b_pt_time                      | -0,0373839 | 0,00344 |  -10,86158  | 0,00000 *** |
| b_bike_cost                    | -0,0834893 | 0,00860 |  -9,71068   | 0,00000 *** |
| b_walk_cost                    | -0,1290183 | 0,01714 |  -7,52627   | 0,00000 *** |
| g_bike_grad                    |  29,9128987 | 13,81060 |   2,16594   | 0,03032 *   |
| g_bike_stressLink              |  0,7670454 | 0,30363 |   2,52623   | 0,01153 *   |
| g_bike_stressLink_f            |  1,7254688 | 0,93047 |   1,85440   | 0,06368 .   |
| g_walk_vgvi                    |  0,2494210 | 0,17853 |   1,39711   | 0,16238     |
| g_walk_stressJct               |  5,6666159 | 2,72394 |   2,08030   | 0,03750 *   |
| g_walk_speed                   | -0,3893328 | 0,18904 |  -2,05949   | 0,03945 *   |


Iterations: 83

Start LL = 7175.705063219666
Final LL = 3632.6458121065407
