| COEFFICIENT NAME               | VALUE      | STD.ERR |  T.TEST     |  P.VAL      |
| asc_carD                       |  0,0000000 |         |             |             |
| b_carD_p.age_group_agg_15_24   |  0,0000000 |         |             |             |
| b_carD_p.age_group_agg_40_54   |  0,0000000 |         |             |             |
| b_carD_p.age_group_agg_55      |  0,0000000 |         |             |             |
| b_carD_p.female                |  0,0000000 |         |             |             |
| b_carD_hh.cars_gr_0            |  0,0000000 |         |             |             |
| b_carD_hh.cars_gr_2            |  0,0000000 |         |             |             |
| b_carD_hh.cars_gr_3            |  0,0000000 |         |             |             |
| b_carD_hh.income_agg_low       |  0,0000000 |         |             |             |
| b_carD_hh.income_agg_high      |  0,0000000 |         |             |             |
| asc_carP                       | -2,2435968 | 0,12805 |  -17,52093  | 0,00000 *** |
| b_carP_p.age_group_agg_15_24   |  1,2261293 | 0,17420 |   7,03869   | 0,00000 *** |
| b_carP_p.age_group_agg_40_54   | -0,4389984 | 0,15624 |  -2,80970   | 0,00496 **  |
| b_carP_p.age_group_agg_55      |  0,0000000 |         |             |             |
| b_carP_p.female                |  0,8174976 | 0,13359 |   6,11943   | 0,00000 *** |
| b_carP_hh.cars_gr_0            |  4,2054454 | 0,52974 |   7,93866   | 0,00000 *** |
| b_carP_hh.cars_gr_2            | -1,3623518 | 0,16206 |  -8,40654   | 0,00000 *** |
| b_carP_hh.cars_gr_3            | -1,8552997 | 0,26650 |  -6,96178   | 0,00000 *** |
| b_carP_hh.income_agg_low       |  0,0000000 |         |             |             |
| b_carP_hh.income_agg_high      |  0,2504999 | 0,19181 |   1,30596   | 0,19157     |
| asc_pt                         | -1,2144693 | 0,14354 |  -8,46082   | 0,00000 *** |
| b_pt_p.age_group_agg_15_24     |  1,0825439 | 0,14856 |   7,28706   | 0,00000 *** |
| b_pt_p.age_group_agg_40_54     | -0,4240708 | 0,12051 |  -3,51893   | 0,00043 *** |
| b_pt_p.age_group_agg_55        | -0,5567828 | 0,15702 |  -3,54592   | 0,00039 *** |
| b_pt_p.female                  |  0,4397060 | 0,10114 |   4,34753   | 0,00001 *** |
| b_pt_hh.cars_gr_0              |  5,4561250 | 0,51087 |   10,68001  | 0,00000 *** |
| b_pt_hh.cars_gr_2              | -1,5943800 | 0,12640 |  -12,61390  | 0,00000 *** |
| b_pt_hh.cars_gr_3              | -2,1152202 | 0,21199 |  -9,97805   | 0,00000 *** |
| b_pt_hh.income_agg_low         | -0,5386957 | 0,28131 |  -1,91495   | 0,05550 .   |
| b_pt_hh.income_agg_high        |  0,4306958 | 0,14044 |   3,06686   | 0,00216 **  |
| asc_bike                       | -0,7276040 | 0,19087 |  -3,81209   | 0,00014 *** |
| b_bike_p.age_group_agg_15_24   |  1,1918234 | 0,19219 |   6,20140   | 0,00000 *** |
| b_bike_p.age_group_agg_40_54   | -0,7465410 | 0,19397 |  -3,84877   | 0,00012 *** |
| b_bike_p.age_group_agg_55      | -1,3881620 | 0,29605 |  -4,68902   | 0,00000 *** |
| b_bike_p.female                | -0,0906631 | 0,25702 |  -0,35274   | 0,72428     |
| b_bike_hh.cars_gr_0            |  5,3341562 | 0,52506 |   10,15908  | 0,00000 *** |
| b_bike_hh.cars_gr_2            | -1,5852073 | 0,22354 |  -7,09132   | 0,00000 *** |
| b_bike_hh.cars_gr_3            | -2,0118094 | 0,34919 |  -5,76143   | 0,00000 *** |
| b_bike_hh.income_agg_low       | -0,3432547 | 0,37984 |  -0,90368   | 0,36616     |
| b_bike_hh.income_agg_high      |  0,6348330 | 0,23436 |   2,70881   | 0,00675 **  |
| asc_walk                       |  2,3414060 | 0,17853 |   13,11522  | 0,00000 *** |
| b_walk_p.age_group_agg_15_24   |  1,3061604 | 0,19126 |   6,82925   | 0,00000 *** |
| b_walk_p.age_group_agg_40_54   | -0,1677879 | 0,15998 |  -1,04882   | 0,29426     |
| b_walk_p.age_group_agg_55      | -0,1248405 | 0,19696 |  -0,63383   | 0,52619     |
| b_walk_p.female                | -0,1341087 | 0,13171 |  -1,01822   | 0,30858     |
| b_walk_hh.cars_gr_0            |  5,4167135 | 0,52482 |   10,32111  | 0,00000 *** |
| b_walk_hh.cars_gr_2            | -1,1088866 | 0,16667 |  -6,65308   | 0,00000 *** |
| b_walk_hh.cars_gr_3            | -1,6367753 | 0,25315 |  -6,46573   | 0,00000 *** |
| b_walk_hh.income_agg_low       |  0,0359741 | 0,30283 |   0,11879   | 0,90544     |
| b_walk_hh.income_agg_high      |  0,2538841 | 0,22553 |   1,12574   | 0,26028     |
| b_car_time                     | -0,1586273 | 0,01244 |  -12,74894  | 0,00000 *** |
| b_pt_time                      | -0,0365618 | 0,00347 |  -10,53290  | 0,00000 *** |
| b_bike_cost                    | -0,0567885 | 0,02520 |  -2,25391   | 0,02420 *   |
| g_bike_grad                    |  21,8332753 | 16,62447 |   1,31332   | 0,18907     |
| g_bike_vgvi                    | -0,4974767 | 0,54978 |  -0,90486   | 0,36554     |
| g_bike_stressLink              |  1,4809051 | 0,92365 |   1,60332   | 0,10886     |
| g_bike_stressLink_f            |  2,3206709 | 1,17394 |   1,97683   | 0,04806 *   |
| b_walk_cost                    | -0,1029547 | 0,01081 |  -9,52324   | 0,00000 *** |
| g_walk_vgvi                    |  0,3763548 | 0,33202 |   1,13353   | 0,25699     |
| g_walk_stressJct               |  3,1402684 | 3,06289 |   1,02526   | 0,30524     |


Iterations: 120

Start LL = 7175.705063219666
Final LL = 3631.5784820749554
