| COEFFICIENT NAME               | VALUE      | STD.ERR |  T.TEST     |  P.VAL      |
| asc_carD                       |  0,0000000 |         |             |             |
| b_carD_p.age_group_agg_15_24   |  0,0000000 |         |             |             |
| b_carD_p.age_group_agg_40_54   |  0,0000000 |         |             |             |
| b_carD_p.age_group_agg_55      |  0,0000000 |         |             |             |
| b_carD_p.female                |  0,0000000 |         |             |             |
| b_carD_hh.cars_gr_0            |  0,0000000 |         |             |             |
| b_carD_hh.cars_gr_2            |  0,0000000 |         |             |             |
| b_carD_hh.cars_gr_3            |  0,0000000 |         |             |             |
| b_carD_hh.income_agg_low       |  0,0000000 |         |             |             |
| b_carD_hh.income_agg_high      |  0,0000000 |         |             |             |
| asc_carP                       | -2,2508643 | 0,12851 |  -17,51504  | 0,00000 *** |
| b_carP_p.age_group_agg_15_24   |  1,2336568 | 0,17461 |   7,06539   | 0,00000 *** |
| b_carP_p.age_group_agg_40_54   | -0,4421841 | 0,15695 |  -2,81732   | 0,00484 **  |
| b_carP_p.age_group_agg_55      |  0,0000000 |         |             |             |
| b_carP_p.female                |  0,8205772 | 0,13410 |   6,11926   | 0,00000 *** |
| b_carP_hh.cars_gr_0            |  4,2408421 | 0,53823 |   7,87929   | 0,00000 *** |
| b_carP_hh.cars_gr_2            | -1,3712712 | 0,16288 |  -8,41903   | 0,00000 *** |
| b_carP_hh.cars_gr_3            | -1,8668692 | 0,26806 |  -6,96449   | 0,00000 *** |
| b_carP_hh.income_agg_low       |  0,0000000 |         |             |             |
| b_carP_hh.income_agg_high      |  0,2498913 | 0,19271 |   1,29674   | 0,19472     |
| asc_pt                         | -1,2133021 | 0,14339 |  -8,46179   | 0,00000 *** |
| b_pt_p.age_group_agg_15_24     |  1,0844463 | 0,14848 |   7,30346   | 0,00000 *** |
| b_pt_p.age_group_agg_40_54     | -0,4235567 | 0,12040 |  -3,51777   | 0,00044 *** |
| b_pt_p.age_group_agg_55        | -0,5571771 | 0,15694 |  -3,55017   | 0,00038 *** |
| b_pt_p.female                  |  0,4359908 | 0,10107 |   4,31395   | 0,00002 *** |
| b_pt_hh.cars_gr_0              |  5,4903436 | 0,51950 |   10,56850  | 0,00000 *** |
| b_pt_hh.cars_gr_2              | -1,5887190 | 0,12608 |  -12,60091  | 0,00000 *** |
| b_pt_hh.cars_gr_3              | -2,1115837 | 0,21153 |  -9,98267   | 0,00000 *** |
| b_pt_hh.income_agg_low         | -0,5397671 | 0,28158 |  -1,91689   | 0,05525 .   |
| b_pt_hh.income_agg_high        |  0,4303750 | 0,14019 |   3,07000   | 0,00214 **  |
| asc_bike                       | -0,7401249 | 0,19134 |  -3,86814   | 0,00011 *** |
| b_bike_p.age_group_agg_15_24   |  1,2027853 | 0,19327 |   6,22344   | 0,00000 *** |
| b_bike_p.age_group_agg_40_54   | -0,7538037 | 0,19576 |  -3,85069   | 0,00012 *** |
| b_bike_p.age_group_agg_55      | -1,4116324 | 0,30046 |  -4,69819   | 0,00000 *** |
| b_bike_p.female                | -0,0394068 | 0,25987 |  -0,15164   | 0,87947     |
| b_bike_hh.cars_gr_0            |  5,3753337 | 0,53378 |   10,07025  | 0,00000 *** |
| b_bike_hh.cars_gr_2            | -1,6101553 | 0,22690 |  -7,09629   | 0,00000 *** |
| b_bike_hh.cars_gr_3            | -2,0393648 | 0,35434 |  -5,75544   | 0,00000 *** |
| b_bike_hh.income_agg_low       | -0,3393226 | 0,38171 |  -0,88895   | 0,37403     |
| b_bike_hh.income_agg_high      |  0,6415209 | 0,23679 |   2,70923   | 0,00674 **  |
| asc_walk                       |  2,3778383 | 0,18012 |   13,20108  | 0,00000 *** |
| b_walk_p.age_group_agg_15_24   |  1,3078495 | 0,19112 |   6,84323   | 0,00000 *** |
| b_walk_p.age_group_agg_40_54   | -0,1680095 | 0,15986 |  -1,05099   | 0,29326     |
| b_walk_p.age_group_agg_55      | -0,1356271 | 0,19685 |  -0,68900   | 0,49083     |
| b_walk_p.female                | -0,1376437 | 0,13161 |  -1,04586   | 0,29563     |
| b_walk_hh.cars_gr_0            |  5,4530658 | 0,53327 |   10,22565  | 0,00000 *** |
| b_walk_hh.cars_gr_2            | -1,1159096 | 0,16633 |  -6,70920   | 0,00000 *** |
| b_walk_hh.cars_gr_3            | -1,6477073 | 0,25263 |  -6,52219   | 0,00000 *** |
| b_walk_hh.income_agg_low       |  0,0351432 | 0,30311 |   0,11594   | 0,90770     |
| b_walk_hh.income_agg_high      |  0,2539288 | 0,22500 |   1,12856   | 0,25908     |
| b_car_time                     | -0,1582393 | 0,01218 |  -12,99690  | 0,00000 *** |
| b_pt_time                      | -0,0364272 | 0,00340 |  -10,72606  | 0,00000 *** |
| b_bike_cost                    | -0,0568172 | NaN     |  NaN        | NaN         |
| g_bike_grad                    |  21,2707926 | 9,81271 |   2,16768   | 0,03018 *   |
| g_bike_vgvi                    | -0,4948979 | 0,46352 |  -1,06769   | 0,28566     |
| g_bike_stressLink              |  1,4780985 | NaN     |  NaN        | NaN         |
| g_bike_stressLink_f            |  2,5232476 | NaN     |  NaN        | NaN         |
| b_walk_cost                    | -0,1006849 | 0,01022 |  -9,85142   | 0,00000 *** |
| g_walk_vgvi                    |  0,4317155 | 0,33205 |   1,30017   | 0,19354     |
| g_walk_stressJct               |  3,2639495 | 3,07693 |   1,06078   | 0,28879     |


Iterations: 83

Start LL = 7175.705063219666
Final LL = 3631.2736105310482
