Iteration,LL,asc_carD,b_carD_p.age_group_agg_15_24,b_carD_p.age_group_agg_40_54,b_carD_p.age_group_agg_55,b_carD_p.female,b_carD_hh.cars_gr_0,b_carD_hh.cars_gr_2,b_carD_hh.cars_gr_3,b_carD_hh.income_agg_low,b_carD_hh.income_agg_high,asc_carP,b_carP_p.age_group_agg_15_24,b_carP_p.age_group_agg_40_54,b_carP_p.age_group_agg_55,b_carP_p.female,b_carP_hh.cars_gr_0,b_carP_hh.cars_gr_2,b_carP_hh.cars_gr_3,b_carP_hh.income_agg_low,b_carP_hh.income_agg_high,asc_pt,b_pt_p.age_group_agg_15_24,b_pt_p.age_group_agg_40_54,b_pt_p.age_group_agg_55,b_pt_p.female,b_pt_hh.cars_gr_0,b_pt_hh.cars_gr_2,b_pt_hh.cars_gr_3,b_pt_hh.income_agg_low,b_pt_hh.income_agg_high,asc_bike,b_bike_p.age_group_agg_15_24,b_bike_p.age_group_agg_40_54,b_bike_p.age_group_agg_55,b_bike_p.female,b_bike_hh.cars_gr_0,b_bike_hh.cars_gr_2,b_bike_hh.cars_gr_3,b_bike_hh.income_agg_low,b_bike_hh.income_agg_high,asc_walk,b_walk_p.age_group_agg_15_24,b_walk_p.age_group_agg_40_54,b_walk_p.age_group_agg_55,b_walk_p.female,b_walk_hh.cars_gr_0,b_walk_hh.cars_gr_2,b_walk_hh.cars_gr_3,b_walk_hh.income_agg_low,b_walk_hh.income_agg_high,b_car_time,b_pt_time,b_bike_cost,g_bike_grad,g_bike_vgvi,g_bike_stressLink,g_bike_stressLink_f,b_walk_cost,g_walk_vgvi,g_walk_stressJct
0,7175.705063219666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,0.0,0.0,0.0,0.0,-0.1,0.0,0.0
1,6927.122193268954,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.663129683318326E-4,-7.336224131375356E-5,-1.9994405186957997E-4,0.0,-2.3623924871441748E-4,-8.100244162659572E-5,-2.1685536505696272E-4,-7.511351534773443E-5,0.0,-9.66637421350687E-5,-3.319704358597797E-4,-2.7012893538066527E-5,-1.3571548023283065E-4,-6.488357471658402E-5,-1.3025050955577122E-4,3.4386858330489955E-5,-1.888860068075939E-4,-6.836149730385156E-5,-1.15291226104812E-5,-6.551754094331513E-5,-2.7270044131852762E-5,1.0834598592946974E-5,-2.4997837409376242E-5,-1.7263633227001498E-5,-5.059401110114116E-5,1.8706866905552403E-5,-2.659062859781326E-5,-1.0104882154333499E-5,-3.3453397667105992E-6,-3.3461398585090617E-6,2.99049149749313E-4,7.111044030566151E-5,7.941632707664452E-5,4.5197169221856194E-5,1.5426257389219525E-4,1.2920209572879406E-4,3.9009881476296244E-5,1.3222976358567386E-5,2.921191203107185E-5,2.111550035503739E-5,0.002066193850379281,-0.0169353060099363,-0.09957993851476582,-6.86687009638056E-8,-2.3615089362099416E-5,-1.96433442468587E-5,3.1270363428988324E-5,-0.09522784949671081,-2.5998493796952263E-4,-1.3896487162907152E-5
2,6408.483843199063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.008998385542584234,-0.0011709203029127012,-0.0031701687430641195,0.0,-0.0037689731091913666,-0.0012296978002016346,-0.0034480578823208445,-0.001197004458553307,0.0,-0.0015632571836564127,-0.0011308067056166183,8.65879628232206E-5,-6.657743361477681E-4,-3.633193956992219E-4,-3.121985012998389E-4,8.206947485253983E-4,-0.0012647587618413217,-4.7085387908611063E-4,-5.0940901018010714E-5,-2.650997980886441E-4,-5.307295518167589E-4,1.1315236470241008E-4,-3.843751910668369E-4,-2.5502808571646645E-4,-7.529311713729957E-4,2.1462907997367846E-4,-4.041927177505008E-4,-1.5227014572952781E-4,-5.156120598073885E-5,-6.707367781891269E-5,0.0039006255826095097,9.300217497644026E-4,0.0010337023967876542,5.894004026448615E-4,0.002011067660410653,0.0016932595581785129,5.035722407653013E-4,1.702369084337761E-4,3.826414770710923E-4,2.7390671454377433E-4,-0.015392881438088875,-0.020356068556983343,-0.09669015550940634,1.7058891741406286E-6,-1.9610374597129758E-4,-9.887253147068353E-5,4.86374658304311E-4,-0.037922046676870456,-0.003256789100646175,-1.740594242464758E-4
3,6039.28040157859,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2075358945242867,-0.026070380818072652,-0.07379798527832085,0.0,-0.08511217087539608,-0.027259678569888618,-0.08077438891955988,-0.028115661057225672,0.0,-0.03671657198746491,-0.01592028036134882,0.004542626174979291,-0.01290709685145556,-0.007153846328469228,-0.001475671935487979,0.02323922169119418,-0.028239583282866233,-0.010412662374651029,-6.608033383749311E-4,-0.005230027820950486,-0.017237896219618548,0.0023146311651158756,-0.011030272530168486,-0.007020061703937736,-0.020623715253585508,0.005183081358133713,-0.011849558770626604,-0.004357830843165627,-0.0013459457361766744,-0.002485539392961421,0.05604868643173859,0.015485346362029596,0.013260330695333677,0.008206016885627753,0.028815763466556513,0.033567801862966484,4.867218018034851E-4,-1.4664168670917572E-4,0.007634262615111935,0.0018558806712484681,-0.17857942224447612,-0.05697094420844344,-0.13076105206179373,1.6774610468135305E-4,7.940828995580645E-4,0.0058750859406762855,0.015352487922597517,-0.07290732410150726,0.021842562229890512,0.001089776169584734
4,5772.717761833789,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6515687089442141,-0.0814608679201758,-0.23152437108819884,0.0,-0.26573885074781556,-0.08530326359623372,-0.2536957895033519,-0.08855660757086857,0.0,-0.11514229794042602,-0.049133864903985386,0.015189643612598822,-0.04098326516744671,-0.0225937938585513,-0.0036022102321277994,0.0751882950874862,-0.09041285611016962,-0.033155542766200176,-0.0019234281683281145,-0.016943128995203723,-0.06576166076801224,0.005663973269188912,-0.038812945389915005,-0.024122555680386445,-0.07120545508870357,0.014935976151827143,-0.041564390539434004,-0.01516704234144851,-0.004698779275511366,-0.009576946407581033,0.17579266581583286,0.04893211740442046,0.041267084204726835,0.025704486122070366,0.0901862669481984,0.1067248992294254,4.6599647706594885E-4,-8.989902319585355E-4,0.024265683225492586,0.005498376886731103,-0.4259983235854582,-0.11594241079927917,-0.38003102551862467,8.095395831247209E-4,0.014276950632733706,0.035744815842998365,0.05779300074440391,-0.11542594488090212,0.07775400987386233,0.0038993728337896653
5,5395.969600704885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.2630808944793745,-0.2731243444844816,-0.7900827473317678,0.0,-0.870012793140969,-0.29075687426911545,-0.8760069119833824,-0.3148332839613106,0.0,-0.39120576047612726,-0.21556182893439627,0.070171813050915,-0.17914870802172336,-0.0930232816577737,-0.014493820773349401,0.3177379078742899,-0.39083116290506886,-0.13701976464911364,-0.004245715452784624,-0.08515716526226559,-0.2222042697293406,0.033454165589509775,-0.14666397244705082,-0.0922047970548742,-0.2698520260863226,0.06977706118106336,-0.15507713041171817,-0.057373829105755336,-0.018070866451326786,-0.031899817948798606,0.6781465145704716,0.19413470403611255,0.15221874439873606,0.09902236721643129,0.33727012268747225,0.42637649693893576,-0.009673811520014345,-0.00972880353413885,0.09624466492328965,0.01752212636620972,0.06634033220112634,-0.02313884698670597,-0.1991163327113017,-0.001403004342756547,-0.22072704497828424,-0.2074231955065718,0.22605724685296458,-0.07775087776065556,0.24983319930092304,0.012269223552519878
6,5107.625793272394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.274717902766343,-0.2420915798479775,-0.793187443683576,0.0,-0.7731943087958799,-0.282280568260672,-0.8974934913966272,-0.33456022616464787,0.0,-0.38819469121536737,-0.30690405692813943,0.10283576522886499,-0.25419629133827265,-0.1359694812806916,-0.008116339666852958,0.47228605572917626,-0.5674082465343587,-0.20705551063970057,-0.0059655306618651965,-0.12078149817046147,-0.28076206047164687,0.06133263603939558,-0.20351510117923974,-0.13076674864363147,-0.3662915366747794,0.12240171478228555,-0.2215523119642107,-0.08148605669514189,-0.023189260483179427,-0.04228017614560443,0.9124060900023845,0.27126715289796177,0.188631526473902,0.13199303632914022,0.42759645328861867,0.6005553619883064,-0.035534254438371674,-0.024273747241275775,0.13266214628321193,0.017141753260351316,0.037804097964354355,-0.026439362742780814,-0.2405856686235028,-0.0034077839631457526,-0.4198094302294373,-0.4097547823461974,0.3377067728568316,-0.08010720766438896,0.40841973984496555,0.02033861896625158
7,5059.419041321714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.2800856523106385,-0.23704195714841658,-0.7948705616530785,0.0,-0.7578218692099921,-0.28120215885497757,-0.9025409127461528,-0.3385103472731071,0.0,-0.38817370588474664,-0.31878794414315925,0.10888234514375222,-0.2649404960960953,-0.14260520153175607,-0.003956389751263653,0.499602436816659,-0.5958590567852061,-0.21911289196509232,-0.00591511560090934,-0.1260540462592945,-0.28614729598063526,0.06704401687985888,-0.21123652190690217,-0.13701237433619481,-0.376620053132099,0.13339389539395657,-0.2320401835215122,-0.08535184669148659,-0.023699377763669028,-0.04335054255192889,0.9426205691127798,0.2824546103491875,0.1909167654974084,0.13595681862912404,0.4344872342809217,0.6262884344655031,-0.04192068150185047,-0.027847498636102523,0.13768906165370237,0.016191964293376715,0.031026083967457013,-0.02757582004949576,-0.2527897140050308,-0.003961475170076186,-0.46868492977115095,-0.459750444936304,0.3495146260664028,-0.0805495554873332,0.4311585406602333,0.021501609810583733
8,4865.599914095629,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.49348371253215,0.09726119787402426,-0.9362590402847395,0.0,0.06257900604397026,-0.20766195625225942,-1.2363002504500318,-0.5646979351687633,0.0,-0.39851610655839087,-0.3584663011766622,0.48603174598329824,-0.5217373882787486,-0.39839231537887065,0.5600875387895935,2.0879506695487176,-1.828030796734657,-0.9022922082399992,0.03132808385442042,-0.22546915023922465,-0.9801825252294002,0.2859394193934891,-0.529681605804438,-0.6088733785192677,0.21792148129196154,0.8654504816097626,-1.005344470117776,-0.37639744071654563,-0.03948293008250972,-0.13539071566862354,1.3076205880725922,0.6317924667106825,-0.2064367521480304,0.12382310350386284,-0.36511757067777223,1.488145444863015,-0.6439998800228242,-0.37517655948122147,0.249333899940091,-0.15029562625600493,-6.665106015480565E-4,-0.030760626635709064,-0.27663606688498715,0.016708679867044395,-1.7442192138782229,0.21815918281636526,-0.3426317864383943,-0.03576148889339028,1.0549754233660755,0.05505987661196711
9,4787.449800216356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.6084451166472764,0.2539331862322456,-1.0061861822325415,0.0,0.4428405923187867,-0.17420971062083015,-1.3980232528763037,-0.6749499425699573,0.0,-0.4030443417354787,-0.34537435541247774,0.6543779794107851,-0.6059295145288031,-0.508624078203641,0.856887253923446,2.7995210798463948,-2.3560580134820377,-1.2198701248385846,0.04869001312574566,-0.2519310551499308,-1.2186197048182619,0.4058787298767774,-0.6563140103718619,-0.8141179962572205,0.47706729556797794,1.2456978810818815,-1.3433570120499452,-0.5096598979963772,-0.03914822120446684,-0.1680389763513237,1.3562989247487316,0.7643288497554419,-0.43516347263729654,0.09492017995034521,-0.8241285496091226,1.8295430300307358,-0.9399635523827355,-0.5495333992052189,0.2834576716337625,-0.23510320179844157,-0.023800051589782878,-0.035244558406183804,-0.2685529309668954,0.027455232535648737,-2.3197153417943714,0.5736317792739295,-0.08118268895788361,-0.026824920444016336,1.114198006516259,0.0586828920149607
