Iteration,LL,asc_carD,b_carD_p.age_group_agg_15_24,b_carD_p.age_group_agg_40_54,b_carD_p.age_group_agg_55,b_carD_p.female,b_carD_hh.cars_gr_0,b_carD_hh.cars_gr_2,b_carD_hh.cars_gr_3,b_carD_hh.income_agg_low,b_carD_hh.income_agg_high,asc_carP,b_carP_p.age_group_agg_15_24,b_carP_p.age_group_agg_40_54,b_carP_p.age_group_agg_55,b_carP_p.female,b_carP_hh.cars_gr_0,b_carP_hh.cars_gr_2,b_carP_hh.cars_gr_3,b_carP_hh.income_agg_low,b_carP_hh.income_agg_high,asc_pt,b_pt_p.age_group_agg_15_24,b_pt_p.age_group_agg_40_54,b_pt_p.age_group_agg_55,b_pt_p.female,b_pt_hh.cars_gr_0,b_pt_hh.cars_gr_2,b_pt_hh.cars_gr_3,b_pt_hh.income_agg_low,b_pt_hh.income_agg_high,asc_bike,b_bike_p.age_group_agg_15_24,b_bike_p.age_group_agg_40_54,b_bike_p.age_group_agg_55,b_bike_p.female,b_bike_hh.cars_gr_0,b_bike_hh.cars_gr_2,b_bike_hh.cars_gr_3,b_bike_hh.income_agg_low,b_bike_hh.income_agg_high,asc_walk,b_walk_p.age_group_agg_15_24,b_walk_p.age_group_agg_40_54,b_walk_p.age_group_agg_55,b_walk_p.female,b_walk_hh.cars_gr_0,b_walk_hh.cars_gr_2,b_walk_hh.cars_gr_3,b_walk_hh.income_agg_low,b_walk_hh.income_agg_high,b_car_time,b_pt_time,b_bike_cost,b_walk_cost,g_bike_grad,g_bike_vgvi,g_bike_stressLink,g_bike_stressLink_f,g_bike_stressLink_c,g_bike_stressJct,g_bike_stressJct_f,g_bike_stressJct_c,g_walk_grad,g_walk_vgvi,g_walk_stressLink,g_walk_stressLink_f,g_walk_stressLink_c,g_walk_stressJct,g_walk_stressJct_f,g_walk_stressJct_c
0,7175.705063219666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,-0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,6926.00716584214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.54172575821525E-4,-7.178953071945371E-5,-1.9565773069111874E-4,0.0,-2.3117484552022356E-4,-7.926594345220832E-5,-2.1220650586252713E-4,-7.350326163619278E-5,0.0,-9.459150322008901E-5,-3.248537854941217E-4,-2.6433801854262604E-5,-1.3280606566546722E-4,-6.349262640958776E-5,-1.2745825085943132E-4,3.364968651795277E-5,-1.8483674360759397E-4,-6.689599067364707E-5,-1.1281965858618353E-5,-6.411300192012273E-5,-2.6685439755743704E-5,1.0602330771149668E-5,-2.4461943698602436E-5,-1.689354231393772E-5,-4.950939678399419E-5,1.8305836522051784E-5,-2.6020589262100745E-5,-9.888257703748558E-6,-3.27362370135571E-6,-3.274406641103944E-6,2.926382528409748E-4,6.958600292709584E-5,7.77138313960715E-5,4.422825025762262E-5,1.5095555409673083E-4,1.264323125117112E-4,3.817360312954063E-5,1.2939507442747926E-5,0.0,2.0662834644208246E-5,0.002021899607180369,-0.016572253645360528,-0.0995889436260636,-0.09533015296399473,-6.719660862354149E-8,0.0,-1.9222238034026548E-5,3.060000179646884E-5,0.0,0.0,0.0,0.0,0.0,-2.544114841194097E-4,0.0,0.0,0.0,-1.3598579789941454E-5,0.0,0.0
2,6500.454314912816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.006841963342788125,-8.901498890887699E-4,-0.0024106599736130594,0.0,-0.0028653221020904507,-9.356960829829534E-4,-0.0026218368321407294,-9.1024439596574E-4,0.0,-0.0011883242092408893,-9.250421389237491E-4,5.751112189163704E-5,-5.294501672799322E-4,-2.8678338949023746E-4,-2.655063515531041E-4,6.191841916238292E-4,-9.886519637827434E-4,-3.67368023164792E-4,-4.086391803721197E-5,-2.134946696752949E-4,-4.01686950223005E-4,8.702083141738563E-5,-2.9236288927815573E-4,-1.9415729626397332E-4,-5.731100839958566E-4,1.645579036908636E-4,-3.075204636656613E-4,-1.1587423818986473E-4,-3.921276699413265E-5,-5.0745660146456884E-5,0.0029793771309778094,7.10309995487234E-4,7.896139690257139E-4,4.501992659558009E-4,0.0015361209569885964,0.0012931512193148592,3.8476610505599714E-4,1.3008471164780322E-4,0.0,2.0925128084387223E-4,-0.010993611306175531,-0.019123332463748845,-0.09742805256860468,-0.05257920170006066,1.250365159032351E-6,0.0,-7.869073531904312E-5,3.698919237170758E-4,0.0,0.0,0.0,0.0,0.0,-0.002490791483005336,0.0,0.0,0.0,-1.3312098296261183E-4,0.0,0.0
3,6027.801565890939,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6178325244114715,-0.0764121176057329,-0.22045155760884472,0.0,-0.25066847458420194,-0.079282881358911,-0.2423089691238674,-0.08448708872386575,0.0,-0.11016867407875978,-0.042159560435262644,0.015858878273190477,-0.03801060888594674,-0.02092706802854689,-2.712628879635548E-4,0.07433838402359555,-0.08644724309573336,-0.031465080503858045,-0.0013879790748212277,-0.016203221995519237,-0.06668978630240721,0.004991910801718096,-0.03847338550723497,-0.02380280448022275,-0.06997120338648302,0.014431387484655155,-0.04168524231127696,-0.015162381162711347,-0.004489204421511049,-0.009965724560598167,0.14311303521547114,0.0415253183041398,0.03238060353474428,0.02067541616020889,0.07195214541147385,0.09441912130318825,-0.004618102985086328,-0.0030120408405474464,0.0,0.0035199424936645934,-0.32071706250077914,-0.0943209481219936,-0.48000169225465183,-0.07607479858309901,8.378129143506865E-4,0.0,0.03899312981622892,0.05562691654650396,0.0,0.0,0.0,0.0,0.0,0.2627733051614863,0.0,0.0,0.0,0.013798794195412255,0.0,0.0
4,5932.056024575848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.1142821012780675,-0.13659585172855337,-0.39466690409825855,0.0,-0.4437374613880117,-0.1428288532831804,-0.4351629586256925,-0.15323837390063505,0.0,-0.196774684048366,-0.086548625947408,0.030029794054899982,-0.0749345347075667,-0.04056082434136928,-0.0032307242244473174,0.14108680142042423,-0.1678472163483005,-0.06037735846734864,-0.0024713069780337767,-0.033171816475495705,-0.09404897748101894,0.015731641381432526,-0.06335952595955671,-0.040298265113204675,-0.11708718092435091,0.03390985988474537,-0.0692314037243997,-0.02533244841377013,-0.007272142917356921,-0.0145115800458341,0.26791984325537005,0.07851084501591218,0.05939074263975391,0.03873814449249944,0.13294538618783286,0.17889921194481528,-0.010560163765577463,-0.006644923082261361,0.0,0.005808936794880426,-0.5418335138086771,-0.14380736386676843,-0.34029605453188283,-0.1507205549492319,-3.771161735418633E-4,0.0,-0.061055581388672606,0.08118117363652493,0.0,0.0,0.0,0.0,0.0,0.45159492237882415,0.0,0.0,0.0,0.023640116219909673,0.0,0.0
5,5054.427448269507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.2262091247746483,-0.26428453248262757,-0.7798515956297041,0.0,-0.8470813761798366,-0.2816678697408612,-0.8671207880975995,-0.31155033846175473,0.0,-0.38769185849357246,-0.20948553804980102,0.07222946463093,-0.1781377935487878,-0.09344441390814914,-0.009825206499382443,0.32592570921434244,-0.39432437324305625,-0.13903602879071073,-0.003964130284297109,-0.08449357682571684,-0.19754107728559997,0.03984009389064057,-0.1400835536656072,-0.08975873098033435,-0.25605516823852503,0.0808200615756014,-0.15249082784499396,-0.05630023392368772,-0.016304107650176456,-0.03030708709691319,0.5964997020495387,0.1780373437270467,0.12766930592718556,0.08617862316638664,0.2895912245002121,0.4063731631798264,-0.03023581705058193,-0.018462429868423516,0.0,0.010315559999099846,-0.08481688348584704,-0.054051938803178975,-0.14047943923206938,-0.06815556155229663,-0.0031842693970509546,0.0,-0.324575786864571,0.20459640440156107,0.0,0.0,0.0,0.0,0.0,0.8841229610329588,0.0,0.0,0.0,0.046101522886164495,0.0,0.0
6,4938.988941838059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.232717293612635,-0.25316424253023706,-0.7824516719769565,0.0,-0.81343020876706,-0.27934201756039584,-0.876341120772564,-0.31887402340015614,0.0,-0.3872586216391553,-0.24146472475039077,0.0836931738091923,-0.2045583944945074,-0.10917564308524884,-0.007773098193907518,0.38307273420837223,-0.45838236685240935,-0.16486174132190687,-0.004725349948213001,-0.09664780323742052,-0.22445473622261702,0.04930795638325663,-0.1608412078981234,-0.1050586332420262,-0.2849111539245545,0.10144010879624711,-0.17949312537859102,-0.0660705680433968,-0.01805157299529948,-0.03525850905726373,0.6631664844018088,0.20272939538848156,0.13496926185681973,0.095137984837431,0.31111836720327785,0.4662900570383765,-0.04546557097097917,-0.026322739663080484,0.0,0.00781721806111852,-0.07763516789700796,-0.05158060403515516,-0.15067583453368488,-0.051526721045927745,-0.0047642189908435354,0.0,-0.44726477582975804,0.21318325950164527,0.0,0.0,0.0,0.0,0.0,1.0469163878849022,0.0,0.0,0.0,0.054597936538793565,0.0,0.0
7,4620.837041926295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.207036591145483,-0.17237313553002231,-0.7745882224993298,0.0,-0.5695327038487485,-0.2630183168411716,-0.9072552395466906,-0.3568584734917384,0.0,-0.3685016688583183,-0.4493761621069857,0.16025944132975461,-0.3733429350311168,-0.21255266767179942,0.014049155202695115,0.7607309778534681,-0.871587715765781,-0.33766531876038375,-0.010105737329925901,-0.17114998789168967,-0.46639454756256227,0.1007670315538956,-0.3124569529182362,-0.2169405427311892,-0.4794166230139364,0.23007790189351085,-0.3767236151681421,-0.13819231944262445,-0.03195523340219614,-0.07503762840283865,1.1952581889563074,0.37949031782205034,0.20223026314101494,0.16801524764644757,0.4684073974560633,0.8695947080145866,-0.11909060776742186,-0.07159145326880913,0.0,4.529646650907422E-4,-0.11643747089212061,-0.052602702317114995,-0.16995769500171778,-0.08063674379080077,-0.005353662252625513,0.0,-0.618943639377971,0.45227743055312086,0.0,0.0,0.0,0.0,0.0,1.0396020109423312,0.0,0.0,0.0,0.053295881659228474,0.0,0.0
8,4558.577565531112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.189425169293932,-0.10782332144227373,-0.7761571092817955,0.0,-0.3948939810206853,-0.2460960978939689,-0.9395905567377546,-0.38833132517913427,0.0,-0.357803644759257,-0.5570948303402292,0.20874378355612472,-0.45703234104767315,-0.2782520760138235,0.05975889301249451,1.0207573249191273,-1.1229981418968404,-0.4648574448321753,-0.013398041070335497,-0.20201052294621613,-0.5597403024524876,0.16150980375987756,-0.3852085489304399,-0.28826190804968677,-0.47988814546801023,0.3713638562443251,-0.5044398100664309,-0.18803402975695463,-0.03362389316389618,-0.09751845449461594,1.4303161206458512,0.4753744844828473,0.1950217035228889,0.1951103874914245,0.46409491654120766,1.0958842001364828,-0.19720191285194474,-0.1187615000646702,0.0,-0.016035181134778025,-0.11509481853118456,-0.04776300074385093,-0.08606556894568179,-0.07763551190073871,-0.00113979495080546,0.0,-0.37071632870549803,0.44660354772998495,0.0,0.0,0.0,0.0,0.0,1.2049642568458108,0.0,0.0,0.0,0.061836760711961106,0.0,0.0
9,4290.457732669324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.2823461316586684,0.06591154704418932,-0.8224508994970573,0.0,0.061636063913551864,-0.2167047162111122,-1.082686615061943,-0.5041301405102678,0.0,-0.34048985708528745,-0.8564739934783483,0.32850100309384567,-0.6540286070960747,-0.4642922642676095,0.21327366827000346,1.74462456926259,-1.7940195932535334,-0.8483484484749034,-0.025393719828663723,-0.2582352543483169,-0.5063261356460002,0.41804560742097285,-0.47117941406550756,-0.44713531216484814,-0.1325945552836445,0.9187846495585613,-0.7896852929521467,-0.3150068634973511,-0.014286065455690791,-0.13154012583940444,1.9303827842456749,0.7130628579682499,0.09229620728857098,0.24099815858531987,0.2700362219119752,1.659537865580997,-0.45360854698132735,-0.278888409871904,0.0,-0.07857268590325059,-0.09455437178949368,-0.034102698260369754,-0.09644235826577746,-0.08570976069742554,0.0011405541837938037,0.0,-0.18693244019582472,-0.159488993917757,0.0,0.0,0.0,0.0,0.0,1.209412386100734,0.0,0.0,0.0,0.06170792319068578,0.0,0.0
