Iteration,LL,asc_carD,b_carD_p.age_group_agg_15_24,b_carD_p.age_group_agg_40_54,b_carD_p.age_group_agg_55,b_carD_p.female,b_carD_hh.cars_gr_0,b_carD_hh.cars_gr_2,b_carD_hh.cars_gr_3,b_carD_hh.income_agg_low,b_carD_hh.income_agg_high,asc_carP,b_carP_p.age_group_agg_15_24,b_carP_p.age_group_agg_40_54,b_carP_p.age_group_agg_55,b_carP_p.female,b_carP_hh.cars_gr_0,b_carP_hh.cars_gr_2,b_carP_hh.cars_gr_3,b_carP_hh.income_agg_low,b_carP_hh.income_agg_high,asc_pt,b_pt_p.age_group_agg_15_24,b_pt_p.age_group_agg_40_54,b_pt_p.age_group_agg_55,b_pt_p.female,b_pt_hh.cars_gr_0,b_pt_hh.cars_gr_2,b_pt_hh.cars_gr_3,b_pt_hh.income_agg_low,b_pt_hh.income_agg_high,asc_bike,b_bike_p.age_group_agg_15_24,b_bike_p.age_group_agg_40_54,b_bike_p.age_group_agg_55,b_bike_p.female,b_bike_hh.cars_gr_0,b_bike_hh.cars_gr_2,b_bike_hh.cars_gr_3,b_bike_hh.income_agg_low,b_bike_hh.income_agg_high,asc_walk,b_walk_p.age_group_agg_15_24,b_walk_p.age_group_agg_40_54,b_walk_p.age_group_agg_55,b_walk_p.female,b_walk_hh.cars_gr_0,b_walk_hh.cars_gr_2,b_walk_hh.cars_gr_3,b_walk_hh.income_agg_low,b_walk_hh.income_agg_high,b_car_time,b_pt_time,b_bike_cost,b_walk_cost,g_bike_grad,g_bike_stressLink,g_bike_stressLink_f,g_walk_vgvi,g_walk_stressJct
0,7175.705063219666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,-0.1,0.0,0.0,0.0,0.0,0.0
1,6926.00716584214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.54172575821525E-4,-7.178953071945371E-5,-1.9565773069111874E-4,0.0,-2.3117484552022356E-4,-7.926594345220832E-5,-2.1220650586252713E-4,-7.350326163619278E-5,0.0,-9.459150322008901E-5,-3.248537854941217E-4,-2.6433801854262604E-5,-1.3280606566546722E-4,-6.349262640958776E-5,-1.2745825085943132E-4,3.364968651795277E-5,-1.8483674360759397E-4,-6.689599067364707E-5,-1.1281965858618353E-5,-6.411300192012273E-5,-2.6685439755743704E-5,1.0602330771149668E-5,-2.4461943698602436E-5,-1.689354231393772E-5,-4.950939678399419E-5,1.8305836522051784E-5,-2.6020589262100745E-5,-9.888257703748558E-6,-3.27362370135571E-6,-3.274406641103944E-6,2.926382528409748E-4,6.958600292709584E-5,7.77138313960715E-5,4.422825025762262E-5,1.5095555409673083E-4,1.264323125117112E-4,3.817360312954063E-5,1.2939507442747928E-5,0.0,2.0662834644208246E-5,0.002021899607180369,-0.016572253645360528,-0.0995889436260636,-0.09533015296399473,-6.719660862354147E-8,-1.9222238034026538E-5,3.060000179646884E-5,-2.544114841194097E-4,-1.3598579789941454E-5
2,6500.454314912816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.006841963342788125,-8.901498890887699E-4,-0.0024106599736130594,0.0,-0.0028653221020904507,-9.356960829829534E-4,-0.0026218368321407294,-9.1024439596574E-4,0.0,-0.0011883242092408893,-9.250421389237491E-4,5.751112189163704E-5,-5.294501672799322E-4,-2.8678338949023746E-4,-2.655063515531041E-4,6.191841916238292E-4,-9.886519637827434E-4,-3.67368023164792E-4,-4.086391803721197E-5,-2.134946696752949E-4,-4.016869502230051E-4,8.702083141738563E-5,-2.9236288927815573E-4,-1.9415729626397332E-4,-5.731100839958566E-4,1.645579036908636E-4,-3.075204636656613E-4,-1.1587423818986473E-4,-3.921276699413265E-5,-5.074566014645688E-5,0.0029793771309778094,7.10309995487234E-4,7.896139690257139E-4,4.501992659558009E-4,0.0015361209569885964,0.0012931512193148592,3.8476610505599714E-4,1.3008471164780322E-4,0.0,2.0925128084387223E-4,-0.010993611306175531,-0.019123332463748845,-0.09742805256860468,-0.05257920170006066,1.2503651590323512E-6,-7.869073531904309E-5,3.698919237170758E-4,-0.002490791483005336,-1.3312098296261183E-4
3,6027.801565890938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6178325244114694,-0.07641211760573266,-0.22045155760884402,0.0,-0.2506684745842011,-0.07928288135891075,-0.24230896912386662,-0.08448708872386548,0.0,-0.11016867407875944,-0.04215956043526251,0.01585887827319043,-0.038010608885946616,-0.020927068028546828,-2.712628879635582E-4,0.07433838402359531,-0.08644724309573308,-0.03146508050385795,-0.0013879790748212227,-0.016203221995519188,-0.06668978630240698,0.004991910801718075,-0.03847338550723484,-0.023802804480222674,-0.0699712033864828,0.01443138748465511,-0.04168524231127682,-0.015162381162711297,-0.004489204421511034,-0.009965724560598136,0.14311303521547067,0.04152531830413967,0.03238060353474415,0.020675416160208827,0.07195214541147366,0.09441912130318797,-0.004618102985086303,-0.003012040840547433,0.0,0.0035199424936645835,-0.32071706250077825,-0.09432094812199338,-0.4800016922546507,-0.07607479858309975,8.378129143506834E-4,0.03899312981622881,0.055626916546503806,0.2627733051614854,0.013798794195412212
4,5932.056024575845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.114282101278065,-0.13659585172855304,-0.39466690409825783,0.0,-0.44373746138801046,-0.14282885328318007,-0.43516295862569165,-0.15323837390063477,0.0,-0.1967746840483656,-0.08654862594740795,0.030029794054899986,-0.07493453470756667,-0.040560824341369255,-0.003230724224447318,0.14108680142042418,-0.16784721634830044,-0.060377358467348596,-0.0024713069780337585,-0.03317181647549575,-0.09404897748101847,0.015731641381432585,-0.06335952595955657,-0.0402982651132046,-0.11708718092435064,0.033909859884745444,-0.06923140372439955,-0.025332448413770074,-0.007272142917356896,-0.014511580045834051,0.2679198432553693,0.07851084501591205,0.05939074263975367,0.03873814449249933,0.13294538618783253,0.17889921194481506,-0.010560163765577564,-0.006644923082261401,0.0,0.005808936794880379,-0.5418335138086711,-0.14380736386676712,-0.3402960545318792,-0.15072055494923198,-3.7711617354189216E-4,-0.06105558138867449,0.08118117363652466,0.4515949223788259,0.02364011621990978
5,5054.427448269518,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.2262091247746745,-0.26428453248263045,-0.7798515956297137,0.0,-0.8470813761798457,-0.2816678697408644,-0.8671207880976104,-0.3115503384617586,0.0,-0.3876918584935771,-0.2094855380498043,0.07222946463093116,-0.1781377935487906,-0.0934444139081505,-0.009825206499382608,0.32592570921434755,-0.39432437324306235,-0.13903602879071283,-0.003964130284297113,-0.08449357682571837,-0.19754107728560166,0.03984009389064143,-0.14008355366560904,-0.08975873098033554,-0.25605516823852836,0.08082006157560304,-0.15249082784499604,-0.05630023392368844,-0.016304107650176633,-0.03030708709691356,0.5964997020495456,0.17803734372704896,0.1276693059271867,0.0861786231663876,0.28959122450021524,0.40637316317983185,-0.03023581705058289,-0.018462429868424,0.0,0.010315559999099812,-0.08481688348582639,-0.05405193880317469,-0.14047943923206496,-0.06815556155229362,-0.0031842693970511103,-0.3245757868645828,0.2045964044015634,0.8841229610329824,0.04610152288616576
6,4938.988941838089,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.232717293612657,-0.2531642425302426,-0.7824516719769649,0.0,-0.8134302087670782,-0.27934201756039917,-0.8763411207725719,-0.31887402340015775,0.0,-0.38725862163916,-0.2414647247503837,0.0836931738091904,-0.20455839449450233,-0.10917564308524547,-0.0077730981939075575,0.3830727342083611,-0.45838236685239664,-0.16486174132190143,-0.004725349948212746,-0.09664780323741841,-0.22445473622261242,0.049307956383254345,-0.1608412078981197,-0.1050586332420232,-0.28491115392455135,0.10144010879624216,-0.17949312537858556,-0.06607056804339487,-0.018051572995299272,-0.03525850905726271,0.6631664844017948,0.20272939538847629,0.13496926185681835,0.0951379848374291,0.311118367203274,0.466290057038364,-0.04546557097097605,-0.02632273966307879,0.0,0.007817218061119109,-0.07763516789698928,-0.051580604035151544,-0.15067583453367436,-0.051526721045928564,-0.004764218990843016,-0.4472647758297207,0.21318325950165057,1.0469163878848906,0.054597936538793024
7,4620.837041926184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.2070365911454766,-0.1723731355299778,-0.7745882224993298,0.0,-0.5695327038486193,-0.2630183168411628,-0.9072552395467146,-0.35685847349176186,0.0,-0.36850166885831126,-0.44937616210709325,0.16025944132980036,-0.3733429350312095,-0.21255266767185557,0.014049155202712703,0.7607309778536819,-0.8715877157660101,-0.33766531876047934,-0.010105737329928376,-0.17114998789173114,-0.4663945475627017,0.10076703155392228,-0.3124569529183222,-0.2169405427312522,-0.479416623014057,0.23007790189357818,-0.3767236151682509,-0.13819231944266508,-0.03195523340220466,-0.07503762840285982,1.1952581889565943,0.3794903178221458,0.20223026314104958,0.1680152476464865,0.46840739745614446,0.8695947080148068,-0.1190906077674646,-0.07159145326883498,0.0,4.529646650861946E-4,-0.1164374708921265,-0.05260270231711246,-0.16995769500170646,-0.08063674379081703,-0.0053536622526245145,-0.6189436393779926,0.45227743055329944,1.039602010942329,0.05329588165922796
8,4558.57756553095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.189425169293944,-0.10782332144224824,-0.7761571092818004,0.0,-0.3948939810206165,-0.24609609789396444,-0.939590556737777,-0.38833132517915225,0.0,-0.3578036447592562,-0.5570948303402931,0.20874378355614984,-0.4570323410477249,-0.27825207601385593,0.05975889301250635,1.0207573249192479,-1.1229981418969717,-0.4648574448322325,-0.01339804107033732,-0.20201052294623842,-0.5597403024525545,0.16150980375989749,-0.3852085489304861,-0.288261908049722,-0.47988814546807707,0.37136385624436896,-0.5044398100664882,-0.18803402975697814,-0.03362389316390092,-0.09751845449462512,1.430316120646026,0.475374484482905,0.1950217035229091,0.195110387491448,0.4640949165412556,1.0958842001366145,-0.1972019128519691,-0.11876150006468575,0.0,-0.01603518113478043,-0.11509481853118272,-0.04776300074384886,-0.0860655689457008,-0.07763551190075534,-0.0011397949508054157,-0.3707163287055578,0.4466035477300865,1.2049642568457204,0.06183676071195624
9,4290.457732669232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.2823461316586053,0.06591154704412125,-0.8224508994970295,0.0,0.06163606391335458,-0.2167047162111125,-1.0826866150618835,-0.5041301405102222,0.0,-0.34048985708529744,-0.8564739934782246,0.3285010030937844,-0.654028607095982,-0.46429226426752357,0.21327366826993305,1.744624569262235,-1.7940195932532235,-0.8483484484747309,-0.025393719828660295,-0.25823525434828765,-0.5063261356460855,0.41804560742084435,-0.47117941406549485,-0.44713531216478775,-0.13259455528390635,0.9187846495582878,-0.7896852929520198,-0.3150068634973019,-0.014286065455706844,-0.13154012583938626,1.9303827842455374,0.7130628579681655,0.09229620728864239,0.24099815858531196,0.2700362219121263,1.6595378655807873,-0.4536085469811997,-0.27888840987182717,0.0,-0.07857268590321714,-0.09455437178950994,-0.03410269826037783,-0.0964423582658104,-0.08570976069744102,0.0011405541837927239,-0.18693244019600042,-0.15948899391729932,1.2094123861005537,0.061707923190677146
