| COEFFICIENT NAME               | VALUE      | STD.ERR |  T.TEST     |  P.VAL      |
| asc_carD                       |  0,0000000 |         |             |             |
| b_carD_p.age_group_agg_15_24   |  0,0000000 |         |             |             |
| b_carD_p.age_group_agg_40_54   |  0,0000000 |         |             |             |
| b_carD_p.age_group_agg_55      |  0,0000000 |         |             |             |
| b_carD_p.female                |  0,0000000 |         |             |             |
| b_carD_hh.cars_gr_0            |  0,0000000 |         |             |             |
| b_carD_hh.cars_gr_2            |  0,0000000 |         |             |             |
| b_carD_hh.cars_gr_3            |  0,0000000 |         |             |             |
| b_carD_hh.income_agg_low       |  0,0000000 |         |             |             |
| b_carD_hh.income_agg_high      |  0,0000000 |         |             |             |
| asc_carP                       | -2,2434736 | 0,12805 |  -17,52031  | 0,00000 *** |
| b_carP_p.age_group_agg_15_24   |  1,2271467 | 0,17418 |   7,04522   | 0,00000 *** |
| b_carP_p.age_group_agg_40_54   | -0,4390695 | 0,15620 |  -2,81087   | 0,00494 **  |
| b_carP_p.age_group_agg_55      |  0,0000000 |         |             |             |
| b_carP_p.female                |  0,8172097 | 0,13359 |   6,11745   | 0,00000 *** |
| b_carP_hh.cars_gr_0            |  4,2054605 | 0,52973 |   7,93888   | 0,00000 *** |
| b_carP_hh.cars_gr_2            | -1,3625519 | 0,16206 |  -8,40755   | 0,00000 *** |
| b_carP_hh.cars_gr_3            | -1,8557101 | 0,26650 |  -6,96324   | 0,00000 *** |
| b_carP_hh.income_agg_low       |  0,0000000 |         |             |             |
| b_carP_hh.income_agg_high      |  0,2504026 | 0,19180 |   1,30554   | 0,19171     |
| asc_pt                         | -1,2163336 | 0,14348 |  -8,47714   | 0,00000 *** |
| b_pt_p.age_group_agg_15_24     |  1,0839125 | 0,14854 |   7,29689   | 0,00000 *** |
| b_pt_p.age_group_agg_40_54     | -0,4231796 | 0,12051 |  -3,51145   | 0,00045 *** |
| b_pt_p.age_group_agg_55        | -0,5562245 | 0,15705 |  -3,54173   | 0,00040 *** |
| b_pt_p.female                  |  0,4404885 | 0,10114 |   4,35525   | 0,00001 *** |
| b_pt_hh.cars_gr_0              |  5,4565459 | 0,51068 |   10,68487  | 0,00000 *** |
| b_pt_hh.cars_gr_2              | -1,5940801 | 0,12638 |  -12,61387  | 0,00000 *** |
| b_pt_hh.cars_gr_3              | -2,1152001 | 0,21197 |  -9,97882   | 0,00000 *** |
| b_pt_hh.income_agg_low         | -0,5499983 | 0,26254 |  -2,09493   | 0,03618 *   |
| b_pt_hh.income_agg_high        |  0,4284610 | 0,14043 |   3,05116   | 0,00228 **  |
| asc_bike                       | -0,7067726 | 0,18880 |  -3,74345   | 0,00018 *** |
| b_bike_p.age_group_agg_15_24   |  1,1972078 | 0,19192 |   6,23800   | 0,00000 *** |
| b_bike_p.age_group_agg_40_54   | -0,7502031 | 0,19389 |  -3,86918   | 0,00011 *** |
| b_bike_p.age_group_agg_55      | -1,3894556 | 0,29598 |  -4,69448   | 0,00000 *** |
| b_bike_p.female                | -0,0959466 | 0,25700 |  -0,37333   | 0,70890     |
| b_bike_hh.cars_gr_0            |  5,3411693 | 0,52470 |   10,17951  | 0,00000 *** |
| b_bike_hh.cars_gr_2            | -1,5930923 | 0,22348 |  -7,12854   | 0,00000 *** |
| b_bike_hh.cars_gr_3            | -2,0211522 | 0,34912 |  -5,78935   | 0,00000 *** |
| b_bike_hh.income_agg_low       | -0,3606559 | 0,34755 |  -1,03772   | 0,29940     |
| b_bike_hh.income_agg_high      |  0,6472562 | 0,23374 |   2,76918   | 0,00562 **  |
| asc_walk                       |  2,3755949 | 0,18000 |   13,19799  | 0,00000 *** |
| b_walk_p.age_group_agg_15_24   |  1,3046711 | 0,19123 |   6,82245   | 0,00000 *** |
| b_walk_p.age_group_agg_40_54   | -0,1671066 | 0,15995 |  -1,04473   | 0,29615     |
| b_walk_p.age_group_agg_55      | -0,1332608 | 0,19680 |  -0,67713   | 0,49832     |
| b_walk_p.female                | -0,1424834 | 0,13170 |  -1,08191   | 0,27929     |
| b_walk_hh.cars_gr_0            |  5,4193280 | 0,52401 |   10,34205  | 0,00000 *** |
| b_walk_hh.cars_gr_2            | -1,1158462 | 0,16672 |  -6,69306   | 0,00000 *** |
| b_walk_hh.cars_gr_3            | -1,6488898 | 0,25319 |  -6,51237   | 0,00000 *** |
| b_walk_hh.income_agg_low       |  0,0000000 |         |             |             |
| b_walk_hh.income_agg_high      |  0,2512997 | 0,22547 |   1,11457   | 0,26503     |
| b_car_time                     | -0,1586423 | 0,01244 |  -12,75077  | 0,00000 *** |
| b_pt_time                      | -0,0365442 | 0,00347 |  -10,52809  | 0,00000 *** |
| b_bike_cost                    | -0,0442042 | 0,01827 |  -2,42016   | 0,01551 *   |
| b_walk_cost                    | -0,1005110 | 0,01099 |  -9,14476   | 0,00000 *** |
| g_bike_grad                    |  28,3716265 | 21,00260 |   1,35086   | 0,17674     |
| g_bike_stressLink              |  1,8684471 | 1,21305 |   1,54029   | 0,12349     |
| g_bike_stressLink_f            |  2,9818479 | 1,43877 |   2,07249   | 0,03822 *   |
| g_walk_vgvi                    |  0,4325992 | 0,26337 |   1,64255   | 0,10048     |
| g_walk_stressJct               |  3,4636186 | 2,34080 |   1,47967   | 0,13896     |


Iterations: 105

Start LL = 7175.705063219666
Final LL = 3631.3884805878815
