Iteration,LL,asc_carD,b_carD_p.age_group_agg_15_24,b_carD_p.age_group_agg_40_54,b_carD_p.age_group_agg_55,b_carD_p.female,b_carD_hh.cars_gr_0,b_carD_hh.cars_gr_2,b_carD_hh.cars_gr_3,b_carD_hh.income_agg_low,b_carD_hh.income_agg_high,asc_carP,b_carP_p.age_group_agg_15_24,b_carP_p.age_group_agg_40_54,b_carP_p.age_group_agg_55,b_carP_p.female,b_carP_hh.cars_gr_0,b_carP_hh.cars_gr_2,b_carP_hh.cars_gr_3,b_carP_hh.income_agg_low,b_carP_hh.income_agg_high,asc_pt,b_pt_p.age_group_agg_15_24,b_pt_p.age_group_agg_40_54,b_pt_p.age_group_agg_55,b_pt_p.female,b_pt_hh.cars_gr_0,b_pt_hh.cars_gr_2,b_pt_hh.cars_gr_3,b_pt_hh.income_agg_low,b_pt_hh.income_agg_high,asc_bike,b_bike_p.age_group_agg_15_24,b_bike_p.age_group_agg_40_54,b_bike_p.age_group_agg_55,b_bike_p.female,b_bike_hh.cars_gr_0,b_bike_hh.cars_gr_2,b_bike_hh.cars_gr_3,b_bike_hh.income_agg_low,b_bike_hh.income_agg_high,asc_walk,b_walk_p.age_group_agg_15_24,b_walk_p.age_group_agg_40_54,b_walk_p.age_group_agg_55,b_walk_p.female,b_walk_hh.cars_gr_0,b_walk_hh.cars_gr_2,b_walk_hh.cars_gr_3,b_walk_hh.income_agg_low,b_walk_hh.income_agg_high,b_car_time,b_pt_time,b_bike_cost,b_walk_cost,g_bike_grad,g_bike_vgvi,g_bike_stressLink,g_bike_stressLink_f,g_walk_vgvi,g_walk_stressJct
0,7175.705063219666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,-0.1,0.0,0.0,0.0,0.0,0.0,0.0
1,6927.122193268954,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.663129683318326E-4,-7.336224131375356E-5,-1.9994405186957997E-4,0.0,-2.3623924871441748E-4,-8.100244162659572E-5,-2.1685536505696272E-4,-7.511351534773443E-5,0.0,-9.66637421350687E-5,-3.319704358597797E-4,-2.7012893538066527E-5,-1.3571548023283065E-4,-6.488357471658402E-5,-1.3025050955577122E-4,3.4386858330489955E-5,-1.888860068075939E-4,-6.836149730385156E-5,-1.15291226104812E-5,-6.551754094331513E-5,-2.7270044131852762E-5,1.0834598592946974E-5,-2.4997837409376242E-5,-1.7263633227001498E-5,-5.059401110114116E-5,1.8706866905552403E-5,-2.659062859781326E-5,-1.0104882154333499E-5,-3.3453397667105992E-6,-3.3461398585090617E-6,2.99049149749313E-4,7.111044030566151E-5,7.941632707664452E-5,4.5197169221856194E-5,1.5426257389219525E-4,1.2920209572879406E-4,3.9009881476296244E-5,1.3222976358567386E-5,2.921191203107185E-5,2.111550035503739E-5,0.002066193850379281,-0.0169353060099363,-0.09957993851476582,-0.09522784949671081,-6.86687009638056E-8,-2.3615089362099416E-5,-1.96433442468587E-5,3.1270363428988324E-5,-2.5998493796952263E-4,-1.3896487162907152E-5
2,6408.483843199063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.008998385542584234,-0.0011709203029127012,-0.0031701687430641195,0.0,-0.0037689731091913666,-0.0012296978002016346,-0.0034480578823208445,-0.001197004458553307,0.0,-0.0015632571836564127,-0.0011308067056166183,8.65879628232206E-5,-6.657743361477681E-4,-3.633193956992219E-4,-3.121985012998389E-4,8.206947485253983E-4,-0.0012647587618413217,-4.7085387908611063E-4,-5.0940901018010714E-5,-2.650997980886441E-4,-5.307295518167589E-4,1.1315236470241011E-4,-3.84375191066837E-4,-2.5502808571646645E-4,-7.529311713729957E-4,2.1462907997367846E-4,-4.041927177505008E-4,-1.5227014572952781E-4,-5.156120598073885E-5,-6.707367781891269E-5,0.0039006255826095097,9.300217497644026E-4,0.0010337023967876542,5.894004026448615E-4,0.0020110676604106524,0.0016932595581785129,5.035722407653013E-4,1.702369084337761E-4,3.8264147707109235E-4,2.7390671454377433E-4,-0.015392881438088875,-0.020356068556983343,-0.09669015550940634,-0.037922046676870456,1.7058891741406282E-6,-1.9610374597129758E-4,-9.887253147068354E-5,4.86374658304311E-4,-0.003256789100646175,-1.740594242464758E-4
3,6039.28040157859,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.20753589452428692,-0.026070380818072676,-0.07379798527832092,0.0,-0.08511217087539617,-0.027259678569888646,-0.08077438891955996,-0.028115661057225697,0.0,-0.036716571987464953,-0.015920280361348838,0.004542626174979297,-0.012907096851455573,-0.007153846328469235,-0.00147567193548798,0.023239221691194203,-0.028239583282866257,-0.010412662374651039,-6.608033383749317E-4,-0.005230027820950491,-0.01723789621961857,0.0023146311651158777,-0.011030272530168497,-0.0070200617039377425,-0.02062371525358553,0.005183081358133719,-0.011849558770626614,-0.004357830843165631,-0.0013459457361766757,-0.002485539392961423,0.056048686431738645,0.01548534636202961,0.013260330695333685,0.008206016885627759,0.028815763466556538,0.03356780186296651,4.8672180180348414E-4,-1.4664168670917605E-4,0.0076342626151119425,0.001855880671248469,-0.17857942224447623,-0.056970944208443466,-0.13076105206179375,-0.0729073241015073,1.6774610468135322E-4,7.940828995580658E-4,0.005875085940676292,0.015352487922597533,0.021842562229890533,0.0010897761695847353
4,5772.717761833789,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6515687089442147,-0.08146086792017584,-0.23152437108819895,0.0,-0.26573885074781567,-0.0853032635962338,-0.25369578950335214,-0.08855660757086863,0.0,-0.11514229794042616,-0.04913386490398543,0.015189643612598842,-0.040983265167446735,-0.02259379385855132,-0.0036022102321278024,0.07518829508748626,-0.09041285611016969,-0.033155542766200204,-0.0019234281683281167,-0.016943128995203734,-0.06576166076801229,0.005663973269188918,-0.03881294538991503,-0.024122555680386466,-0.07120545508870364,0.014935976151827162,-0.04156439053943403,-0.015167042341448521,-0.004698779275511369,-0.009576946407581041,0.17579266581583297,0.048932117404420494,0.04126708420472686,0.02570448612207038,0.09018626694819848,0.10672489922942546,4.65996477065945E-4,-8.989902319585362E-4,0.02426568322549261,0.005498376886731106,-0.4259983235854584,-0.11594241079927925,-0.3800310255186248,-0.11542594488090219,8.095395831247214E-4,0.014276950632733716,0.03574481584299841,0.05779300074440396,0.07775400987386238,0.003899372833789668
5,5395.969600704899,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.2630808944793843,-0.27312434448448253,-0.7900827473317706,0.0,-0.8700127931409724,-0.29075687426911645,-0.8760069119833856,-0.31483328396131205,0.0,-0.39120576047612887,-0.21556182893439707,0.07017181305091538,-0.17914870802172414,-0.09302328165777404,-0.014493820773349438,0.31773790787429146,-0.3908311629050703,-0.1370197646491144,-0.00424571545278464,-0.08515716526226602,-0.22220426972934126,0.03345416558950991,-0.14666397244705143,-0.09220479705487455,-0.26985202608632375,0.06977706118106373,-0.15507713041171875,-0.05737382910575561,-0.018070866451326863,-0.03189981794879877,0.6781465145704749,0.19413470403611321,0.15221874439873667,0.09902236721643166,0.33727012268747336,0.42637649693893753,-0.009673811520014414,-0.0097288035341389,0.09624466492329012,0.01752212636620979,0.06634033220112695,-0.023138846986706457,-0.19911633271130152,-0.07775087776065537,-0.0014030043427565586,-0.22072704497828505,-0.20742319550657248,0.22605724685296538,0.24983319930092385,0.012269223552519932
6,5107.6257932724175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.274717902766347,-0.24209157984797772,-0.7931874436835779,0.0,-0.7731943087958812,-0.2822805682606723,-0.8974934913966285,-0.33456022616464853,0.0,-0.38819469121536815,-0.3069040569281377,0.1028357652288657,-0.2541962913382728,-0.13596948128069142,-0.008116339666851914,0.4722860557291777,-0.5674082465343593,-0.20705551063970073,-0.005965530661865101,-0.12078149817046155,-0.2807620604716469,0.06133263603939561,-0.20351510117923965,-0.13076674864363164,-0.36629153667478,0.12240171478228568,-0.22155231196421088,-0.08148605669514203,-0.023189260483179437,-0.04228017614560448,0.9124060900023854,0.2712671528979619,0.188631526473902,0.13199303632914017,0.4275964532886179,0.6005553619883066,-0.03553425443837173,-0.024273747241275803,0.13266214628321207,0.01714175326035131,0.03780409796435519,-0.026439362742781525,-0.24058566862350395,-0.0801072076643891,-0.003407783963145753,-0.41980943022943706,-0.4097547823461967,0.3377067728568317,0.40841973984496477,0.020338618966251547
7,5059.4190413217375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.280085652310641,-0.23704195714841664,-0.79487056165308,0.0,-0.7578218692099928,-0.28120215885497774,-0.9025409127461537,-0.3385103472731076,0.0,-0.38817370588474726,-0.31878794414315814,0.10888234514375293,-0.264940496096096,-0.142605201531756,-0.003956389751263096,0.4996024368166604,-0.5958590567852071,-0.21911289196509243,-0.005915115600909302,-0.12605404625929478,-0.2861472959806362,0.06704401687985873,-0.21123652190690245,-0.13701237433619504,-0.3766200531321009,0.13339389539395627,-0.23204018352151254,-0.08535184669148677,-0.02369937776366911,-0.04335054255192908,0.9426205691127829,0.2824546103491881,0.19091676549740927,0.13595681862912432,0.4344872342809228,0.6262884344655042,-0.041920681501850084,-0.027847498636102308,0.1376890616537028,0.016191964293376902,0.03102608396745824,-0.027575820049496373,-0.2527897140050313,-0.08054955548733339,-0.003961475170076153,-0.4686849297711483,-0.45975044493630096,0.34951462606640443,0.4311585406602335,0.021501609810583747
8,4865.599914095547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.4934837125321687,0.09726119787403037,-0.9362590402847466,0.0,0.06257900604400757,-0.2076619562522639,-1.2363002504500513,-0.5646979351687742,0.0,-0.3985161065583914,-0.3584663011767065,0.48603174598331766,-0.5217373882787983,-0.3983923153788941,0.560087538789588,2.087950669548801,-1.8280307967347695,-0.9022922082400354,0.03132808385441847,-0.22546915023924752,-0.9801825252294232,0.2859394193934959,-0.5296816058044576,-0.6088733785192839,0.2179214812919339,0.865450481609782,-1.0053444701177998,-0.37639744071655507,-0.03948293008251229,-0.13539071566862756,1.30762058807271,0.6317924667107183,-0.20643675214800855,0.1238231035038799,-0.36511757067772793,1.4881454448630864,-0.6439998800228289,-0.3751765594812247,0.24933389994010757,-0.15029562625600326,-6.665106015196764E-4,-0.030760626635698125,-0.276636066884981,-0.035761488893391195,0.01670867986704391,-1.7442192138782717,0.21815918281634156,-0.3426317864383918,1.0549754233661521,0.055059876611971925
9,4787.449800216272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.608445116647315,0.2539331862322638,-1.0061861822325584,0.0,0.44284059231886186,-0.1742097106208349,-1.3980232528763454,-0.674949942569981,0.0,-0.40304434173548137,-0.34537435541254263,0.6543779794108212,-0.605929514528876,-0.5086240782036805,0.8568872539234575,2.7995210798465506,-2.356058013482225,-1.2198701248386552,0.048690013125743496,-0.2519310551499629,-1.2186197048183074,0.40587872987679613,-0.6563140103718972,-0.8141179962572562,0.47706729556795546,1.2456978810819366,-1.3433570120500007,-0.5096598979963997,-0.03914822120447005,-0.16803897635133158,1.3562989247488912,0.7643288497554998,-0.4351634726372842,0.09492017995036556,-0.8241285496090942,1.829543030030857,-0.9399635523827645,-0.549533399205236,0.2834576716337876,-0.23510320179844596,-0.02380005158974169,-0.03524455840616729,-0.26855293096688493,-0.02682492044401384,0.027455232535648754,-2.3197153417944847,0.5736317792739162,-0.0811826889578468,1.1141980065164092,0.05868289201496974
