Iteration,LL,asc_carD,b_carD_p.age_group_agg_15_24,b_carD_p.age_group_agg_40_54,b_carD_p.age_group_agg_55,b_carD_p.female,b_carD_hh.cars_gr_0,b_carD_hh.cars_gr_2,b_carD_hh.cars_gr_3,b_carD_hh.income_agg_low,b_carD_hh.income_agg_high,asc_carP,b_carP_p.age_group_agg_15_24,b_carP_p.age_group_agg_40_54,b_carP_p.age_group_agg_55,b_carP_p.female,b_carP_hh.cars_gr_0,b_carP_hh.cars_gr_2,b_carP_hh.cars_gr_3,b_carP_hh.income_agg_low,b_carP_hh.income_agg_high,asc_pt,b_pt_p.age_group_agg_15_24,b_pt_p.age_group_agg_40_54,b_pt_p.age_group_agg_55,b_pt_p.female,b_pt_hh.cars_gr_0,b_pt_hh.cars_gr_2,b_pt_hh.cars_gr_3,b_pt_hh.income_agg_low,b_pt_hh.income_agg_high,asc_bike,b_bike_p.age_group_agg_15_24,b_bike_p.age_group_agg_40_54,b_bike_p.age_group_agg_55,b_bike_p.female,b_bike_hh.cars_gr_0,b_bike_hh.cars_gr_2,b_bike_hh.cars_gr_3,b_bike_hh.income_agg_low,b_bike_hh.income_agg_high,asc_walk,b_walk_p.age_group_agg_15_24,b_walk_p.age_group_agg_40_54,b_walk_p.age_group_agg_55,b_walk_p.female,b_walk_hh.cars_gr_0,b_walk_hh.cars_gr_2,b_walk_hh.cars_gr_3,b_walk_hh.income_agg_low,b_walk_hh.income_agg_high,b_car_time,b_pt_time,b_bike_cost,b_walk_cost,g_bike_grad,g_bike_vgvi,g_bike_stressLink,g_bike_stressJct,g_walk_grad,g_walk_vgvi,g_walk_stressLink,g_walk_stressJct,g_bike_stressLink_f,g_bike_stressLink_c,g_walk_stressLink_c,g_walk_stressJct_c
0,7685.208331032533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,7029.50792526596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.710302201925376E-4,-7.844444831595384E-5,-2.456391844587601E-4,-9.770536196496034E-5,-2.6540038157917017E-4,-1.0355867858037326E-4,-2.639495595121017E-4,-9.335289576375634E-5,-2.4263748363034266E-5,-1.128139228013239E-4,-1.9050794591017508E-4,1.6609411250571967E-5,-1.1406463147983055E-4,-5.8433109459843114E-5,-4.7026646311859866E-5,1.350765372787471E-4,-2.0891837765779663E-4,-7.98452420358816E-5,-8.004535542444297E-6,-4.902778019747111E-5,-6.850381573918081E-4,-6.443651111667639E-5,-2.666510902576766E-4,-1.307240710775432E-4,-3.7746387917339145E-4,-3.151785869837434E-5,-2.959677016818792E-4,-1.013574313062006E-4,-2.5264315305839805E-5,-1.2281959222937934E-4,-2.5279323809982313E-4,1.4608277364960934E-5,-1.2457058437928905E-4,-3.967247928223939E-5,-7.829436327453307E-5,1.4558249017820513E-4,-2.3093085039951867E-4,-7.834439162167332E-5,3.076743349127025E-5,-1.0180768643046304E-4,0.01635142323327135,-0.008153573756939267,-0.020774286729888892,-0.07796150132735061,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,6996.301088090475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.018416122416217828,-0.0023160464574450796,-0.0065631322463839716,-0.0027242166628217274,-0.007577003086140496,-0.0025467160054759978,-0.0071307839610956335,-0.0024988746419491946,-6.237096348315977E-4,-0.0032115161887982697,-0.0018507071755073565,3.857415248832003E-4,-0.0013670472320998028,-7.626166357568662E-4,-3.1001510035910446E-4,0.0022296342968790134,-0.0028439457252861645,-0.0010811997870121706,-9.878503963126726E-5,-5.082147659319647E-4,-0.008804448764934298,-8.249735504685103E-4,-0.0034637896370264157,-0.0017819425319592745,-0.005262991895697959,-4.0887786239299765E-4,-0.003774124257078291,-0.0012849256649096314,-3.645825447455458E-4,-0.0014553266429700247,0.007663789681387177,0.002008193518638827,0.00189180002729977,0.0011536160256340382,0.004067522623675023,0.003953385199001645,5.059525138548882E-4,1.6890760866248084E-4,8.885209980163547E-4,3.3778585268569967E-4,0.05867754375452389,-0.012514411764687249,-0.19975157460410903,-0.0505665633069566,3.94371004097922E-5,0.0015402608644208135,0.0024789608364716546,1.1160573539238125E-4,-1.065855599110327E-4,-0.005503968960634626,-4.411535607540943E-4,-2.943689606389097E-4,0.0012729635844063252,0.0,0.0,0.0
3,6941.222332756979,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.019968268146604306,-0.0025158885474040153,-0.007110974926463228,-0.0029548191976724023,-0.00822257855141163,-0.002759157725086873,-0.007727012000630908,-0.0027065612436535692,-6.75724351724138E-4,-0.003481710933765012,-0.0018726388303427625,4.2781213050807816E-4,-0.0014268124426235144,-8.012505371896617E-4,-2.8550771428717563E-4,0.002402856861333262,-0.0030063453380295172,-0.0011450897324233624,-1.0280036788023759E-4,-5.22950099545508E-4,-0.009112158206557483,-8.31857777634011E-4,-0.0036074411364405987,-0.0018603054389258963,-0.005490158654161354,-3.89003439639919E-4,-0.0039325709077045095,-0.0013395839685338454,-3.7948418587720374E-4,-0.0015083270808808242,0.008229580853243712,0.0021539199499592643,0.002033357081459578,0.0012386450230713669,0.004364311854439982,0.004238159441837382,5.492651063156027E-4,1.8311195889749083E-4,9.526323073753385E-4,3.6602635740343983E-4,0.05766226563728032,-0.00609328662449547,-0.2066510195040257,-0.05062204433375604,3.83235966318884E-5,0.0014392265074641994,0.0023816093435108476,1.0531731453684929E-4,-1.1283870387597985E-4,-0.0058271374232116094,-4.6661199800584205E-4,-3.116945768384634E-4,0.0013157997345246573,0.0,0.0,0.0
4,6161.221141296533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3639241799400815,-0.04706365381483506,-0.1280725200446511,-0.05410464841815377,-0.15146324433582187,-0.04985812590864002,-0.1395322334340634,-0.04854671640694311,-0.012161498162677321,-0.06324271699418799,-0.038834560787936144,0.0043038095883828256,-0.024932314911617726,-0.014136012401601021,-0.010210851225892787,0.03483457848704705,-0.04908573582222841,-0.018730601227887087,-0.0021735673558908935,-0.008640169016706823,-0.016482759978210772,0.007292178452665214,-0.015526426347555473,-0.009665562613907247,-0.026639348739917683,0.0131153915178149,-0.01790016211580169,-0.006356865170095647,-0.0014608063956948582,-0.003802988252296473,0.126362593684483,0.032785736245521974,0.031425424366078085,0.018962005514941288,0.06619913459599633,0.06466331981241327,0.008909372171808356,0.0028744263623263844,0.014559673705021927,0.006092963003127488,-0.4181418016965695,-0.10713654638585995,-0.43221720791912277,-0.10116110676409905,-0.0010287598020569547,-0.06429390254842075,-0.07571355914923353,-0.00422882903932323,-0.0011607890208626282,-0.0600290129427323,-0.0046499371159337746,-0.0032259487089314363,-5.003767302703297E-4,0.0,0.0,0.0
5,5054.664841210286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.175426867590704,-0.15079233917959567,-0.4088424757959741,-0.17509414472251722,-0.4725555063221322,-0.15898652276717376,-0.44792162492155874,-0.15915592611944618,-0.03909070556029298,-0.19984627751950407,-0.10595223592459413,0.029667700174926363,-0.08343831499068866,-0.0442951390635086,-0.011477018739914135,0.14054901171866072,-0.17728598216686747,-0.06344528628748664,-0.0031262410304156675,-0.03781838263081319,-0.03939056048231995,0.028369502888678386,-0.048979397127895646,-0.032026999280572815,-0.09009708011698978,0.04638050452517581,-0.0541277893348079,-0.01996201622666824,-0.0054319010996133135,-0.008355665909972054,0.3952227853648209,0.10612028703583432,0.09442722119697627,0.05887494729516861,0.20136418673220968,0.2154051498438676,0.017897669476805746,0.004077065967280949,0.048459552384900656,0.016197164493781224,-0.30339475805431554,-0.09089269001980804,-0.41904424117704525,-0.09565082966916519,-0.005305253365609048,-0.3357566948757792,-0.4011448522709794,-0.021909907030817313,-0.003310367313831498,-0.16947192002014855,-0.012874833579264378,-0.009443268671240283,0.02091328834677945,0.0,0.0,0.0
6,4870.32166480745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.5867031096041861,-0.19572040573493116,-0.5513032300592188,-0.23527107506577716,-0.6130786068969767,-0.21179652702973828,-0.6076479653968172,-0.21879682439595782,-0.051579540386813706,-0.26919743988438377,-0.170148940152003,0.046347431922170224,-0.13093007602715406,-0.07089736214321196,-0.018480031755506866,0.22209926786787454,-0.27919863225201846,-0.10113368683607818,-0.0048614064615586155,-0.059410805470809167,-0.10811932099869544,0.03559544598477372,-0.09079914202078385,-0.058546920587738596,-0.16069894289203177,0.0668186891815297,-0.10185936576346019,-0.036446005571439455,-0.010155037277930688,-0.01893648007000959,0.5765875550107452,0.15800211959286503,0.13231700255857443,0.08540853287516328,0.2840204429282558,0.32542768183180704,0.016399036821262893,0.0014404963343964228,0.07277310770731495,0.02088245076083681,-0.22417712652510594,-0.07884623570519372,-0.37363782263515977,-0.09542044100756117,-0.0018485813007142267,-0.23664002834401884,-0.19454544567108276,-0.012748280975094386,-0.003892314522322099,-0.195651690507849,-0.01424429117983139,-0.011263226724280007,0.24170174195540606,0.0,0.0,0.0
7,4652.564366203767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.589518214770305,-0.1610887237860818,-0.5524379779354716,-0.23059507162571408,-0.5045389823949786,-0.20163922485225327,-0.6244696444846922,-0.23788821650420894,-0.04706846902514339,-0.2660327613652637,-0.3060145879883762,0.07237394713351697,-0.21623606817113564,-0.12436768976341903,-0.031055941639841933,0.3756628381234356,-0.4698090836408618,-0.17637521849001347,-0.007649992212920448,-0.09908679388121934,-0.19178626183227282,0.06013069100022821,-0.15501233241182216,-0.10334389178775688,-0.2578551364644507,0.11968262353317861,-0.180385063087785,-0.06358780819771323,-0.016233590902209057,-0.032397218500131636,0.7618983541272506,0.2232123426408991,0.14843988088162222,0.1103250034017546,0.32510452214172336,0.4828883572813468,-0.025036691877582385,-0.0200795458173187,0.10586532391990454,0.014692868926800518,-0.2332794539032636,-0.07561548216128049,-0.3739046804072887,-0.09805329928264911,-0.001571746846609525,-0.36506341713471746,-0.23612617087437535,-0.01769953113051613,-0.002219427640151074,-0.08517676110205444,-0.004822715259265925,-0.006596324280747093,0.4709016012585744,0.0,0.0,0.0
8,4478.495795795756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.8516604469566516,-0.0010903820277059773,-0.6609506527974282,-0.24312132794960517,-0.13085524897071577,-0.13400061629481805,-0.8439369565669956,-0.38468251148733057,-0.025400033731242177,-0.30257201986753246,-0.5699488998831919,0.23647924227578068,-0.3531471858196102,-0.30534652706247845,0.23572093941646677,1.143710502471412,-0.9996979850688317,-0.5575665510311912,-0.003551112666119234,-0.13986432021912615,-0.2224287133125758,0.2700279412808069,-0.3095721331279589,-0.29054025199990996,-0.06825750525166593,0.5636445423316686,-0.5155364294311919,-0.17506241010471144,-0.0071361970659953745,-0.05608628607557967,0.8991893058536886,0.3632194831949535,-0.06333619664628529,0.09722209283057508,-0.1864904519713736,0.8917660666366659,-0.35176654423719433,-0.2104004204596703,0.16633434814725073,-0.0699944178853758,-0.23624856843843065,-0.07197356301864193,-0.3872715534411017,-0.09194705762917484,0.006059244855961805,-0.709969768488443,0.05941588489182312,-0.015730894044873246,0.01003480761823589,0.707534908053873,0.022007984800508938,0.033212839077359765,0.30233482132637224,0.0,0.0,0.0
9,4267.67905017932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.892207092771227,0.26216002609082834,-0.7040771862165871,-0.2141282665585604,0.4175043904790118,0.03576810047851131,-1.0360369507149607,-0.559706292830317,0.017470167252605865,-0.2943156091470616,-0.8571707874156893,0.3535457785979431,-0.35297845982536974,-0.47723939996603637,0.54800489662456,1.8286660561767636,-1.278402541567412,-1.035931245287791,-0.024199264695465933,-0.04561145577489914,-0.17764444338439866,0.5451059136778726,-0.45692376959434144,-0.5264276504335731,0.36353628179267616,1.1784329811932523,-0.9148284491482457,-0.329147106931177,0.011642033328841289,-0.06301798702147221,1.5364332254135706,0.648102123082256,-0.19304783395240707,0.13355857737498883,-0.5229481222193822,1.5125533418650612,-0.6431465331807202,-0.42526337493316446,0.25388587390101963,-0.13254751954695654,-0.20966128627821007,-0.060644136809613114,-0.3689116230316493,-0.0949925445742725,0.018940168759977727,-1.0461083334951173,0.5074585448510202,2.942930027002681E-4,6.124031375664037E-4,0.3784998895527173,-0.07257024735739839,0.018614195094138933,-0.18517481227595978,0.0,0.0,0.0
