Iteration,LL,asc_carD,b_carD_p.age_group_agg_15_24,b_carD_p.age_group_agg_40_54,b_carD_p.age_group_agg_55,b_carD_p.female,b_carD_hh.cars_gr_0,b_carD_hh.cars_gr_2,b_carD_hh.cars_gr_3,b_carD_hh.income_agg_high,asc_carP,b_carP_p.age_group_agg_15_24,b_carP_p.age_group_agg_40_54,b_carP_p.age_group_agg_55,b_carP_p.female,b_carP_hh.cars_gr_0,b_carP_hh.cars_gr_2,b_carP_hh.cars_gr_3,b_carP_hh.income_agg_high,asc_pt,b_pt_p.age_group_agg_15_24,b_pt_p.age_group_agg_40_54,b_pt_p.age_group_agg_55,b_pt_p.female,b_pt_hh.cars_gr_0,b_pt_hh.cars_gr_2,b_pt_hh.cars_gr_3,b_pt_hh.income_agg_high,asc_bike,b_bike_p.age_group_agg_15_24,b_bike_p.age_group_agg_40_54,b_bike_p.age_group_agg_55,b_bike_p.female,b_bike_hh.cars_gr_0,b_bike_hh.cars_gr_2,b_bike_hh.cars_gr_3,b_bike_hh.income_agg_high,asc_walk,b_walk_p.age_group_agg_15_24,b_walk_p.age_group_agg_40_54,b_walk_p.age_group_agg_55,b_walk_p.female,b_walk_hh.cars_gr_0,b_walk_hh.cars_gr_2,b_walk_hh.cars_gr_3,b_walk_hh.income_agg_high,b_car_time,b_pt_time,b_bike_cost,b_walk_cost,g_bike_grad,g_bike_stressLink,g_bike_stressLink_f,g_walk_vgvi,g_walk_stressJct,g_walk_speed_aadt
0,7175.705063219666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,-0.1,0.0,0.0,0.0,0.0,0.0,0.0
1,6926.708254885146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.623756079704569E-4,-7.285218133433737E-5,-1.9855391632907996E-4,0.0,-2.3459676636683984E-4,-8.043926221755855E-5,-2.1534765153763071E-4,-7.459127942083179E-5,-9.599167561364331E-5,-3.296623706937052E-4,-2.682508308305232E-5,-1.3477190171322183E-4,-6.443246370645484E-5,-1.293449269149842E-4,3.414777948095992E-5,-1.8757275368147622E-4,-6.78862056104239E-5,-6.506202220524896E-5,-2.7080445805799938E-5,1.0759269717542712E-5,-2.4824036879210526E-5,-1.7143605699887732E-5,-5.024225003443024E-5,1.8576805119299442E-5,-2.6405753991580077E-5,-1.0034626721956516E-5,-3.3228754107933013E-6,2.969699738621804E-4,7.061603624890075E-5,7.886417532352696E-5,4.488293036014563E-5,1.5319004442942118E-4,1.2830380231370993E-4,3.8738660491406604E-5,1.3131041993852072E-5,2.096869224934728E-5,0.0020518283842495444,-0.01681756121806316,-0.0995828590437556,-0.09526102845831136,-6.81912733992586E-8,-1.9506771487046637E-5,3.1052952392448245E-5,-2.5817736080537744E-4,-1.379987013172955E-5,-1.2715755948784101E-4
2,6466.594017630823,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.007524788155652065,-9.79080541624824E-4,-0.002651124989998705,0.0,-0.003151520645001003,-0.0010288688067380384,-0.0028834161560234895,-0.0010009964123854148,-0.0013070011327988914,-9.908626866031679E-4,6.670253443552791E-5,-5.729336051208543E-4,-3.1111810829448025E-4,-2.804235006798121E-4,6.831153058779182E-4,-0.0010764714563354263,-4.0034383879158263E-4,-2.3005332506032748E-4,-4.4262391099296694E-4,9.528898503028366E-5,-3.2152904219497075E-4,-2.1345177526616756E-4,-6.301124944114925E-4,1.8040797383409604E-4,-3.381620487414338E-4,-1.274104352620527E-4,-5.59233418004778E-5,0.003271171270766199,7.799044876518079E-4,8.669232079615654E-4,4.942891173485393E-4,0.0016865525464723745,0.0014198950151794016,4.2238691644673807E-4,1.427984495376381E-4,2.2972762536283578E-4,-0.012363141740752858,-0.01964131106665273,-0.0971944127857979,-0.047938576335504864,1.3948129605987407E-6,-8.507854167614865E-5,4.0680067578573403E-4,-0.002733233063076095,-1.4607819208811723E-4,-0.00134621930951679
3,5791.5828264427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5984390036685016,-0.07435456172961212,-0.21333090852033648,0.0,-0.2436069600798912,-0.07734719623251901,-0.23416795297621848,-0.0815886186408909,-0.10647448723191798,-0.04204943841115821,0.014714448144800886,-0.03683310243063186,-0.02032567092537681,-0.001324285574506312,0.07050875253060214,-0.08287926917367339,-0.030303068076958886,-0.015436143438044406,-0.05947860538820066,0.005499451338224676,-0.03542139168843928,-0.02210391302764364,-0.06495007804354785,0.014372027150433361,-0.0382922805707177,-0.013970492471589654,-0.008816183310102237,0.14458243098482074,0.04136638095051012,0.033166758351177106,0.020953103128757193,0.07325082466676054,0.092915291774007,-0.003045077531899978,-0.002298742578795007,0.003864743478478788,-0.3761314767840362,-0.10495734719121154,-0.37508327852309087,-0.10077242563241956,7.020870715448816E-4,0.030827651759870366,0.050702659110856446,0.19187891778664998,0.01001534514590327,0.10585480094441906
4,5419.186187620508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.9090942367252002,-0.11130694740823799,-0.32146938713313417,0.0,-0.36077583537908664,-0.11658889961297958,-0.35464792944868634,-0.12516987941140673,-0.16014853173284593,-0.07230529239704847,0.025064120159599086,-0.062423071791966336,-0.033473355324252635,-0.002937874784195481,0.11646011110546062,-0.13916677649510384,-0.04982056964450689,-0.028007371615116253,-0.08116303960847528,0.012161410884317103,-0.053304073047669216,-0.033760549482613936,-0.09859930382641796,0.026390059275447172,-0.057443303800359266,-0.021129329955655828,-0.012042746611878426,0.22839532180539915,0.0664679777242588,0.051079407932638266,0.033061754192175656,0.11405119192761984,0.15015517479802454,-0.007363603632843057,-0.004919855506994567,0.005277140177495278,-0.36019523744326387,-0.10294400549097907,-0.25548545615318186,-0.10975830733750393,5.371508138104087E-5,-0.028659660496569747,0.07506915788976982,0.3026371799682392,0.015778629055332314,0.16637524552514174
5,5132.674212295366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0777942234262141,-0.13089460405964842,-0.3799872704321332,0.0,-0.4226996725704316,-0.13764283509207406,-0.4201802801665298,-0.14910871268392575,-0.18918578394068986,-0.08979813070528267,0.03132539637268731,-0.07741263790159178,-0.04111946530814334,-0.0036735936611116712,0.14361500390609405,-0.17225118418350077,-0.06125569405292422,-0.035521837921473086,-0.09876292488256645,0.01518531082827352,-0.06530564020341925,-0.041359821812261194,-0.12051882755560626,0.03252376136704652,-0.07020212432764777,-0.025878202968725228,-0.01458512451961115,0.27696547234633806,0.08112582000452125,0.061320337427940186,0.04006982320746655,0.13750549015654054,0.18359595015260063,-0.010068464945564645,-0.006545080440460825,0.006031287608827384,-0.2902561831827946,-0.08944906515293947,-0.24333402198285795,-0.09417154618447199,-1.4079963834564402E-4,-0.05224893790640482,0.0944922676909066,0.3671532838611016,0.019137581113395266,0.2015191402124204
6,4913.024232918897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.1076142635776216,-0.1196300049733815,-0.38746869039169185,0.0,-0.3877469459072589,-0.1357244796327096,-0.4366925292391141,-0.1603877435089881,-0.19264537740330442,-0.1363755098688861,0.04237050355599595,-0.11058698306289025,-0.06062269807986374,-0.008078737675994506,0.20608283961404375,-0.2475660888142927,-0.09086565776871655,-0.051436937624858334,-0.1486192164664789,0.02133044609313718,-0.09556937471054879,-0.06160775559047336,-0.17053930518933896,0.047925726626268886,-0.10439953479131373,-0.03856349284061498,-0.021199350249648627,0.35824965725116636,0.11050997727737094,0.07225864970215089,0.05122105572063354,0.16844321914125693,0.25505671621252124,-0.026622514477092407,-0.014815538492238389,0.003768206943968721,-0.2776753974136845,-0.08553479423442158,-0.22373615974912506,-0.06883772488686393,1.1439141258697249E-4,-0.05948094436177308,0.13843497261836923,0.6049265623269322,0.0316391829420653,0.32566478707831403
7,4785.255314121685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.128057254834741,-0.08626001355509429,-0.38147358791388175,0.0,-0.28827520699270937,-0.12758762209227864,-0.45148749088018,-0.18114943717968188,-0.18502325703413436,-0.23822748278521727,0.0705740844917386,-0.1768509109850137,-0.10720979379154068,1.719197689319038E-4,0.36013270772008255,-0.4082618202978825,-0.1681408285287609,-0.07949614204117496,-0.23395340359839611,0.04567933668088218,-0.1517238100876273,-0.10758757645145745,-0.22722202706750952,0.10799327752034904,-0.1836523823699766,-0.0672326028512315,-0.03388475909657534,0.5476341500576942,0.18188868784663675,0.080571036982274,0.07714393149648793,0.19647102074573974,0.42226035963456654,-0.07542484589117796,-0.042852082527813334,-0.007097543619751264,-0.27719969079707296,-0.08208722170602899,-0.1811109264476026,-0.0820144053501095,0.002784821131452744,0.07548162003222579,0.19840259145621586,0.5795107539150817,0.02962694752774649,0.314776387213111
8,4652.296590985908,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.1529979798372518,-0.028937647344832874,-0.3678884139834723,0.0,-0.13835593262909893,-0.10470273677685676,-0.4759895277821438,-0.21706413757001491,-0.16860353981105877,-0.37074554028570517,0.11601521114606607,-0.2542861652375132,-0.17598122432968188,0.04406441942624328,0.6050249334702066,-0.6226037462625007,-0.29756784625036736,-0.10669373644553953,-0.24599326238678162,0.11171325227264284,-0.19572753211588187,-0.16341718443069675,-0.20367623182812583,0.2512025801043679,-0.28063671754346203,-0.10409441535715155,-0.04094063128959124,0.7534428190735315,0.27824383694015153,0.05321169181275892,0.1016935859552343,0.15796377095268777,0.654781542003173,-0.17889257674449582,-0.10171974920579716,-0.034865775014438154,-0.286012092421091,-0.08029745181210747,-0.2159846941504544,-0.09201529522866843,0.001836235354608618,-0.025215445801232944,0.04670341859068339,0.5461354021054154,0.026813480989938493,0.28766671975119296
9,4488.914768594121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.3009346370424506,0.16770067511130168,-0.3932119203732386,0.0,0.10519078503208462,0.08239031011316789,-0.6631312540321543,-0.37131021683960463,-0.1526179062446845,-0.3907114533264231,0.2444017326178094,-0.16872382459807972,-0.2892984303287486,0.5196543823496161,1.2183478507481107,-0.7433907999769752,-0.689672145710641,0.01746355492208125,-0.0911168852444752,0.3428885831260374,-0.24613830681825064,-0.3032465967195401,-0.08820121317923485,0.8522387678710851,-0.548362741317644,-0.2453879673677375,-0.04515962757074198,0.8002100224654982,0.4431567810616485,-0.23118204713151513,0.0667772628828299,-0.36433549479514404,1.0731143199196183,-0.593397389742327,-0.3514421064557371,-0.16023170042189033,-0.25811132014488863,-0.07798135850785753,-0.16830012633719668,-0.06552620762328115,0.006941256993640771,0.24960676210445967,-0.10638637500588335,0.7061692794148365,0.03364131280088479,0.23362166853264874
