Iteration,LL,asc_carD,b_carD_p.age_group_agg_15_24,b_carD_p.age_group_agg_40_54,b_carD_p.age_group_agg_55,b_carD_p.female,b_carD_hh.cars_gr_0,b_carD_hh.cars_gr_2,b_carD_hh.cars_gr_3,b_carD_hh.income_agg_high,asc_carP,b_carP_p.age_group_agg_15_24,b_carP_p.age_group_agg_40_54,b_carP_p.age_group_agg_55,b_carP_p.female,b_carP_hh.cars_gr_0,b_carP_hh.cars_gr_2,b_carP_hh.cars_gr_3,b_carP_hh.income_agg_high,asc_pt,b_pt_p.age_group_agg_15_24,b_pt_p.age_group_agg_40_54,b_pt_p.age_group_agg_55,b_pt_p.female,b_pt_hh.cars_gr_0,b_pt_hh.cars_gr_2,b_pt_hh.cars_gr_3,b_pt_hh.income_agg_high,asc_bike,b_bike_p.age_group_agg_15_24,b_bike_p.age_group_agg_40_54,b_bike_p.age_group_agg_55,b_bike_p.female,b_bike_hh.cars_gr_0,b_bike_hh.cars_gr_2,b_bike_hh.cars_gr_3,b_bike_hh.income_agg_high,asc_walk,b_walk_p.age_group_agg_15_24,b_walk_p.age_group_agg_40_54,b_walk_p.age_group_agg_55,b_walk_p.female,b_walk_hh.cars_gr_0,b_walk_hh.cars_gr_2,b_walk_hh.cars_gr_3,b_walk_hh.income_agg_high,b_car_time,b_pt_time,b_bike_cost,b_walk_cost,g_bike_grad,g_bike_stressLink,g_bike_stressLink_f,g_walk_vgvi,g_walk_stressJct
0,7175.705063219666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,-0.1,0.0,0.0,0.0,0.0,0.0
1,7127.192778015509,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0010931359416943758,-1.4160880507389263E-4,-3.8594565487430805E-4,0.0,-4.5600512093039205E-4,-1.5635644115278012E-4,-4.18589025766613E-4,-1.4498923373675677E-4,-1.8658695226030035E-4,-6.407919919037365E-4,-5.2142130706641016E-5,-2.619672823736053E-4,-1.252427041486199E-4,-2.5141842299467075E-4,6.637586081374276E-5,-3.646006615965804E-4,-1.3195602769085096E-4,-1.26466429026935E-4,-5.263850033300471E-5,2.0913681653219372E-5,-4.8252531841738846E-5,-3.332344307822171E-5,-9.766001321151959E-5,3.6109271223628676E-5,-5.132704609985906E-5,-1.9505133181085135E-5,-6.458947525159091E-6,5.772450786127309E-4,1.3726222508519866E-4,0.0,0.0,2.977681483730987E-4,2.4939470307278023E-4,7.52995356058847E-5,2.552389142050402E-5,4.0758579894336263E-5,0.003988308385398007,-0.03268968347588084,-0.09918916865247919,-0.0907884694046709,-1.3254901316159697E-7,-3.79169237013386E-5,6.0360189657608274E-5,-5.018406709470601E-4,-2.6823947941392107E-5
2,6804.790121330297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.005835910911156982,-7.620742898916579E-4,-0.002053178855142705,0.0,-0.0024491098459185593,-8.072377812765072E-4,-0.0022317824311681883,-7.720759476143215E-4,-0.0010083755734182655,-9.637126659639975E-4,3.491416339459519E-5,-5.223431593408592E-4,-2.7215045366948254E-4,-2.8633605069930065E-4,5.332634248100504E-4,-9.286937518298189E-4,-3.4874814952364126E-4,-2.2435967924280055E-4,-3.484622559279111E-4,7.495921956252429E-5,-2.530226825405564E-4,-1.6821677879597666E-4,-4.968911291372834E-4,1.4179857617410257E-4,-2.6598667896920184E-4,-1.0026540058961712E-4,-4.3730200923742355E-5,0.0025718303951982628,6.134652900227065E-4,0.0,0.0,0.0013258017464865335,0.0011174770631118263,3.3134363473867574E-4,1.119524483954131E-4,1.8043394676396722E-4,-0.005838075644372055,-0.03456542954931053,-0.09772099067890087,-0.05910711496147082,1.014958192051282E-6,-7.240457221007088E-5,3.1825531318052533E-4,-0.002133022717170447,-1.1400260162751952E-4
3,6260.803394725173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5109524891746018,-0.06295748796338049,-0.18225650564902082,0.0,-0.2070705200251954,-0.06541189240736792,-0.20067544362052134,-0.06955845985615096,-0.09133076458016016,-0.024190226257389157,0.014787127329321088,-0.028236411957124428,-0.01574832808070853,0.00538956269486162,0.06383198939109844,-0.06802874635042952,-0.025666724605271727,-0.011681374183102654,-0.05884257908468438,0.0035471413121870906,-0.033026161909788396,-0.020286843520285175,-0.05971824389114835,0.011502755175489751,-0.03585548684975834,-0.013001215296953578,-0.008851986601627093,0.11285822970162859,0.03318230011382471,0.0,0.0,0.0563421395606929,0.07642698752433605,-0.004962109584209642,-0.0029842930764559152,0.00252951074283359,-0.3319961191956008,-0.11370449971971283,-0.486360875143403,-0.07278708581503611,7.676074726626657E-4,0.03703410696428722,0.04832406655824395,0.24517513199496696,0.012897131243992232
4,6030.687659034848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.9019495593932356,-0.11072830976481757,-0.3197231515440204,0.0,-0.36107687498957325,-0.11582301983737997,-0.3525519292380531,-0.12313242750175064,-0.15976119957097568,-0.04701518478423428,0.02703404690384893,-0.0527595725277973,-0.029198468332899973,0.008693079704824004,0.11655493932690147,-0.12597312273115746,-0.04707686506007619,-0.022503753926619827,-0.08413332879840156,0.010829571733980614,-0.053258239783523856,-0.033478262085791716,-0.09770236121963567,0.025396579429021165,-0.05815343415713539,-0.02120291169588147,-0.012935639178450082,0.2064057458399931,0.06085278550520065,0.0,0.0,0.10221660403505987,0.1400828141242909,-0.009574723669873284,-0.00577722399119338,0.004242584792187667,-0.6407939272367262,-0.18285085502593026,-0.4519714631801004,-0.15052450938539952,9.213789089489697E-5,-0.022034199232207556,0.07120155388239546,0.40028023118652434,0.020981527210772413
5,5507.347152532253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.2631785929425596,-0.151017838427425,-0.44369824237228106,0.0,-0.4870027824363008,-0.1603530577188451,-0.49266944293393,-0.17497691948541427,-0.22126562163967436,-0.0754204763966954,0.04552143459436763,-0.08524349107412041,-0.04595646745168752,0.015299454073566005,0.18638108609309242,-0.20267636128333494,-0.07404319515337134,-0.03920727976420216,-0.12510959192152848,0.018508380258004206,-0.08178008154606327,-0.051627973819271374,-0.14961579984658463,0.04019410798480583,-0.0881299715044979,-0.032534267568893056,-0.018684435503540174,0.31456362444503844,0.09441127562337057,0.0,0.0,0.15303132817788567,0.21829007526481034,-0.01831161646436528,-0.010778841234803965,0.005092726461833426,-0.4996379503662187,-0.1552656323284914,-0.370570276054259,-0.12712294022916493,-0.0010316405874900144,-0.13059255598765063,0.1219180421529669,0.5725584551635803,0.02996510689697307
6,5274.244091226572,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.2498106647570841,-0.11222944225774671,-0.430792600611072,0.0,-0.36459524456430836,-0.14952667381782025,-0.4958615147020746,-0.19124056286564947,-0.21031657091084519,-0.16410606223893234,0.08253579045580527,-0.16142121731271347,-0.09325940606229259,0.017286518580760152,0.3523079873850161,-0.3896479351481439,-0.14555809351866866,-0.07892693087501668,-0.2273289712429713,0.03825327371135989,-0.14850864392290203,-0.09905661068509099,-0.23546141132700954,0.08804944394289033,-0.16972253285592523,-0.06211460044352434,-0.03425608138162394,0.53704537425883,0.17063314126534948,0.0,0.0,0.23808190936526227,0.40264417264627916,-0.05659690249453997,-0.0311997601842956,-6.496737067516979E-4,-0.5108871413177979,-0.15350114907901893,-0.30272272453604865,-0.10263045259059614,-3.552527970944833E-4,-0.14512861584240494,0.25681016718764976,0.9636374910575632,0.05007321861495129
7,5031.280469122211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.6872855661718866,0.35159593035564995,-0.3206355590844142,0.0,1.1839448651386049,-0.16717331820066952,-0.6083849506754024,-0.5173954637570243,-0.009704742772497943,-1.7158641267977301,0.6222527757509486,-1.3682113337227895,-0.8777942632786392,-0.09132201072438884,2.929483005807372,-3.314905986671796,-1.3268446751503127,-0.6817583941088028,-0.9126639883230205,0.5628813174084101,-0.8482020406029227,-0.7146342458445298,-0.2379588172067871,1.2270784628132323,-1.2782609676211707,-0.4411798732147213,-0.22312382245860116,4.422673603536331,1.4468715732670885,0.0,0.0,1.5257934464166691,3.390226933407127,-0.6242630315004967,-0.36884570770654956,-0.10178355435770799,-0.422578572817429,-0.0783240833976903,-0.12375489597516173,-0.29171959281719817,0.018336380386633374,0.7311034572770563,0.3548413507764004,0.8062156371298439,0.024706348608957263
8,5012.738960505814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.684795041798744,0.3639113103400735,-0.3161430411892115,0.0,1.2116679869322635,-0.16018737476711511,-0.6103818627650581,-0.5236973264388677,-0.005484573364835707,-1.7396434981148503,0.6326115906175683,-1.3851195095518531,-0.891782464840914,-0.08261806095836001,2.9761031015619865,-3.3630619581947365,-1.350835043370731,-0.6895301710563309,-0.9162477604353146,0.5748055006874593,-0.8582289053393216,-0.7253089568917493,-0.23916719010029897,1.254078897087151,-1.2953448510679964,-0.44916781775651365,-0.22465337705175614,4.48783810787962,1.4697662663343651,0.0,0.0,1.5421920567066334,3.4452181835221993,-0.6377166098968533,-0.3771424603630529,-0.10481578695119442,-0.42755940561108036,-0.07865219924918117,-0.14240777376731137,-0.29470389450502243,0.017675786625740746,0.674558471146096,0.3560386489564675,0.7942994116733767,0.02397588716602864
9,4677.2619613853385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.4554206014769409,0.9923095029162605,-0.3927647584887456,0.0,0.9400364132561823,0.8446600851617719,-1.1730637196396523,-0.8905889617695373,-0.08598064694234296,-1.5329573841289699,0.8967339213067942,-0.9339795184124525,-1.1558267175104535,1.623974833211811,3.9885085214452713,-3.564334147490473,-2.2770982029954157,-0.30250723938292273,-0.8106665322874584,1.1069592272644075,-1.0970900709853462,-1.14633453807272,-0.16135048114926615,2.751997326702707,-1.899414883084847,-0.8811828083973403,-0.2167598052593047,4.945147414005256,1.889817149136744,0.0,0.0,0.6022282613902878,4.712816236511777,-1.4808890717045544,-0.921623421120543,-0.383642947276367,-0.42694549063977105,-0.09686473642907162,-0.14569499165861854,-0.29199554691011204,0.02335001160671643,0.6428075999576432,0.4702891868213496,0.7311852241231452,0.047169091577466446
