| COEFFICIENT NAME               | VALUE      | STD.ERR |  T.TEST     |  P.VAL      |
| asc_carD                       |  0,0000000 |         |             |             |
| b_carD_p.age_group_agg_15_24   |  0,0000000 |         |             |             |
| b_carD_p.age_group_agg_40_54   |  0,0000000 |         |             |             |
| b_carD_p.age_group_agg_55      |  0,0000000 |         |             |             |
| b_carD_p.female                |  0,0000000 |         |             |             |
| b_carD_hh.cars_gr_0            |  0,0000000 |         |             |             |
| b_carD_hh.cars_gr_2            |  0,0000000 |         |             |             |
| b_carD_hh.cars_gr_3            |  0,0000000 |         |             |             |
| b_carD_hh.income_agg_high      |  0,0000000 |         |             |             |
| asc_carP                       | -2,2521931 | 0,12791 |  -17,60746  | 0,00000 *** |
| b_carP_p.age_group_agg_15_24   |  1,2374383 | 0,17393 |   7,11469   | 0,00000 *** |
| b_carP_p.age_group_agg_40_54   | -0,4126464 | 0,15473 |  -2,66684   | 0,00766 **  |
| b_carP_p.age_group_agg_55      |  0,0000000 |         |             |             |
| b_carP_p.female                |  0,8165445 | 0,13353 |   6,11524   | 0,00000 *** |
| b_carP_hh.cars_gr_0            |  4,2014219 | 0,52973 |   7,93126   | 0,00000 *** |
| b_carP_hh.cars_gr_2            | -1,3629123 | 0,16204 |  -8,41107   | 0,00000 *** |
| b_carP_hh.cars_gr_3            | -1,8574549 | 0,26649 |  -6,97002   | 0,00000 *** |
| b_carP_hh.income_agg_high      |  0,2480637 | 0,19173 |   1,29384   | 0,19572     |
| asc_pt                         | -1,2400260 | 0,14250 |  -8,70172   | 0,00000 *** |
| b_pt_p.age_group_agg_15_24     |  1,1034800 | 0,14761 |   7,47584   | 0,00000 *** |
| b_pt_p.age_group_agg_40_54     | -0,4137664 | 0,11791 |  -3,50920   | 0,00045 *** |
| b_pt_p.age_group_agg_55        | -0,5366970 | 0,15394 |  -3,48633   | 0,00049 *** |
| b_pt_p.female                  |  0,4329384 | 0,10101 |   4,28589   | 0,00002 *** |
| b_pt_hh.cars_gr_0              |  5,4091448 | 0,50990 |   10,60815  | 0,00000 *** |
| b_pt_hh.cars_gr_2              | -1,5856197 | 0,12632 |  -12,55217  | 0,00000 *** |
| b_pt_hh.cars_gr_3              | -2,1086417 | 0,21206 |  -9,94343   | 0,00000 *** |
| b_pt_hh.income_agg_high        |  0,4412443 | 0,14032 |   3,14462   | 0,00166 **  |
| asc_bike                       | -0,7421573 | 0,18632 |  -3,98318   | 0,00007 *** |
| b_bike_p.age_group_agg_15_24   |  1,2286779 | 0,18992 |   6,46933   | 0,00000 *** |
| b_bike_p.age_group_agg_40_54   | -0,7090125 | 0,18745 |  -3,78236   | 0,00016 *** |
| b_bike_p.age_group_agg_55      | -1,3615081 | 0,29002 |  -4,69455   | 0,00000 *** |
| b_bike_p.female                | -0,1073892 | 0,25633 |  -0,41896   | 0,67525     |
| b_bike_hh.cars_gr_0            |  5,3038848 | 0,52375 |   10,12675  | 0,00000 *** |
| b_bike_hh.cars_gr_2            | -1,5923890 | 0,22347 |  -7,12572   | 0,00000 *** |
| b_bike_hh.cars_gr_3            | -2,0214592 | 0,34924 |  -5,78819   | 0,00000 *** |
| b_bike_hh.income_agg_high      |  0,6549703 | 0,23347 |   2,80533   | 0,00503 **  |
| asc_walk                       |  2,2950025 | 0,16234 |   14,13712  | 0,00000 *** |
| b_walk_p.age_group_agg_15_24   |  1,3832708 | 0,17239 |   8,02404   | 0,00000 *** |
| b_walk_p.age_group_agg_40_54   |  0,0000000 |         |             |             |
| b_walk_p.age_group_agg_55      |  0,0000000 |         |             |             |
| b_walk_p.female                | -0,1485291 | 0,13134 |  -1,13090   | 0,25810     |
| b_walk_hh.cars_gr_0            |  5,4226190 | 0,52388 |   10,35090  | 0,00000 *** |
| b_walk_hh.cars_gr_2            | -1,1297940 | 0,16603 |  -6,80460   | 0,00000 *** |
| b_walk_hh.cars_gr_3            | -1,6834113 | 0,25037 |  -6,72357   | 0,00000 *** |
| b_walk_hh.income_agg_high      |  0,2581774 | 0,22528 |   1,14603   | 0,25178     |
| b_car_time                     | -0,1591030 | 0,01244 |  -12,79021  | 0,00000 *** |
| b_pt_time                      | -0,0366574 | 0,00347 |  -10,55488  | 0,00000 *** |
| b_bike_cost                    | -0,0439359 | 0,01822 |  -2,41110   | 0,01590 *   |
| b_walk_cost                    | -0,1003902 | 0,01096 |  -9,15652   | 0,00000 *** |
| g_bike_grad                    |  28,3919852 | 21,08568 |   1,34651   | 0,17814     |
| g_bike_stressLink              |  1,8880287 | 1,22586 |   1,54017   | 0,12352     |
| g_bike_stressLink_f            |  2,9805157 | 1,44433 |   2,06360   | 0,03906 *   |
| g_walk_vgvi                    |  0,4457056 | 0,26459 |   1,68454   | 0,09208 .   |
| g_walk_stressJct               |  3,2820051 | 2,33424 |   1,40603   | 0,15972     |


Iterations: 108

LL0 = 7685.208331032533
Start LL = 7175.705063219666
Final LL = 3634.4255313825042
