Iteration,LL,asc_carD,b_carD_p.age_group_agg_15_24,b_carD_p.age_group_agg_40_54,b_carD_p.age_55up,b_carD_p.female,b_carD_hh.cars_gr_0,b_carD_hh.cars_gr_2,b_carD_hh.cars_gr_3,b_carD_p.disability_lot,b_carD_hh.income_agg_high,asc_carP,b_carP_p.age_group_agg_15_24,b_carP_p.age_group_agg_40_54,b_carP_p.age_55up,b_carP_p.female,b_carP_hh.cars_gr_0,b_carP_hh.cars_gr_2,b_carP_hh.cars_gr_3,b_carP_p.disability_lot,b_carP_hh.income_agg_high,asc_pt,b_pt_p.age_group_agg_15_24,b_pt_p.age_group_agg_40_54,b_pt_p.age_55up,b_pt_p.female,b_pt_hh.cars_gr_0,b_pt_hh.cars_gr_2,b_pt_hh.cars_gr_3,b_pt_p.disability_lot,b_pt_hh.income_agg_high,asc_bike,b_bike_p.age_group_agg_15_24,b_bike_p.age_group_agg_40_54,b_bike_p.age_55up,b_bike_p.female,b_bike_hh.cars_gr_0,b_bike_hh.cars_gr_2,b_bike_hh.cars_gr_3,b_bike_p.disability_lot,b_bike_hh.income_agg_high,asc_walk,b_walk_p.age_group_agg_15_24,b_walk_p.age_group_agg_40_54,b_walk_p.age_55up,b_walk_p.female,b_walk_hh.cars_gr_0,b_walk_hh.cars_gr_2,b_walk_hh.cars_gr_3,b_walk_p.disability_lot,b_walk_hh.income_agg_high,b_car_time,b_pt_time,b_bike_cost,b_walk_cost,g_bike_grad,g_bike_stressLink,g_bike_stressLink_f,g_walk_vgvi,g_walk_stressJct
0,7175.705063219666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,-0.1,0.0,0.0,0.0,0.0,0.0
1,6925.993052811118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.539099719440844E-4,-7.175551205821153E-5,-1.9556501502640986E-4,0.0,-2.3106529948086862E-4,-7.922838196864213E-5,-2.1210594828590033E-4,-7.346843089509811E-5,-1.6803381475588976E-6,-9.454667946553618E-5,-3.246998481334618E-4,-2.6421275758303894E-5,-1.327431333059226E-4,-6.346253937422818E-5,-1.2739785265073635E-4,3.363374105522183E-5,-1.84749155647304E-4,-6.686429089761595E-5,1.154881791914236E-6,-6.408262090952575E-5,-2.6672794416986768E-5,1.0597306680655321E-5,-2.445035200037474E-5,-1.688553702838426E-5,-4.948593593419311E-5,1.8297161997435765E-5,-2.6008258973790484E-5,-9.883571988634837E-6,-9.987101203910075E-7,-3.2728550091434546E-6,2.92499581345422E-4,6.955302844408906E-5,0.0,0.0,1.5088402130070924E-4,1.2637240046093866E-4,3.8155513933800766E-5,1.293337584227744E-5,-1.0325197245742137E-7,2.0653043216892593E-5,0.002020940685306712,-0.016564726114493285,-0.09958913841195224,-0.09533236584855852,-6.716476639470285E-8,-1.940231956704668E-5,3.1736428991625605E-5,-2.542909270129954E-4,-1.3849249275015147E-5
2,6501.672556422421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.006821096526697917,-8.874324677790095E-4,-0.002403312258483531,0.0,-0.0028565773674255404,-9.328499828003826E-4,-0.0026138405683133106,-9.074699127933317E-4,-2.6988250715382374E-5,-0.0011846964975660505,-9.229460659213481E-4,5.724292852752755E-5,-5.280928728557237E-4,-2.860279290921584E-4,-2.650138596325479E-4,6.172429789382047E-4,-9.859401511617613E-4,-3.6635143479784617E-4,3.2476797357739675E-5,-2.1297676902563996E-4,-4.0044679987685073E-4,8.676573446363665E-5,-2.9147518101377523E-4,-1.9356840295859927E-4,-5.71371144588466E-4,1.6406917159285327E-4,-3.0658510400122626E-4,-1.1552195865420892E-4,-1.1246734874697706E-5,-5.058825803341134E-5,0.0029704479626901847,7.081782246077107E-4,0.0,0.0,0.001531518782287718,0.001289271268220816,3.83615853363898E-4,1.2969642357838122E-4,-1.2321553892812515E-6,2.086249427379784E-4,-0.010952311648995777,-0.019107675938635948,-0.09743527042588834,-0.052721222285928605,1.2460046957583696E-6,-7.678829643916445E-5,3.822523416652544E-4,-0.0024833725430745118,-1.352342221201954E-4
3,6036.8005614346275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6095842764410505,-0.07537822306195585,-0.2175253868825898,0.0,-0.2473017613812002,-0.07820808798078878,-0.2390886091756247,-0.08336679000841844,-0.0020943722515555548,-0.10870349855630684,-0.04156436025250257,0.01566871060051525,-0.037511554563037564,-0.020647880224892633,-2.4072034569758567E-4,0.07338896914669585,-0.08531914206809377,-0.03105053422367335,0.0036804298710442344,-0.01599510948325789,-0.06597829835603446,0.00490330074677842,-0.03802971019915071,-0.023518259064762296,-0.069132779954808,0.014221240329032022,-0.041198020362285245,-0.014984136303886886,-0.001439199758622094,-0.00986056928705029,0.141090188987372,0.04093288092616511,0.0,0.0,0.0709253569892012,0.09312367570765649,-0.004577295036309192,-0.002980797445360422,-0.0012644787442424464,0.0034669546695622866,-0.3145246161116214,-0.09291298259916819,-0.4779895539196148,-0.07416140019001208,8.301633742584965E-4,0.04008247158937562,0.05678306031605612,0.26123863014941023,0.013983635307591523
4,5926.125316004219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.1047615553534214,-0.135471051252809,-0.3914336363315807,0.0,-0.4402897401064184,-0.14163633651830176,-0.4314688177739363,-0.1518871714466215,-0.0035116535955647737,-0.19513591671622177,-0.0855233084045664,0.029691673570204236,-0.07412441131638532,-0.040132580936645554,-0.0032084384097405107,0.13952826071376484,-0.16593671668940257,-0.05972114452136938,0.007083631991219886,-0.03273197977102324,-0.09374249555575395,0.015433241254890939,-0.06291548722753235,-0.03997248638374051,-0.11615565784778842,0.033402587765362195,-0.06869845445151543,-0.02513683503293953,-0.0024659642807207177,-0.01445016338171174,0.2655285353261305,0.07761993927040542,0.0,0.0,0.1318610535777468,0.17705123682721002,-0.010286972290722209,-0.00649542442875654,-0.002426610328548453,0.0058036658577361915,-0.544619899411315,-0.1443949562928053,-0.3477289081387349,-0.14974522796975198,-3.212025398595976E-4,-0.05775414679799174,0.08369809831956652,0.4484104086757956,0.023926558879313574
5,5028.984781166315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.1487751183235,-0.25525270259630706,-0.753417773631627,0.0,-0.8192219836157124,-0.2719264530253862,-0.8371946783587516,-0.30053694106384193,-0.00518804036473806,-0.374493541188903,-0.20088350933241184,0.0693737548090611,-0.17117332616311876,-0.08980866425489144,-0.009447015128660597,0.31304255343154896,-0.3784654980348686,-0.13356399666440655,0.016127186412029752,-0.08087230709995732,-0.19232707721497436,0.03780962122493328,-0.13548030891184715,-0.08665593843531638,-0.24715802650407842,0.07690514415321839,-0.14706422123942609,-0.054336086025087015,-0.005189902497569062,-0.029323838667718198,0.5753995481582609,0.1708493762684304,0.0,0.0,0.2799287489216792,0.39088414150947803,-0.028376055351495025,-0.017384533344253772,-0.005475288755408526,0.010153266320662834,-0.11921480356331715,-0.06086851814659201,-0.15631987655528912,-0.07262642249094003,-0.00288120838785847,-0.30484246682093297,0.20445697741300642,0.8548089397544438,0.04544168118784104
6,4893.046599969842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.158717151219643,-0.24236557029684844,-0.7570784723295825,0.0,-0.7801018569467301,-0.2695682084398851,-0.8485880271439756,-0.30945912061480246,-0.0021145168535658394,-0.3741733819159075,-0.24063437911195767,0.08260293400757349,-0.20320402459832718,-0.10886626374930955,-0.008486197494693409,0.38012391587912625,-0.45460355178291956,-0.16426822816893918,0.020012378552781422,-0.09548414518510821,-0.22398755799641612,0.04936498546537895,-0.1604889962661349,-0.1048868506473542,-0.2797553811028364,0.10159111384025121,-0.17917673747055893,-0.06585013929496725,-0.006557583242626435,-0.03524375024707243,0.657311521453374,0.1997274849798346,0.0,0.0,0.30755882317577116,0.46272272873558146,-0.045834222090318434,-0.026394811593313257,-0.006882490031008435,0.007347074879095529,-0.11028085932144356,-0.05782081672666139,-0.1687489949959573,-0.052757009696114875,-0.004766284473151204,-0.45485316856695845,0.21265794260314647,1.0486022093655978,0.05574143638355451
7,4548.213934706302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.1308338986302635,-0.1446452921996748,-0.7476028837539591,0.0,-0.48470729352371933,-0.25172761645833885,-0.8848555733099542,-0.3556806552000408,0.020261535325636865,-0.3502538522882837,-0.5041478480206198,0.17301050857322797,-0.41257756617901686,-0.23774753774247795,0.008765355556180365,0.8347497673395028,-0.955880626651379,-0.37557447931028964,0.047108498186607825,-0.18545778444642466,-0.5187491636011402,0.11592135759132399,-0.34920382881637707,-0.24278203482502272,-0.4945378949671006,0.26374609889867895,-0.42317859107064104,-0.1535611098783825,-0.016977087335869202,-0.08542908812243902,1.3227846187954846,0.4078973789142961,0.0,0.0,0.5087635911078986,0.9562219198819274,-0.13074622546630654,-0.07976579527300443,-0.015479195095966607,-0.001018715368512349,-0.15498862833061866,-0.058255971088906885,-0.18705374526402987,-0.08800129742042598,-0.00510824119676962,-0.6252928903689079,0.47508170950894124,1.0374750178022973,0.05392106521253478
8,4473.127946811962,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.111610167595167,-0.07233511608060203,-0.7474756590277564,0.0,-0.2865848562565875,-0.23477807763513475,-0.9181627088147611,-0.3908151193476256,0.0370836015477584,-0.33586123202110996,-0.6419089227037745,0.22747835516349132,-0.5173975861310189,-0.3178197550817352,0.04811063547059875,1.1303022286756361,-1.2476735093276103,-0.5221391948673125,0.0675197153487992,-0.22251517137881993,-0.6285633521624308,0.18763499901494132,-0.4378937748469036,-0.3254671127468665,-0.4889558945920881,0.4266706187579302,-0.5719762021953974,-0.21014706181422516,-0.025179032809143864,-0.11302011531938841,1.6333307079185606,0.5161505021963587,0.0,0.0,0.5336529456425201,1.2291830483101083,-0.21248215616550548,-0.12966932217332477,-0.021897908356936065,-0.017745167369143364,-0.15263445402140102,-0.052164346531560525,-0.09853888348718534,-0.08658622958042234,-9.375850709628921E-4,-0.36021866822112253,0.4047713848151564,1.2201321286512283,0.06338860721843768
9,4284.737964009723,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.157124596492945,0.018689261940525767,-0.7673974060181157,0.0,-0.04336173654825223,-0.22178226555577282,-0.9868506654572039,-0.45047063641335255,0.06104111319634134,-0.3225117339286678,-0.8244849777158764,0.29278077247984174,-0.6403220019834657,-0.4260670607476171,0.11075040247828072,1.5186447610413487,-1.6171989506736661,-0.7287426973268956,0.09741669217229591,-0.25713423367556326,-0.6206732438958704,0.32379378709702844,-0.4985809207564099,-0.4144380233421047,-0.31972032270162565,0.7143887302101171,-0.7317965321863423,-0.2785839498722655,-0.036632530878833044,-0.135336601314467,1.9840841865117642,0.6443841027492796,0.0,0.0,0.4914784044310303,1.5617312248507411,-0.33541656067653725,-0.2072284082499358,-0.03091938463498401,-0.04683350215892371,-0.13852538791532237,-0.043483455969626064,-0.10883640954130873,-0.09449466523338099,-1.3551574447815047E-4,-0.2717392328587678,0.01229985301645159,1.2222307636209289,0.06307487657709457
