Iteration,LL,asc_carD,b_carD_p.age_group_agg_15_24,b_carD_p.age_group_agg_40_54,b_carD_p.age_group_agg_55,b_carD_p.female,b_carD_hh.cars_gr_0,b_carD_hh.cars_gr_2,b_carD_hh.cars_gr_3,b_carD_hh.income_agg_low,b_carD_hh.income_agg_high,asc_carP,b_carP_p.age_group_agg_15_24,b_carP_p.age_group_agg_40_54,b_carP_p.age_group_agg_55,b_carP_p.female,b_carP_hh.cars_gr_0,b_carP_hh.cars_gr_2,b_carP_hh.cars_gr_3,b_carP_hh.income_agg_low,b_carP_hh.income_agg_high,asc_pt,b_pt_p.age_group_agg_15_24,b_pt_p.age_group_agg_40_54,b_pt_p.age_group_agg_55,b_pt_p.female,b_pt_hh.cars_gr_0,b_pt_hh.cars_gr_2,b_pt_hh.cars_gr_3,b_pt_hh.income_agg_low,b_pt_hh.income_agg_high,asc_bike,b_bike_p.age_group_agg_15_24,b_bike_p.age_group_agg_40_54,b_bike_p.age_group_agg_55,b_bike_p.female,b_bike_hh.cars_gr_0,b_bike_hh.cars_gr_2,b_bike_hh.cars_gr_3,b_bike_hh.income_agg_low,b_bike_hh.income_agg_high,asc_walk,b_walk_p.age_group_agg_15_24,b_walk_p.age_group_agg_40_54,b_walk_p.age_group_agg_55,b_walk_p.female,b_walk_hh.cars_gr_0,b_walk_hh.cars_gr_2,b_walk_hh.cars_gr_3,b_walk_hh.income_agg_low,b_walk_hh.income_agg_high,b_car_time,b_pt_time,b_bike_cost,b_walk_cost,g_bike_grad,g_bike_vgvi,g_bike_stressLink,g_bike_stressLink_f,g_bike_stressLink_c,g_bike_stressJct,g_bike_stressJct_f,g_bike_stressJct_c,g_walk_grad,g_walk_vgvi,g_walk_stressLink,g_walk_stressLink_f,g_walk_stressLink_c,g_walk_stressJct,g_walk_stressJct_f,g_walk_stressJct_c
0,7685.208331032533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,7037.9465474758235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.826984421719661E-4,-7.980848112470234E-5,-2.4991048617493044E-4,-9.940431354371405E-5,-2.7001530125417706E-4,-1.0535941066845324E-4,-2.685392515394978E-4,-9.497616439967772E-5,-2.468565902135252E-5,-1.1477558988278299E-4,-1.9382059701713574E-4,1.6898224319771268E-5,-1.1604804653336791E-4,-5.9449174715339445E-5,-4.7844370062002456E-5,1.374253182631992E-4,-2.1255115891374924E-4,-8.123363257335776E-5,-8.143722563745165E-6,-4.9880300702938925E-5,-6.969499566585129E-4,-6.555696663814834E-5,-2.7128775790476184E-4,-1.32997169119163E-4,-3.840274171466105E-4,-3.206590759474651E-5,-3.011141417944788E-4,-1.0311988696342283E-4,-2.5703624341820666E-5,-1.2495524308746452E-4,-2.5718893821628124E-4,1.4862293678835019E-5,-1.267366823982838E-4,-4.0362324956561806E-5,-7.965578632663218E-5,1.4811395412811463E-4,-2.349463959640487E-4,-7.970668459265554E-5,3.130243360439546E-5,-1.0357797135763345E-4,0.016635750272835453,-0.008295352332119251,-0.021135520817019998,-0.0793171364030347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,6759.622220848915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01010801456211303,-0.0012688475986064522,-0.0036048724416358592,-0.001494590071357685,-0.004154615234923177,-0.0014025670855478678,-0.003915283119101786,-0.0013723244490524461,-3.4304279302552806E-4,-0.0017607890482662799,-0.0010399770750285802,2.1639414499749807E-4,-7.677148511002494E-4,-4.2715982098913744E-4,-1.7332904405616516E-4,0.0012489690430745317,-0.0015942075102526967,-6.067197947616666E-4,-5.5253710150283936E-5,-2.866027755803368E-4,-0.004961251681972518,-4.638029607430686E-4,-0.0019519243987407677,-0.0010019460232520252,-0.0029556548971533545,-2.2867458705847117E-4,-0.002128770416789914,-7.252579092301673E-4,-2.0438952065590446E-4,-8.238243997639288E-4,0.00393946855706415,0.001071523716062932,9.422760068202266E-4,5.922691610074593E-4,0.0021186580348106126,0.0021655714947275786,1.5631239485086005E-4,5.1703014801581594E-5,4.8573701679788744E-4,1.294243445270526E-4,0.03811832969123202,-0.008505179128822038,-0.11464555620675482,-0.06510670847119754,2.0898655455364825E-5,8.154735202865766E-4,0.0013123554581327443,6.764246535684815E-4,0.0,5.910335191153899E-5,3.151761783240353E-5,0.0,-5.7603082698503316E-5,-0.0029746932315929423,-2.3853647455026022E-4,0.0,0.0,-1.5907993825413336E-4,0.0,0.0
3,6749.920326058102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.011551283844993002,-0.0014552873617296501,-0.004113708883983407,-0.0017091232006201038,-0.004756062523855653,-0.0015989359116706937,-0.004469693067996916,-0.0015648955682381917,-3.912052800172867E-4,-0.002012431250240602,-0.0011255232921781584,2.4389077470712907E-4,-8.431155800764975E-4,-4.7206017097151115E-4,-1.8188494186645846E-4,0.001395372185551126,-0.0017636122701699874,-6.717976894969443E-4,-6.107253987728895E-5,-3.104359427936511E-4,-0.005082155510179735,-4.4718823079752535E-4,-0.0020286627905928174,-0.0010487781235419898,-0.003090410951311091,-1.9196397136941737E-4,-0.0022128649627806986,-7.557066063878873E-4,-2.130945821121433E-4,-8.440506337975768E-4,0.004450129888006636,0.001203206169141683,0.0010699302869568888,6.690734269140142E-4,0.002386953387191354,0.0024226659908181134,1.9528618809997548E-4,6.453909810960035E-5,5.435942390793443E-4,1.5468564910950532E-4,0.03605004315028032,-0.0057784585563411765,-0.11645146831907055,-0.06555537534162778,2.0061556060130748E-5,7.352370135859863E-4,0.0012293250535458811,7.206299814511123E-4,0.0,5.417788281984688E-5,3.3692328492960855E-5,0.0,-6.338856844872251E-5,-0.0032734365946875178,-2.622621747337748E-4,0.0,0.0,-1.7508246448044503E-4,0.0,0.0
4,6175.742089884252,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.41921317543904035,-0.05413537918569543,-0.14778637543196008,-0.06230456994247636,-0.17459463867604488,-0.05716089079570422,-0.16102860056092919,-0.05593872852984518,-0.013998380068762646,-0.07302402913123632,-0.04155109932771767,0.005709154228510342,-0.02773306643535824,-0.015690091147126706,-0.009835306057726234,0.04093563040512228,-0.05580206580344756,-0.02117575176600945,-0.002246645805506215,-0.009874100194078014,-0.02769295647009412,0.006125540904812838,-0.019988859510884083,-0.012551789741032318,-0.035934730771329006,0.011944485636079829,-0.02196849280402492,-0.008036468054088364,-0.002283862402818633,-0.004695814814882928,0.1500110284285696,0.03867565992890636,0.03750470800802797,0.022561954842491128,0.0787977287053738,0.0755095951887277,0.011460919723751491,0.0037734387237344587,0.016993495944211755,0.007429210277926093,-0.4895546108770183,-0.12127524093624081,-0.3530109449016499,-0.12315912121756845,-3.193945774792704E-4,-0.027403059352940122,-0.029537383203932614,0.01199896292394725,0.0,-0.0017069064709722916,5.929389309813802E-4,0.0,-0.001687421768607475,-0.08712993027531923,-0.006918413701281479,0.0,0.0,-0.004667487205109138,0.0,0.0
5,5009.518651416069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.4267226122189296,-0.30828165427422904,-0.8453429129433216,-0.36134444841832114,-0.9681168687652069,-0.32386864206720034,-0.9287683860509842,-0.33043481626445736,-0.08015291291291599,-0.41421276911185756,-0.2240622321794982,0.0656518450534306,-0.17845387819009983,-0.09300100697654742,-0.02213717702536184,0.3009718813270534,-0.379450471449565,-0.13361718576115042,-0.005335206104308903,-0.08353871478578877,-0.19685678824348463,0.03476656900218554,-0.13495455932703046,-0.08598292604499104,-0.2531766330102938,0.06602756798232914,-0.14003281653403626,-0.05358429141238492,-0.01785011571030262,-0.026951906709571347,0.8838847745555555,0.2347036158338809,0.21328197121244016,0.13220349152290548,0.4517203313435503,0.4671922063243335,0.050707573513508915,0.013451434617748352,0.10476216454594675,0.03904624616581094,-0.13923686968674404,-0.06667288394244858,-0.24186710246010829,-0.1123290078523143,-0.0010553590076801715,-0.19340887247869568,-0.19954295687067783,0.26716539254777305,0.0,-0.010725078486034507,0.014350861800489407,0.0,-0.010857248225708585,-0.5534474824828197,-0.04554344241236,0.0,0.0,-0.03009746140944912,0.0,0.0
6,4867.3604056878885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.473447456674002,-0.2870907509659643,-0.872184536762329,-0.36395264758934415,-0.913011225952878,-0.3245047313589641,-0.9697777452776781,-0.35264048716342433,-0.07882659077342237,-0.42178169315422226,-0.296325539875282,0.09991422061040608,-0.24156477839989904,-0.1326177265252908,-0.00234597029269697,0.45490997687010704,-0.541830933672253,-0.19772881431170725,-0.005013085759626634,-0.1145876968490829,-0.2501915158713753,0.061205368570730986,-0.18284762380306746,-0.12278858763986251,-0.32454657413806337,0.1183469006045914,-0.20136352131521132,-0.07616076150123022,-0.021730214285154502,-0.035657175818029234,0.9774928094984663,0.2761170744983062,0.203873237738241,0.14392224676489818,0.4398160999644326,0.581898546065978,-0.002029501614121916,-0.011315971827463975,0.12865376113863786,0.027433163768359123,-0.13589304613208286,-0.06382391428413714,-0.24393191914420645,-0.11107779866530912,-0.0024881801634763934,-0.35378359239198165,-0.35577045324249557,0.3433636859579295,0.0,-0.02004549166617397,0.018147634018019464,0.0,-0.007837819154635847,-0.3399721699931454,-0.0302698199621078,0.0,0.0,-0.02030174628119373,0.0,0.0
7,4400.533241130343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.442875282172708,0.052345594475376844,-0.9967914283533796,-0.30581123222997186,-0.002558343313429967,-0.2503747290965558,-1.2504262326975546,-0.5448856408904683,-0.04183487241494093,-0.41275686421354213,-1.129472803529074,0.4774390285623594,-0.943394532955335,-0.5884374218235373,0.20425829971064988,2.212682883078224,-2.372419785289594,-0.9543027192031606,-0.004279436053419099,-0.4460761768098669,-1.1554612673745663,0.3149128854152087,-0.7879918845466465,-0.6031286587078807,-1.0251530370923998,0.7089948195046386,-1.0132053341326228,-0.3729829445943237,-0.07229342970038899,-0.17657280386790308,2.3657601467712293,0.8246444607369867,0.17803269944908268,0.32188068390518315,0.43682646410642495,1.9641599885948746,-0.508891882673283,-0.27233610773028977,0.40843564883557676,-0.06862670422938834,-0.22162817946738012,-0.05312060625001701,-0.1957108060471755,-0.1355470177828959,0.01688836787043462,-0.5713171458622399,0.2689595090033322,1.427085908570046,0.0,-0.006617446711978756,0.073006336646633,0.0,0.004323087528244281,0.8396518336804678,0.021656097961809846,0.0,0.0,0.030343385549122734,0.0,0.0
8,4288.215674358598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.360710012279826,0.11991187125931878,-0.9908475056740069,-0.28513765852083306,0.17086181793422256,-0.22015451292794985,-1.2691084996497766,-0.5691050644563933,-0.03245841199947645,-0.3987513846380888,-1.2386759462220447,0.49843246230499727,-0.9860622156664924,-0.6396075208596893,0.2492169662919968,2.365244549362317,-2.5305394226981024,-1.0570955934946782,-0.009253419636662652,-0.45347863335343896,-1.2092225076945038,0.3757436464798444,-0.8588893434130855,-0.6664541485141326,-1.0918053877582246,0.8378201111245189,-1.1235730788536689,-0.41523663163413493,-0.074026554007414,-0.19047855118825335,2.58760231881865,0.9088648968513434,0.1783676533167747,0.34687093612527553,0.4470167871412813,2.151453317101858,-0.5574536953865971,-0.30872162012297455,0.4424978143878282,-0.0763754550635739,-0.23568981172435466,-0.051523745376733966,-0.19492606072652108,-0.1396111270388772,0.017425211934201816,-0.7125877961034193,0.21576238665644398,1.5137520849341048,0.0,-0.012318557446380038,0.07699701727437498,0.0,-4.426080336887945E-4,0.6746215942903496,-0.005452812040158576,0.0,0.0,0.02173709743180479,0.0,0.0
9,4039.0965596505257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.622031653565503,0.5412416513115018,-1.2447793164038448,-0.2695844918869378,0.9870227436501144,0.026727461351558346,-1.776381072634888,-0.9214248005130574,0.025719915019431577,-0.4641449826227694,-1.3502504777993758,0.5890108067828421,-0.6565644614017339,-0.7922874217324538,0.9223552082069897,2.885099433244927,-2.430217381094189,-1.7123175933098398,-0.06755318044712896,-0.06403479781121002,-0.9626956293978572,0.9654728854622381,-1.1334136464912148,-1.056378950103252,-1.0207442164956655,2.1518333669503105,-1.7776260349512505,-0.7246698547361992,-0.036782756468353536,-0.2133416661124351,2.6571983082544146,1.0839793112975804,-0.24482642127603513,0.27144054919332766,-0.4444756241509746,2.753469177695176,-0.9639810437696623,-0.6954385513827032,0.5216908933146567,-0.17276364968120883,-0.2346335465592496,-0.058708554085411827,-0.2004718995374552,-0.13463674538798318,0.030057196432956092,-1.2086097393470432,0.5718348343669237,1.4609083308039084,0.0,-0.014312810614419993,0.06705759815711526,0.0,-0.021591187263089145,0.4436135373893861,-0.23109269217858996,0.0,0.0,0.026757292512979675,0.0,0.0
