| COEFFICIENT NAME               | VALUE      | STD.ERR |  T.TEST     |  P.VAL      |
| asc_carD                       |  0,0000000 |         |             |             |
| b_carD_p.age_group_agg_15_24   |  0,0000000 |         |             |             |
| b_carD_p.age_group_agg_40_54   |  0,0000000 |         |             |             |
| b_carD_p.age_group_agg_55      |  0,0000000 |         |             |             |
| b_carD_p.female                |  0,0000000 |         |             |             |
| b_carD_hh.cars_gr_0            |  0,0000000 |         |             |             |
| b_carD_hh.cars_gr_2            |  0,0000000 |         |             |             |
| b_carD_hh.cars_gr_3            |  0,0000000 |         |             |             |
| b_carD_hh.income_agg_low       |  0,0000000 |         |             |             |
| b_carD_hh.income_agg_high      |  0,0000000 |         |             |             |
| asc_carP                       | -2,2338322 | 0,14257 |  -15,66809  | 0,00000 *** |
| b_carP_p.age_group_agg_15_24   |  1,2209887 | 0,18491 |   6,60302   | 0,00000 *** |
| b_carP_p.age_group_agg_40_54   | -0,4443234 | 0,16826 |  -2,64064   | 0,00828 **  |
| b_carP_p.age_group_agg_55      | -0,0192140 | 0,19194 |  -0,10010   | 0,92026     |
| b_carP_p.female                |  0,8156001 | 0,13361 |   6,10455   | 0,00000 *** |
| b_carP_hh.cars_gr_0            |  4,2090454 | 0,53111 |   7,92495   | 0,00000 *** |
| b_carP_hh.cars_gr_2            | -1,3639361 | 0,16220 |  -8,40892   | 0,00000 *** |
| b_carP_hh.cars_gr_3            | -1,8578512 | 0,26663 |  -6,96803   | 0,00000 *** |
| b_carP_hh.income_agg_low       | -0,0583042 | 0,35080 |  -0,16620   | 0,86800     |
| b_carP_hh.income_agg_high      |  0,2486736 | 0,19212 |   1,29437   | 0,19554     |
| asc_pt                         | -1,2084726 | 0,14407 |  -8,38790   | 0,00000 *** |
| b_pt_p.age_group_agg_15_24     |  1,0829841 | 0,14900 |   7,26832   | 0,00000 *** |
| b_pt_p.age_group_agg_40_54     | -0,4266613 | 0,12101 |  -3,52597   | 0,00042 *** |
| b_pt_p.age_group_agg_55        | -0,5617618 | 0,16121 |  -3,48473   | 0,00049 *** |
| b_pt_p.female                  |  0,4349967 | 0,10124 |   4,29673   | 0,00002 *** |
| b_pt_hh.cars_gr_0              |  5,4585615 | 0,51127 |   10,67640  | 0,00000 *** |
| b_pt_hh.cars_gr_2              | -1,5954822 | 0,12648 |  -12,61466  | 0,00000 *** |
| b_pt_hh.cars_gr_3              | -2,1169268 | 0,21210 |  -9,98069   | 0,00000 *** |
| b_pt_hh.income_agg_low         | -0,5480866 | 0,30885 |  -1,77459   | 0,07597 .   |
| b_pt_hh.income_agg_high        |  0,4307336 | 0,14049 |   3,06597   | 0,00217 **  |
| asc_bike                       | -0,7362504 | 0,19331 |  -3,80868   | 0,00014 *** |
| b_bike_p.age_group_agg_15_24   |  1,1728998 | 0,19307 |   6,07511   | 0,00000 *** |
| b_bike_p.age_group_agg_40_54   | -0,7450652 | 0,19422 |  -3,83615   | 0,00012 *** |
| b_bike_p.age_group_agg_55      | -1,4097031 | 0,29827 |  -4,72628   | 0,00000 *** |
| b_bike_p.female                |  0,0104986 | 0,27399 |   0,03832   | 0,96943     |
| b_bike_hh.cars_gr_0            |  5,3434687 | 0,52556 |   10,16717  | 0,00000 *** |
| b_bike_hh.cars_gr_2            | -1,6006185 | 0,22402 |  -7,14486   | 0,00000 *** |
| b_bike_hh.cars_gr_3            | -2,0361073 | 0,34990 |  -5,81909   | 0,00000 *** |
| b_bike_hh.income_agg_low       | -0,3593383 | 0,39941 |  -0,89967   | 0,36830     |
| b_bike_hh.income_agg_high      |  0,6381819 | 0,23470 |   2,71911   | 0,00655 **  |
| asc_walk                       |  2,4062351 | 0,18178 |   13,23709  | 0,00000 *** |
| b_walk_p.age_group_agg_15_24   |  1,2995940 | 0,19197 |   6,76993   | 0,00000 *** |
| b_walk_p.age_group_agg_40_54   | -0,1438532 | 0,16118 |  -0,89252   | 0,37212     |
| b_walk_p.age_group_agg_55      | -0,1337651 | 0,19990 |  -0,66916   | 0,50339     |
| b_walk_p.female                | -0,1325921 | 0,13236 |  -1,00176   | 0,31646     |
| b_walk_hh.cars_gr_0            |  5,4292861 | 0,52536 |   10,33450  | 0,00000 *** |
| b_walk_hh.cars_gr_2            | -1,1349287 | 0,16736 |  -6,78152   | 0,00000 *** |
| b_walk_hh.cars_gr_3            | -1,6823489 | 0,25405 |  -6,62210   | 0,00000 *** |
| b_walk_hh.income_agg_low       |  0,0326516 | 0,32361 |   0,10090   | 0,91963     |
| b_walk_hh.income_agg_high      |  0,2619145 | 0,22711 |   1,15324   | 0,24881     |
| b_car_time                     | -0,1597579 | 0,01247 |  -12,81402  | 0,00000 *** |
| b_pt_time                      | -0,0368748 | 0,00348 |  -10,59517  | 0,00000 *** |
| b_bike_cost                    | -0,0643846 | 0,02659 |  -2,42152   | 0,01546 *   |
| b_walk_cost                    | -0,1185057 | 0,01269 |  -9,34001   | 0,00000 *** |
| g_bike_grad                    |  16,6115068 | 13,59742 |   1,22167   | 0,22183     |
| g_bike_vgvi                    | -0,9307409 | 0,57644 |  -1,61464   | 0,10639     |
| g_bike_stressLink              |  1,2566625 | 0,80068 |   1,56950   | 0,11653     |
| g_bike_stressLink_f            |  1,4476668 | 0,92893 |   1,55843   | 0,11913     |
| g_bike_stressLink_c            |  0,0000000 |         |             |             |
| g_bike_stressJct               |  5,3360598 | 6,68413 |   0,79832   | 0,42469     |
| g_bike_stressJct_f             |  14,4542848 | 15,72520 |   0,91918   | 0,35800     |
| g_bike_stressJct_c             |  0,0000000 |         |             |             |
| g_walk_grad                    | -5,3725902 | 2,28285 |  -2,35346   | 0,01860 *   |
| g_walk_vgvi                    |  0,2080316 | 0,21444 |   0,97011   | 0,33199     |
| g_walk_stressLink              | -0,5860637 | 0,24247 |  -2,41703   | 0,01565 *   |
| g_walk_stressLink_f            |  0,0000000 |         |             |             |
| g_walk_stressLink_c            |  0,0000000 |         |             |             |
| g_walk_stressJct               |  4,0920406 | 2,01841 |   2,02736   | 0,04263 *   |
| g_walk_stressJct_f             |  0,0000000 |         |             |             |
| g_walk_stressJct_c             |  0,0000000 |         |             |             |


Iterations: 127

Start LL = 7685.208331032533
Final LL = 3625.5901158028964
