Iteration,LL,asc_carD,b_carD_p.age_group_agg_15_24,b_carD_p.age_group_agg_40_54,b_carD_p.age_group_agg_55,b_carD_p.female,b_carD_hh.cars_gr_0,b_carD_hh.cars_gr_2,b_carD_hh.cars_gr_3,b_carD_hh.income_agg_low,b_carD_hh.income_agg_high,asc_carP,b_carP_p.age_group_agg_15_24,b_carP_p.age_group_agg_40_54,b_carP_p.age_group_agg_55,b_carP_p.female,b_carP_hh.cars_gr_0,b_carP_hh.cars_gr_2,b_carP_hh.cars_gr_3,b_carP_hh.income_agg_low,b_carP_hh.income_agg_high,asc_pt,b_pt_p.age_group_agg_15_24,b_pt_p.age_group_agg_40_54,b_pt_p.age_group_agg_55,b_pt_p.female,b_pt_hh.cars_gr_0,b_pt_hh.cars_gr_2,b_pt_hh.cars_gr_3,b_pt_hh.income_agg_low,b_pt_hh.income_agg_high,asc_bike,b_bike_p.age_group_agg_15_24,b_bike_p.age_group_agg_40_54,b_bike_p.age_group_agg_55,b_bike_p.female,b_bike_hh.cars_gr_0,b_bike_hh.cars_gr_2,b_bike_hh.cars_gr_3,b_bike_hh.income_agg_low,b_bike_hh.income_agg_high,asc_walk,b_walk_p.age_group_agg_15_24,b_walk_p.age_group_agg_40_54,b_walk_p.age_group_agg_55,b_walk_p.female,b_walk_hh.cars_gr_0,b_walk_hh.cars_gr_2,b_walk_hh.cars_gr_3,b_walk_hh.income_agg_low,b_walk_hh.income_agg_high,b_car_time,b_pt_time,b_bike_cost,b_walk_cost,g_bike_grad,g_bike_vgvi,g_bike_stressLink,g_bike_stressLink_f,g_bike_stressLink_c,g_bike_stressJct,g_bike_stressJct_f,g_bike_stressJct_c,g_walk_grad,g_walk_vgvi,g_walk_stressLink,g_walk_stressLink_f,g_walk_stressLink_c,g_walk_stressJct,g_walk_stressJct_f,g_walk_stressJct_c
0,7685.208331032533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,7029.50792526596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.710302201925376E-4,-7.844444831595384E-5,-2.456391844587601E-4,-9.770536196496034E-5,-2.6540038157917017E-4,-1.0355867858037326E-4,-2.639495595121017E-4,-9.335289576375634E-5,-2.4263748363034266E-5,-1.128139228013239E-4,-1.9050794591017508E-4,1.6609411250571967E-5,-1.1406463147983055E-4,-5.8433109459843114E-5,-4.7026646311859866E-5,1.350765372787471E-4,-2.0891837765779663E-4,-7.98452420358816E-5,-8.004535542444297E-6,-4.902778019747111E-5,-6.850381573918081E-4,-6.443651111667639E-5,-2.666510902576766E-4,-1.307240710775432E-4,-3.7746387917339145E-4,-3.151785869837434E-5,-2.959677016818792E-4,-1.013574313062006E-4,-2.5264315305839805E-5,-1.2281959222937934E-4,-2.5279323809982313E-4,1.4608277364960934E-5,-1.2457058437928905E-4,-3.967247928223939E-5,-7.829436327453307E-5,1.4558249017820513E-4,-2.3093085039951867E-4,-7.834439162167332E-5,3.076743349127025E-5,-1.0180768643046304E-4,0.01635142323327135,-0.008153573756939267,-0.020774286729888892,-0.07796150132735061,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,6996.301088090475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.018416122416217828,-0.0023160464574450796,-0.0065631322463839716,-0.0027242166628217274,-0.007577003086140496,-0.0025467160054759978,-0.0071307839610956335,-0.0024988746419491946,-6.237096348315977E-4,-0.0032115161887982697,-0.0018507071755073565,3.857415248832003E-4,-0.0013670472320998028,-7.626166357568662E-4,-3.1001510035910446E-4,0.0022296342968790134,-0.0028439457252861645,-0.0010811997870121706,-9.878503963126726E-5,-5.082147659319647E-4,-0.008804448764934298,-8.249735504685103E-4,-0.0034637896370264157,-0.0017819425319592745,-0.005262991895697959,-4.0887786239299765E-4,-0.003774124257078291,-0.0012849256649096314,-3.645825447455458E-4,-0.0014553266429700247,0.007663789681387177,0.002008193518638827,0.00189180002729977,0.0011536160256340382,0.004067522623675023,0.003953385199001645,5.059525138548882E-4,1.6890760866248084E-4,8.885209980163547E-4,3.3778585268569967E-4,0.05867754375452389,-0.012514411764687249,-0.19975157460410903,-0.0505665633069566,3.94371004097922E-5,0.0015402608644208135,0.0024789608364716546,0.0012729635844063252,0.0,1.1160573539238125E-4,0.0,0.0,-1.065855599110327E-4,-0.005503968960634626,-4.411535607540943E-4,0.0,0.0,-2.943689606389097E-4,0.0,0.0
3,6941.222332756979,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.019968268146604306,-0.0025158885474040153,-0.007110974926463228,-0.0029548191976724023,-0.00822257855141163,-0.002759157725086873,-0.007727012000630908,-0.0027065612436535692,-6.75724351724138E-4,-0.003481710933765012,-0.0018726388303427625,4.2781213050807816E-4,-0.0014268124426235144,-8.012505371896617E-4,-2.8550771428717563E-4,0.002402856861333262,-0.0030063453380295172,-0.0011450897324233624,-1.0280036788023759E-4,-5.22950099545508E-4,-0.009112158206557483,-8.31857777634011E-4,-0.0036074411364405987,-0.0018603054389258963,-0.005490158654161354,-3.89003439639919E-4,-0.0039325709077045095,-0.0013395839685338454,-3.7948418587720374E-4,-0.0015083270808808242,0.008229580853243712,0.0021539199499592643,0.002033357081459578,0.0012386450230713669,0.004364311854439982,0.004238159441837382,5.492651063156027E-4,1.8311195889749083E-4,9.526323073753385E-4,3.6602635740343983E-4,0.05766226563728032,-0.00609328662449547,-0.2066510195040257,-0.05062204433375604,3.83235966318884E-5,0.0014392265074641994,0.0023816093435108476,0.0013157997345246573,0.0,1.0531731453684929E-4,0.0,0.0,-1.1283870387597985E-4,-0.0058271374232116094,-4.6661199800584205E-4,0.0,0.0,-3.116945768384634E-4,0.0,0.0
4,6161.221141296533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3639241799400815,-0.04706365381483506,-0.1280725200446511,-0.05410464841815377,-0.15146324433582187,-0.04985812590864002,-0.1395322334340634,-0.04854671640694311,-0.012161498162677321,-0.06324271699418799,-0.038834560787936144,0.0043038095883828256,-0.024932314911617726,-0.014136012401601021,-0.010210851225892787,0.03483457848704705,-0.04908573582222841,-0.018730601227887087,-0.0021735673558908935,-0.008640169016706823,-0.016482759978210772,0.007292178452665214,-0.015526426347555473,-0.009665562613907247,-0.026639348739917683,0.0131153915178149,-0.01790016211580169,-0.006356865170095647,-0.0014608063956948582,-0.003802988252296473,0.126362593684483,0.032785736245521974,0.031425424366078085,0.018962005514941288,0.06619913459599633,0.06466331981241327,0.008909372171808356,0.0028744263623263844,0.014559673705021927,0.006092963003127488,-0.4181418016965695,-0.10713654638585995,-0.43221720791912277,-0.10116110676409905,-0.0010287598020569547,-0.06429390254842075,-0.07571355914923353,-5.003767302703297E-4,0.0,-0.004228829039323231,0.0,0.0,-0.0011607890208626282,-0.0600290129427323,-0.0046499371159337746,0.0,0.0,-0.0032259487089314367,0.0,0.0
5,5054.664841210285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.175426867590704,-0.15079233917959567,-0.4088424757959741,-0.17509414472251722,-0.4725555063221322,-0.15898652276717373,-0.44792162492155874,-0.15915592611944618,-0.03909070556029298,-0.19984627751950404,-0.1059522359245941,0.029667700174926356,-0.08343831499068864,-0.04429513906350859,-0.011477018739914135,0.1405490117186607,-0.17728598216686745,-0.06344528628748664,-0.0031262410304156675,-0.03781838263081319,-0.03939056048231995,0.028369502888678386,-0.04897939712789564,-0.032026999280572815,-0.09009708011698975,0.0463805045251758,-0.0541277893348079,-0.01996201622666824,-0.0054319010996133135,-0.008355665909972054,0.39522278536482086,0.10612028703583432,0.09442722119697627,0.05887494729516861,0.20136418673220965,0.21540514984386758,0.017897669476805746,0.004077065967280949,0.04845955238490065,0.016197164493781224,-0.30339475805431554,-0.09089269001980804,-0.41904424117704525,-0.09565082966916519,-0.005305253365609048,-0.33575669487577914,-0.4011448522709793,0.02091328834677945,0.0,-0.021909907030817313,0.0,0.0,-0.003310367313831498,-0.16947192002014855,-0.012874833579264378,0.0,0.0,-0.009443268671240282,0.0,0.0
6,4870.321664807449,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.5867031096041853,-0.19572040573493105,-0.5513032300592184,-0.23527107506577705,-0.6130786068969764,-0.21179652702973809,-0.6076479653968168,-0.21879682439595768,-0.05157954038681367,-0.2691974398843836,-0.17014894015200285,0.04634743192217018,-0.13093007602715398,-0.0708973621432119,-0.018480031755506852,0.22209926786787437,-0.27919863225201824,-0.10113368683607811,-0.004861406461558613,-0.05941080547080914,-0.10811932099869537,0.0355954459847737,-0.0907991420207838,-0.058546920587738555,-0.16069894289203163,0.06681868918152964,-0.10185936576346015,-0.036446005571439434,-0.01015503727793068,-0.018936480070009573,0.5765875550107449,0.15800211959286492,0.13231700255857434,0.08540853287516324,0.28402044292825557,0.3254276818318068,0.016399036821262883,0.0014404963343964228,0.07277310770731489,0.020882450760836793,-0.22417712652510613,-0.07884623570519375,-0.3736378226351599,-0.09542044100756118,-0.0018485813007142328,-0.23664002834401884,-0.19454544567108298,0.24170174195540575,0.0,-0.012748280975094398,0.0,0.0,-0.0038923145223220966,-0.1956516905078489,-0.014244291179831383,0.0,0.0,-0.011263226724279997,0.0,0.0
7,4652.564366203767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.5895182147703042,-0.16108872378608174,-0.5524379779354713,-0.23059507162571397,-0.5045389823949785,-0.2016392248522531,-0.6244696444846918,-0.2378882165042088,-0.04706846902514336,-0.26603276136526355,-0.306014587988376,0.07237394713351689,-0.21623606817113544,-0.12436768976341889,-0.031055941639841926,0.37566283812343515,-0.4698090836408614,-0.1763752184900133,-0.007649992212920443,-0.09908679388121927,-0.1917862618322727,0.06013069100022815,-0.155012332411822,-0.10334389178775677,-0.2578551364644504,0.11968262353317846,-0.1803850630877849,-0.06358780819771317,-0.016233590902209046,-0.032397218500131594,0.7618983541272502,0.22321234264089893,0.14843988088162213,0.11032500340175452,0.32510452214172314,0.4828883572813465,-0.025036691877582326,-0.020079545817318665,0.10586532391990444,0.014692868926800514,-0.23327945390326382,-0.07561548216128051,-0.3739046804072888,-0.09805329928264912,-0.0015717468466095322,-0.3650634171347171,-0.23612617087437562,0.4709016012585737,0.0,-0.01769953113051613,0.0,0.0,-0.0022194276401510758,-0.0851767611020546,-0.004822715259265939,0.0,0.0,-0.006596324280747092,0.0,0.0
8,4478.495795795755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.8516604469566518,-0.0010903820277059495,-0.6609506527974288,-0.2431213279496054,-0.1308552489707156,-0.13400061629481796,-0.8439369565669956,-0.3846825114873306,-0.025400033731242146,-0.3025720198675327,-0.569948899883193,0.23647924227578115,-0.3531471858196099,-0.30534652706247833,0.2357209394164666,1.1437105024714127,-0.9996979850688328,-0.5575665510311911,-0.00355111266611924,-0.13986432021912584,-0.22242871331257622,0.2700279412808072,-0.3095721331279594,-0.29054025199990996,-0.06825750525166635,0.5636445423316688,-0.5155364294311922,-0.1750624101047115,-0.007136197065995383,-0.05608628607557984,0.8991893058536886,0.3632194831949532,-0.06333619664628545,0.09722209283057515,-0.18649045197137382,0.8917660666366665,-0.351766544237195,-0.21040042045967067,0.16633434814725095,-0.0699944178853762,-0.23624856843843103,-0.07197356301864194,-0.3872715534411019,-0.09194705762917482,0.006059244855961819,-0.7099697684884468,0.05941588489182539,0.302334821326372,0.0,-0.015730894044873177,0.0,0.0,0.010034807618235985,0.7075349080538786,0.022007984800509493,0.0,0.0,0.03321283907736006,0.0,0.0
9,4267.679050179321,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.892207092771227,0.26216002609082695,-0.7040771862165883,-0.2141282665585611,0.4175043904790086,0.03576810047851084,-1.0360369507149598,-0.559706292830316,0.017470167252605744,-0.29431560914706234,-0.8571707874156897,0.35354577859794295,-0.35297845982536774,-0.47723939996603476,0.5480048966245578,1.8286660561767596,-1.27840254156741,-1.035931245287788,-0.024199264695466002,-0.045611455774897766,-0.17764444338439866,0.5451059136778718,-0.45692376959434133,-0.5264276504335715,0.3635362817926749,1.1784329811932497,-0.9148284491482432,-0.3291471069311762,0.01164203332884128,-0.06301798702147243,1.536433225413569,0.6481021230822543,-0.19304783395240616,0.1335585773749891,-0.5229481222193799,1.5125533418650594,-0.6431465331807198,-0.42526337493316413,0.2538858739010197,-0.13254751954695704,-0.20966128627821048,-0.06064413680961313,-0.3689116230316496,-0.09499254457427245,0.018940168759977737,-1.0461083334951236,0.5074585448510249,-0.18517481227596144,0.0,2.9429300270058384E-4,0.0,0.0,6.124031375665719E-4,0.3784998895527265,-0.07257024735739706,0.0,0.0,0.018614195094139443,0.0,0.0
