Iteration,LL,asc_carD,b_carD_p.age_group_agg_15_24,b_carD_p.age_group_agg_40_54,b_carD_p.age_group_agg_55,b_carD_p.female,b_carD_hh.cars_gr_0,b_carD_hh.cars_gr_2,b_carD_hh.cars_gr_3,b_carD_hh.income_agg_high,asc_carP,b_carP_p.age_group_agg_15_24,b_carP_p.age_group_agg_40_54,b_carP_p.age_group_agg_55,b_carP_p.female,b_carP_hh.cars_gr_0,b_carP_hh.cars_gr_2,b_carP_hh.cars_gr_3,b_carP_hh.income_agg_high,asc_pt,b_pt_p.age_group_agg_15_24,b_pt_p.age_group_agg_40_54,b_pt_p.age_group_agg_55,b_pt_p.female,b_pt_hh.cars_gr_0,b_pt_hh.cars_gr_2,b_pt_hh.cars_gr_3,b_pt_hh.income_agg_high,asc_bike,b_bike_p.age_group_agg_15_24,b_bike_p.age_group_agg_40_54,b_bike_p.age_group_agg_55,b_bike_p.female,b_bike_hh.cars_gr_0,b_bike_hh.cars_gr_2,b_bike_hh.cars_gr_3,b_bike_hh.income_agg_high,asc_walk,b_walk_p.age_group_agg_15_24,b_walk_p.age_group_agg_40_54,b_walk_p.age_group_agg_55,b_walk_p.female,b_walk_hh.cars_gr_0,b_walk_hh.cars_gr_2,b_walk_hh.cars_gr_3,b_walk_hh.income_agg_high,b_car_time,b_pt_time,b_bike_cost,b_walk_cost,g_bike_grad,g_bike_stressLink,g_bike_stressLink_f,g_walk_vgvi,g_walk_stressJct,g_walk_speed
0,7175.705063219666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,-0.1,0.0,0.0,0.0,0.0,0.0,0.0
1,7022.9066669804715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0010865320122618576,-1.4075330804002724E-4,-3.8361405294598213E-4,0.0,-4.5325027084758946E-4,-1.554118496666634E-4,-4.1606021641916395E-4,-1.441133146204314E-4,-1.8545973009262946E-4,-6.369207944304415E-4,-5.1827126013707705E-5,-2.6038466727475277E-4,-1.2448607915022014E-4,-2.498995364041171E-4,6.59748663133175E-5,-3.6239801053700475E-4,-1.3115884569195422E-4,-1.2570241117607016E-4,-5.232049693711057E-5,2.0787336454471318E-5,-4.796102526596085E-5,-3.3122127159365346E-5,-9.707002269796278E-5,3.58911253646142E-5,-5.1016965553154426E-5,-1.938729740404527E-5,-6.41992727887721E-6,5.737577852039E-4,1.3643298691486824E-4,1.5236871922465228E-4,8.67156042140784E-5,2.959692505744776E-4,2.4788804232079393E-4,7.484463077614149E-5,2.5369694699533526E-5,4.051234630606485E-5,0.003964213937372206,-0.03249219626993328,-0.09919406710362005,-0.09084411874863332,-1.3174824877733171E-7,-3.768785732553753E-5,5.9995537451209856E-5,-4.988089159284069E-4,-2.6661897227889886E-5,-0.010435706168238057
2,6715.400340684233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.004027082271349484,-5.250116532076135E-4,-0.001417657329392623,0.0,-0.0016882819032334117,-5.580266777365985E-4,-0.0015410637429081088,-5.331416482596935E-4,-6.955422583303568E-4,-8.168024201850802E-4,5.114522457159023E-6,-4.149337637617791E-4,-2.1245138253734322E-4,-2.62354418619768E-4,3.581313011592714E-4,-7.04812219158033E-4,-2.629948691777604E-4,-1.829329849013197E-4,-2.329749496671873E-4,5.4840984645324406E-5,-1.7408404631593077E-4,-1.1630944773832392E-4,-3.430091238811278E-4,1.021749557534075E-4,-1.8347681497736442E-4,-6.92206529387705E-5,-2.928371678301132E-5,0.0017889341480278515,4.274276185625705E-4,4.733909399123347E-4,2.7015466299304186E-4,9.218397465961634E-4,7.807698046441E-4,2.2808260122025086E-4,7.689174427104773E-5,1.248663310602976E-4,-0.0022918063922247973,-0.03254839445972689,-0.0982753665873872,-0.07308710766985796,5.688917246049144E-7,-5.958728946430726E-5,2.195100098019001E-4,-0.0014836901467091819,-7.931161001047853E-5,-0.031008456307798374
3,6574.4662104305935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0834009273622848,-0.010597920198983935,-0.02956970631263894,0.0,-0.03448268943814566,-0.011104576024925362,-0.032313902491342576,-0.011160912384750374,-0.014682822522919182,-0.005749705688084586,0.0017949613292665082,-0.004877397441175215,-0.0027101488958550953,-3.4814913896305213E-4,0.009069598772363099,-0.010736192753722857,-0.004076002150263241,-0.0019120230617797659,-0.005237877200216264,0.0011342707896784478,-0.0038020901766642797,-0.002491315648078442,-0.0073033320252940655,0.002209296519549987,-0.004078971917338893,-0.0015164153059355355,-7.299677462096644E-4,0.02502037456553506,0.0065892189196942895,0.006177818593783799,0.0036423627998981053,0.012819478412192236,0.013694055684030362,0.001185336172445056,2.544364017382076E-4,0.0011259916757134878,-0.11033194268718173,-0.05632845974599543,-0.08392376442247558,-0.08418718380287037,3.3963679148024073E-5,2.350557215788313E-4,0.005151383340125271,-0.003155013662366267,-1.9438456941660607E-4,-0.02595138685413146
4,5955.703572937708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.525217488327007,-0.06638117654095933,-0.18629338954991467,0.0,-0.2162004692772598,-0.06972355075440317,-0.20372157616764064,-0.07052154275148853,-0.09249879164115626,-0.032666913342379617,0.012308989265976551,-0.02999811242726534,-0.016747494148532098,-1.3023761467156702E-4,0.059106002358601695,-0.06775514718585195,-0.025679611543158343,-0.011769497760209425,-0.04954624995774634,0.004759212598063238,-0.02968870418104317,-0.01844685523390718,-0.05445151639993985,0.011893491671402977,-0.03182736271068485,-0.01155410233773185,-0.0072613347661943245,0.15706265247488405,0.041657430486523976,0.038542858661005215,0.02281255422719498,0.08037334677615277,0.08722847684655341,0.0065171360934760955,0.0012110692556812415,0.006776915292106559,-0.5643398991254199,-0.16096867935650308,-0.3347597246496629,-0.14060938835198278,5.421312398253297E-4,0.02262904997779831,0.041918398248636544,-0.01365892672354491,-9.053064597085451E-4,-0.016886221933740807
5,5873.9535281036215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5741755774208696,-0.0723473410048101,-0.2032668859252299,0.0,-0.23499202143930104,-0.07607524772602707,-0.22257856834042025,-0.07728765725923434,-0.10086201559107227,-0.035857116625602994,0.014312366644139018,-0.03355084506663141,-0.018577414794407936,5.158013580545231E-4,0.06652337450000594,-0.07596241795905517,-0.02856093043841577,-0.013506896973494251,-0.05641085412966327,0.005025542387271424,-0.033421941099341296,-0.02075113436192899,-0.06127749987001953,0.012812492534184471,-0.035613334463440144,-0.012999466272813863,-0.008129463456099289,0.1732708851390801,0.0461467686541239,0.04225743950472716,0.0251838384520316,0.08824836682040516,0.0968392458164628,0.006684648479346797,0.0010844424729734797,0.007285853528738412,-0.5584336252964187,-0.16013075317027278,-0.3335687961261504,-0.12536512408318243,7.051983272560321E-4,0.029687923259956055,0.05304306988178485,-0.014705623618627667,-0.001009609010660767,-0.0029230620571465277
6,5569.848276254919,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7529157361264969,-0.0937963209596368,-0.2650106581645681,0.0,-0.302298338890094,-0.09902510244056005,-0.2914623314745287,-0.10218864177425208,-0.13130021830807298,-0.04817241035434855,0.02216099307204344,-0.047314555421183485,-0.025616321966324074,0.0030544547902231966,0.09524871988768041,-0.10777792825987217,-0.03964950698600174,-0.02038517055763625,-0.08276727032198057,0.006037392105546957,-0.04773246659472847,-0.029611849400539066,-0.0873083060142062,0.016296396571332774,-0.050092334929447896,-0.01856481481137896,-0.011418303651710038,0.2334034419003016,0.06300837267412117,0.0558523823821805,0.03396000364761395,0.11722872483470531,0.13311521091811632,0.006866805136163887,4.0374133945706814E-4,0.009085861275184551,-0.5120450475701528,-0.15186131349550666,-0.314041912447769,-0.1388651891362754,0.0013340866151429916,0.0561328607044838,0.09639441252231787,-0.020311135888253753,-0.0014667047162089876,-0.014858734619962352
7,5479.127475378461,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.9054083274471693,-0.08037013341755926,-0.297415289543605,0.0,-0.24651216603501164,-0.11156828775778173,-0.3455577715658815,-0.1381373299109836,-0.14474118849220516,-0.15048192033140745,0.06038165367650533,-0.133344553031924,-0.07374082473190105,-0.0010700988567585498,0.26366874972475446,-0.305356105250984,-0.11168461872214187,-0.06459612663672576,-0.18407633293728815,0.026576515614498336,-0.11332153815488483,-0.07539593110175988,-0.17224034712592473,0.05561860466856519,-0.1239652023620717,-0.04615822924960263,-0.023848146815607478,0.5037789655640204,0.14637264969220978,0.10022954109231927,0.07229962220664338,0.2125733775127604,0.32284629246769136,-0.01697274790693288,-0.01511020752456315,0.009385545972259653,-0.4419776791547685,-0.13443376741727348,-0.3025848510927404,-0.14551035369494067,-0.0031525982171123567,-0.3227355696016746,-0.027905047806905295,-0.05580978971107059,-0.004149641307672634,-0.016674691875180697
8,5124.1241113326705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.9119559821141512,0.1122384295950032,-0.1893749829798621,0.0,0.4104194115085222,-0.06910126816731962,-0.3306110741251307,-0.22569099492338657,-0.07712826452406617,-0.6836886745276269,0.24094645570170722,-0.5595270165422406,-0.325875603169994,-0.024777681988784765,1.118202910555534,-1.297472907917388,-0.49179279731649894,-0.27595268876264345,-0.7424115901075949,0.13476170531779996,-0.46198084105718973,-0.317929866541219,-0.5949395545649234,0.29617721540651976,-0.5455597449182057,-0.1968205733005938,-0.10449716751104726,1.7782501899974614,0.5500093132019283,0.27947410933738137,0.25000989600192863,0.600858661606307,1.2489475188555481,-0.16439882579121284,-0.10724436888637512,7.962328907153027E-4,-0.48457662847531235,-0.12323432661739989,-0.26477870363358647,-0.17597829292972772,7.155202072213597E-4,-0.3499598176633245,0.13990944262800825,-0.228956002829482,-0.016606808240368875,0.0026933971633252077
9,5002.320726962899,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.9562632826940479,0.17886320699007505,-0.17582219742715977,0.0,0.5753544531744956,-0.03922467830104634,-0.3595001792710698,-0.26535503006158717,-0.06654391114119651,-0.8465966266056986,0.30606980665286593,-0.6899006085219103,-0.41232808258438275,-0.011832350419926857,1.4238457579396107,-1.6215350059125324,-0.6322244985290204,-0.3381287436954458,-0.8330085800381247,0.19901054981208238,-0.5388808827818072,-0.38843956193734164,-0.6069496517021088,0.42650072433357,-0.664993807460295,-0.24375372714733562,-0.12130767773120811,2.0982811779741337,0.6614815672837122,0.2953590496337375,0.2934588156619919,0.6383051543719583,1.5122599230613476,-0.2347967084007605,-0.15033952990110808,-0.009299595612328867,-0.47007056276486325,-0.11438966731999099,-0.247603655347031,-0.181365685595908,0.0036781162854114943,-0.18048376066107868,-0.1755265007952262,-0.22260735291029105,-0.0167041711175912,0.00402476603241136
