Iteration,LL,asc_carD,b_carD_p.age_group_agg_15_24,b_carD_p.age_group_agg_40_54,b_carD_p.age_group_agg_55,b_carD_p.female,b_carD_hh.cars_gr_0,b_carD_hh.cars_gr_2,b_carD_hh.cars_gr_3,b_carD_hh.income_agg_high,asc_carP,b_carP_p.age_group_agg_15_24,b_carP_p.age_group_agg_40_54,b_carP_p.age_group_agg_55,b_carP_p.female,b_carP_hh.cars_gr_0,b_carP_hh.cars_gr_2,b_carP_hh.cars_gr_3,b_carP_hh.income_agg_high,asc_pt,b_pt_p.age_group_agg_15_24,b_pt_p.age_group_agg_40_54,b_pt_p.age_group_agg_55,b_pt_p.female,b_pt_hh.cars_gr_0,b_pt_hh.cars_gr_2,b_pt_hh.cars_gr_3,b_pt_hh.income_agg_high,asc_bike,b_bike_p.age_group_agg_15_24,b_bike_p.age_group_agg_40_54,b_bike_p.age_group_agg_55,b_bike_p.female,b_bike_hh.cars_gr_0,b_bike_hh.cars_gr_2,b_bike_hh.cars_gr_3,b_bike_hh.income_agg_high,asc_walk,b_walk_p.age_group_agg_15_24,b_walk_p.age_group_agg_40_54,b_walk_p.age_group_agg_55,b_walk_p.female,b_walk_hh.cars_gr_0,b_walk_hh.cars_gr_2,b_walk_hh.cars_gr_3,b_walk_hh.income_agg_high,b_car_time,b_pt_time,b_bike_cost,b_walk_cost,g_bike_grad,g_bike_stressLink,g_bike_stressLink_f,g_walk_vgvi,g_walk_stressJct,g_walk_speed,g_walk_aadt
0,7175.705063219666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,-0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,6976.062908583517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.4467508918363395E-8,-4.4650464463163775E-9,-1.2169195791663958E-8,0.0,-1.4378230531991786E-8,-4.9300519947442674E-9,-1.3198469127615192E-8,-4.571634246278896E-9,-5.883245803000237E-9,-2.0204718236163288E-8,-1.6440858694737635E-9,-8.260051926877485E-9,-3.949009320388276E-9,-7.927437390245917E-9,2.0928875241404905E-9,-1.1496169941812083E-8,-4.160686139563252E-9,-3.987594409898344E-9,-1.6597368273015493E-9,6.594262263308585E-10,-1.521443498610841E-9,-1.0507165922189633E-9,-3.079303541257679E-9,1.1385561305457417E-9,-1.6183855563819336E-9,-6.150134912139598E-10,-2.0365612632001844E-10,1.820102984110677E-8,4.3279950707185045E-9,4.833516297253484E-9,2.750835527973096E-9,9.388883777571193E-9,7.863627774446519E-9,2.374258604123442E-9,8.047900737797941E-10,1.2851527997792577E-9,1.2575476626430697E-7,-1.0307336112258365E-6,-0.09999997443379581,-0.09999970955258095,-4.179383477398214E-12,-1.195552955478782E-9,1.9032082799445502E-9,-1.5823464531460167E-8,-8.457819651072633E-10,-3.310484432724398E-7,-7.839277191030835E-5
2,6936.369964125746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0010442069911575243,-1.297094561325319E-4,-3.7385735902658104E-4,0.0,-4.2889771331819555E-4,-1.4232254076597872E-4,-4.0691519042124473E-4,-1.408759964367025E-4,-1.8223692202054445E-4,-5.843817959369349E-4,-3.8793390238546555E-5,-2.477428415187737E-4,-1.1588508213901104E-4,-2.2092371188717338E-4,8.390060911765255E-5,-3.5187326239974483E-4,-1.2756191084947868E-4,-1.2107351936315934E-4,-2.06210804788293E-5,2.844537049820893E-5,-3.9953331311360794E-5,-2.838969834678767E-5,-8.186353726058086E-5,4.580645996669672E-5,-4.3938719483515685E-5,-1.7017503828713386E-5,-3.2001012373359322E-6,3.553219300017576E-4,8.984067787220185E-5,9.221827281149363E-5,4.937768341390877E-5,1.82351858805368E-4,1.9471129246782158E-4,1.3605886715657088E-5,3.97805432345922E-6,1.6204172747097256E-5,0.004578352855300281,-0.03156902434939146,-0.09897584601061678,-0.11235901970833988,-3.712411752472558E-7,-5.337409026233939E-5,5.366089264039021E-5,-1.5394912495800042E-4,-8.652045863119612E-6,-0.0026609394310000817,-1.5682222866372677E-4
3,6932.377729571981,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0013372357513487753,-1.6754111875237154E-4,-4.7748981898205177E-4,0.0,-5.515060146727769E-4,-1.822514659473469E-4,-5.193938265409363E-4,-1.797852584170741E-4,-2.332640329209545E-4,-6.121620712413965E-4,-3.3960859606137424E-5,-2.6713573527691785E-4,-1.2630863699893976E-4,-2.260646616590037E-4,1.1343574881120852E-4,-3.9102418257413616E-4,-1.4247354779354217E-4,-1.2881481603797723E-4,-3.663160234837133E-5,3.25649221121279E-5,-5.2297145007407026E-5,-3.654442974719761E-5,-1.0603764103110639E-4,5.333174885783259E-5,-5.688907317244242E-5,-2.1912950270558053E-5,-5.2453193576716855E-6,4.628783725658928E-4,1.1638363776485639E-4,1.2052258949116921E-4,6.493252660604337E-5,2.3840004100330567E-4,2.4644502820079015E-4,2.3455411319043148E-5,7.236975345227297E-6,2.2484585974973632E-5,0.004180809249820101,-0.03218848358479361,-0.09885236453260018,-0.11148660195487825,-3.31251766695992E-7,-5.7808400652348666E-5,6.918580960654482E-5,-2.061930289225388E-4,-1.1686000117003915E-5,-0.0035284068510038546,-1.4606103838671436E-4
4,6731.3132198618605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.014900421140170884,-0.0019095962542240753,-0.00528070276570733,0.0,-0.006216563890330792,-0.0020112071676596987,-0.00573877757404398,-0.0019844603016877333,-0.0026046219156249857,-0.0014084571013239103,2.660993940104371E-4,-0.001003409988544574,-5.309121292693403E-4,-2.3935004283557237E-4,0.0015494423833732284,-0.0020273979368543157,-7.717519722223895E-4,-4.0781639111360523E-4,-7.389756848739275E-4,2.3121405390974642E-4,-6.121525363363113E-4,-4.062453480150395E-4,-0.0011999903366045654,4.123832925374232E-4,-6.465510856575886E-4,-2.4521549051525717E-4,-9.679276048265136E-5,0.005035481118317593,0.001252305561587751,0.0013200589522324349,7.187474932083409E-4,0.002614740940751413,0.002521538432179202,3.823688253759573E-4,1.2315256539280575E-4,2.744922941275198E-4,-0.01827449261225631,-0.03708316853389152,-0.09317367386423911,-0.11457532624212056,1.5099779173631004E-6,-2.6172342907494414E-4,7.822317859032033E-4,-0.0024225456723386686,-1.391638244684886E-4,-0.040559586327727506,-4.6308388035649705E-5
5,6597.172892155845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.048471914684710224,-0.00614754831380861,-0.017145091297752872,0.0,-0.019916364353436977,-0.00649907717475914,-0.0187437243584821,-0.006464710045231688,-0.008469529543917838,-0.0031543755886520855,0.0011624520913969944,-0.0028577874728668243,-0.0015667974999635167,-1.2071064023918518E-5,0.005550170261105363,-0.006404076019198711,-0.00242138612309181,-0.0011488250921667807,-0.005899841541373417,2.0673952392234854E-4,-0.003160543313726079,-0.001918211924946992,-0.005726970449617379,8.467331346192281E-4,-0.0033497339310491155,-0.0012124623973777152,-8.339319948761461E-4,0.015821662214896944,0.004138094970202934,0.00390695607500021,0.002305463956355603,0.008073496094245467,0.008455521742393508,8.999829779637628E-4,1.4928269887644384E-4,6.850451147534637E-4,-0.04347606718660836,-0.043302261260817494,-0.1357083547968587,-0.11676744622248504,6.742647558109289E-5,0.003170313579090756,0.004246742521644964,-0.00762462116072276,-3.713633721946614E-4,-0.05647101574845745,1.7473226501172378E-6
6,5896.014596237385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4754330411416643,-0.06023064168176154,-0.16743058696467153,0.0,-0.19364487943975242,-0.06368734777924756,-0.18371632281556824,-0.06333523872124516,-0.08269992504070584,-0.026379699144240213,0.01236947940871848,-0.026727143365802716,-0.014891838919738424,0.0023843711839711818,0.05628654507608381,-0.06254935521537668,-0.02348488121923902,-0.010800479738230425,-0.052673827784928275,0.003099102191496318,-0.029550922740632955,-0.01823082139412912,-0.05418219351474893,0.009403039802486973,-0.0314029181947255,-0.011398652254438242,-0.0074021598093930744,0.1483509263164727,0.0402185366826316,0.03501566113903404,0.02170106870009354,0.0748738249349313,0.08314188686744578,0.006153695262112569,-2.1564581067271232E-4,0.005191472880699386,-0.48098263351595477,-0.14181506884504808,-0.3454491964631844,-0.12520055944359929,5.183864318655191E-4,0.02015124420431566,0.042433476213544,-0.07042364719973293,-0.0029516162225507346,0.019678963174318415,-9.351240379502806E-5
7,5271.605340728255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.712041841365716,-0.2088011998798717,-0.5884238820314723,0.0,-0.6479526987508724,-0.2234599230035791,-0.6558739055674401,-0.23511450561346403,-0.2883639843226583,-0.11247639072952448,0.06858585018126283,-0.12408282176881726,-0.06480973111184242,0.022408700559326214,0.2633608452233836,-0.2924102855714842,-0.10224659030971206,-0.061963702854451956,-0.21834756016441315,0.01654057542376835,-0.12683243925924023,-0.07847063308207625,-0.23365196751392087,0.04025071126454323,-0.12977510746957022,-0.04906619289537386,-0.028412663922045854,0.5817576976594265,0.16274260070638485,0.1300140560824476,0.08576852857993622,0.28256840388557003,0.3454611573675236,0.007124864891033493,-0.008162603124125093,0.01504514023033355,-0.12363447310184672,-0.07603938960055746,-0.20237773101404213,-0.1283183659447922,3.9874671736778714E-4,-0.09769575052449048,0.2587336934741228,-0.2511299233965594,-0.010880281471113883,0.03922086288531773,-1.6882036052052763E-4
8,4784.790148753715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.7064262177976195,-0.12964101238940745,-0.5550286997926247,0.0,-0.3605356647092673,-0.20207170898451343,-0.6719122515602641,-0.27466531461015187,-0.2598922608139393,-0.2899096340977751,0.16909407234838342,-0.3068792877118485,-0.16714673729723048,0.06060942573990285,0.677942431639872,-0.7450667640816955,-0.2710962922936516,-0.15468335119967336,-0.511866971735093,0.056527188338361394,-0.30656924729116874,-0.19679715827092165,-0.5273755371454651,0.13111810029960874,-0.3268794622877823,-0.12372799524608125,-0.06679038020717312,1.2496590840882391,0.3653370711995055,0.24304856195344435,0.18434641395091883,0.5390569671519636,0.7940460671939352,-0.03660482616750888,-0.04335163667196974,0.01628044946738507,-0.14457805737129922,-0.07262649166844391,-0.19566072009432608,-0.13805311361092526,-0.001242170168462278,-0.4328905373243423,0.6101040505267239,-0.569568753356149,-0.02384062423826289,0.056447485648623515,-1.6184486196289973E-4
9,4337.955590853567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.019165361083635,0.18160965020060027,-0.5540507303824713,0.0,0.5131736349802565,-0.08493261697520009,-0.8892085636773266,-0.5179633475960634,-0.20555058314299993,-0.6327147075183457,0.5829828156882916,-0.7694829365921306,-0.5225805927219833,0.5499127360286,2.394851289184526,-2.289314776989066,-0.9963120221075716,-0.38574888574909605,-0.6541133408364164,0.4864202973920754,-0.6241123148162144,-0.5656527728610737,-0.4627994791211989,1.027005999501239,-0.9607853185302858,-0.37057808264100855,-0.12984750285567404,1.6230020377742271,0.5769746869063286,-0.12197880767663735,0.24609910311053945,-0.28118665777579765,1.4691652362487146,-0.6032409427764336,-0.33231218971459764,-0.11997303353673189,-0.18558550458604767,-0.06773403795060852,-0.14782733184348149,-0.13539394176123476,0.015421766289942814,0.1032120485641172,0.9404286188660567,0.06204291668148609,0.00958076283475261,0.046189106184920684,-1.9613738751762856E-4
