Iteration,LL,asc_carD,b_carD_p.age_group_agg_15_24,b_carD_p.age_group_agg_40_54,b_carD_p.age_group_agg_55,b_carD_p.female,b_carD_hh.cars_gr_0,b_carD_hh.cars_gr_2,b_carD_hh.cars_gr_3,b_carD_hh.income_agg_high,asc_carP,b_carP_p.age_group_agg_15_24,b_carP_p.age_group_agg_40_54,b_carP_p.age_group_agg_55,b_carP_p.female,b_carP_hh.cars_gr_0,b_carP_hh.cars_gr_2,b_carP_hh.cars_gr_3,b_carP_hh.income_agg_high,asc_pt,b_pt_p.age_group_agg_15_24,b_pt_p.age_group_agg_40_54,b_pt_p.age_group_agg_55,b_pt_p.female,b_pt_hh.cars_gr_0,b_pt_hh.cars_gr_2,b_pt_hh.cars_gr_3,b_pt_hh.income_agg_high,asc_bike,b_bike_p.age_group_agg_15_24,b_bike_p.age_group_agg_40_54,b_bike_p.age_group_agg_55,b_bike_p.female,b_bike_hh.cars_gr_0,b_bike_hh.cars_gr_2,b_bike_hh.cars_gr_3,b_bike_hh.income_agg_high,asc_walk,b_walk_p.age_group_agg_15_24,b_walk_p.age_group_agg_40_54,b_walk_p.age_group_agg_55,b_walk_p.female,b_walk_hh.cars_gr_0,b_walk_hh.cars_gr_2,b_walk_hh.cars_gr_3,b_walk_hh.income_agg_high,b_car_time,b_pt_time,b_bike_cost,b_walk_cost,g_bike_grad,g_bike_stressLink,g_bike_stressLink_f,g_walk_vgvi,g_walk_stressJct,g_walk_aadt
0,7175.705063219666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,-0.1,0.0,0.0,0.0,0.0,0.0,0.0
1,6931.697624032641,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.034656143420714E-4,-7.817513018344748E-5,-2.1306126972677486E-4,0.0,-2.5173759269030306E-4,-8.631656157087812E-5,-2.3108204017110488E-4,-8.004129557236777E-5,-1.0300531295261157E-4,-3.537491709039262E-4,-2.8785059332341598E-5,-1.44619018518476E-4,-6.914022539937686E-5,-1.38795521492251E-4,3.664278896672489E-5,-2.01277767794247E-4,-7.284631515561527E-5,-6.981578262635217E-5,-2.9059080147218486E-5,1.1545396382678898E-5,-2.663780657170676E-5,-1.8396204243382604E-5,-5.39132029434466E-5,1.9934120461390804E-5,-2.8335091936511557E-5,-1.0767807304645706E-5,-3.565661495158381E-6,3.186681022042194E-4,7.577560102781614E-5,8.462639086169818E-5,4.816230426672517E-5,1.6438288389909376E-4,1.3767832706167816E-4,4.156910296412376E-5,1.4090462337740218E-5,2.2500770963144143E-5,0.002201745343995605,-0.018046337302607594,-0.09955238061562498,-0.09491477522811594,-7.317367274011202E-8,-2.093203487566516E-5,3.33218381577252E-5,-2.770411046273835E-4,-1.4808158442253163E-5,-2.2875331844104762E-4
2,6470.049957919423,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.007631423792801948,-9.932740483716352E-4,-0.002688312688707962,0.0,-0.0031969112085455708,-0.0010442475806760926,-0.0029237903732544854,-0.0010146156143852258,-0.0013250528444749344,-0.001004334575676539,6.851828729071743E-5,-5.817518392937117E-4,-3.153515518459884E-4,-2.824123703014027E-4,6.947898015954063E-4,-0.0010928133503737573,-4.071825591147478E-4,-2.343047517969223E-4,-4.5007366418769394E-4,9.642818165618798E-5,-3.2644649907082854E-4,-2.1668446352770428E-4,-6.397159430366556E-4,1.8272213245552646E-4,-3.4330186583804624E-4,-1.2934319143530202E-4,-5.684299954778413E-5,0.0033169039351856667,7.90853302307193E-4,8.790057335034938E-4,5.011961014924312E-4,0.0017101061503556126,0.0014399108328594886,4.28184415415574E-4,1.4474903723620783E-4,2.329117717112809E-4,-0.012361705719094528,-0.02089373236470566,-0.09716288091251228,-0.04721820401237766,1.424014974748799E-6,-8.573646695121384E-5,4.1287309881105706E-4,-0.0027690459070104146,-1.4799230942939305E-4,-0.0022863637263269383
3,5755.102972093017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5934340378922757,-0.07380590769161088,-0.21148353323457925,0.0,-0.24178298846991989,-0.07684157456061096,-0.23208418152425125,-0.08080857457741078,-0.1055340922045068,-0.04096975372120681,0.014565988025811875,-0.03619717029193941,-0.020008075881421797,-0.0010473775356807905,0.0697229181228991,-0.08158997910906056,-0.02995441682470817,-0.015065380808475989,-0.05800072555021624,0.005565312712847396,-0.0347544696396994,-0.021724347788893674,-0.06383753939473193,0.0143018468971145,-0.03755166030006227,-0.013708050596033944,-0.008580528053013367,0.14470232302847316,0.041263070958683416,0.03330050072195403,0.020983775229153515,0.07342466276587621,0.09240950293681385,-0.002660524136921835,-0.0021282070461569142,0.003950536850325426,-0.3982918544087961,-0.11080519296093119,-0.35533430866902654,-0.10001175578520366,6.747327005965693E-4,0.0292123586134035,0.049656435255564776,0.17607872581794215,0.009172537946218123,0.1633845534442773
4,5185.483758077502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.2387606224206098,-0.15025391026418528,-0.43577580017163214,0.0,-0.4836539372795243,-0.1581488616443537,-0.48236531837777996,-0.171545535294572,-0.216841534551383,-0.1020869344407305,0.037417340942011344,-0.0897229862823959,-0.04733563808578044,-0.0025622109340138095,0.1679369229584896,-0.2002599578887103,-0.07096713225085782,-0.04170742150701679,-0.11297989958411442,0.0178567542654049,-0.07529395103592051,-0.047774830823346354,-0.13954114589823607,0.03747061789895898,-0.0804525430174832,-0.0297945833267772,-0.016397989560406327,0.32170736478173545,0.09448365223486713,0.07093057318090289,0.04658978753697323,0.15940409784201484,0.213605509354071,-0.011973089547228977,-0.007811411417741253,0.006830105228370619,-0.2633436119294063,-0.08586204535710901,-0.16753274772521903,-0.07998653838316754,-2.802385896535759E-4,-0.07159276197553871,0.11252229122070173,0.39528852739626863,0.020555453531700997,0.36275419702447825
5,4923.479253914045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.4112183221667591,-0.17044438123885436,-0.4956269956905791,0.0,-0.5474564372660117,-0.1797750322420991,-0.5493100055609155,-0.19593036171032394,-0.24652583986881682,-0.11893008184278937,0.043842103343217115,-0.10456872764628657,-0.054908399944273864,-0.002888683520661325,0.19533971239191653,-0.2332573503083863,-0.08237667341730587,-0.049148169947507814,-0.13097275492950905,0.0208204685831313,-0.08741982577831409,-0.055442279875406744,-0.16167148479516733,0.043507368568647384,-0.09330884120514929,-0.03457718381704399,-0.01898202511510991,0.37053741537766505,0.10923423545723887,0.08121882569481244,0.05364982089002804,0.18298616338415857,0.24721281879343,-0.014676037067722338,-0.009450029821536322,0.007583227024492937,-0.19425151586779987,-0.07266632734538343,-0.16028002426780819,-0.06227914166037766,-4.560079042681054E-4,-0.09395620372555505,0.13227984316913213,0.4561880717148092,0.023718311481496775,0.4180012859320171
6,4826.788233361014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.3971363058822892,-0.1514615051754049,-0.48708164254225367,0.0,-0.48615246596505823,-0.1731759341312025,-0.5494221888704969,-0.20275021248273944,-0.2405373707648751,-0.1690360300964791,0.05806715254744538,-0.14251546661406816,-0.07712401333743805,-0.0043945422196040845,0.27131038349165537,-0.3218275122599285,-0.11734344674288441,-0.06700771256192314,-0.19690888131756024,0.026646813545632964,-0.12394330266745857,-0.08055749668072458,-0.21953616555425984,0.061126450639670364,-0.13567493959895996,-0.05037353130891631,-0.027679619272760997,0.47082962149796176,0.1448512485695136,0.0933382808043679,0.06781550395479717,0.21644539172755145,0.33150295776083927,-0.03328566850323296,-0.019365794930896595,0.005051816200489277,-0.20106647396200047,-0.07225005080635578,-0.15115873391847862,-0.048328657264680885,-3.660046192656835E-4,-0.11823757291416012,0.18138455823158778,0.5800329594899373,0.030085651687788817,0.5254988913580116
7,4436.476574343567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.4155709801575607,-0.0190270159902087,-0.4534542731750999,0.0,-0.045730090692571945,-0.14477502948672427,-0.5887840442155207,-0.27459263704688053,-0.20530660623964336,-0.6068686032052164,0.17345588354141644,-0.46095255791474654,-0.26487038374780053,-0.025341578981574,0.8954913327592202,-1.0556314608234934,-0.41106813390669916,-0.21573165003669753,-0.6998734257299664,0.08601697688656947,-0.40925397387772183,-0.282310736781585,-0.6427691303841132,0.22401419835833863,-0.4755381222250491,-0.17677357875716032,-0.09542714379733233,1.437332962256953,0.46608781143529693,0.22400883725736923,0.2074195340054933,0.5399890350528891,1.0576934812494998,-0.15449553344429307,-0.0911872607922947,-0.004370547642574994,-0.2308691679947246,-0.06393789660571407,-0.12964477130901628,-0.09151010514465999,2.2754824324631865E-4,-0.32474976219058355,0.5516890159458799,0.6004558405747851,0.02927921219164691,0.5483452835444163
8,4250.843085461225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.4613703030533336,0.06804372883489468,-0.456003899683234,0.0,0.1561339907502957,-0.1054753454449858,-0.6486449808338295,-0.33235327063888515,-0.19348395037040195,-0.7700802098615213,0.2384394936352242,-0.568078165946676,-0.36207274667453304,0.04479997461951637,1.2677722824006743,-1.385033718139099,-0.6042038312425311,-0.24973045667552896,-0.6989935833918548,0.20578933175257108,-0.4545628183564499,-0.36373057794292685,-0.5017827735043324,0.4637725640636299,-0.6059577138882132,-0.23822040301457464,-0.10446032317591715,1.6989043011987721,0.5922728135374404,0.1765168681144028,0.2391370861270743,0.4663453251507075,1.3602683299788814,-0.28723155861227667,-0.1708002478044615,-0.03490856182940269,-0.2246107703804546,-0.05766538088827223,-0.13920046669370037,-0.0936285427945371,0.0011589966042477987,-0.28015742571015145,0.1746614762200156,0.6802679629149391,0.03311784236798816,0.5033876150609176
9,4203.711363386262,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.4896262247187353,0.1099648619089135,-0.46284167758751277,0.0,0.21815861131168085,-0.06729809631371718,-0.6875023138655021,-0.3653710228241997,-0.1924949816715439,-0.7866030686783817,0.26618891540023154,-0.5677746934442014,-0.3895237800014093,0.1323452400172737,1.395162646309459,-1.4477138647561738,-0.6846212879771626,-0.23350484212738287,-0.6881443991841322,0.25115772583811635,-0.46792972358918367,-0.3936237648163863,-0.5037318649611052,0.5866221322053854,-0.6539423207160528,-0.2722107794087973,-0.10537291898427557,1.7085669907803005,0.6198601187366937,0.12384582727107152,0.23403110141983138,0.369538784136237,1.4360935425005137,-0.3540563314968576,-0.21529927871791865,-0.05277497371412274,-0.21998207150621457,-0.05674677051906438,-0.12252480894659554,-0.09233794254518121,0.002842180515298092,-0.18582734572285012,0.21513369995172402,0.7179262083885333,0.035389974381523484,0.4472077569994464
