Iteration,LL,asc_carD,b_carD_age_gr_under16,b_carD_female,b_carD_hhcars_0,b_carD_hhcars_2,b_carD_hhcars_3,asc_carP,b_carP_age_gr_under16,b_carP_female,b_carP_hhcars_0,b_carP_hhcars_2,b_carP_hhcars_3,asc_pt,b_pt_age_gr_under16,b_pt_female,b_pt_hhcars_0,b_pt_hhcars_2,b_pt_hhcars_3,asc_bike,b_bike_age_gr_under16,b_bike_female,b_bike_hhcars_0,b_bike_hhcars_2,b_bike_hhcars_3,asc_walk,b_walk_age_gr_under16,b_walk_female,b_walk_hhcars_0,b_walk_hhcars_2,b_walk_hhcars_3,b_car_time,b_pt_time,b_bike_cost,b_walk_cost,g_bike_grad,g_bike_grad_c,g_bike_vgvi,g_bike_stressLink,g_bike_stressLink_c,g_walk_grad,g_walk_vgvi,g_walk_speed,g_walk_speed_c
0,17052.16069644633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,-0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,14250.475091261134,0.0,0.0,0.0,0.0,0.0,0.0,-2.688478788598567E-7,0.0,-4.0502231872822467E-7,5.590342103592626E-8,-7.156692796412778E-8,-1.2482411481485575E-7,-6.178661223490727E-6,-2.1637772244320015E-6,-3.5554635216970423E-6,-9.45016523886254E-7,-1.9598957173785484E-6,-4.7000861000798937E-7,-2.1559978178687142E-6,-7.860634999513591E-7,-1.3107624111055949E-6,-3.388626572391084E-7,-6.798109037238782E-7,-1.326591269582759E-7,9.771517186732518E-7,3.4432228112646574E-7,6.650775904398854E-7,2.2711042101857265E-7,1.5993943324450402E-7,1.6553173540831412E-8,0.002383219591539064,-0.013607316272955012,-0.1000155921550745,-0.09999165639549229,1.8229885595923934E-8,6.2593553229317825E-9,1.0749956686576508E-6,1.2644490580334673E-6,4.4438970023721586E-7,-8.780349288686917E-9,-5.804024615479275E-7,-4.978023311529755E-7,-1.922479416839104E-7
2,13701.281750772905,0.0,0.0,0.0,0.0,0.0,0.0,-1.925367059612744E-4,0.0,-1.1924570901615449E-4,-2.656097130248949E-5,-5.9611173877291765E-5,-1.8296920163960895E-5,-6.174305431568922E-6,-1.7270279411205904E-6,-3.3714228638871387E-6,3.257672272728677E-7,-3.263790143129781E-6,-5.923236396587983E-7,-1.1477879122064586E-4,-4.707898671395171E-5,-6.888240402329242E-5,-1.8446582435998742E-5,-3.581086173125607E-5,-6.517353430411672E-6,4.023931873467752E-5,1.2733969642094482E-5,2.818160512176728E-5,9.649147455514747E-6,5.772612651789566E-6,5.478529582997863E-7,0.013595908208377794,-0.011845852775198729,-0.1007259600104968,-0.0996670871906059,8.596560704431812E-7,3.417488021294654E-7,5.0179716319375515E-5,5.8682798669795065E-5,2.382370503369917E-5,-3.4584203697516426E-7,-2.3146154267437225E-5,-1.970076888398977E-5,-6.519552131726248E-6
3,13188.262127940217,0.0,0.0,0.0,0.0,0.0,0.0,-0.021552158495836065,0.0,-0.013054320436604193,-0.0031072631833377077,-0.0066269565748485445,-0.001842936350629578,-8.197817046408337E-5,8.414331313285491E-6,-3.087767638776841E-5,9.816075208321406E-5,-1.4028933510833562E-4,-1.666216571353205E-5,-0.0044271320572171115,-0.0019293244627988455,-0.002731461767657644,-7.259167441802465E-4,-0.0014231987205874062,-2.2597792521532892E-4,0.004659724719807042,0.0015480185627733537,0.0031417382581796723,0.0010321144494072963,8.524511933126864E-4,1.0884201532475049E-4,0.013860082493585339,-0.011807581034801564,-0.11917670668114456,-0.05154028023391725,2.3765260550303677E-5,9.983895976129541E-6,0.0013350169111935812,0.001543473742750488,6.598494086016037E-4,-5.16107967652844E-5,-0.0033563343153652342,-0.0029154658666395647,-0.0010329075552823882
4,11845.317532584613,0.0,0.0,0.0,0.0,0.0,0.0,-2.0582690660366105,0.0,-1.231507804440144,-0.2934914188318964,-0.6276710109493663,-0.17903919745347882,-0.00809022711719111,0.0010717831451217232,-0.0029548788154058073,0.010382894915286097,-0.014578467797805923,-0.0017094010697561867,-0.21724680909727184,-0.0970121460837996,-0.14347448954116734,-0.03540150924514291,-0.07579905248898394,-0.010297230971823633,0.15024572860463936,0.013487359523832398,0.12909755521472643,0.049990007437159326,-0.01108059908045544,-0.004380960756482882,4.5855767676204924E-4,-0.014758855213980324,-0.5785897458763888,-0.25152804103860743,0.0014806514783339381,6.517680746702308E-4,0.07952394901217663,0.08971056248821375,0.040467045442906566,0.005600021705137964,0.34779808502670034,0.3102979210837653,0.1247644637581934
5,11374.830236369671,0.0,0.0,0.0,0.0,0.0,0.0,-2.2908550503240503,0.0,-1.193490335708909,-0.3136062637701763,-0.6273793117002283,-0.19065294804887406,-0.022500928654508864,2.6596201350939414E-4,-0.008859888772289323,0.02484974147096296,-0.03645834117445647,-0.00421464376734366,-0.4918866444222263,-0.3630872302722813,-0.3385621559396297,-0.08418338015559962,-0.18363525390109442,-0.016723559068402043,0.18928371111022474,-0.08039433225469995,0.2022269241111342,0.08762046016903516,-0.08190538892716451,-0.017710896875978058,-0.014676670220749104,-0.017199216697647655,-0.7501963804642416,-0.2771374145459491,0.010626054898745723,0.008178672615366691,0.6438776528453796,0.6915324959612932,0.5471485938280113,0.009707698941284856,0.6087591884686248,0.5822291269298272,0.2879687437942059
6,11238.522483597244,0.0,0.0,0.0,0.0,0.0,0.0,-2.322652358637384,0.0,-1.1807665911214884,-0.31642420465780313,-0.6245891442013886,-0.19003112937513933,-0.025631005158001256,-3.752615970878581E-4,-0.010233128165559076,0.027467861984504086,-0.040665486876088286,-0.004685388516059916,-0.5019025333948279,-0.37587284544803695,-0.3486963625280702,-0.08540935345481494,-0.19030544810482708,-0.017132286702583897,0.17633874571392116,-0.11063156560221452,0.202748846699816,0.09061889274164489,-0.10129938011897593,-0.021014419169940284,-0.012113333516824795,-0.01680122921617244,-0.6942527141545106,-0.2455118843884035,0.01109671633432644,0.008618301228886257,0.6770796559283685,0.7276803225946764,0.5766333977897891,0.010561696472256818,0.6678726659998097,0.6431783863825761,0.32786787255820227
7,10997.369409146157,0.0,0.0,0.0,0.0,0.0,0.0,-2.3581639573638817,0.0,-1.1664517114233255,-0.3193710750000816,-0.6214457519082208,-0.1895036387746929,-0.029113353811229925,-0.0010470869893238644,-0.011740574636660036,0.03043009942804787,-0.04540384218198334,-0.005216860376980631,-0.5148056317107601,-0.3922855493481221,-0.3611253551680163,-0.08711901243656267,-0.19838445953854372,-0.01757206389860929,0.15989426744189345,-0.14609126407273978,0.20212788445430357,0.09360010843757308,-0.12365616798980959,-0.024792427187131434,-0.009127271967339272,-0.01633720171183133,-0.6292241441283543,-0.20325503230616004,0.011709497229444948,0.009171556146619991,0.7187294866701981,0.7728810218575362,0.6136497581269468,0.011911945438920522,0.7593425101781196,0.7328434405104978,0.3801306578787797
8,10521.215933081494,0.0,0.0,0.0,0.0,0.0,0.0,-2.4120201877406666,0.0,-1.143500773973443,-0.3234240459810525,-0.6162670622526976,-0.18886082386298567,-0.03445435916451628,-0.001993081212336426,-0.01401441665065899,0.03507398727620536,-0.0527824380508946,-0.006047066427055487,-0.5375768750780732,-0.4203106428496056,-0.3820498195500282,-0.09027379084249446,-0.21183797472820154,-0.0182789029369257,0.13152293457679037,-0.20483063104753357,0.19905734313111612,0.09752147887303286,-0.15926602627599562,-0.030691138923583706,-0.00453509292777324,-0.01562296336272336,-0.5292663394857341,-0.12925729137937392,0.012750041062392473,0.010090886869919453,0.7877870048021587,0.8476561345071576,0.6749939110576457,0.014590220551996345,0.9366677112921536,0.9006989030207699,0.4724129550672965
9,10335.88648401632,0.0,0.0,0.0,0.0,0.0,0.0,-2.420023232152309,0.0,-1.0831281715058911,-0.3185205680946422,-0.5949732854277731,-0.1817971567539974,-0.04099263744664768,-0.002947305294353278,-0.016569252190705153,0.04105380232225502,-0.06214837504056742,-0.007110778899109662,-0.5778539766555313,-0.43631927788092884,-0.4104094039713069,-0.09459479218901311,-0.2303828519675183,-0.02131454088423571,0.11365985700191916,-0.31858544876004247,0.19520146676217717,0.10068929564933003,-0.19809830516011442,-0.035006448556859956,-0.008465573555392677,-0.01622537869250561,-0.6099666702063927,-0.08936132647450619,0.012590018518132988,0.010015239010153464,0.7836414444497524,0.8484157575079354,0.6687498755586461,0.018108594561372655,1.16176300559123,1.0945264488382753,0.6082459270258602
10,10210.202907102379,0.0,0.0,0.0,0.0,0.0,0.0,-3.58928210503698,0.0,0.2869453221232674,-0.41373272793891863,-0.14910578669418878,0.06338294802415201,-0.27473686712817447,-0.07183563867225091,-0.12274628702968134,0.21312241371492519,-0.3525008030348646,-0.039027236120344845,-1.054552302858107,-0.6515003755842845,-0.9067769814918181,-0.11193283244384446,-0.5839418485560386,-0.08239127831016063,0.5838607537896122,-1.8746874008230958,0.9590839533807737,0.4942921494947656,-1.071734914029791,-0.20243989279590002,0.0034428586539136715,-0.014281055686232865,-0.2678844887829102,-0.06202369034324661,0.0036132700174274415,0.00920373192571733,0.681708827230831,0.8814948095760151,0.6417488202126123,-3.874569432666293E-4,0.5680201895141546,1.0909161664178821,1.9349468555540656
11,10177.02809854867,0.0,0.0,0.0,0.0,0.0,0.0,-4.60349580766404,0.0,1.5185833594413,-0.28244266775367516,0.04928451977269355,0.5326552804676217,-0.6020022586364524,-0.19831463785990638,-0.2579645570676709,0.4308816781172552,-0.7386832038209044,-0.08160771821426605,-1.2084221488354363,-1.1295725371451453,-0.848806038100756,-0.05672164460973227,-0.8722912862162097,-0.12777126920208584,-0.07223011676322855,-1.9822347758923125,0.39262296310427436,0.19922832980117816,-1.506704630864456,-0.5295771990096501,-0.0038131705982402527,-0.015250734787983895,-0.3939327824544764,-0.057925079766505315,-0.005580833290791409,0.010450098907922018,0.6505840143818674,0.7824071123156061,0.599319504303827,-0.022729329077923483,0.005955298221671068,1.4102768297033472,2.2467059593764285
