Iteration,LL,asc_carD,b_carD_age_gr_under16,b_carD_age_gr_40_54,b_carD_age_gr_55up,b_carD_female,b_carD_hhcars_0,b_carD_hhcars_2,b_carD_hhcars_3,asc_carP,b_carP_age_gr_under16,b_carP_age_gr_40_54,b_carP_age_gr_55up,b_carP_female,b_carP_hhcars_0,b_carP_hhcars_2,b_carP_hhcars_3,asc_pt,b_pt_age_gr_under16,b_pt_age_gr_40_54,b_pt_age_gr_55up,b_pt_female,b_pt_hhcars_0,b_pt_hhcars_2,b_pt_hhcars_3,asc_bike,b_bike_age_gr_under16,b_bike_age_gr_40_54,b_bike_age_gr_55up,b_bike_female,b_bike_hhcars_0,b_bike_hhcars_2,b_bike_hhcars_3,asc_walk,b_walk_age_gr_under16,b_walk_age_gr_40_54,b_walk_age_gr_55up,b_walk_female,b_walk_hhcars_0,b_walk_hhcars_2,b_walk_hhcars_3,b_car_time,b_pt_time,b_bike_cost,b_walk_cost,g_bike_grad,g_bike_vgvi,g_bike_stressLink,g_walk_grad,g_walk_vgvi,g_walk_speed
0,17052.16069644633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,-0.1,0.0,0.0,0.0,0.0,0.0,0.0
1,14619.364139883299,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.057337655646766E-7,0.0,-2.026141202850945E-6,-5.253061891878227E-7,-4.605913171703525E-7,6.35733616115702E-8,-8.138589922732636E-8,-1.4194996373959385E-7,-7.0263725717954096E-6,-2.4606471193827913E-6,-2.3330220200530596E-6,-9.200161165747792E-7,-4.043272557798087E-6,-1.0746726423651412E-6,-2.228793101620776E-6,-5.344937173949877E-7,-2.4518003794622875E-6,-8.939112885408097E-7,-8.21569879377284E-7,-2.556813671733461E-7,-1.4905988077995796E-6,-3.853545605281483E-7,-7.730808528185159E-7,-1.5085993831708155E-7,1.111216780823844E-6,3.915632439543572E-7,3.832063819708342E-7,4.3064187669967325E-8,7.563261312686865E-7,2.5826993507053886E-7,1.81883098336112E-7,1.8824266347744012E-8,0.002710196944750918,-0.015474237925933748,-0.10001773139629894,-0.09999051165426581,2.0731023033142086E-8,1.2224849053607155E-6,1.4379312699684594E-6,-9.985011830436324E-9,-6.600335880074196E-7,-5.661007327106662E-7
2,14137.64592478105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.2037143532736692E-4,0.0,-1.4887319213144248E-4,-4.610445194394891E-5,-1.36287302600062E-4,-3.048608387066758E-5,-6.820726671038938E-5,-2.0817783889055623E-5,-6.961347356695488E-6,-1.9354767764734884E-6,-3.448562101568413E-6,-1.28851375876242E-6,-3.8030431487335874E-6,3.7594756414647003E-7,-3.6843494239090343E-6,-6.740553072073787E-7,-1.2523986830441494E-4,-5.1525424163449954E-5,-3.8901107163165114E-5,-1.1647113699537795E-5,-7.522309175783982E-5,-2.0153605790383407E-5,-3.909051400326867E-5,-7.065100917393357E-6,4.60185765504901E-5,1.4585722978353827E-5,1.6781488182216983E-5,1.6993447361197536E-6,3.216504666871566E-5,1.0983398754954137E-5,6.705020163168839E-6,6.546598845447868E-7,0.014453074291091609,-0.013614515819241422,-0.10077623497064146,-0.0996119692383323,9.209320649968084E-7,5.366802891216397E-5,6.271722982407445E-5,-4.0399591416874984E-7,-2.6975146603644028E-5,-2.300006241328315E-5
3,13552.352118719702,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02322408001799566,0.0,-0.013456192660248492,-0.00415870682744475,-0.014064434713356892,-0.0033506066033590753,-0.0071395755740862364,-0.0019827868497810457,-7.631342779960683E-5,1.4610988981310178E-5,-1.202805390046647E-4,-4.1205714968908855E-5,-2.664205314343635E-5,1.0841367089833265E-4,-1.4764966104218022E-4,-1.7671332934018463E-5,-0.004721437022793529,-0.002055865927761211,-0.0013784837128576427,-4.0677259199155437E-4,-0.0029137023518340864,-7.735755194302751E-4,-0.0015192207332640586,-2.4204162722906385E-4,0.00503215106541019,0.0016737720306007405,0.0017935419899507495,2.488177526665643E-4,0.0033912020507288736,0.0011134545629165908,9.230946844162669E-4,1.1797066214427485E-4,0.014800022687363626,-0.013563977946278907,-0.12069102391192013,-0.047644901787581566,2.5594950661870164E-5,0.0014398260281635704,0.0016654212838791305,-5.5747405139518606E-5,-0.0036246183839997678,-0.0031488040957983977
4,11064.375608527958,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.1136950621800117,0.0,-0.6587058215341532,-0.20544817319659214,-0.6650024958216544,-0.15875994410491867,-0.33910836598274174,-0.0966001965259433,-0.0038113870419674736,8.914001075634001E-4,-0.0063788519762185926,-0.0021750637258078423,-0.0012687168196628008,0.005873905704064968,-0.007853170628778806,-9.269954587368334E-4,-0.11490186309628438,-0.050940313136761006,-0.031939982690495305,-0.009607697875622344,-0.07622501156312633,-0.018634893377301776,-0.04039150231590226,-0.00553920591137856,0.08076148653290231,0.006689221156561162,0.03915891580607467,-0.0015274998759987452,0.06985809752867382,0.0270983130498866,-0.0066602341255041116,-0.002453309486109473,0.008015534929148065,-0.015134961011746668,-0.36716212628533923,-0.18065054702522304,7.937993900151009E-4,0.04262293760816553,0.048128574335363626,0.003282511288940886,0.20466115773428298,0.1821242104247113
5,10251.189090305774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.1731178308630146,0.0,-1.0068314458704932,-0.272430522442744,-0.3590229815420452,-0.14583331742841799,-0.22163457185078062,-0.08454075242292686,-0.021479998608695247,0.003057694537654154,-0.03274359421953228,-0.011091415195483238,-0.007838888185203648,0.029244442918077398,-0.04042693766592706,-0.004723225029277517,-0.5692073057998442,-0.3850795777687621,-0.08863616217182774,-0.025950152433694227,-0.39435354492557906,-0.09769788830518988,-0.2119228372099714,-0.020354481914298395,0.190055393206626,-0.10921804675577446,0.1539634106301559,-0.01636822327059548,0.2084404739981483,0.09383598631397819,-0.10320382637334967,-0.02011553114971051,-0.024546654056309212,-0.020230130945193624,-0.8527694319972849,-0.23569389515765432,0.010987639090621013,0.6407473456498642,0.7060194475965884,0.012438454283061492,0.7839306483041227,0.7329177269198018
6,9730.402007179153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.2073594098779339,0.0,-1.1111461659324227,-0.2950889520317064,-0.2705031913574747,-0.14347814137209416,-0.18883708476083397,-0.07966688945332805,-0.02765834295653379,0.003730841744481587,-0.04181814730641189,-0.014217021636173756,-0.010151951637305444,0.03733752350829983,-0.051699080921472226,-0.006033563505122734,-0.6538767284203315,-0.4546124719132203,-0.09405300562475542,-0.02831405772827369,-0.4592851745570249,-0.11162365640467506,-0.2485245604605634,-0.02314900168184328,0.18039847981217663,-0.16993067576468854,0.17834391563751598,-0.024746267380441195,0.2273706351969541,0.10759737763136529,-0.1497219262563213,-0.028490829890895734,-0.02369049946231211,-0.02009174384247688,-0.8042684612299573,-0.1713064384521059,0.013310519382452155,0.7825957110409054,0.8622038748975362,0.016161647677897142,1.0251260422454602,0.9620980970017519
7,9466.581271005009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.226867988797628,0.0,-1.176292236675474,-0.30920911469474693,-0.21542908488969376,-0.14142398721257413,-0.16842246922660992,-0.07651721770097726,-0.03148385066936193,0.004169319322901313,-0.047476522377031025,-0.01616254220293981,-0.011569142556016652,0.04239070124914109,-0.05872631985636468,-0.006851414912136664,-0.7104622974492462,-0.5003097392339089,-0.09819709151186028,-0.02998270253466015,-0.502188041675091,-0.120961666807722,-0.27254731785823944,-0.02499090373790737,0.17452126329531437,-0.20846894885687214,0.19355831254364927,-0.029613454264086847,0.23876119420281208,0.11571931678382226,-0.17823161611082275,-0.03361746045148659,-0.02336886109138174,-0.02003824512155002,-0.7780966605169356,-0.12855149984614017,0.014770577634123419,0.8706960240147856,0.960316632101891,0.018772067651270544,1.1930698399849564,1.1178886141398383
8,9287.845878134316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.4390038447312694,0.0,-1.5342963170561184,-0.4038418122176123,0.34628818062474115,-0.07053313940611548,0.014120620188647098,0.0709594482353978,-0.09370187318100869,0.010638358743262067,-0.13854360778069635,-0.049127477608822065,-0.033629571124968005,0.12608655753919606,-0.17379945845112343,-0.020216886367841143,-1.0314885468728305,-0.6624204267701357,-0.14855530096678113,-0.0739418385955046,-0.7742761954342736,-0.13648093778694004,-0.4547127101104679,-0.055678117562460556,0.3310785729311987,-0.8371176367749026,0.4583108732592358,-0.011260071952950205,0.43918534280198884,0.17869941972277964,-0.4593878973651673,-0.09754894262841488,-0.02194576629535079,-0.019749688628641647,-0.7074407911304623,-0.12006780454491445,0.005725678863967432,0.48759769272618525,0.6783828018792424,0.020713160226904316,1.2908174717546261,1.0637959990845245
9,9189.362760269823,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.7233055710500127,0.0,-1.1895692740717203,-0.3893707656841221,0.5174215686625535,0.04442834279269607,0.04537784686412098,0.31233540295801787,-0.18274643470648233,0.016417468134520153,-0.2669023894296789,-0.09606164793248245,-0.06251549793471366,0.2459498748741692,-0.33888105586133227,-0.03965381710053545,-1.3526807125045612,-0.8676766071958438,-0.15635330907379166,-0.12340459244493279,-1.0168356881988434,-0.1352268019353835,-0.6608635799294589,-0.09376776888835675,0.3540732965380581,-1.0438124306468928,0.1414660606503242,-0.04266903861194282,0.4845194318844596,0.14855844629299106,-0.6754395717847405,-0.21344530191550778,-0.026901731083625736,-0.02047253046750436,-0.7812027057669103,-0.1193340306207407,-0.004263623115203445,0.16315739483641484,0.4117103214789374,0.025911332922249,1.4791834275528069,1.0719562981042416
