Iteration,LL,asc_carD,b_carD_age_gr_under16,b_carD_age_gr_40_54,b_carD_age_gr_55up,b_carD_female,b_carD_hhcars_0,b_carD_hhcars_2,b_carD_hhcars_3,asc_carP,b_carP_age_gr_under16,b_carP_age_gr_40_54,b_carP_age_gr_55up,b_carP_female,b_carP_hhcars_0,b_carP_hhcars_2,b_carP_hhcars_3,asc_pt,b_pt_age_gr_under16,b_pt_age_gr_40_54,b_pt_age_gr_55up,b_pt_female,b_pt_hhcars_0,b_pt_hhcars_2,b_pt_hhcars_3,asc_bike,b_bike_age_gr_under16,b_bike_age_gr_40_54,b_bike_age_gr_55up,b_bike_female,b_bike_hhcars_0,b_bike_hhcars_2,b_bike_hhcars_3,asc_walk,b_walk_age_gr_under16,b_walk_age_gr_40_54,b_walk_age_gr_55up,b_walk_female,b_walk_hhcars_0,b_walk_hhcars_2,b_walk_hhcars_3,b_car_time,b_pt_time,b_bike_cost,b_walk_cost,g_bike_grad,g_bike_vgvi,g_bike_stressLink,g_walk_vgvi,g_walk_speed
0,17052.16069644633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,-0.1,0.0,0.0,0.0,0.0,0.0
1,14544.947346538189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.9833119645621856E-7,0.0,-1.97708332319576E-6,-5.125872297317696E-7,-4.4943926450187487E-7,6.20340936085171E-8,-7.941534572182277E-8,-1.3851300474167394E-7,-6.856246748602725E-6,-2.4010687789953084E-6,-2.276533798338001E-6,-8.977402555122585E-7,-3.945374949144519E-6,-1.0486521650737827E-6,-2.1748285192897087E-6,-5.215523052034186E-7,-2.3924362404847306E-6,-8.722674897996652E-7,-8.016776447126398E-7,-2.4949069017452003E-7,-1.4545077314104808E-6,-3.7602417544523E-7,-7.54362657172559E-7,-1.4720724684210718E-7,1.0843114797383262E-6,3.82082531320767E-7,3.73928009593148E-7,4.202149739093401E-8,7.380136087872114E-7,2.5201658245354707E-7,1.7747925958246044E-7,1.836848439543715E-8,0.0026445763871262274,-0.015099568430610326,-0.10001730207542804,-0.09999074139053617,2.0229073795024958E-8,1.192885528336508E-6,1.4031154046697914E-6,-6.440525456776517E-7,-5.523940366625553E-7
2,14048.98859408767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.140483859942202E-4,0.0,-1.4488125569257082E-4,-4.4866650191482015E-5,-1.324150257742295E-4,-2.9594939403953408E-5,-6.625435655137377E-5,-2.024439593253882E-5,-6.801014568522907E-6,-1.8941900246480385E-6,-3.3649590864807543E-6,-1.2567659399449768E-6,-3.715707686299888E-6,3.6181119863189615E-7,-3.5946348279248275E-6,-6.571067263108943E-7,-1.2281264351934965E-4,-5.0496335768405334E-5,-3.816564124380231E-5,-1.1434600330337048E-5,-7.375286069701187E-5,-1.975799983929029E-5,-3.832965406335247E-5,-6.937156797743912E-6,4.470653848102913E-5,1.4165350715298326E-5,1.630518126665651E-5,1.6436064061470917E-6,3.126031311413239E-5,1.0680080219652833E-5,6.494066999000878E-6,6.306314286350242E-7,0.014255113523597226,-0.01326369807342152,-0.10076425748543119,-0.09962441549447001,9.063785038803495E-7,5.2837355065789686E-5,6.175522224061287E-5,-2.611049020120887E-5,-2.2255320768962762E-5
3,13467.370715987003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02314887743443168,0.0,-0.013416710780903765,-0.004146734947899417,-0.01401939631889852,-0.0033392822821245696,-0.0071167654864164485,-0.001977009528927084,-7.797633832072492E-5,1.3680906772199307E-5,-1.2043673371730249E-4,-4.121301687720403E-5,-2.7604059756988795E-5,1.0764245338394302E-4,-1.4773811545703766E-4,-1.7655505965030625E-5,-0.004715903509809961,-0.002053912021828311,-0.0013767378156169564,-4.059435418804629E-4,-0.0029101564092959553,-7.728291444897543E-4,-0.0015171335259142563,-2.415093158842344E-4,0.005013275657954182,0.001667020348923175,0.0017870823137898766,2.4776363923353895E-4,0.0033788507833825946,0.0011095152976408464,9.190885098943557E-4,1.1743946639980205E-4,0.014590869082142232,-0.013215025962977588,-0.12060931434885684,-0.04784315052722207,2.550476974029066E-5,0.0014342789485922015,0.001658828538888388,-0.003611223803956282,-0.003137110153282395
4,10963.97666249296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.1009917375452554,0.0,-0.651310612392795,-0.20312864662368033,-0.657652918776148,-0.15695087770269556,-0.33533451334203906,-0.09552895967110314,-0.003869532169744849,8.304714325592271E-4,-0.006325709037612986,-0.002154513281311657,-0.0013120476016398547,0.005772067381990592,-0.007781205505524376,-9.174300725754707E-4,-0.11468142278881897,-0.05088474140682111,-0.031880675822236526,-0.009552872659351687,-0.07598352139428532,-0.018626673876449066,-0.040228043779536315,-0.005504285011374927,0.08052440453109183,0.00704436811920079,0.03884264284382645,-0.0014704707470003832,0.06943356961073371,0.026918283792151537,-0.006350314425041935,-0.002404196883554335,0.007902524931506191,-0.014765468373464543,-0.36288895236563107,-0.1801246625412652,7.843542270785458E-4,0.04210179798544842,0.047526974253868336,0.19517112971802716,0.17381189105686187
5,10274.541921500955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.1621176862194775,0.0,-0.9960000419804235,-0.2704644025089479,-0.35562921199895875,-0.14450715963422703,-0.21946836421122856,-0.08395188824947898,-0.021903857153704562,0.0026678924806723342,-0.03251103786560307,-0.010997914297809283,-0.008134379511303415,0.028720967254096664,-0.04011947927927012,-0.004679027463889545,-0.5739155548512217,-0.38601977416220234,-0.09085726157092458,-0.02630034387023926,-0.3964819553497859,-0.09858369263612,-0.21273509739803764,-0.02051193272537054,0.1967810243353628,-0.10376046799964156,0.1546201567257995,-0.015494597073060392,0.21089958515798282,0.09435582712419006,-0.09941675648215403,-0.019512051628558305,-0.025631249891593606,-0.020015101342731663,-0.8642516261348228,-0.2558538704075728,0.010965253316056219,0.639425365411047,0.7045760632837798,0.7229664928264573,0.6768835549862103
6,10041.028958429271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.182235431972317,0.0,-1.0498042535261385,-0.28261125970255124,-0.3095901191160445,-0.1435419346049567,-0.20253700623960702,-0.0811836589803028,-0.025374576957870053,0.002956478134297551,-0.037435923988054176,-0.012704444711537227,-0.009460213375636052,0.0330706555594636,-0.04624541741578685,-0.0053894912891651265,-0.6132460545882815,-0.4191881749928703,-0.09270797787019838,-0.02732933393125478,-0.42749664937145315,-0.10489873501939892,-0.2304549856820112,-0.02184185027680915,0.1892541826271025,-0.13728576323193684,0.16684467062648065,-0.020212655760649095,0.21968437886976552,0.1013385346453286,-0.12518171599520633,-0.024186093218471785,-0.02424165852597052,-0.01979525079236256,-0.8207735863705096,-0.21981049409831338,0.012101503339385224,0.7098983826006271,0.7820785615318068,0.8364021763622603,0.7866919335603374
7,9479.487787382246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.2150653013992254,0.0,-1.1460281626108004,-0.3042052068068537,-0.2279220225191774,-0.14116135342702665,-0.17236530814062792,-0.0764241154987796,-0.031421739147061964,0.0034873928637641264,-0.046077955011215865,-0.01568225360922991,-0.01175267143673472,0.04070200260049458,-0.05698562142781679,-0.0066363554631590355,-0.6885531656176946,-0.48195601215042994,-0.09689488889535658,-0.02930730945299709,-0.48603169958632686,-0.11716817545604093,-0.26359084588950293,-0.024280749534095366,0.17518460384319784,-0.19695737403720087,0.18812170784105292,-0.028397312148244633,0.23440246371327894,0.11319979733834458,-0.170359774444527,-0.03235593921207863,-0.021958277105377955,-0.019432885918793663,-0.7469182770812642,-0.14840590351894728,0.014218063313461631,0.8388506827752773,0.9246123141815962,1.0756207275074632,1.0119299714459928
8,9358.548811096389,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.2102402311161915,0.0,-1.1620018009356416,-0.3087791940712483,-0.2021622493326308,-0.13214416273060756,-0.1644753343304103,-0.06768255971044769,-0.03441927180747167,0.003939152932981076,-0.05076146681936633,-0.017328282351003095,-0.012683326475047479,0.045048987720539044,-0.06290216032317222,-0.007330012393971085,-0.7258232518787948,-0.5013379207749566,-0.10451356561285872,-0.03301591952717794,-0.5124021072527681,-0.12131841287595842,-0.27928349298045985,-0.026533755667087957,0.17210085749570547,-0.24139346989666782,0.1979598192479682,-0.02489756769880976,0.23292871629458073,0.10957624563844627,-0.18340285424899494,-0.035138970045229395,-0.023268415124210955,-0.01963046830487441,-0.7728305073147711,-0.12307886307316297,0.013708879255848126,0.8108047501597777,0.908805909780399,1.2264322354565707,1.1162082844298746
9,9212.826651337773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.4450807562760715,0.0,-1.4814113884968567,-0.39852355361477737,0.322006474766082,-0.08509145746128986,0.012357935745325815,0.060812702788403825,-0.09392808389036009,0.0082939547770771,-0.1345512818851618,-0.04772259909131411,-0.03442596191882408,0.12110486180249554,-0.16886495431277396,-0.019608661735695337,-0.9807565975480304,-0.6412101852836853,-0.13452266524148115,-0.06811801132539269,-0.7361676781821344,-0.13059187336884068,-0.43414936230450407,-0.05239760732894365,0.3167179351494691,-0.7645156390585084,0.4209498929801865,-0.022169261868555355,0.4288962416648426,0.18493504906789088,-0.45240557878588805,-0.0971536220157033,-0.019278336369926527,-0.018950318291845167,-0.6491251172713313,-0.11429570903754926,0.0069436552398445,0.5644271997547495,0.7349800629257148,1.233114913956108,1.0480369543925758
