Iteration,LL,asc_carD,b_carD_age_gr_under16,b_carD_age_gr_40_54,b_carD_age_gr_55up,b_carD_female,b_carD_hhcars_0,b_carD_hhcars_2,b_carD_hhcars_3,asc_carP,b_carP_age_gr_under16,b_carP_age_gr_40_54,b_carP_age_gr_55up,b_carP_female,b_carP_hhcars_0,b_carP_hhcars_2,b_carP_hhcars_3,asc_pt,b_pt_age_gr_under16,b_pt_age_gr_40_54,b_pt_age_gr_55up,b_pt_female,b_pt_hhcars_0,b_pt_hhcars_2,b_pt_hhcars_3,asc_bike,b_bike_age_gr_under16,b_bike_age_gr_40_54,b_bike_age_gr_55up,b_bike_female,b_bike_hhcars_0,b_bike_hhcars_2,b_bike_hhcars_3,asc_walk,b_walk_age_gr_under16,b_walk_age_gr_40_54,b_walk_age_gr_55up,b_walk_female,b_walk_hhcars_0,b_walk_hhcars_2,b_walk_hhcars_3,b_car_time,b_pt_time,b_bike_cost,b_walk_cost,g_bike_grad,g_bike_stressLink,g_walk_vgvi,g_walk_speed
0,17052.16069644633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,-0.1,0.0,0.0,0.0,0.0
1,14470.869797443234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.9094372917344975E-7,0.0,-1.928125525490015E-6,-4.998942179576412E-7,-4.3830996290171007E-7,6.049796583377266E-8,-7.744881230111885E-8,-1.3508305741158542E-7,-6.686467995527112E-6,-2.3416119831281397E-6,-2.220160817057086E-6,-8.755098389658126E-7,-3.84767705934526E-6,-1.0226847716113825E-6,-2.120974028969106E-6,-5.086372945149258E-7,-2.3331932090396934E-6,-8.506678461175348E-7,-7.818259917779426E-7,-2.433126426457556E-7,-1.4184902836679478E-6,-3.667128250848616E-7,-7.356826481242171E-7,-1.435620071462575E-7,1.0574610675921963E-6,3.726211600898039E-7,3.646685658279847E-7,4.0980934282429074E-8,7.197384452980529E-7,2.4577598716982854E-7,1.7308440500771309E-7,1.7913632274313922E-8,0.0025790897006222734,-0.014725663290651446,-0.10001687363040564,-0.09999097065812639,1.9728148573001143E-8,1.368370566486339E-6,-6.281041059365337E-7,-5.387153033570356E-7
2,13960.655674890591,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0777906858781775E-4,0.0,-1.4091287815984127E-4,-4.363614008446588E-5,-1.2857426326221653E-4,-2.871196133877359E-5,-6.431785586216036E-5,-1.9674955665271695E-5,-6.6421477485923635E-6,-1.8534319565232785E-6,-3.281911204445913E-6,-1.225208345542212E-6,-3.6291848734801372E-6,3.4758253271070915E-7,-3.5055213259879236E-6,-6.402545790734284E-7,-1.2036291253306255E-4,-4.945903175616571E-5,-3.742248429212215E-5,-1.1219583139728666E-5,-7.226967158695445E-5,-1.9358942392909436E-5,-3.7561991224059594E-5,-6.807643398369552E-6,4.340641094168929E-5,1.374910996720541E-5,1.583303092361719E-5,1.588675278690729E-6,3.0363212805227274E-5,1.0379109920321116E-5,6.285896639572263E-6,6.070426260343893E-7,0.01405155247684567,-0.012914517150663142,-0.10075204423527652,-0.09963669720203196,8.915567329068875E-7,6.077388605122154E-5,-2.525724731350179E-5,-2.152067232892066E-5
3,13382.278784321014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02311230658225289,0.0,-0.013399879581287738,-0.004141780909347207,-0.013997785233741797,-0.0033335053010667814,-0.0071058503131996836,-0.0019745721583927863,-7.993399827751478E-5,1.2696668711987161E-5,-1.2083864410588154E-4,-4.130013450435583E-5,-2.870362163272275E-5,1.0701743360984257E-4,-1.4812193830689055E-4,-1.7673110499863794E-5,-0.0047188733039510555,-0.0020556896386304366,-0.0013774711610843988,-4.058215162793643E-4,-0.002911850711595138,-7.734818638520597E-4,-0.001517762593803037,-2.4139671956823183E-4,0.005002641382894016,0.0016629880835771088,0.0017835712612649026,2.4710898906640696E-4,0.003372073347333763,0.0011074147015863963,9.165619943581104E-4,1.1709532433476617E-4,0.014380668802378803,-0.012867002976880527,-0.12055973782078941,-0.047956326710346386,2.545575694341947E-5,0.0016548423113049578,-0.0036037144000525025,-0.0031305242330043302
4,10879.052338981386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.079809869820368,0.0,-0.6388982425547169,-0.19924369487510996,-0.6452416083074858,-0.15393401732586776,-0.3289788330441201,-0.0937217567571887,-0.0039037861841902054,7.603199195218489E-4,-0.006225254299856136,-0.002117694711057141,-0.0013486197002240987,0.005624372953321524,-0.007650827963356384,-9.009370648344151E-4,-0.1136770901157263,-0.050482294888452926,-0.031604558127916516,-0.009432349635616339,-0.07521400345919052,-0.018491499434829885,-0.03978384207399186,-0.005431657014810774,0.07978234434346877,0.007396107151185153,0.038261164215414756,-0.0013935440295352085,0.06854184129650649,0.026551209974982417,-0.005957205497085851,-0.0023315582506332226,0.008034553145797488,-0.014354319039349086,-0.35534874771426095,-0.17776518608113911,7.690894305081585E-4,0.04658038953064,0.18392832491231986,0.16393748981184944
5,10163.13913490378,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.1124494316043152,0.0,-0.9206891472264533,-0.25446245313036114,-0.3750519455650029,-0.1404365599817407,-0.223687836988469,-0.08256879035700031,-0.019696050243545656,0.002034525479898718,-0.0284987358413732,-0.009627137613703676,-0.007428563945867179,0.024894409600004802,-0.035141148232342996,-0.0040922828736628366,-0.5180356572967348,-0.3435345035557957,-0.08502894709591824,-0.024213942661674617,-0.3561169870878488,-0.08902819277209907,-0.19054086040433896,-0.018586106229482112,0.18674434157987993,-0.08217899587495195,0.13846856718377815,-0.012602538446606172,0.19293451825279784,0.0851326526386547,-0.08220185021917066,-0.016428006266099266,-0.01712922730886498,-0.018283846447957,-0.7370656806714314,-0.23509891035524466,0.009683364230458236,0.6219315187385063,0.5965489647303974,0.5595948052846881
6,9936.57998384305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.1311112458162782,0.0,-0.9773401112585404,-0.26792285108983105,-0.3227643889060879,-0.13863343124616134,-0.20398630675067075,-0.07918220433367108,-0.023621368422489214,0.002306773101135795,-0.03398250752746259,-0.01150722693313776,-0.008944146037343895,0.02968849692083733,-0.04195439739528576,-0.004880900276597192,-0.5659616263102616,-0.3824445829107348,-0.08819154809485151,-0.025582885366095987,-0.39148027085314113,-0.0968521335922068,-0.21096042983139202,-0.0202951178351652,0.17969124864685568,-0.11857968259305458,0.15220434742507202,-0.017731746202018173,0.20301158028455976,0.09307168704848703,-0.11040514196972531,-0.02152334591095044,-0.016103586035637028,-0.01811966222117366,-0.7015138921887155,-0.20038129835786359,0.011339154913526325,0.7233732686300276,0.7149969192638091,0.6750322913126204
7,9409.654200023268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.1600746537448385,0.0,-1.0760321470722993,-0.2910337130098013,-0.23142229758920446,-0.13487202851189856,-0.1694307633363189,-0.07344232306099105,-0.030329745142961093,0.0027839045220931563,-0.04337720709910216,-0.014717969892852796,-0.011522613642501817,0.03789203667992382,-0.0536189441734863,-0.006232457558881832,-0.6545879368903553,-0.4537938841969764,-0.09464336348218817,-0.02813730660326741,-0.45666402672561274,-0.1114685874674965,-0.24817264116683813,-0.02332195148583688,0.16780679514127708,-0.1812478250612165,0.1758934173113855,-0.026372674030195612,0.22027223527033216,0.10652611932518344,-0.15839501883001303,-0.030178022517440648,-0.014600204021764391,-0.01787701859357995,-0.6454236763761234,-0.13416769355731317,0.014012027502431607,0.8985989172406323,0.9551990398585153,0.9033461763303692
8,9295.797703786744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.1625575159669783,0.0,-1.0934973009482791,-0.29623238685445596,-0.20946711910344606,-0.13121889282911303,-0.1617328578554995,-0.0695363890273036,-0.03242037481306267,0.002967012187850388,-0.04639479483795282,-0.01576188460900419,-0.012264243309821779,0.04058922573608935,-0.057402211022412254,-0.0066740935652825515,-0.675019751030226,-0.46732992897492825,-0.09721733750912478,-0.029584351589089404,-0.4710242939027765,-0.11400605089895768,-0.2571789619363247,-0.024392959971051495,0.15827494308039503,-0.20803704530773887,0.18042495103548725,-0.027208829650965764,0.21795584865414586,0.1062820418790043,-0.17216091384634427,-0.03275286662615469,-0.015202852100929965,-0.017967353722394688,-0.6549604860345279,-0.1149915282778453,0.014170644533140339,0.9169390949538802,1.0507365353923825,0.9822276094429434
9,9193.945984823167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.4408163821311948,0.0,-1.2932908026613312,-0.40540127536815856,0.256816073816014,-0.07236652862074912,-0.0101782370285039,0.08206982158653862,-0.09947118022281806,0.006610390804574019,-0.1396467957853731,-0.04897397682745058,-0.03709606465302788,0.12464076753238432,-0.1754232369650236,-0.02032944218092818,-0.659387951414099,-0.3998535130631871,-0.0851947820858216,-0.05961782151459242,-0.44946206840847924,-0.06872446698419844,-0.31085821761980914,-0.049086479879284585,0.023388595536679935,-0.9206775980847544,0.33249975375911656,-0.04531338634924102,0.23496980057791175,0.13151832188050883,-0.5531663671198667,-0.11327315677848733,-0.019749716619239795,-0.01862208436638858,-0.759061951581789,-0.11555120314743345,0.010381019624856913,0.8676810186469898,1.0228876254111807,0.9551618918555949
