Iteration,LL,asc_carD,b_carD_age_gr_under16,b_carD_age_gr_40_54,b_carD_age_gr_55up,b_carD_female,b_carD_hhcars_0,b_carD_hhcars_2,b_carD_hhcars_3,asc_carP,b_carP_age_gr_under16,b_carP_age_gr_40_54,b_carP_age_gr_55up,b_carP_female,b_carP_hhcars_0,b_carP_hhcars_2,b_carP_hhcars_3,asc_pt,b_pt_age_gr_under16,b_pt_age_gr_40_54,b_pt_age_gr_55up,b_pt_female,b_pt_hhcars_0,b_pt_hhcars_2,b_pt_hhcars_3,asc_bike,b_bike_age_gr_under16,b_bike_age_gr_40_54,b_bike_age_gr_55up,b_bike_female,b_bike_hhcars_0,b_bike_hhcars_2,b_bike_hhcars_3,asc_walk,b_walk_age_gr_under16,b_walk_age_gr_40_54,b_walk_age_gr_55up,b_walk_female,b_walk_hhcars_0,b_walk_hhcars_2,b_walk_hhcars_3,b_car_time,b_pt_time,b_bike_cost,b_walk_cost,g_bike_grad,g_bike_vgvi,g_walk_vgvi,g_walk_speed
0,17052.16069644633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,-0.1,0.0,0.0,0.0,0.0
1,14470.870101542583,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.9094372892707725E-7,0.0,-1.928125523857269E-6,-4.998942175343286E-7,-4.3830996253054717E-7,6.049796578254271E-8,-7.744881223553484E-8,-1.3508305729719645E-7,-6.68646798986498E-6,-2.341611981145252E-6,-2.220160815177044E-6,-8.755098382244268E-7,-3.8476770560870295E-6,-1.0226847707453682E-6,-2.120974027173055E-6,-5.086372940842093E-7,-2.3331932070639345E-6,-8.506678453971855E-7,-7.818259911158887E-7,-2.433126424397173E-7,-1.4184902824667636E-6,-3.6671282477432746E-7,-7.356826475012377E-7,-1.435620070246885E-7,1.0574610666967331E-6,3.726211597742666E-7,3.646685655191816E-7,4.098093424772623E-8,7.197384446885751E-7,2.4577598696170423E-7,1.730844048611444E-7,1.7913632259144575E-8,0.0025790896984382882,-0.014725663278181686,-0.10001687363039136,-0.09999097065813403,1.972814855629525E-8,1.1633465353942738E-6,-6.281041054046521E-7,-5.38715302900849E-7
2,13960.65799045587,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0777862999551733E-4,0.0,-1.409125897066164E-4,-4.363605046646999E-5,-1.2857399315956678E-4,-2.8711900274438155E-5,-6.43177202609171E-5,-1.9674914820052033E-5,-6.6421476442034445E-6,-1.853432889969157E-6,-3.281908959983324E-6,-1.2252076021528306E-6,-3.6291852095427147E-6,3.4757974958242386E-7,-3.5055184218137407E-6,-6.402542940867032E-7,-1.20362689210889E-4,-4.945893934030363E-5,-3.74224153907693E-5,-1.1219562746563215E-5,-7.226953714075749E-5,-1.9358906313748747E-5,-3.756192127253839E-5,-6.807630960253097E-6,4.3406324745838704E-5,1.3749082914321759E-5,1.5832999353908773E-5,1.5886721510539683E-6,3.036315237005589E-5,1.037908923616546E-5,6.285884302446992E-6,6.070414473257981E-7,0.014051532690591997,-0.012914520441381163,-0.10075204271541273,-0.09963669791670156,8.915552144738212E-7,5.198875689702704E-5,-2.5257197603362945E-5,-2.152063009335681E-5
3,13382.394729872145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02311087012790275,0.0,-0.01339905184258696,-0.004141525165129044,-0.013996915933279537,-0.0033332978319279166,-0.007105409008074934,-0.001974450039906977,-7.992932014431178E-5,1.2695805937148173E-5,-1.208312888503745E-4,-4.129762554687755E-5,-2.8701994489519904E-5,1.070108124094309E-4,-1.4811290022949378E-4,-1.7672042057407923E-5,-0.004718602247480405,-0.002055571491636201,-0.0013773924588832936,-4.057982122965873E-4,-0.0029116827837826456,-7.734373759361421E-4,-0.0015176747740235786,-2.4138281831137689E-4,0.005002333131636858,0.001662885711184665,0.0017834613135639967,2.470937305970795E-4,0.0033718655788782994,0.0011073464842564203,9.165054577335248E-4,1.1708808942542079E-4,0.014382101634444937,-0.012866779697301411,-0.12055843166615132,-0.04795953625231996,2.5454358020523635E-5,0.001430874225121549,-0.0036034921627237215,-0.0031303312184768626
4,10883.123573109924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0773804260118243,0.0,-0.6374609438078251,-0.1987956296378393,-0.6437882249678247,-0.15358786185360052,-0.3282386318464254,-0.09351099107796236,-0.0038951584223959113,7.58572654459018E-4,-0.006211361895281343,-0.002112965308747967,-0.0013456567785655443,0.005611767226768343,-0.007633749610301716,-8.989254414885592E-4,-0.11343875283780351,-0.050377205076954354,-0.0315390438946661,-0.009412697147021934,-0.07505480988558591,-0.018452347881274818,-0.03969883638899782,-0.005420160902748686,0.07962065501692778,0.007386604746099082,0.03818086912237824,-0.0013889751616208213,0.06839836210360585,0.026494463973284317,-0.0059389400189393685,-0.0023254507200496377,0.008112011466578833,-0.014341066108330284,-0.35437838747035666,-0.17723628867074914,7.678832864833209E-4,0.041187888067388254,0.18356021139162956,0.1636080652070173
5,10148.278713005728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.1048273206560901,0.0,-0.9071064273228355,-0.2515782043579968,-0.38041558702758516,-0.13996834324472504,-0.22537825593402855,-0.08249390248446754,-0.01911750663754947,0.001986603972535772,-0.027678283173057063,-0.009350079782033902,-0.0072063121370020905,0.024180928157276505,-0.034127787383373645,-0.003974598422542588,-0.5048054295441393,-0.3341409061049842,-0.08329230559506398,-0.023678000877467534,-0.34686924944852715,-0.08671344360136482,-0.18544691995819923,-0.018097294520321078,0.18304666317051377,-0.07870631354524182,0.13480752303736862,-0.01217317810890744,0.18848580067019105,0.08299785834325768,-0.07931799361275879,-0.015897259350340778,-0.014970810888177605,-0.017943106482285816,-0.707043262555743,-0.22587260738476594,0.009441226778265728,0.5482615427251879,0.5832959886679553,0.5466697107362247
6,9860.240051381776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.1258248920860108,0.0,-0.9768904584222258,-0.2681343184147652,-0.3146402579026871,-0.13740113130618592,-0.20050360476093096,-0.0783441667644086,-0.02392347859873489,0.002333046641644707,-0.03441762619979579,-0.011653638373997934,-0.009058111075976183,0.030071435168905754,-0.04249702010858301,-0.004943589271784453,-0.5679517277532848,-0.38446925447943814,-0.08816549692755206,-0.025650026173053633,-0.3928930289119673,-0.09705985622130707,-0.2118255334199061,-0.020265899517259205,0.1756725706159914,-0.12296056514763991,0.15214719970783064,-0.018367354073062007,0.20159962081220045,0.09295628182365284,-0.11360228426048152,-0.02209577678077352,-0.014369500187779235,-0.01784422485625202,-0.6772083967984387,-0.18603034868565088,0.011573086027441008,0.6735579765834987,0.7339946254504418,0.6925625340863767
7,9285.176057542129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.1613334703151916,0.0,-1.1112745789993257,-0.29943861531697996,-0.18743680720877318,-0.131641945406808,-0.15220123537692254,-0.07055930193430268,-0.03299690508110116,0.0029999161368879663,-0.0471615202880464,-0.01599904529903727,-0.01254023679585995,0.0411957230701321,-0.05831244898448944,-0.006776539908848491,-0.6972669466339206,-0.4866641235315333,-0.09899096122156723,-0.029687311176149696,-0.48701493819936714,-0.11847240942185162,-0.26514503832098735,-0.024562789676513052,0.16355635341097613,-0.20643225267646123,0.18562886109546312,-0.02973852081598618,0.22730919224759188,0.11185552503155913,-0.17750874314124562,-0.03363398148927468,-0.013623541975210908,-0.017717037649316526,-0.6281717684306802,-0.10350237328988153,0.015552246580821431,0.9051818512266254,1.0631104290853723,1.0039681481449394
8,9238.825046493903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.401511908880264,0.0,-1.195179846886748,-0.40039925522728304,0.21984312234013434,-0.057209761995868774,-0.030291465478681723,0.09046131153321474,-0.09839168551796536,0.0068492672464312175,-0.13901635215182803,-0.04856486498536193,-0.03637907440785551,0.12431457557300536,-0.17471509783471412,-0.020261013605714195,-0.5670221604390817,-0.3196870505985667,-0.08081530289538265,-0.06254703060669664,-0.38442216583359484,-0.04852896652316284,-0.27997336785235244,-0.04496683452972212,-0.0713537761886423,-0.9704500767690846,0.3006334758295163,-0.04670570929853125,0.16717587660311567,0.10122928346810611,-0.5671964995118619,-0.11678811607391223,-0.02836441844532682,-0.019958569087140828,-0.9798809699364694,-0.11329474668216825,0.01472460135854135,0.7752503881381407,1.1940498353738542,1.0973701510086218
9,9189.948063665557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.83370388521086,0.0,-1.1051748710519353,-0.39871772043143183,0.6353881058420868,0.014732841231131028,0.0953886740874263,0.344829461333234,-0.20514197697054182,0.008716924373846765,-0.281394221521845,-0.1002050184322011,-0.07575047340323042,0.2524989219445083,-0.3566133862739115,-0.041273616800798746,-0.5199942057357276,-0.26761057593925036,-0.02549312376438964,-0.0997764283672421,-0.3159183415228944,0.017482105545363044,-0.35620025908509784,-0.07514751983345264,0.18935972581631005,-1.4053893552853602,0.37624930073935603,-0.09241491218773504,0.527545131542998,0.20322781789828298,-0.8406146416370515,-0.24762463848762747,-0.023312770578163222,-0.019091250207783596,-0.8876815383854576,-0.11748721800750346,0.019117628404976134,0.9374899460338736,1.1399565769398876,1.0158176752322257
10,9148.85670129855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.3375966147359692,0.0,-0.6337628702812117,-0.026211181605851896,0.7646406415702685,0.27874354443654537,0.1382727351743288,0.8133829724090944,-0.4335993701129599,0.009493942744226989,-0.589230310800873,-0.2125506137333672,-0.15283703155235445,0.5344515797060267,-0.7538822374742551,-0.08781370534237701,-0.5883521498213348,-0.38482797254899964,0.1282805978863804,-0.17398992263637925,-0.16288169502328836,0.11924389241899837,-0.5645388199761572,-0.14340396814787149,0.31391191000660346,-1.7384659096060124,-0.22047398654746686,-0.21823769324724368,0.6458444039381388,0.12909515481148087,-1.0784062451834417,-0.51703468269621,-0.027836938532109386,-0.01963636374572257,-0.9893915861146819,-0.12399341029641303,0.025656982164490385,1.068342907807483,1.2671496084995373,0.9740837017788366
11,9125.36638470971,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.433178795125064,0.0,-0.6760892136942932,0.43893228815289836,0.6919861116372112,0.486713550350086,0.2606922942418842,0.9730317863723676,-0.7052031023971175,0.007505393492582938,-0.9573280728168649,-0.3476931516854701,-0.23739505402616617,0.8747623922473617,-1.2302443447656064,-0.14427585227115292,-0.769679047423761,-0.6267329511544837,0.2846224028931758,-0.2525335211727862,-0.050385341699621125,0.2089377957147463,-0.8299558777408036,-0.22373522422421632,0.5568508173782287,-2.1759194582428223,-0.36490722049861823,-0.39360624232708585,0.6972434754445053,0.05954149894557047,-0.9798548848374311,-0.7491630745366153,-0.024864754763597268,-0.01892231433073665,-0.9152801988013426,-0.11467925356477134,0.028397580340396435,0.838714753616019,1.3896395922749865,0.8313750621939422
12,9074.308330923242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.62088139397052,0.0,-0.5092382456008435,0.39423843150296084,0.6946834451975845,0.5396504473477738,0.3924733252750983,0.7832158142062533,-1.2422273324849005,0.0033522794959357513,-1.696545207041746,-0.6181498810984187,-0.39747548436058133,1.5588707718933512,-2.184244166437486,-0.2584401560694212,-1.034547238412116,-1.066215482850851,0.5641515929084305,-0.37864777826294194,0.23806470535662488,0.35885193756747935,-1.2087926472270336,-0.3743887182917676,0.7929928772355264,-2.665006246158552,-0.43964034786394035,-0.7772829891005328,0.25349202935442966,0.08967305057303171,-0.7091609608385687,-1.0906586001234235,-0.020744051512090175,-0.017804159725942903,-0.7930581060681295,-0.1060959836515682,0.042275542465656096,0.9141676065647678,1.4463594439795935,0.5693875065948042
13,8989.050616631292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.2145866736139657,0.0,-0.3678217166095561,0.39986928073389877,0.41847097981956605,0.03821298366392678,-0.13661649637984324,0.6980040613873594,-2.6024617312346874,-0.022024012646003014,-3.5839575586069206,-1.304636253642811,-0.7802959680625692,3.279162933731296,-4.608138606871563,-0.5519870885200164,-1.0228060235685972,-1.150081270373052,0.7975483456508436,-0.6515831461587817,0.813974434321115,0.655909932869809,-1.459830725494471,-0.7450336832163194,1.021356603371161,-2.886313024616338,-0.4112395611004269,-1.497002570231016,0.3642446593529607,0.5157836734352671,-0.713911221990539,-1.5502513018085011,-0.028046958790636657,-0.017622870614861518,-0.9851957718735482,-0.12372076070404914,0.07734853753525234,0.9324868616224252,1.6705269248640087,0.57834932018332
